species,common_name,family,order,migratory.strategy,breeding.biome,bird.group,abundance.category,ts_source,firstyear,lastyear,year_est1,year_est2,popest,popse,Loss_mean,Loss_sd,Loss_lci95,Loss_med,Loss_uci95,total_proportional_change,annual rate of change
Thalasseus sandvicensis,Sandwich Tern,Laridae,CHARADRIIFORMES,Long-distance migrant,Coastal,waterbirds,Scarce,Article12,1980,2017,2014,2017,128953,2053.609784,-45545.69879,5811.434683,-57214.8669,-45461.00275,-34483.77675,1.524394107,1.011459679
Anthus berthelotii,Berthelot's Pipit,Motacillidae,PASSERIFORMES,Resident,Unclassified,landbirds,Scarce,Article12,1980,2017,2006,2017,134165,41051.51092,-16102.67558,59989.96297,-162170.6937,-6958.265713,77727.61741,1.026502902,1.000707217
Circus aeruginosus,Western Marsh-harrier,Accipitridae,ACCIPITRIFORMES,Partial migrant within Europe,Inland wetlands,landbirds,Scarce,PECBMS,1983,2017,2014,2017,135442,6324.333333,-86443.03534,38864.22843,-178571.604,-81095.69725,-25641.77815,2.434959543,1.026519974
Burhinus oedicnemus,Eurasian Thick-knee,Burhinidae,CHARADRIIFORMES,Partial migrant within Europe,agricultural and grassland,landbirds,Scarce,PECBMS,1998,2017,2013,2017,139134,9889,7441.23476,19701.50491,-32026.25402,7997.409627,44958.96458,0.946244333,0.997096095
Regulus madeirensis,Madeira Kinglet,Regulidae,PASSERIFORMES,Long-distance migrant,Marine,landbirds,Scarce,Article12,1980,2017,2014,2017,141422,16984.36802,-3303.599676,24412.23845,-55186.63514,-1969.467699,41809.72839,1.014607492,1.000392018
Oenanthe cypriaca,Cyprus Wheatear,Muscicapidae,PASSERIFORMES,Long-distance migrant,"mediterranean forest, shrubland and rocky habitats",landbirds,Scarce,PECBMS,2006,2017,2014,2017,141422,16666.66667,-6215.720337,22783.71251,-53680.40672,-5269.105095,36180.98896,1.015421826,1.001392252
Phylloscopus trochiloides,Greenish Warbler,Phylloscopidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Scarce,Article12,1980,2017,2014,2017,142231,20708.80969,-88578.55531,37926.03957,-177614.6642,-83649.48802,-29272.63241,2.256609378,1.022240011
Bubulcus ibis,Cattle Egret,Ardeidae,PELECANIFORMES,Partial migrant within Europe,agricultural and grassland,waterbirds,Scarce,PECBMS,1998,2017,2014,2017,142382,3168,-23524.76605,33123.16741,-93756.29048,-21394.7361,35026.55404,1.167890556,1.00820183
Anthus petrosus,Rock Pipit,Motacillidae,PASSERIFORMES,Partial migrant within Europe,Coastal,landbirds,Scarce,Article12,1980,2017,2013,2017,146348,3826.532921,4462.948955,6421.276058,-8453.951229,4452.534171,17031.92916,0.970884327,0.999201726
Sylvia melanothorax,Cyprus Warbler,Sylviidae,PASSERIFORMES,Partial migrant within Europe,"mediterranean forest, shrubland and rocky habitats",landbirds,Scarce,PECBMS,2006,2017,2014,2017,146970,10000,-39311.92564,31993.36806,-107343.9469,-37456.42635,17718.28288,1.247147359,1.020280996
Accipiter gentilis,Northern Goshawk,Accipitridae,ACCIPITRIFORMES,Partial migrant within Europe,Boreal and temperate forests,landbirds,Scarce,Article12,1980,2017,2014,2017,148730,5292.055104,40457.21343,12276.35126,16246.74277,40429.02859,64762.39731,0.784915896,0.993476004
Panurus biarmicus,Bearded Parrotbill,Panuridae,PASSERIFORMES,Resident,Inland wetlands,landbirds,Scarce,Article12,1980,2017,2014,2017,153598,5900.46591,73446.36979,22965.99604,28255.04722,73822.37572,117383.2289,0.676966553,0.989511248
Cygnus olor,Mute Swan,Anatidae,ANSERIFORMES,Partial migrant within Europe,Inland wetlands,waterfowl,Scarce,PECBMS,1980,2017,2014,2017,159967,5983.333333,-53380.717,21113.59862,-98394.06354,-51904.56274,-15053.27397,1.468692879,1.010442602
Mergus merganser,Goosander,Anatidae,ANSERIFORMES,Partial migrant within Europe,Inland wetlands,waterfowl,Scarce,Article12,1980,2017,2014,2017,163380,7786.615403,-16169.78274,12996.78002,-42570.22916,-15797.31589,8229.174265,1.105766126,1.00272095
Tringa nebularia,Common Greenshank,Scolopacidae,CHARADRIIFORMES,Long-distance migrant,Coastal,shorebirds,Scarce,PECBMS,1981,2017,2014,2017,165174,304,-30889.07669,19729.68619,-71506.40965,-30332.05045,5405.313506,1.222659054,1.005599732
Pelagodroma marina,White-faced Storm-petrel,Oceanitidae,PROCELLARIIFORMES,Partial migrant within Europe,Marine,waterbirds,Scarce,Article12,1980,2017,2014,2017,185608,9516.707457,-2532.007804,14055.95553,-30393.45228,-2228.759744,24347.26805,1.0116186,1.000312255
Alcedo atthis,Common Kingfisher,Alcedinidae,CORACIIFORMES,Partial migrant within Europe,Inland wetlands,landbirds,Scarce,PECBMS,1980,2017,2014,2017,191907,32174.33333,-58255.55851,45266.11131,-159687.1521,-52722.33615,16949.21931,1.3782009,1.008707392
Tachybaptus ruficollis,Little Grebe,Podicipedidae,PODICIPEDIFORMES,Partial migrant within Europe,Inland wetlands,waterbirds,Scarce,PECBMS,1980,2017,2014,2017,193762,22828,32210.32423,41992.44823,-55007.62952,33539.0381,112226.0355,0.850230026,0.99562451
Tringa totanus,Common Redshank,Scolopacidae,CHARADRIIFORMES,Partial migrant within Europe,Coastal,shorebirds,Scarce,PECBMS,1980,2017,2014,2017,205180,2721.666667,238035.9574,31620.39692,177306.7157,238110.3942,300608.7245,0.456298387,0.979017628
Picus canus,Grey-faced Woodpecker,Picidae,PICIFORMES,Resident,Boreal and temperate forests,landbirds,Scarce,PECBMS,1982,2017,2014,2017,217678,17099.33333,-188745.5062,102478.8203,-446570.7639,-166530.0415,-59138.96448,4.887863918,1.046379246
Cinclus cinclus,White-throated Dipper,Cinclidae,PASSERIFORMES,Partial migrant within Europe,Inland wetlands,landbirds,Scarce,Article12,1980,2017,2014,2017,220250,13007.96736,2851.980483,21802.31479,-40535.436,3043.094599,44703.72142,0.984210453,0.999569943
Tyto alba,Common Barn-owl,Tytonidae,STRIGIFORMES,Resident,agricultural and grassland,landbirds,Scarce,Article12,1980,2017,2014,2017,225961,13963.53687,-8239.569318,23488.13227,-55994.89184,-7763.554739,36544.70291,1.03287259,1.00087454
Perisoreus infaustus,Siberian Jay,Corvidae,PASSERIFORMES,Resident,Boreal and temperate forests,landbirds,Scarce,Article12,1980,2017,2014,2017,231077,20915.3144,90838.16652,36242.26824,19359.21172,90499.3467,162843.3241,0.712580952,0.990883385
Poecile cinctus,Siberian Tit,Paridae,PASSERIFORMES,Resident,Boreal and temperate forests,landbirds,Scarce,Article12,1980,2017,2014,2017,248871,29441.39211,364008.6065,92143.58916,196542.7444,358160.7708,561123.3735,0.397265072,0.975358638
Rallus aquaticus,Western Water Rail,Rallidae,GRUIFORMES,Partial migrant within Europe,Inland wetlands,waterbirds,Scarce,Article12,1980,2017,2014,2017,254949,7592.177325,-22301.28234,18745.08584,-60199.89592,-22108.11333,13444.27396,1.093285397,1.002413375
Dendrocopos syriacus,Syrian Woodpecker,Picidae,PICIFORMES,Resident,Unclassified,landbirds,Common,PECBMS,1999,2017,2014,2017,258065,35352.33333,28570.60484,92944.25865,-169297.6794,34182.60734,197969.724,0.842248068,0.990507525
Ardea cinerea,Grey Heron,Ardeidae,PELECANIFORMES,Partial migrant within Europe,Inland wetlands,waterbirds,Common,PECBMS,1980,2017,2014,2017,291449,7413,-121090.551,28572.07086,-180172.1821,-120158.4674,-67407.08187,1.713067484,1.014654601
Grus grus,Common Crane,Gruidae,GRUIFORMES,Short-distance migrant,Unclassified,waterbirds,Common,PECBMS,1980,2017,2013,2017,292192,6131,-272745.4801,58837.68861,-406216.8969,-266674.3092,-175926.1343,5.748100724,1.048401626
Clamator glandarius,Great Spotted Cuckoo,Cuculidae,CUCULIFORMES,Long-distance migrant,"mediterranean forest, shrubland and rocky habitats",landbirds,Common,PECBMS,1998,2017,2014,2017,296268,2358.333333,-47443.21022,63109.4556,-183786.9182,-43624.3625,66397.70726,1.122294358,1.006090849
Sterna hirundo,Common Tern,Laridae,CHARADRIIFORMES,Long-distance migrant,Unclassified,waterbirds,Common,Article12,1980,2017,2014,2017,326718,10378.56308,-52732.29119,16097.08421,-85581.07142,-52549.3906,-22090.17089,1.188167289,1.004670658
Remiz pendulinus,Eurasian Penduline-tit,Remizidae,PASSERIFORMES,Partial migrant within Europe,Inland wetlands,landbirds,Common,Article12,1980,2017,2014,2017,329968,16616.63467,151748.7357,29136.35519,95459.83653,151419.4772,209992.2861,0.683367322,0.989762955
Numenius arquata,Eurasian Curlew,Scolopacidae,CHARADRIIFORMES,Short-distance migrant,Coastal,shorebirds,Common,PECBMS,1980,2017,2014,2017,330039,1241,164429.0455,42715.97301,79924.02559,164658.3292,247192.1657,0.663123727,0.988958873
Lagopus muta,Rock Ptarmigan,Phasianidae,GALLIFORMES,Resident,"Tundra, mires and moorland",landbirds,Common,Article12,1980,2017,2014,2017,339924,45175.02888,-209964.0364,69059.54819,-367888.7654,-202276.7968,-98198.55201,2.334850421,1.023182133
Ciconia ciconia,White Stork,Ciconiidae,CICONIIFORMES,Long-distance migrant,agricultural and grassland,waterbirds,Common,PECBMS,1995,2017,2014,2017,340526,3913,-73545.97314,48211.27929,-172941.6107,-71774.69592,16885.71993,1.275305084,1.011115203
Sylvia hortensis,Orphean Warbler,Sylviidae,PASSERIFORMES,Long-distance migrant,"mediterranean forest, shrubland and rocky habitats",landbirds,Common,PECBMS,1989,2017,2014,2017,348886,40766.66667,-236154.2206,111009.5244,-497407.555,-219607.3447,-66606.81657,2.317628701,1.030474575
Loxia pytyopsittacus,Parrot Crossbill,Fringillidae,PASSERIFORMES,Resident,Boreal and temperate forests,landbirds,Common,Article12,1980,2017,2014,2017,349649,59858.7293,-96013.87046,128051.121,-394879.6135,-79405.95813,113326.3102,1.28015533,1.006697502
Lanius minor,Lesser Grey Shrike,Laniidae,PASSERIFORMES,Long-distance migrant,agricultural and grassland,landbirds,Common,PECBMS,2005,2017,2014,2017,355546,49061.33333,14074.00519,102814.7687,-201051.3455,19585.82614,200933.8548,0.970785744,0.997532259
Ptyonoprogne rupestris,Eurasian Crag-martin,Hirundinidae,PASSERIFORMES,Partial migrant within Europe,"mediterranean forest, shrubland and rocky habitats",landbirds,Common,PECBMS,1998,2017,2014,2017,361621,37746.66667,-47504.24575,65274.30041,-186986.1917,-43542.74189,69398.70162,1.079550737,1.004036809
Alca torda,Razorbill,Alcidae,CHARADRIIFORMES,Short-distance migrant,Marine,waterbirds,Common,Article12,1980,2017,2015,2017,367123,53703.55291,-222596.7318,85820.20559,-416875.05,-212689.2885,-83581.58903,2.288960153,1.022633351
Haematopus ostralegus,Eurasian Oystercatcher,Haematopodidae,CHARADRIIFORMES,Partial migrant within Europe,Coastal,shorebirds,Common,PECBMS,1980,2017,2013,2017,371515,5447,76433.41374,54425.24966,-33770.36652,78067.64768,180400.4133,0.819310107,0.994628193
Crex crex,Corncrake,Rallidae,GRUIFORMES,Long-distance migrant,agricultural and grassland,waterbirds,Common,Article12,1980,2017,2014,2017,375005,60082.5214,36023.46731,78048.70786,-123541.7341,39142.41428,187852.6464,0.903412183,0.997258458
Asio otus,Northern Long-eared Owl,Strigidae,STRIGIFORMES,Partial migrant within Europe,Unclassified,landbirds,Common,Article12,1980,2017,2014,2017,378107,14155.83349,70680.17344,24896.55072,22538.24605,70878.64289,118946.7146,0.842275733,0.995371613
Bombycilla garrulus,Bohemian Waxwing,Bombycillidae,PASSERIFORMES,Partial migrant within Europe,Boreal and temperate forests,landbirds,Common,PECBMS,1988,2017,2014,2017,400775,0,-342082.1302,126880.1178,-653274.0454,-322572.2442,-150511.1037,4.332126327,1.05185339
Acrocephalus dumetorum,Blyth's Reed-warbler,Acrocephalidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Common,Article12,1980,2017,2014,2017,402521,31648.44907,-361242.0915,78791.16008,-537294.2087,-353299.5956,-231589.1513,5.174402146,1.045426533
Nucifraga caryocatactes,Spotted Nutcracker,Corvidae,PASSERIFORMES,Resident,Boreal and temperate forests,landbirds,Common,PECBMS,1980,2017,2014,2017,406550,46051.33333,51846.86459,121554.2198,-208341.9363,57869.16282,278469.5048,0.868637845,0.996201045
Sterna paradisaea,Arctic Tern,Laridae,CHARADRIIFORMES,Long-distance migrant,Coastal,waterbirds,Common,Article12,1980,2017,2014,2017,413678,26593.20034,-149403.2164,42939.75673,-240836.9779,-147351.336,-71594.54075,1.534259835,1.011636045
Bucephala clangula,Common Goldeneye,Anatidae,ANSERIFORMES,Short-distance migrant,Inland wetlands,waterfowl,Common,Article12,1980,2017,2014,2017,428966,7674.873269,43258.8603,18189.5308,7667.475644,43222.8321,78324.53431,0.907618408,0.997383665
Podiceps cristatus,Great Crested Grebe,Podicipedidae,PODICIPEDIFORMES,Short-distance migrant,Inland wetlands,waterbirds,Common,PECBMS,1980,2017,2014,2017,442405,20910.33333,137084.5465,62388.18752,11631.49276,137306.0108,257717.5761,0.763069861,0.992718378
Locustella fluviatilis,Eurasian River Warbler,Locustellidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Common,PECBMS,1982,2017,2014,2017,443067,35760.33333,738877.2204,144214.7461,471790.6994,732903.0109,1034588.693,0.37411173,0.972299445
Turdus torquatus,Ring Ouzel,Turdidae,PASSERIFORMES,Partial migrant within Europe,Unclassified,landbirds,Common,PECBMS,2000,2017,2014,2017,459309,48485.33333,-5097.943366,143627.5766,-309982.9255,3611.367131,254842.8366,0.95384052,0.997223931
Aythya fuligula,Tufted Duck,Anatidae,ANSERIFORMES,Partial migrant within Europe,Inland wetlands,waterfowl,Common,Article12,1980,2017,2014,2017,460599,24996.12181,256912.7208,61877.94069,137101.0742,256602.5246,379340.4123,0.638323611,0.987940605
Somateria mollissima,Common Eider,Anatidae,ANSERIFORMES,Partial migrant within Europe,Marine,waterfowl,Common,Article12,1980,2017,2013,2017,465726,31851.43313,362722.1651,71504.01329,225961.3707,361441.6257,506122.6933,0.555135927,0.984219293
Rissa tridactyla,Black-legged Kittiwake,Laridae,CHARADRIIFORMES,Short-distance migrant,Marine,waterbirds,Common,Article12,1980,2017,2015,2017,480984,46380.20895,706071.7385,259510.5449,245731.6559,683455.2604,1264815.516,0.400648979,0.975582257
Calcarius lapponicus,Lapland Longspur,Calcariidae,PASSERIFORMES,Short-distance migrant,"Tundra, mires and moorland",landbirds,Common,PECBMS,1980,2017,2014,2017,494255,0,507635.1502,102682.9241,309143.1965,507375.9598,713084.0493,0.483779903,0.980566311
Caprimulgus europaeus,European Nightjar,Caprimulgidae,CAPRIMULGIFORMES,Long-distance migrant,Unclassified,landbirds,Common,Article12,1980,2017,2014,2017,495092,19327.13018,-151244.7275,28696.93906,-209285.0636,-150440.8443,-97435.93519,1.419229293,1.009507451
Carduelis citrinella,Alpine Citril Finch,Fringillidae,PASSERIFORMES,Partial migrant within Europe,Boreal and temperate forests,landbirds,Common,PECBMS,2002,2017,2013,2017,502138,7270,129273.3227,151839.4281,-198192.799,136684.7018,401964.5793,0.801877724,0.985387866
Emberiza rustica,Rustic Bunting,Emberizidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Common,PECBMS,1980,2017,2014,2017,516703,0,2268435.154,365369.402,1608827.142,2250429.764,3036848.415,0.184232458,0.955311555
Phalacrocorax carbo,Great Cormorant,Phalacrocoracidae,SULIFORMES,Partial migrant within Europe,Unclassified,waterbirds,Common,Article12,1980,2017,2014,2017,522266,17081.50287,-496949.9206,29632.75897,-557703.7106,-495988.0561,-442113.5536,5.749522884,1.048408635
Athene noctua,Little Owl,Strigidae,STRIGIFORMES,Resident,agricultural and grassland,landbirds,Common,Article12,1980,2017,2014,2017,523689,27516.84845,-11116.04958,42215.70689,-94414.33301,-10746.2503,69810.75217,1.019754032,1.000528828
Iduna pallida,Eastern Olivaceous Warbler,Acrocephalidae,PASSERIFORMES,Long-distance migrant,Unclassified,landbirds,Common,PECBMS,2006,2017,2014,2017,536134,86360,-430048.6835,147573.5795,-770348.4489,-413448.4153,-191088.8042,2.03421492,1.066684725
Sylvia conspicillata,Spectacled Warbler,Sylviidae,PASSERIFORMES,Partial migrant within Europe,"mediterranean forest, shrubland and rocky habitats",landbirds,Common,Article12,1980,2017,2014,2017,538744,100868.0177,-27375.35791,143196.3125,-340655.4425,-17357.60709,229655.5474,1.027043601,1.00072146
Anser anser,Greylag Goose,Anatidae,ANSERIFORMES,Partial migrant within Europe,Unclassified,waterfowl,Common,Article12,1980,2017,2014,2017,540853,38182.16673,-584813.1333,55952.84166,-697726.6922,-582407.0647,-480347.54,9.292053991,1.062099445
