species,common_name,family,order,migratory.strategy,breeding.biome,bird.group,abundance.category,ts_source,firstyear,lastyear,year_est1,year_est2,popest,popse,Loss_mean,Loss_sd,Loss_lci95,Loss_med,Loss_uci95,total_proportional_change,annual rate of change
Leiopicus medius,Middle Spotted Woodpecker,Picidae,PICIFORMES,Resident,Boreal and temperate forests,landbirds,Common,PECBMS,1989,2017,2014,2017,800374,75813.66667,-321016.355,142204.638,-633513.2912,-310210.643,-75130.58137,1.629166457,1.017583825
Corvus corax,Common Raven,Corvidae,PASSERIFORMES,Resident,Unclassified,landbirds,Common,PECBMS,1980,2017,2014,2017,803190,57145,-325204.2668,113195.3796,-569488.6525,-318762.3659,-122235.9064,1.647531566,1.013585459
Locustella naevia,Common Grasshopper-warbler,Locustellidae,PASSERIFORMES,Long-distance migrant,agricultural and grassland,landbirds,Common,PECBMS,1982,2017,2014,2017,829683,54053.33333,863856.6148,278402.9221,324678.4081,857056.3814,1431230.05,0.493965774,0.980050561
Ficedula parva,Red-breasted Flycatcher,Muscicapidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Common,Article12,1980,2017,2014,2017,881070,96852.79629,-261801.9177,128115.0589,-539259.4316,-253604.7592,-32723.67241,1.390271604,1.008945153
Larus michahellis,Yellow-legged Gull,Laridae,CHARADRIIFORMES,Short-distance migrant,Coastal,waterbirds,Common,Article12,1980,2017,2014,2017,886611,35519.09619,-531568.2888,48455.17232,-628982.4428,-530405.3071,-440128.9343,2.332333998,1.023152313
Jynx torquilla,Eurasian Wryneck,Picidae,PICIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Common,PECBMS,1980,2017,2014,2017,889096,87248.33333,1458079.202,281210.1978,944674.5275,1445230.057,2049710.005,0.384102634,0.974470835
Sylvia nisoria,Barred Warbler,Sylviidae,PASSERIFORMES,Long-distance migrant,agricultural and grassland,landbirds,Common,PECBMS,1999,2017,2014,2017,891173,85781.66667,5057.484853,788295.3578,-1864441.67,93235.41597,1248996.43,0.950455687,0.997180995
Larus argentatus,European Herring Gull,Laridae,CHARADRIIFORMES,Partial migrant within Europe,Marine,waterbirds,Common,Article12,1980,2017,2014,2017,895333,16907.91634,662878.9544,68832.23565,531058.0822,662551.2898,800673.7678,0.57190384,0.985011186
Lanius meridionalis,Iberian Grey Shrike,Laniidae,PASSERIFORMES,Resident,Unclassified,landbirds,Common,Article12,1980,2017,2009,2012,934982,89344.23915,195958.8391,128159.8318,-66505.38223,201791.6527,435078.8023,0.814443777,0.994468064
Carpodacus erythrinus,Common Rosefinch,Fringillidae,PASSERIFORMES,Long-distance migrant,Unclassified,landbirds,Common,PECBMS,1980,2017,2014,2017,942840,36321.66667,460340.6977,144177.8055,174933.0852,462453.4817,743941.4712,0.660562461,0.988855442
Anthus spinoletta,Water Pipit,Motacillidae,PASSERIFORMES,Partial migrant within Europe,montane grassland,landbirds,Common,Article12,1980,2017,2014,2017,961575,87412.18612,-458146.4006,111462.3819,-698482.8777,-450533.9452,-257402.2622,1.829361558,1.016457388
Tringa glareola,Wood Sandpiper,Scolopacidae,CHARADRIIFORMES,Long-distance migrant,"Tundra, mires and moorland",shorebirds,Common,PECBMS,1980,2017,2013,2017,989831,361,128794.8334,138208.0249,-154313.2114,131989.6178,388545.749,0.881739569,0.996604197
Lagopus lagopus,Willow Grouse,Phasianidae,GALLIFORMES,Resident,"Tundra, mires and moorland",landbirds,Common,Article12,1980,2017,2014,2017,1094921,136562.2749,155683.2105,237235.8046,-345547.0233,162846.2063,608141.5004,0.869517313,0.996228292
Cyanopica cooki,Azure-winged Magpie,Corvidae,PASSERIFORMES,Resident,"mediterranean forest, shrubland and rocky habitats",landbirds,Common,PECBMS,1998,2017,2008,2017,1130353,179833.3333,-403196.2662,189379.4261,-826643.1427,-384937.9152,-83657.01195,1.40922554,1.018218725
Gallinago gallinago,Common Snipe,Scolopacidae,CHARADRIIFORMES,Partial migrant within Europe,Unclassified,shorebirds,Common,PECBMS,1980,2017,2014,2017,1133934,17566.33333,1656282.076,264702.3612,1143172.328,1651902.487,2189960.794,0.41022866,0.976205484
Fratercula arctica,Atlantic Puffin,Alcidae,CHARADRIIFORMES,Short-distance migrant,Marine,waterbirds,Common,Article12,1980,2017,2012,2012,1202798,6151.855496,-391735.7296,11404.53463,-413858.9065,-391687.8746,-369300.66,1.448470901,1.010064047
Strix aluco,Tawny Owl,Strigidae,STRIGIFORMES,Resident,Boreal and temperate forests,landbirds,Common,Article12,1980,2017,2014,2017,1221079,36650.12383,-76262.48738,57286.87861,-188950.9397,-76106.95631,32903.88042,1.065723982,1.001721869
Luscinia luscinia,Thrush Nightingale,Muscicapidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Common,PECBMS,1980,2017,2014,2017,1228220,64506.33333,436521.7521,191963.2638,52749.55008,436231.2658,812507.4677,0.733226685,0.991648572
Tetrao urogallus,Western Capercaillie,Phasianidae,GALLIFORMES,Resident,Boreal and temperate forests,landbirds,Common,Article12,1980,2017,2014,2017,1270337,153210.3054,58400.77552,443628.8308,-885084.947,88918.66208,855676.1482,0.92547209,0.997908911
Lyrurus tetrix,Black Grouse,Phasianidae,GALLIFORMES,Resident,Boreal and temperate forests,landbirds,Common,PECBMS,1980,2017,2013,2017,1333762,9822.666667,271069.8159,244576.7603,-239429.8843,280594.9161,723060.5885,0.823282015,0.994758206
Fulica atra,Common Coot,Rallidae,GRUIFORMES,Partial migrant within Europe,Inland wetlands,waterbirds,Common,PECBMS,1980,2017,2014,2017,1376666,87760,-267455.2749,135873.9762,-545672.4282,-261945.1356,-10829.01365,1.238346061,1.005794471
Picus viridis,Eurasian Green Woodpecker,Picidae,PICIFORMES,Resident,Boreal and temperate forests,landbirds,Common,PECBMS,1980,2017,2014,2017,1381705,113357,-644736.9624,186066.6314,-1043304.256,-630114.4137,-321348.2163,1.822666619,1.01635667
Buteo buteo,Eurasian Buzzard,Accipitridae,ACCIPITRIFORMES,Partial migrant within Europe,Unclassified,landbirds,Common,PECBMS,1980,2017,2014,2017,1401700,56869.33333,-705055.4243,206162.3203,-1152003.698,-690005.5995,-341032.4875,1.975189332,1.018566586
Bonasa bonasia,Hazel Grouse,Phasianidae,GALLIFORMES,Resident,Boreal and temperate forests,landbirds,Common,PECBMS,1980,2017,2014,2017,1426987,17140,633042.3808,302445.8561,29504.72054,636596.5051,1216508.95,0.685601685,0.98985028
Oenanthe hispanica,Black-eared Wheatear,Muscicapidae,PASSERIFORMES,Long-distance migrant,"mediterranean forest, shrubland and rocky habitats",landbirds,Common,PECBMS,1998,2017,2014,2017,1462897,244733.3333,1086974.008,294063.5984,565120.8918,1069219.828,1710232.561,0.553710302,0.96936773
Columba oenas,Stock Dove,Columbidae,COLUMBIFORMES,Partial migrant within Europe,Unclassified,landbirds,Common,PECBMS,1980,2017,2014,2017,1641357,109022.6667,-485323.4633,169644.4594,-840985.6801,-478346.8034,-172470.6063,1.394105314,1.009020246
Uria aalge,Common Murre,Alcidae,CHARADRIIFORMES,Short-distance migrant,Marine,waterbirds,Common,Article12,1980,2017,2015,2017,1660204,61307.72655,-520551.7184,97509.1283,-718798.0817,-518398.4054,-335480.5047,1.447186243,1.010039825
Gallinula chloropus,Common Moorhen,Rallidae,GRUIFORMES,Partial migrant within Europe,Inland wetlands,waterbirds,Common,PECBMS,1980,2017,2014,2017,1672113,84651.66667,190771.3154,147715.3095,-101509.8094,191076.5392,476367.9357,0.895468958,0.997020455
Perdix perdix,Grey Partridge,Phasianidae,GALLIFORMES,Resident,agricultural and grassland,landbirds,Common,PECBMS,1982,2017,2014,2017,1765714,56220,5418331.672,640188.6335,4221738.915,5394466.124,6749275.998,0.239434585,0.959980657
Sylvia undata,Dartford Warbler,Sylviidae,PASSERIFORMES,Resident,"mediterranean forest, shrubland and rocky habitats",landbirds,Common,PECBMS,1998,2017,2014,2017,1864938,148333.3333,1002140.049,312879.6884,400009.5209,1001350.696,1623868.362,0.619055683,0.975075863
Larus ridibundus,Black-headed Gull,Laridae,CHARADRIIFORMES,Partial migrant within Europe,Inland wetlands,waterbirds,Common,PECBMS,1980,2017,2014,2017,1889214,61148,5927703.893,611069.4615,4771006.154,5911108.703,7163814.917,0.244967998,0.962696609
Vanellus vanellus,Northern Lapwing,Charadriidae,CHARADRIIFORMES,Partial migrant within Europe,agricultural and grassland,shorebirds,Common,PECBMS,1980,2017,2014,2017,1927985,57341.66667,2856028.012,344921.524,2200705.753,2847998.877,3548800.776,0.400393165,0.975565416
Anthus campestris,Tawny Pipit,Motacillidae,PASSERIFORMES,Long-distance migrant,Unclassified,landbirds,Common,Article12,1980,2017,2014,2017,2052220,279203.5842,19047.83306,401625.2186,-818066.8416,43207.79061,754526.8646,0.979772193,0.99944785
Scolopax rusticola,Eurasian Woodcock,Scolopacidae,CHARADRIIFORMES,Partial migrant within Europe,Boreal and temperate forests,shorebirds,Common,Article12,1980,2017,2014,2017,2088393,144687.2846,373277.7487,340571.5648,-318581.9428,380608.1791,1034491.039,0.844877514,0.995454588
Ficedula albicollis,Collared Flycatcher,Muscicapidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Common,PECBMS,1998,2017,2014,2017,2223500,182994.3333,-908418.827,464466.5018,-1944943.373,-865593.5021,-119104.8193,1.666404151,1.02724172
Emberiza hortulana,Ortolan Bunting,Emberizidae,PASSERIFORMES,Long-distance migrant,agricultural and grassland,landbirds,Common,PECBMS,1998,2017,2014,2017,2684209,233831.6667,2436123.582,853568.0529,830184.7301,2419100.675,4185824.649,0.532155152,0.967344043
Motacilla cinerea,Grey Wagtail,Motacillidae,PASSERIFORMES,Partial migrant within Europe,Inland wetlands,landbirds,Common,PECBMS,1985,2017,2014,2017,2828586,172937.6667,537709.3336,432093.8031,-336608.2727,545937.7709,1350569.906,0.846804041,0.994817042
Acanthis flammea,Common Redpoll,Fringillidae,PASSERIFORMES,Partial migrant within Europe,Boreal and temperate forests,landbirds,Common,PECBMS,1980,2017,2013,2017,2830068,18723.33333,7981005.938,1081213.962,5938284.691,7952180.299,10164295.93,0.273446081,0.965562335
Cisticola juncidis,Zitting Cisticola,Cisticolidae,PASSERIFORMES,Resident,Inland wetlands,landbirds,Common,PECBMS,1998,2017,2014,2017,2883642,231023.3333,-759579.0932,539765.1116,-1916379.894,-717106.5364,180416.9006,1.305525358,1.014130779
Hippolais icterina,Icterine Warbler,Acrocephalidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Common,PECBMS,1980,2017,2014,2017,2911972,175399.3333,1955688.581,392155.852,1184839.87,1948478.985,2723816.81,0.595150269,0.986072456
Acrocephalus arundinaceus,Great Reed-warbler,Acrocephalidae,PASSERIFORMES,Long-distance migrant,Inland wetlands,landbirds,Common,PECBMS,1998,2017,2014,2017,3148244,236952.3333,520342.4342,868157.9322,-1312917.137,550335.0657,2139467.736,0.868697107,0.992618914
Loxia curvirostra,Red Crossbill,Fringillidae,PASSERIFORMES,Resident,Boreal and temperate forests,landbirds,Common,Article12,1980,2017,2014,2017,3156529,664653.9576,19497.59196,1060048.482,-2349256.613,87899.64833,1931468.466,0.956077959,0.998786795
Upupa epops,Common Hoopoe,Upupidae,BUCEROTIFORMES,Long-distance migrant,Unclassified,landbirds,Common,PECBMS,1989,2017,2014,2017,3268798,474073.3333,-815155.2738,3496737.029,-9227700.758,-264380.8165,4199029.264,1.007791834,1.00027724
Petronia petronia,Rock Sparrow,Passeridae,PASSERIFORMES,Resident,"mediterranean forest, shrubland and rocky habitats",landbirds,Abundant,PECBMS,1998,2017,2014,2017,3410462,280849.6667,-863107.7549,500263.5991,-1933919.667,-839828.9913,36701.95416,1.251337982,1.011870606
Riparia riparia,Sand Martin,Hirundinidae,PASSERIFORMES,Long-distance migrant,Inland wetlands,landbirds,Abundant,Article12,1980,2017,2014,2017,3618591,198658.8628,658493.5469,307362.2625,48028.77272,658224.9552,1257914.247,0.843530752,0.995411669
Calandrella brachydactyla,Greater Short-toed Lark,Alaudidae,PASSERIFORMES,Long-distance migrant,agricultural and grassland,landbirds,Abundant,PECBMS,1998,2017,2014,2017,3719397,286473.3333,-878906.9786,578064.1946,-2103883.931,-849592.8574,168374.0309,1.28959051,1.013475499
Acrocephalus schoenobaenus,Sedge Warbler,Acrocephalidae,PASSERIFORMES,Long-distance migrant,Inland wetlands,landbirds,Abundant,PECBMS,1980,2017,2014,2017,3722774,145460.6667,379104.1746,378902.9104,-373612.3039,384002.0665,1106304.449,0.90536632,0.997316697
Acrocephalus scirpaceus,Eurasian Reed-warbler,Acrocephalidae,PASSERIFORMES,Long-distance migrant,Inland wetlands,landbirds,Abundant,PECBMS,1980,2017,2014,2017,4084106,305853.6667,19302.23577,289028.8004,-558470.7857,23809.44104,584196.4071,0.994568607,0.999852816
Cecropis daurica,Red-rumped Swallow,Hirundinidae,PASSERIFORMES,Long-distance migrant,"mediterranean forest, shrubland and rocky habitats",landbirds,Abundant,PECBMS,1998,2017,2014,2017,4314273,62209.66667,-1256384.681,725704.3074,-2787485.106,-1213581.846,46972.86537,1.323820055,1.014873822
Emberiza schoeniclus,Reed Bunting,Emberizidae,PASSERIFORMES,Partial migrant within Europe,Inland wetlands,landbirds,Abundant,PECBMS,1980,2017,2014,2017,4353569,192925.3333,1140344.163,528222.155,96648.94238,1141991.447,2155039.818,0.790188214,0.993655775
Turdus iliacus,Redwing,Turdidae,PASSERIFORMES,Short-distance migrant,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,4380342,6867.666667,1840505.671,487461.1783,871152.8591,1841472.671,2786994.014,0.701484376,0.990463155
Cettia cetti,Cetti's Warbler,Scotocercidae,PASSERIFORMES,Resident,Inland wetlands,landbirds,Abundant,PECBMS,1998,2017,2014,2017,4408967,304270,-307020.533,1172948.561,-2809747.965,-230852.387,1795620.34,1.040021675,1.002067479
Emberiza cia,Rock Bunting,Emberizidae,PASSERIFORMES,Partial migrant within Europe,Unclassified,landbirds,Abundant,PECBMS,1998,2017,2014,2017,4437710,189770,147646.0987,647380.8488,-1197651.252,167314.1418,1402751.279,0.951612352,0.997393008
Galerida theklae,Thekla Lark,Alaudidae,PASSERIFORMES,Resident,"mediterranean forest, shrubland and rocky habitats",landbirds,Abundant,PECBMS,1998,2017,2011,2012,4461091,363832.6667,-1992965.604,750541.4545,-3682102.56,-1917409.194,-744112.1843,1.554869921,1.023503097
Lullula arborea,Wood Lark,Alaudidae,PASSERIFORMES,Partial migrant within Europe,Boreal and temperate forests,landbirds,Abundant,PECBMS,1989,2017,2014,2017,4741670,456033.6667,1685962.305,1283742.684,-928229.3648,1701182.827,4163639.439,0.75932299,0.990215043
Lanius senator,Woodchat Shrike,Laniidae,PASSERIFORMES,Long-distance migrant,agricultural and grassland,landbirds,Abundant,PECBMS,1998,2017,2014,2017,4748841,364090.3333,2222208.718,662947.4462,949648.8657,2212922.799,3545430.363,0.67751434,0.979717743
Anas platyrhynchos,Mallard,Anatidae,ANSERIFORMES,Partial migrant within Europe,Inland wetlands,waterfowl,Abundant,PECBMS,1980,2017,2014,2017,5004211,307758.3333,-1934772.859,558258.8767,-3101911.195,-1901401.374,-922712.6105,1.642995945,1.013509942
Poecile montanus,Willow Tit,Paridae,PASSERIFORMES,Resident,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,5195709,261533,9517742.884,1104512.869,7431054.248,9493754.519,11774936.87,0.347805397,0.971859947
Ficedula hypoleuca,European Pied Flycatcher,Muscicapidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,5254072,170974,2228122.813,599874.0378,1037839.676,2222340.946,3396273.669,0.695248759,0.990224163
Passer italiae,Italian Sparrow,Passeridae,PASSERIFORMES,Resident,Unclassified,landbirds,Abundant,Article12,1980,2017,2014,2017,5366878,311224.4952,18440948.38,1833087.243,14980655.14,18382061.08,22233861.34,0.215259184,0.959338641
Streptopelia turtur,European Turtle-dove,Columbidae,COLUMBIFORMES,Long-distance migrant,agricultural and grassland,landbirds,Abundant,PECBMS,1989,2017,2014,2017,5370232,229300,3279971.511,608821.0252,2097448.935,3276007.954,4522881.119,0.619105224,0.9830215
Phylloscopus bonelli,Bonelli's Warbler,Phylloscopidae,PASSERIFORMES,Long-distance migrant,Unclassified,landbirds,Abundant,PECBMS,1989,2017,2014,2017,5424971,251896,4057.601473,1783422.722,-3966489.881,116198.6463,3158680.684,0.952459041,0.998261935
Hippolais polyglotta,Melodious Warbler,Acrocephalidae,PASSERIFORMES,Long-distance migrant,Unclassified,landbirds,Abundant,PECBMS,1989,2017,2014,2017,5498305,463873.3333,1040665.376,872224.3252,-727792.1287,1061627.124,2729474.779,0.83169722,0.99343994
Oenanthe oenanthe,Northern Wheatear,Muscicapidae,PASSERIFORMES,Long-distance migrant,Unclassified,landbirds,Abundant,PECBMS,1980,2017,2014,2017,5652694,440093.6667,7483553.712,1213088.034,5249518.57,7431236.682,10029398.38,0.424547619,0.977111123
Cuculus canorus,Common Cuckoo,Cuculidae,CUCULIFORMES,Long-distance migrant,Unclassified,landbirds,Abundant,PECBMS,1980,2017,2014,2017,5734217,434043.3333,3343321.721,631927.8622,2136735.395,3329479.842,4613291.275,0.628535525,0.987528083
Oriolus oriolus,Eurasian Golden Oriole,Oriolidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Abundant,PECBMS,1989,2017,2014,2017,6058800,467093.3333,-1157842.994,687053.4346,-2571217.022,-1130103.046,107737.6923,1.259059091,1.008261248
Saxicola rubetra,Whinchat,Muscicapidae,PASSERIFORMES,Long-distance migrant,agricultural and grassland,landbirds,Abundant,PECBMS,1980,2017,2014,2017,6061134,331502.6667,16657878.33,4944544.474,7787038.019,16366015,27112515.23,0.279426407,0.96612708
Coccothraustes coccothraustes,Hawfinch,Fringillidae,PASSERIFORMES,Partial migrant within Europe,Boreal and temperate forests,landbirds,Abundant,PECBMS,1982,2017,2014,2017,6339717,505425,148721.4473,1435488.179,-2865940.328,217774.8593,2779948.852,0.975553654,0.999293104
Emberiza cirlus,Cirl Bunting,Emberizidae,PASSERIFORMES,Resident,Unclassified,landbirds,Abundant,PECBMS,1989,2017,2014,2017,6346986,645816.6667,-2782543.555,1269506.356,-5695591.695,-2678371.996,-613740.6607,1.636342628,1.017743567
Phoenicurus phoenicurus,Common Redstart,Muscicapidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,6396300,264041.6667,-1982311.802,719999.4624,-3470028.285,-1962404.685,-644119.9562,1.41692374,1.009463093
Pyrrhula pyrrhula,Eurasian Bullfinch,Fringillidae,PASSERIFORMES,Partial migrant within Europe,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,6432308,267347.6667,1771616.417,952243.3439,-157690.7825,1781401.996,3624203.518,0.794429735,0.993799553
Acrocephalus palustris,Marsh Warbler,Acrocephalidae,PASSERIFORMES,Long-distance migrant,Unclassified,landbirds,Abundant,PECBMS,1982,2017,2014,2017,6523860,403610.3333,921376.3397,727016.3602,-546159.7799,924405.1256,2327835.947,0.871465314,0.996076881
Columba livia,Rock Dove,Columbidae,COLUMBIFORMES,Resident,Unclassified,landbirds,Abundant,Article12,1980,2017,2014,2017,6822181,1027863.912,-184165.0657,1487113.824,-3378128.431,-111594.3294,2515356.309,1.010323795,1.00027763
Turdus viscivorus,Mistle Thrush,Turdidae,PASSERIFORMES,Partial migrant within Europe,Unclassified,landbirds,Abundant,PECBMS,1980,2017,2014,2017,6849892,625118.6667,669561.7085,714877.0393,-760374.3059,679274.3883,2044218.858,0.90871046,0.99741608
Fringilla montifringilla,Brambling,Fringillidae,PASSERIFORMES,Short-distance migrant,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2013,2017,6854485,4.666666667,5452485.263,1706206.808,1982814.97,5506545.394,8759093.302,0.551511425,0.984045063
Sylvia curruca,Lesser Whitethroat,Sylviidae,PASSERIFORMES,Long-distance migrant,Unclassified,landbirds,Abundant,PECBMS,1980,2017,2014,2017,7011769,311698,-328759.1106,628743.1668,-1583534.257,-317972.8224,875234.0139,1.046126203,1.0012195
Spinus spinus,Eurasian Siskin,Fringillidae,PASSERIFORMES,Partial migrant within Europe,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,7407235,127450.6667,1126773.252,932183.7828,-732762.7961,1141833.375,2910220.058,0.864592898,0.996075383
Corvus frugilegus,Rook,Corvidae,PASSERIFORMES,Partial migrant within Europe,agricultural and grassland,landbirds,Abundant,PECBMS,1980,2017,2014,2017,7555418,87216.66667,-4117313.414,992826.1932,-6224697.612,-4040478.285,-2355180.491,2.26658894,1.02236193
Merops apiaster,European Bee-eater,Meropidae,CORACIIFORMES,Long-distance migrant,agricultural and grassland,landbirds,Abundant,PECBMS,1998,2017,2014,2017,8131199,539972,196919.8314,5465804.37,-12820788.39,761619.0131,9170405.006,0.953462556,0.997494978
Poecile palustris,Marsh Tit,Paridae,PASSERIFORMES,Resident,Boreal and temperate forests,landbirds,Abundant,PECBMS,1982,2017,2014,2017,8224229,714204.6667,1392715.317,935137.1851,-439933.4847,1400641.399,3214116.071,0.860573585,0.995719014
Sylvia cantillans,Subalpine Warbler,Sylviidae,PASSERIFORMES,Long-distance migrant,"mediterranean forest, shrubland and rocky habitats",landbirds,Abundant,PECBMS,1989,2017,2014,2017,8539298,576775.3333,-5954519.427,2356260.211,-11391828.45,-5649996.364,-2231681.43,2.570576762,1.034293866
Phylloscopus sibilatrix,Wood Warbler,Phylloscopidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,8705672,497401,5961518.64,1232222.258,3610698.885,5930193.289,8425909.429,0.585493143,0.985636563
Turdus pilaris,Fieldfare,Turdidae,PASSERIFORMES,Short-distance migrant,agricultural and grassland,landbirds,Abundant,PECBMS,1980,2017,2013,2017,9294362,328635,-2009449.457,1221494.479,-4554749.505,-1944341.185,201427.6145,1.25792952,1.006221085
Lophophanes cristatus,Crested Tit,Paridae,PASSERIFORMES,Resident,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,9675250,838300,2373719.774,1175697.731,60576.63048,2365455.707,4644696.472,0.799660951,0.993975855
Certhia familiaris,Eurasian Treecreeper,Certhiidae,PASSERIFORMES,Resident,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,9925375,545430.3333,1270859.57,894258.9527,-496437.52,1280531.91,2979535.528,0.884813459,0.996697939
Melanocorypha calandra,Calandra Lark,Alaudidae,PASSERIFORMES,Partial migrant within Europe,agricultural and grassland,landbirds,Abundant,PECBMS,1998,2017,2014,2017,10614644,119997.3333,10090589.34,1681033.601,6782839.358,10081998.35,13436627.37,0.510691752,0.965250286
Dendrocopos major,Great Spotted Woodpecker,Picidae,PICIFORMES,Resident,Unclassified,landbirds,Abundant,PECBMS,1980,2017,2014,2017,11218345,631350.6667,-4635860.876,706023.0236,-6108264.549,-4616544.623,-3314660.459,1.671941855,1.013988442
Regulus ignicapilla,Firecrest,Regulidae,PASSERIFORMES,Partial migrant within Europe,Unclassified,landbirds,Abundant,PECBMS,1989,2017,2014,2017,11349016,1079070.333,-642720.3227,2360017.115,-5576749.568,-513503.2513,3636039.249,1.016018394,1.000567713
Anthus pratensis,Meadow Pipit,Motacillidae,PASSERIFORMES,Partial migrant within Europe,agricultural and grassland,landbirds,Abundant,PECBMS,1980,2017,2014,2017,11635289,83391,10856927.78,1887611.763,7156442.031,10842993.18,14591659.03,0.518054336,0.98238204
Alectoris rufa,Red-legged Partridge,Phasianidae,GALLIFORMES,Resident,agricultural and grassland,landbirds,Abundant,PECBMS,1998,2017,2011,2017,11694464,567217.3333,7670377.205,1545593.476,4658442.997,7667842.871,10703405.52,0.57606191,0.971388849
Garrulus glandarius,Eurasian Jay,Corvidae,PASSERIFORMES,Resident,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,11714025,895688,-1715084.785,1009939.468,-3769509.414,-1686524.448,200968.3405,1.165151417,1.004139654
Certhia brachydactyla,Short-toed Treecreeper,Certhiidae,PASSERIFORMES,Resident,Boreal and temperate forests,landbirds,Abundant,PECBMS,1989,2017,2014,2017,12194840,965033.3333,-4954862.542,1594334.088,-8391340.446,-4851467.699,-2087544.714,1.66622032,1.018401465
Phoenicurus ochruros,Black Redstart,Muscicapidae,PASSERIFORMES,Partial migrant within Europe,Unclassified,landbirds,Abundant,PECBMS,1984,2017,2014,2017,12291067,943174.6667,-3380227.141,1329526.367,-6129972.468,-3317618.673,-976982.0672,1.336717422,1.008833237
Muscicapa striata,Spotted Flycatcher,Muscicapidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,12546488,388145.6667,10211410.24,1756234.468,6797017.129,10208182.15,13711476.03,0.548018469,0.983876099
Lanius collurio,Red-backed Shrike,Laniidae,PASSERIFORMES,Long-distance migrant,agricultural and grassland,landbirds,Abundant,PECBMS,1989,2017,2014,2017,12621575,574025.3333,-1368629.016,2233332.602,-6063785.451,-1293883.613,2728701.453,1.131354684,1.004417434
Sylvia borin,Garden Warbler,Sylviidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,13343049,620630.6667,4179371.781,833748.4513,2577812.867,4164133.415,5834912.275,0.758393264,0.992553453
Corvus corone,Carrion Crow,Corvidae,PASSERIFORMES,Resident,Unclassified,landbirds,Abundant,PECBMS,1980,2017,2014,2017,13463949,803780,-2945513.8,1045553.028,-5131126.579,-2908198.283,-988467.3564,1.275620994,1.006600964
Saxicola torquatus,Common Stonechat,Muscicapidae,PASSERIFORMES,Partial migrant within Europe,Unclassified,landbirds,Abundant,PECBMS,1994,2017,2014,2017,13681327,483498.6667,2965786.201,2553416.972,-2313334.408,3029609.205,7760995.513,0.798418053,0.990259792
Corvus monedula,Eurasian Jackdaw,Corvidae,PASSERIFORMES,Partial migrant within Europe,Unclassified,landbirds,Abundant,PECBMS,1980,2017,2014,2017,14976602,751175.6667,1637638.321,2041166.735,-2497724.356,1670146.878,5554492.831,0.898526692,0.997112316
Aegithalos caudatus,Long-tailed Tit,Aegithalidae,PASSERIFORMES,Resident,Unclassified,landbirds,Abundant,PECBMS,1980,2017,2014,2017,15186739,1127276.667,-3828283.01,1925341.383,-7967837.841,-3706881.996,-371285.0334,1.324698128,1.007628534
Motacilla alba,White Wagtail,Motacillidae,PASSERIFORMES,Partial migrant within Europe,Unclassified,landbirds,Abundant,PECBMS,1980,2017,2014,2017,16933847,927485,-1330885.096,1318026.648,-3998885.484,-1312846.588,1175272.596,1.083965973,1.002181471
Pica pica,Black-billed Magpie,Corvidae,PASSERIFORMES,Resident,Unclassified,landbirds,Abundant,PECBMS,1980,2017,2014,2017,17065285,948712.3333,-1104051.957,1852369.387,-4881943.734,-1046391.878,2409342.753,1.066144676,1.001732554
Sitta europaea,Wood Nuthatch,Sittidae,PASSERIFORMES,Resident,Boreal and temperate forests,landbirds,Abundant,PECBMS,1980,2017,2014,2017,17861367,1608314,-8947659.384,1617043.859,-12357521.58,-8868009.099,-5988824.357,1.956202867,1.018300721
Motacilla flava,Yellow Wagtail,Motacillidae,PASSERIFORMES,Long-distance migrant,agricultural and grassland,landbirds,Abundant,PECBMS,1980,2017,2014,2017,18299573,800560,98156525.95,18442020.68,65606866.22,96950724.54,137607696.5,0.161758531,0.951958536
