study_id,participant_id,phase,condition,hit,fa
4,002,conditioning,CSm,0.4,0.18
4,002,conditioning,CSp,0.63,0.3
4,002,post-conditioning,CSm,0.33,0.18
4,002,post-conditioning,CSp,0.4,0.3
4,002,pre-conditioning,CSm,0.8,0.18
4,002,pre-conditioning,CSp,0.77,0.3
4,003,conditioning,CSm,0.9,0.43
4,003,conditioning,CSp,0.6,0.34
4,003,post-conditioning,CSm,0.83,0.43
4,003,post-conditioning,CSp,0.67,0.34
4,003,pre-conditioning,CSm,0.9,0.43
4,003,pre-conditioning,CSp,0.8,0.34
4,004,conditioning,CSm,0.6,0.24
4,004,conditioning,CSp,0.77,0.32
4,004,post-conditioning,CSm,0.87,0.24
4,004,post-conditioning,CSp,0.87,0.32
4,004,pre-conditioning,CSm,0.83,0.24
4,004,pre-conditioning,CSp,0.8,0.32
4,005,conditioning,CSm,0.57,0.14
4,005,conditioning,CSp,0.8,0.22
4,005,post-conditioning,CSm,0.5,0.14
4,005,post-conditioning,CSp,0.47,0.22
4,005,pre-conditioning,CSm,0.6,0.14
4,005,pre-conditioning,CSp,0.57,0.22
4,006,conditioning,CSm,0.57,0.42
4,006,conditioning,CSp,0.7,0.51
4,006,post-conditioning,CSm,0.5,0.42
4,006,post-conditioning,CSp,0.63,0.51
4,006,pre-conditioning,CSm,0.7,0.42
4,006,pre-conditioning,CSp,0.73,0.51
4,007,conditioning,CSm,0.83,0.22
4,007,conditioning,CSp,0.83,0.36
4,007,post-conditioning,CSm,0.67,0.22
4,007,post-conditioning,CSp,0.73,0.36
4,007,pre-conditioning,CSm,0.77,0.22
4,007,pre-conditioning,CSp,0.83,0.36
4,008,conditioning,CSm,0.67,0.41
4,008,conditioning,CSp,0.97,0.24
4,008,post-conditioning,CSm,0.77,0.41
4,008,post-conditioning,CSp,0.4,0.24
4,008,pre-conditioning,CSm,0.8,0.41
4,008,pre-conditioning,CSp,0.7,0.24
4,009,conditioning,CSm,0.73,0.32
4,009,conditioning,CSp,0.93,0.27
4,009,post-conditioning,CSm,0.53,0.32
4,009,post-conditioning,CSp,0.73,0.27
4,009,pre-conditioning,CSm,0.43,0.32
4,009,pre-conditioning,CSp,0.77,0.27
4,010,conditioning,CSm,0.83,0.56
4,010,conditioning,CSp,0.77,0.42
4,010,post-conditioning,CSm,0.8,0.56
4,010,post-conditioning,CSp,0.67,0.42
4,010,pre-conditioning,CSm,0.77,0.56
4,010,pre-conditioning,CSp,0.83,0.42
4,011,conditioning,CSm,0.53,0.16
4,011,conditioning,CSp,0.73,0.49
4,011,post-conditioning,CSm,0.43,0.16
4,011,post-conditioning,CSp,0.63,0.49
4,011,pre-conditioning,CSm,0.23,0.16
4,011,pre-conditioning,CSp,0.77,0.49
4,012,conditioning,CSm,0.87,0.14
4,012,conditioning,CSp,0.87,0.23
4,012,post-conditioning,CSm,0.53,0.14
4,012,post-conditioning,CSp,0.63,0.23
4,012,pre-conditioning,CSm,0.73,0.14
4,012,pre-conditioning,CSp,0.63,0.23
4,013,conditioning,CSm,0.57,0.19
4,013,conditioning,CSp,0.67,0.4
4,013,post-conditioning,CSm,0.5,0.19
4,013,post-conditioning,CSp,0.73,0.4
4,013,pre-conditioning,CSm,0.5,0.19
4,013,pre-conditioning,CSp,0.87,0.4
4,014,conditioning,CSm,0.67,0.32
4,014,conditioning,CSp,0.77,0.58
4,014,post-conditioning,CSm,0.77,0.32
4,014,post-conditioning,CSp,0.87,0.58
4,014,pre-conditioning,CSm,0.67,0.32
4,014,pre-conditioning,CSp,0.8,0.58
4,015,conditioning,CSm,0.43,0.41
4,015,conditioning,CSp,0.23,0.17
4,015,post-conditioning,CSm,0.53,0.41
4,015,post-conditioning,CSp,0.43,0.17
4,015,pre-conditioning,CSm,0.7,0.41
4,015,pre-conditioning,CSp,0.43,0.17
4,016,conditioning,CSm,0.53,0.26
4,016,conditioning,CSp,0.43,0.28
4,016,post-conditioning,CSm,0.57,0.26
4,016,post-conditioning,CSp,0.53,0.28
4,016,pre-conditioning,CSm,0.63,0.26
4,016,pre-conditioning,CSp,0.57,0.28
4,017,conditioning,CSm,0.43,0.1
4,017,conditioning,CSp,0.27,0.09
4,017,post-conditioning,CSm,0.37,0.1
4,017,post-conditioning,CSp,0.3,0.09
4,017,pre-conditioning,CSm,0.4,0.1
4,017,pre-conditioning,CSp,0.57,0.09
