counter_site_id,counter_site,longitude,latitude,counter_serial
100003359,Unterführung Steinlach/Karlstraße Südseite - Steinlachallee,9.058865,48.515434,Y2H17123962
100003358,Fuß- & Radtunnel Südportal - Derendinger Allee,9.048007,48.518017,YTG13063794
100026408,Neckartalradweg Hirschau - parallel L371,9.02496,48.50357,Y2H21035424
