objectInventoryNumber,objectPersistentIdentifier,objectTitle[1],objectType[1],objectCreator[1],objectCreationDate[1],objectImage
-1RP-F-2001-7-1480,http://hdl.handle.net/10934/RM0001.COLLECT.704235,Les artistes belges,boek,,,
2RP-F-2001-7-1020-41,http://hdl.handle.net/10934/RM0001.COLLECT.678849,Portret van Prescott H. Butler,fotomechanische afdruk,anonymous,1869,
AK-BR-324,http://hdl.handle.net/10934/RM0001.COLLECT.321537,"Klokvormige kom met bleu poudré, draken en parels",kom,anonymous,1800,https://lh3.googleusercontent.com/S3wgRasrmmAkDv4PrS1TkUSvnVL4ve-Gpv6oIhutvCCqlqvayWaqBYbnSrlE6X5HrJl2x5yLQuIgm-MO7n3uWdPUOg=s0
AK-BR-325,http://hdl.handle.net/10934/RM0001.COLLECT.3866,Eivormige vaas met een rood glazuur,vaas,anonymous,1800,https://lh3.googleusercontent.com/kc2u8EkKqRbD7yQzfV3IK9LWT57-5GDd2tCv4tmSZM5OAg-g5JfO_ohTX2tGe8k8STrV-8L4dIi3kBsmwVGlCtszDw=s0
AK-BR-367,http://hdl.handle.net/10934/RM0001.collect.163127,Ronde doos met goudlak,doos,,1775,https://lh3.ggpht.com/JNbJGaB7EIJqolKXACtFVcYZqxBAfGeLw2hCBtrYlMN73wCqQOepecQcV07X98QPuOt4ooTt2ikRPpGWU0ASyVffapXN=s0
AK-BR-972,http://hdl.handle.net/10934/RM0001.COLLECT.328281,Kom met draken boven golven,spoelkom,anonymous,1700,https://lh3.googleusercontent.com/OCREg8JrIikKSfYH4NpBWxpQNU7SDcrzd12ITv7ZhhMAKIBvXA6eJEQHPP9ZCcWcz4Cvveox-7a18qU1voKinJdy_g=s0
AK-BR-BOU-7,http://hdl.handle.net/10934/RM0001.COLLECT.312,Suzuribako met inktsteen en waterdruppelaar,suzuribako,Suisen,1700,https://lh5.ggpht.com/4aeb-Nu_VC6szPFUV_y-IZLordlqX0f9htbntoo5mu0LHnz25bLqLUOWWS79uDRd2Qofp4F4-JuNvjWwmEIk8jZKIqxW=s0
AK-BR-FLA-1,http://hdl.handle.net/10934/RM0001.COLLECT.335,Rituele lepel,ritueel object,,-400,https://lh3.googleusercontent.com/Gl2ns9Mx7z0KsfN_i1yBuvt4nMlfdtsYXXwtDZbQYt7wVoX4Y9mOZYxDDwKbC3iUx7ft334q7yRlOLycplmmb-vtbsw=s0
AK-BR-FLA-2,http://hdl.handle.net/10934/RM0001.COLLECT.338,Graffiguur in de vorm van een hurkende dame,beeld,anonymous,220,https://lh3.googleusercontent.com/DdiZBimiUqhz_peZ2yXBw2bUYF4TBEQZ7TtMYQcTeCcJkkcUpqnUG6JXHWbh2W1T9ZgkXI4fKL7wND-3BXsZDNYBFZo=s0
