title,type,creator,year
Fonteinpot met een voorstelling van De Boogschutter,fonteinpot,anonymous,1740
Klokvormige kop met kraanvogel bij pioenplant en rots,kop,anonymous,1725
Miniatuur vaas met een bloemtak,vaas,anonymous,1675
Schaal met bloeiende planten en rotsen,schaal,anonymous,1675
Achthoekige bekervaas met een shishi en hoo-vogel in een landschap,vaas,anonymous,1700
Tegel met bloemrozetten in een vierkant cartouche en ranken,tegel,anonymous,1700
"Deksel van balustervormige dekselpot met mensen in een interieur achter traliewerk, prunusbomen en bloemranken",deksel,anonymous,1650
"Beeld van Lan Caihe, een van de Acht Onsterfelijken",beeld,anonymous,1700
Casa di Salustio te Pompeï,foto,"Sommer, Giorgio",1870
Koepel van het Paleis op de Dam in Amsterdam,fotomechanisch procedé,anonymous,1898
Zittend naakt,prent,"Scultori, Adamo",1585
Zittende vrouw met oude man en kind,prent,"Scultori, Adamo",1585
Jonge vrouw met kind en een schaal,prent,"Scultori, Adamo",1585
Odysseus als bedelaar aan de deur van zijn huis,prent,"Thulden, Theodoor van",1633
Schrijfvoorbeeld: Some man keepeth silence (...),prent,"Frisius, Simon",1605
Beschrijving van de Italiaanse letter (tweede vervolg) en uitleg over het snijden van de rietpen voor het schrijven van de Italiaanse letter,tekstblad,"Velde, Jan van de (I)",1605
"Kalligrafische titelprent en putti, vogels en saters in krulwerk",prent,"Frisius, Simon",1616
Nederlandstalig sonnet,tekstblad,unknown,1616
Twee wapens,prent,anonymous,1611
Vrouw met een stoof,tekening,"Borch, Harmen ter",1648
De besnijdenis,tekening,"Borch, Moses ter",1660
Gezelschap op een terras,tekening,"Borch, Gesina ter",1660
Heilige Maagd met het Kind,tekening,"Borch, Gesina ter",1659
Aforisme over hoe verschillende landen omgaan met verdriet,kalligrafie,"Borch, Gesina ter",1649
Heer en dame kussend en een vrouw van achteren,tekening,"Borch, Gesina ter",1654
Drinklied,kalligrafie,"Borch, Gesina ter",1658
Zeilboot,schetsboekblad,"Schotel, Johannes Christiaan",1797
Zeilboot,schetsboekblad,"Schotel, Johannes Christiaan",1797
Egyptische obelisk in de tuin van de Villa Medici te Rome,prent,"Maggi, Giovanni",1576
Sculptuur van Apollo,prent,"Alberti, Cherubino",1577
Poort met tuitgevel,schetsboekblad,"Prins, Johannes Huibert",1783
Stadsgezicht bij de Grote Kerk te Hoorn,schetsboekblad,"Prins, Johannes Huibert",1783
Dorpsgezicht te Materborn,schetsboekblad,"Haen, Abraham de (II)",1732
Peneus door andere riviergoden bezocht,prent,"Goltzius, Hendrick",1589
"Kaart van het eiland Itamaracá met fort Oranje, ca. 1636-1644",prent,"Brosterhuyzen, Jan van",1645
XLII 't Wil al muysen wat van katten komt,prent,"Visscher, Roemer",1614
XXXV Quid Domini facient audent cum talia fures,prent,"Visscher, Roemer",1614
"XLII Noch ick, noch de wijn",prent,"Visscher, Roemer",1614
Allegorie op de rechtspraak,prent,"Swanenburg, Willem Isaacsz. van",1605
Cascade in de tuinen van de Villa d'Este te Tivoli,albumblad,"Venturini, Giovanni Francesco",1653
Tuin van een paleis te Rome,albumblad,"Venturini, Giovanni Francesco",1653
Christus in de hof van Getsemane,prent,"Cornelisz van Oostsanen, Jacob",1523
"Elegantia, of tijdschrift van mode, luxe en smaak voor dames, September 1807, No. 22: Paysane a Barbas de Levantine...",modeprent,anonymous,1807
"Elegantia, of tijdschrift van mode, luxe en smaak voor dames, Juli 1809, No. 83: Capote van perkale;...",modeprent,anonymous,1809
"Tien vrouwen, gekleed volgens de Italiaanse mode van ca. 1580",kostuumprent,"Bruyn, Abraham de",1581
Zeilschip voor anker voor een kust,schetsboekblad,"Beest, Albertus van",1830
Landschap met boom in het midden,prent,"Frisius, Simon",1614
Kasteel Germerzeel in Duitsland,schetsboekblad,"Haen, Abraham de (II)",1731
Dorpsgezicht met kerk te Monster,schetsboekblad,"Haen, Abraham de (II)",1731
Dorpsgezicht te Putten,schetsboekblad,"Haen, Abraham de (II)",1731
Portaal met tongewelf en gezicht in een straat met arcades,prent,"Doetechum, Johannes of Lucas van",1601
Drie halve klauwstukken en dergelijke,prent,"Doetechum, Johannes of Lucas van",1565
Stadsplein met een fontein omgeven door beelden en potten met planten,prent,"Doetechum, Johannes of Lucas van",1600
Interieur van een kerk,prent,"Hondius, Hendrick (I)",1606
Schetsboek met 92 bladen,schetsboek,"Kinschot, Gaspard Louis François van",1821
Christus aan het volk getoond (Ecce Homo),prent,"Cornelisz van Oostsanen, Jacob",1520
Bomen aan een waterkant,schetsboekblad,"Schelfhout, Andreas",1811
Titelprent voor Vroonens Begin Midden en Eynde,prent,"Berge, Pieter van den",1700
La Poësie / De Dichtkonst,tekstblad,"Perrault, Charles",1693
Verkondiging aan de herders,prent,"Galle, Theodoor",1587
"Uitrusten en bevoorraden van een hoeker voor de haringvangst, ca. 1725",prent,"Laan, Adolf van der",1720
Architectonisch monument met opdracht aan paus Alexander VII,prent,"Falda, Giovanni Battista",1665
Sant'Ignazio di Loyola te Rome,prent,"Falda, Giovanni Battista",1669
Architectuur,prent,anonymous,1695
God toont Adam het paradijs,prent,"Borcht, Pieter van der (I)",1582
Genezing van een blinde,prent,"Borcht, Pieter van der (I)",1582
Grafzerk in de kerk van Hallum van Gabbe van Scheltema en van zijn vrouw Tjets van IJdsma,prent,"Martin, Albert",1870
Gezicht op kasteel Skokloster,prent,"Perelle, Nicolas",1674
Wapenschild van Dalarna,prent,anonymous,1696
Gezicht op de ruïnes van het herenhuis Idingstad säteri,prent,"Aveele, Johannes Jacobsz van den",1709
Gezicht op de stad Åmål,prent,"Aveele, Johannes Jacobsz van den",1708
Gezicht op de Ulrika Eleonora kerk in Londen,prent,"Gucht, John van der",1717
Oostzijde van slot Ulriksdal,prent,"Perelle, Adam",1670
Gezicht op Rome met de Tiber en de Ponte Sisto,prent,anonymous,1680
"Acht scènes met ruiters, soldaten en landschappen",tekening,"Ver Huell, Alexander",1854
Dood van Lucretia,schetsboekblad,"Toorenvliet, Jacob",1701
"Slag bij Oosterweel, 1567",prent,"Aveele, Johannes Jacobsz van den",1665
Albumblad met diverse voorstellingen,albumblad,"Cranendoncq, Alexander",1814
Studies,schetsboekblad,"Schotel, Petrus Johannes",1825
Album met voorstellingen uit de vier evangeliën,prentalbum,"Collaert, Adriaen",1585
Cartouche met mannen- en vrouwenmasker,prent,anonymous,1579
Halve ovale cartouche met rolwerk,prent,anonymous,1590
"Rechthoekige cartouche met een tros fruit, vogels en maskers",prent,anonymous,1590
Kleine cartouche met bladranken en slinger,prent,anonymous,1573
Twee vrouwen in een achthoek,prent,"Baillie, William",1753
Theater van Marcellus,prent,"Sadeler, Aegidius",1606
De prins van Oranje verwelkomd op de trappen van de landingsplaats,prent,"Leest, Antoni van",1577
Romeinse voetsoldaat,kostuumprent,"Krieger, Christoph",1598
Gentildonna da conegliano,kostuumprent,"Krieger, Christoph",1598
Donna di Romagna,kostuumprent,"Krieger, Christoph",1598
Vrouw uit Bilbao,kostuumprent,"Krieger, Christoph",1598
Nobile Boemo,kostuumprent,"Krieger, Christoph",1598
"Turkse bruid te paard, onder baldakijn",kostuumprent,"Krieger, Christoph",1598
Vsati in venetia 1550,kostuumprent,"Krieger, Christoph",1598
Petit Courrier des Dames  1826 (371),modeprent,anonymous,1826
"Journal des Dames et des Modes 1822, Costume Parisien  (2055)",modeprent,anonymous,1822
"Journal des Dames et des Modes 1827, Costumes Parisiens (2478)",modeprent,anonymous,1827
Gezicht op Huis Waterlooswerve,albumblad,"Schut, Pieter Hendricksz.",1662
Gezicht op Doornik,albumblad,"Schut, Pieter Hendricksz.",1660
Gezicht op Bruinisse,albumblad,"Schut, Pieter Hendricksz.",1662
Vioolspeler en een jonge lierdraaier,prent,"Ostade, Adriaen van",1654
Figuren en een bospad,schetsboekblad,"Troost, Willem (II)",1822
Woonkamer met paar,prent,"Chalon, Jan",1802
Kluizenaar,prent,"Chalon, Jan",1802
Twee bandieten met skeletten,prent,"Pinelli, Bartolomeo",1819
Advocaat en zijn vrouw,prent,"Passe, Crispijn van de (II)",1641
"Nederlandstalig voorwoord, pagina 2",tekstblad,"Passe, Crispijn van de (II)",1641
