title,type,creator,year
Standbeeld van Bartolomeüs door Marco d'Agrate in de Dom van Milaan,fotomechanische afdruk,anonymous,1879
"Fotoreproductie van een tekening, (vermoedelijk) voorstellende een personificatie van de Tsjechische Republiek met een laurierkrans",fotomechanische afdruk,anonymous,1888
Restaurant van een brouwerij op het Výstaviště te Praag,fotomechanische afdruk,anonymous,1891
Portret van Jan Jeřábek,fotomechanische afdruk,anonymous,1888
Steigers van een gebouw te Praag,fotomechanische afdruk,anonymous,1888
Sigarettendoos,fotomechanische afdruk,anonymous,1890
"Fotoreproducties van schilderijen, voorstellende een klooster langs de kust van Sicilië en een boerenbruiloft",fotomechanische afdruk,anonymous,1890
Exterieur van het Rudolfinum te Praag,fotomechanische afdruk,anonymous,1891
"Reliëf, voorstellende een maskerkop",fotomechanische afdruk,anonymous,1891
Fotoreproductie van decoratie uit een gezangboek,fotomechanische afdruk,anonymous,1891
"Fotoreproductie van een tekening, voorstellende machines voor het verkrijgen van sap uit suikerbieten",fotomechanische afdruk,anonymous,1891
"Fotoreproductie van een tekening, voorstellende huizen te Oberammergau",fotomechanische afdruk,anonymous,1871
"Opvoering tijdens de Passiespelen te Oberammergau, voorstellende Jozef wordt benoemd tot grootvizier van Egypte",foto,"Albert, Joseph",1868
Fotoreproductie van een schilderij voorstellende Fabia en Icilius uit Soll und Haben door Gustav Freytag,fotomechanische afdruk,"Bruckmann, Friedrich",1877
Gezicht op de Schneekoppe,fotomechanische afdruk,"Mertens & Cie, E.",1891
Fotoreproductie van een prent naar een schilderij van Maria met kind door Bartolomé Esteban Murillo,foto,"Schauer, Gustav",1850
Fotoreproductie van een prent naar de Triomf van Galatea door Rafaël,foto,"Schauer, Gustav",1851
Fotoreproductie van een prent naar een fresco van Jacob die Rachel het hof maakt door Rafaël voor de loggia's in het Vaticaan,foto,"Schauer, Gustav",1851
Fotoreproductie van een tekening van een kind voor een kapotte houten tobbe,fotomechanische afdruk,"Huth, Theodor",1869
"Fotoreproductie van een tekening, voorstellende een portret van Ludwig Chronegk",fotomechanische afdruk,"Dahlström, F.A.",1890
Gezicht op de het stadhuis van Veere,fotomechanische afdruk,anonymous,1884
Fotoreproductie van een tekening met het portret van Jan Joest en een gezicht op Kalkar omringt met kerkelijke decoraties,foto,"Brandt, Friedrich",1870
Zestien microscoopopnamen van zwavel,fotomechanische afdruk,"Bütschli, Otto",1890
Patiënten lijdend aan de huidziekte 'alopecia pityrodes' en 'alopecia areata',fotomechanische afdruk,"Haren Noman, Dirk van",1883
Interieur met werknemers van de gieterij van de machinefabriek van Gebroeders Stork & Co,fotomechanische afdruk,anonymous,1884
Fotoreproductie van een tekening van een bruidspaar met hun gevolg op een bordes,fotomechanische afdruk,anonymous,1871
Fontein op de Altstadtmarkt te Braunschweig,fotomechanische afdruk,"Schombardt, J.",1892
Gezicht op het gebouw van het Rijnlands Zendingsgenootschap in Barmen,foto,anonymous,1853
Meloenbomen te Leopoldstad,fotomechanische afdruk,"Thonner, Franz",1896
Woningen in een Banzadorp nabij Bogolo,fotomechanische afdruk,"Thonner, Franz",1896
Gezicht op een oever van de Congo nabij Equateurville,fotomechanische afdruk,"Thonner, Franz",1896
Fotoreproductie van een portret van Johann Michael Sailer,foto,anonymous,1862
Fotoreproductie van een portret van Ludwig Uhland door Carl Jäger,foto,anonymous,1868
Interieur van een werkkamer van een tsaar in het Grote Kremlinpaleis in het Kremlin van Moskou,fotomechanische afdruk,anonymous,1873
Gezicht op het Graf van Askold te Kiev,fotomechanische afdruk,anonymous,1886
Gezicht op Jeruzalem vanaf de Olijfberg,foto,anonymous,1883
Gezicht op het landschap bij Glencoe,foto,anonymous,1880
Cavalier King Charles-spaniël Gredel die een tweede prijs heeft gewonnen op de Internationale Ausstellung von Jagd und Luxus Hunden in 1891,fotomechanische afdruk,anonymous,1891
Gezicht op Newark Castle en een huis in Nottinghamshire,foto,anonymous,1858
"Gezicht op het administratiegebouw, ontworpen door Richard Morris Hunt op de World's Columbian Exposition in Chicago in 1893",fotomechanische afdruk,"Arnold, Charles Dudley",1893
Mensen bekijken vanaf een kade schepen tijdens de World's Columbian Exposition in Chicago in 1893,fotomechanische afdruk,"Arnold, Charles Dudley",1893
Gezicht op een Congregationele kerk te Colorado Springs,fotomechanische afdruk,anonymous,1888
Gezicht op een rotspilaar in Colorado Springs,fotomechanische afdruk,anonymous,1888
Gezicht op Deer Mounten met twee mannen,fotomechanische afdruk,"Chapin, Frederick H.",1885
"Gezicht op drie mannen op een top in Yosemite Valley, Californië",fotomechanische afdruk,"Walker, S.C.",1881
Fotoreproductie van een portret van Andreas Vesalius door F. Hamman,foto,anonymous,1861
Vermoedelijk portret van E. Sheldon,foto,anonymous,1865
Portret van Richard Fuller,foto,Bendann Bros.,1866
Portret van George Morgan O'Brien,foto,"Eaton, Edric L.",1866
Ingang van zaal C op de Historische Tentoonstelling van Amsterdam in 1876,foto,"Oosterhuis, Pieter",1876
"Voorbeeldopname, met daarop een vrouw voor een donkere achtergrond",fotomechanische afdruk,anonymous,1897
Man op een zeilboot,fotomechanische afdruk,anonymous,1887
Kamer met proefdrukken,fotomechanische afdruk,A.W. Elson & Co.,1903
Een man zeeft mineralen uit modder,fotomechanische afdruk,anonymous,1885
Portret van een meisje met een rieten mand op de rug,fotomechanische afdruk,"Stieglitz, Alfred",1888
Gezicht op riet voor een water,fotomechanische afdruk,"Dubreuil, Pierre",1893
Gezicht op een open deur waardoor een onbekende vrouw te zien is die buiten zit bij manden met groenten,fotomechanische afdruk,anonymous,1893
Boslandschap,fotomechanische afdruk,"Arning, Eduard",1893
Gezicht op een landschap,fotomechanische afdruk,"Rothenfusser, S.",1894
Collage van foto's van paardensport en zwemmen,fotomechanische afdruk,anonymous,1894
Schapenherder met kudde,fotomechanische afdruk,"Winkel, Carl",1894
Berg takken voor een zonsondergang,fotomechanische afdruk,"Vimeur, Jean-Baptiste Donatien de (graaf van Rochambeau)",1894
Gezicht op een molen en een sloot,fotomechanische afdruk,"Dachwitz, Hugo",1895
Gezicht op een weg met koeien langs het water,fotomechanische afdruk,"Stieglitz, Alfred",1895
Gezicht op een boerderij en een molen,fotomechanische afdruk,"Frohne, E.",1895
Gezicht op de Tower Bridge in Londen,fotomechanische afdruk,"Huijsser, Johan",1896
Kustlandschap,fotomechanische afdruk,"Böhmer, Hauptmann A.",1896
Gezicht op bogen onder een gebouw,fotomechanische afdruk,"Philip, Dr.",1896
Portret van een onbekende vrouw,fotomechanische afdruk,"Steichen, Edward",1897
"Vier foto's, drie van landshappen met water en één van een gezicht op een gebouw",fotomechanische afdruk,anonymous,1897
Gezicht op een aantal kale bomen,fotomechanische afdruk,"Hoch, R.",1897
Gezicht op de façade van een gebouw,fotomechanische afdruk,anonymous,1897
Huis en bijgebouw op het platteland,fotomechanische afdruk,"Schneider, Alfred",1898
Half-liggend etende soldaat,fotomechanische afdruk,"Schneider, Th.",1898
"Landweg met bomen, met op de achtergrond een huis",fotomechanische afdruk,"Gottheil, Albert",1902
Overzicht van het verloop van de zonsondergang gezien vanaf Mount Hamilton te Californië,fotomechanische afdruk,"Colton, A. L.",1893
Landschap te West Boxford,fotomechanische afdruk,anonymous,1875
Fotoreproductie van Eden Vale in Waltham door Jonathan W. Edes,foto,"Lewis, Thomas R.",1874
Gezicht op de spoorweg van Mount Washington,foto,anonymous,1865
Gezicht op Pulpit Fall,foto,"Burritt, J.C.",1864
Gezicht op een brug op het landgoed van George Gill Green in Woodbury,fotomechanische afdruk,anonymous,1879
"Gezicht op Mauch Chunk, nu bekend als Jim Thorpe",fotomechanische afdruk,anonymous,1883
Gezicht op de Yosemitewaterval,fotomechanische afdruk,anonymous,1883
Slaapkamer van Napoleon I,stereofoto,"Lamy, Ernest Eléonor Pierre",1860
Twee boomleeuwerikken naast nest met jongen,stereofoto,"Burdet, Adolphe",1870
Vrouw in klederdracht met een hond aan een water,foto,"Hidderley, G.",1900
"Fotoalbum met foto's van Hoorn, Dordrecht, Edam en mogelijk andere steden en dorpen in Nederland",fotoalbum,"Hidderley, G.",1920
Meisje in Volendamse klederdracht zittend op een dijk aan (vermoedelijk) de Zuiderzee,foto,"Hidderley, G.",1900
"Portret van een vrouw met een kind op schoot, beiden in Volendamse klederdracht",foto,"Hidderley, G.",1900
Portret van een papierfabrikant,foto,"Huf, Paul",1965
"Portaal van de kathedraal van Chartres, Frankrijk",foto,"Nègre, Charles",1851
"Drie friezen met vuurdoornbessen, forel en aralia",fotomechanische afdruk,anonymous,1887
Twee vlakken met dennentakken en dierenschedels,fotomechanische afdruk,anonymous,1887
"Beeldhouwwerk van Venus in een zuilengalerij (?) van de Villa Campana, Rome (?)",stereofoto,anonymous,1855
"Gezicht op Station Smalspoor van de Deli Maatschappij te Stabat, Sumatra (S.S. Stabat)",foto,"Kleingrothe, Carl J.",1885
"Portret van het gezelschap Sandel in een boot  op de Wampoe rivier, Tandjong Poera,  Langkat Sumatra",foto,"Ernst & Co, H.",1900
"Veld met hoge tabaksplanten op de Ludwigsburg plantage, Sumatra",foto,"Ernst & Co, H.",1890
"Portret van een leraar met kinderen om zich heen, Egypte",foto,anonymous,1890
"Interieur van één van de gebouwen van het tempelcomplex Zojo-ji in Shiba, Tokyo, Japan",foto,anonymous,1890
"Yomeinon poort van het Tosho-gu heiligdom in Nikko, Japan",foto,anonymous,1890
"Optocht tijdens het Aoi Matsuri festival in Kyoto, Japan",foto,anonymous,1890
Gezicht op het Tremont House in Boston,stereofoto,"Heywood, John B.",1860
Zicht op de Nieuwe Veerstal in Gouda met windmolen 't Slot,foto,anonymous,1912
Riviergezicht in de tropen,foto,anonymous,1920
"Portret van een vrouw in klederdracht ('in gala') van Walcheren, Zeeland, Nederland",foto,"Agtmaal, Adriaan Gerard van",1920
Gezicht op Parijs,foto,unknown,1895
Fresco op een gevel van het voormalige woonhuis van Hans Jakob Fugger in Augsburg,foto,anonymous,1865
Exterieur van de Onze-Lieve-Vrouwekerk in Neurenberg,foto,anonymous,1865
Métal (pl. 42),fotomechanisch procedé,"Krull, Germaine",1927
"Gezicht op een rivier met huizen, kerk en brug",foto,anonymous,1880
Ruiter in een park,foto,anonymous,1880
"Portret van een meisje in een jurk met franje, waaier, handschoenen en hoed, zittend voor een kamerscherm",foto,anonymous,1880
Detail van een electrische kabel op onbekende locatie in de Verenigde Staten,foto,"Cool, Wouter",1936
"Tijdens de overtocht van Frankrijk naar de Verenigde Staten, Atlantische Oceaan",foto,"Cool, Wouter",1936
Houten meubels,albumblad,anonymous,1920
"Bezoekers op een ronde bank op een van de fotografietentoonstellingen, vermoedelijk in de Militiezaal in Amsterdam 1891 of 1895",stereofoto,anonymous,1891
"Japans briefpapier met ingekleurde foto van twee vrouwen in een interieur, waarvan één een snaarinstrument bespelend",briefpapier,anonymous,1890
Portret van mevrouw Vermeulen bij het raam,foto,"Vermeulen, Cornelis Johannes Lodewicus",1900
"Portret van een meisje, aan tafel de maaltijd gebruikend",foto,"Vermeulen, Cornelis Johannes Lodewicus",1900
Paarden van de cavalerie langs de sloot kant,foto,"Vermeulen, David",1900
Fotoalbum van de familie Kleiterp-Vermeulen met opnames van de kinderen Klaas en Tiny in Nederlands-Indië,fotoalbum,"Kleiterp, Klaas (I)",1920
Fotoreproductie van een schilderij van een man in militair uniform met naald en draad,foto,anonymous,1875
Smits Spido Rotterdam,foto,"Oorthuys, Cas",1950
Portret van een man,foto,"Dovzhenko, Aleksandr",1930
"Arabische graftombe, Jeruzalem",foto,"Salzmann, Auguste",1856
"Gezicht op de tentoonstelling Verband Deutscher Emaillier Werke, Duitsland",foto,"Loew, Heinz",1927
Machine om papier te wikkelen om een geteerde kabel,foto,"Zwart, Piet",1932
Insect of Pissebed op stenen ondergrond,foto,"Fieret, Gerard",1960
Gezicht op gebombardeerd Rotterdam,foto,"Besnyö, Eva",1940
Portret van Georgette en Yvonne Apol,foto,"Keuken, Johan van der",1956
Interieur van afdeling Kunstnijverheid in het Rijksmuseum tijdens verbouwing,foto,"Deroo, Wijnanda",2004
Fotomontage van twee wijken van Québec,fotomechanische afdruk,"Livernois, Jules-Ernest",1889
Reproductie van een ontwerp van De wonderbaarlijke visvangst door Rafaël,fotomechanische afdruk,"Thompson, Charles Thurston",1880
Fotoreproductie van een uitvaart in Pompeï,foto,anonymous,1890
Landschap met Château de Famelette te Huccorgne,fotomechanische afdruk,"Gaillard, V.",1885
Oliemolens De Veering en De Koe in Oostzaandam,foto,anonymous,1885
Bronzen sculpturen bij het Zomerpaleis te Peking,fotomechanische afdruk,"Mennie, Donald",1915
"Grafmonument van Frédéric-Maurice de la Tour d'Auvergne, hertog van Bouillon in Cluny",foto,"Boulland, A.",1850
Mahonie houten bureau afgezet met bronzen decoraties,foto,anonymous,1860
Bronzen vijfarmige muurkandelaar gedecoreerd met bronzen mens figuren.,foto,anonymous,1860
"Gezicht op een vaart met drijvend hout op de voorgrond, een schip, een ophaalbrug (links), uithangende was en de huizen en/of boerderijen van een dorp, Noord-Holland (?)",foto,anonymous,1907
Portret van een vrouw met een lange rok met een ceintuur en een bolero,carte-de-visite,"Kruk & Behr/firma Buckmann, Van der",1855
Portret van een man met snor en baard in militair kostuum,carte-de-visite,Woodbury & Page,1857
"Portret van een man in een lange jas, leunend op een stapel boeken",carte-de-visite,"Pronk, Henri",1863
Met reliëf gedecoreerde zuil,foto,"Naya, Carlo",1880
Verblijf in Budapest,foto,"Hoppe, Berti",1930
"Een schip in het Rokin, Amsterdam, Nederland",foto,"Higson, James",1904
Fotoreproductie van een ontwerp van een gezicht op het kasteel van Meudon,foto,"Petit, Pierre",1860
Gezicht op Altkirch,fotomechanische afdruk,"Bernhoeft, Charles",1889
Portaal van de Sint-Laurentiuskapel van de kathedraal van Straatsburg,fotomechanische afdruk,"Bernhoeft, Charles",1889
Vijf gezichten op Delft,foto,anonymous,1930
"Op het dek van het schip Nievelt-Goudriaan, Rotterdam, Nederland",foto,"Elenbaas, Esther",1949
Nat wegdek op de hoek Rechthuislaan Veerlaan,foto,"Elenbaas, Wally",2000
"Familieportret van de Kesslers, met op de voorgrond J.B. Aug. Kessler met zelfontspanner (zelfportret)",foto,"Kessler, Jean Baptiste August",1897
Portret van een man,foto,"Greiner, Albert",1870
Portret van een jongen,foto,anonymous,1915
Raadhuisstraat in Amsterdam,foto,anonymous,1898
Studioportret van een jonge vrouw met oorbellen,carte-de-visite,"Zimmermans, Adolphe",1890
"C.1. Main view, Avalon Bay, Catalina Island, California",fotomechanische afdruk,anonymous,1920
Galerij van Mission San Juan Capistrano,foto,anonymous,1920
"New court house, New York City",fotomechanische afdruk,anonymous,1920
Het uitgaan van de Philips fabriek,foto,Fototechnische Dienst N.V. Philips Gloeilampenfabrieken,1950
Vooraanzicht van Huis Ter Horst,stereofoto,"Kessler, Geldolph Adriaan",1904
Kind met bloemen in de hand wordt toegesproken door een vrouw,stereofoto,"Kessler, Jean Baptiste August",1900
Een laan door het bos,stereofoto,"Kessler, Jean Baptiste August",1904
Groepsportretten en zeegezichten,foto,anonymous,1890
"Schouders, handen en hoofden van twee elkaar omhelzen mensen",foto,"Sannes, Sanne",1964
Een gedeelte van het gezicht van een vrouw met haar vingers tegen haar wang,foto,"Sannes, Sanne",1964
Gezicht en een hand van een vrouw met wijd open mond,foto,"Sannes, Sanne",1964
"Vijftiende foto van een dummy bestaande uit drieënveertig, twee aan twee op elkaar geplakte foto's",foto,"Sannes, Sanne",1962
De gezichten van een liggende vrouw met open mond en een man naast haar,foto,"Sannes, Sanne",1964
"Rechts vage traptreden, in het midden een vrouwengezicht in strijklicht",foto,"Sannes, Sanne",1964
Patroon lijkend op wirwar van takken en bladeren,foto,"Sannes, Sanne",1964
"Canal Grande, Venetië, Italië",foto,anonymous,1900
"Begraafplaats, Bath, Pennsylvania, Verenigde Staten",foto,"Walter, W.D.",1890
"Meisje of vrouw, Pleasure Island Camp, Cupsuptic Lake, Maine, Verenigde Staten",foto,anonymous,1900
"Strand met vloedlijn, Verenigde Staten",foto,anonymous,1900
"Groepsportret van Maarten en Henry Pauw van Wieldrecht en drijvers, na afloop van de jacht poserend met geschoten wild",foto,"Pauw van Wieldrecht, Henry",1891
Brug over de Neva in Sint-Petersburg,foto,"Pauw van Wieldrecht, Henry",1898
Vismarkt in Helsinki met aangemeerde bootjes aan de kade.,foto,"Pauw van Wieldrecht, Henry",1898
Rome. St. Pieter,foto,"Alinari, Fratelli",1893
Gezicht op villa Chauvassaignes in Menton,foto,"Pauw van Wieldrecht, Henry",1886
"Kamer met zithoek en salontafel in landhuis De Wildbaan., Driebergen",foto,"Pauw van Wieldrecht, Henry",1903
Eetkamer in herenhuis De Oorsprong in Utrecht,foto,"Pauw van Wieldrecht, Henry",1889
"Vierkant plafondornament, een reliëf met afgebeeld bladeren.",foto,"Durandelle, Louis-Emile",1878
"Auto (Dodge) met bestuurder op de oprit van een huis, van opzij gezien",foto,anonymous,1915
"Gezicht op een pad in een proeftuin met aan weerszijden bamboe, in Algiers, Algerije",fotomechanische afdruk,"Gervais-Courtellemont, Jules",1888
Liggende lachende vrouw,foto,"Sannes, Sanne",1962
"Het elftal van HVV, de club van Dolph Kessler, met spelers van de Deense voetbalclub B.93",foto,anonymous,1905
"Gezicht op een verdedigingswerk met gracht en torens, vermoedelijk in Frankrijk",foto,anonymous,1883
"Gezicht op Bourg, Frankrijk",stereofoto,anonymous,1860
Portret van een jongetje in een matrozenpak,foto,"Lavieter & Co., De",1890
Portret van Hettie en Eva Boelen als kinderen,foto,anonymous,1915
Portret van Mien Dannenfelsen met een stola,foto,anonymous,1880
Portret van Nel Waller-De Cock,foto,"Büttinghausen, Max",1886
Portret van J.G. Boelen als kleuter,foto,Photographie Française,1885
Diverse afbeeldingen,albumblad,"Pennink-Boelen, Eva Charlotte",1930
Bootreis over de Rijn in Duitsland (1),albumblad,"Pennink-Boelen, Eva Charlotte",1934
Diverse afbeeldingen kinderen Pennink,albumblad,"Pennink-Boelen, Eva Charlotte",1939
"Klinkerweg met bomen, huizen en toegangspoorten",foto,"Jong, Folkert Idzes de",1905
"Gezicht op de Maas in Rotterdam, links Hotel Smits aan de Oude Haven",foto,"Jong, Folkert Idzes de",1905
Plantstudie,foto,"Blossfeldt, Karl",1928
Plantstudie,foto,"Blossfeldt, Karl",1928
Landleven,fotoboek,"Emerson, Peter Henry",1887
"Groepsportret van zeven kinderen op het strand (Noordzeekust), Nederland of Duitsland",foto,anonymous,1900
Jong meisje met een muts en een boek in de hand,foto,anonymous,1890
Envelop met fotografische voorstelling,brief,anonymous,1920
"Amerikaanse toeristen duiven voerend op het Piazza San Marco, Venetië, Italië",foto,anonymous,1921
Vos,foto,"Tollens, Henricus Jacobus",1900
Vrouw op straat,foto,"Nazarov, Joacob",1980
"Landschap aan zee, hoogovens",foto,"Diepraam, Willem",1994
Bewoners voor een houten huis,foto,anonymous,1860
Bloeiende vlierbes,foto,"Tepe, Richard",1900
Boomkwekerij van de Firma K. van Nes & Zonen te Apeldoorn,foto,"Tepe, Richard",1900
Lepra,foto,"Lelyveld, Théodore van",1895
Dorp Onoribo,foto,"Lelyveld, Théodore van",1895
Ged. v/h Gouvs.plein op 31 Augs.,foto,"Lelyveld, Théodore van",1895
Stadhuis van Veere,albumblad,"Pennink-Boelen, Eva Charlotte",1948
Rondreizende muzikanten,foto,"Collard, Auguste Hippolyte",1858
Verblijf in Oklahoma (4),albumblad,"Pennink-Boelen, Eva Charlotte",1954
"Gezin, kinderen en jongeren",albumblad,"Pennink-Boelen, Eva Charlotte",1958
Studioportret van Charlotte Matthes-Doorman,kabinetfoto,Koene & Büttinghausen,1890
Portret van een man en een vrouw,foto,anonymous,1900
"Vijver en waterval in het park bij Paleis Het Loo, Apeldoorn",foto,unknown,1901
Reproductie van een tekening van een lezende man door Frédéric-Pierre Tschaggeny,fotomechanische afdruk,"Evely, Léon",1882
"Gezicht op de entree en een gezicht op het bestuursgebouw van de École Nationale Superieure d'Horticulture in Versailles, Frankrijk",fotomechanische afdruk,anonymous,1895
"Gezicht op de poort van Ardon in Laon, Frankrijk",fotomechanische afdruk,"Royer, J.",1891
Gezicht op de Zwinger in Dresden,foto,Photochrom Zürich,1890
"Boten met Italianen en Ieren op de wereldtentoonstelling in St. Louis (Louisiana Purchase Exposition), 1904",foto,"Schüller, Jan",1904
Landschap met wilgen bij Cadzand,foto,"Wetselaar, Karel",1957
Vaart op Plantage Peperpot,foto,anonymous,1912
Twee mannen tussen de sisalplanten,foto,anonymous,1912
Foto,foto,"Straatman, Frans",1934
Foto,foto,"Straatman, Frans",1934
Foto,foto,"Straatman, Frans",1934
Foto,foto,"Straatman, Frans",1934
Foto,foto,"Straatman, Frans",1934
"Muzikant met luit (?), Frankrijk",foto,anonymous,1900
"Gerard Reve van achteren gezien, zittend op een bakfiets, met o.a. een boeddhabeeld",foto,Articapress,1963
"Gerard Reve zittend op een bed in Huize 'Het Gras', Greonterp, met foto's van (meestal naakte) jongens aan de muren geprikt",foto,"Sweering, Ronald",1966
Portret van Gerard Reve,foto,Kippa,1974
Portret van de scheikundige/wetenschapper Paul Crutzen,foto,"Olaf, Erwin",2011
Slapende baby van Tamacheknomaden,foto,"Diepraam, Willem",1981
Gezicht op de moskee van Djenné,foto,"Diepraam, Willem",1981
Amsterdam bij nacht,foto,"Diepraam, Willem",1960
portret van jong stel,foto,"Diepraam, Willem",1970
Landschap,foto,"Diepraam, Willem",1992
Open schuur met groep mensen,foto,"Wesenhagen, Wilhelm Martin",1923
"Battery Park, New York City",foto,"Adams, Clifton R.",1920
Albumblad,albumblad,anonymous,1870
"Aanleg van de stuwdam in de Ci Sadana, in het Tangerang district, Java",foto,"Dumas, Frédéric Gabriël",1929
De logeerpartij bij tante E. op Semarang 1925,foto,"Dumas, Frédéric Gabriël",1925
Twee vrouwen in de sneeuw,foto,"Dumas, Frédéric Gabriël",1919
Tennisclub en galabal,albumblad,anonymous,1930
Portret van mogelijk Guusje Bruins als jonge vrouw,foto,unknown,1895
De Van Nelle-fabriek in Rotterdam,foto,"Yamawaki, Iwao",1930
Drie portretten van moordenaars en zes vrouwelijke slachtoffers,fotomechanische afdruk,anonymous,1880
Versierde bokaal met deksel,foto,"Mögle, Carl Emil",1886
Afrikaanse vrouwen in lange gewaden met kruiken op het hoofd,foto,anonymous,1890
Stadhuis van Parijs gezien over de Seine,stereofoto,anonymous,1860
Portret van een vrouw in een lange mantel,foto,"Pronk, Henri",1858
"Beemsterbrug, over de Beemster Ringvaart tussen Zuidoostbeemster en Purmerend",foto,"Vels, Jan",1860
Bahia,foto,"Siskind, Aaron",1984
Löwendenkmal in Luzern,foto,anonymous,1876
Groepsportret van een Javaans orkest met danseres,foto,anonymous,1870
Gezicht op de Keizersgracht te Amsterdam met op de achtergrond de toren van de Westerkerk,foto,anonymous,1864
Man zit te tekenen in het Ter Kamerenbos (Bois de la Cambre) te Brussel,foto,anonymous,1876
Calli-grafmonument op de begraafplaats van Staglieno in Genua,foto,anonymous,1870
Man voor microfoon,foto,"Overeem, Brand",1970
Autobanden,foto,"Overeem, Brand",1970
Andries en Grietje Bettink,foto,"Overeem, Brand",1972
Jager legt aan,foto,"Diepraam, Willem",1970
Headless,foto,"Ballen, Roger",2006
Portret van een Surinamer,foto,"Bruijning, Conrad Friederich Albert",1950
De voltooide zeppelin,foto,anonymous,1924
"Twee mannen ten voeten uit, gefotografeerd in de natuur",foto,anonymous,1910
Boslandschap,foto,anonymous,1907
Glaspositief,foto,anonymous,1907
Glaspositief,foto,anonymous,1907
Glaspositief,foto,anonymous,1907
Glaspositief,foto,anonymous,1907
Glaspositief,foto,anonymous,1907
Glasnegatief,glasnegatief,anonymous,1907
Glasnegatief,glasnegatief,anonymous,1907
Filmnegatief met opname van Venetië,negatief,anonymous,1907
Filmnegatief met opname van Venetië,negatief,anonymous,1907
"Filmnegatief met opname van Genua, Pisa, Ravenna of Milaan",negatief,anonymous,1907
"Huishoudhulp Johanna in de keuken van het huis in de Vossiusstraat, Amsterdam",foto,"Teding van Berkhout, jonkheer Hendrik (1879-1969)",1908
Portret van jhr. Hendrik Teding van Berkhout jr.,foto,"Cordes, Gebroeders",1887
Carte-de-visite met een straatgezicht van Parijs,carte-de-visite,anonymous,1865
Stichting Nederlandse Moslimvrouwenorganisatie Al Nisa,foto,"Anema, Taco",2011
Stereoglasnegatief,glasnegatief,"Berk, Lambertus Hendrik van",1910
Sint-Lan van Lateranen en het Capitool,albumblad,anonymous,1895
Procuratie en Dogepaleis,albumblad,anonymous,1895
glasnegatief,glasnegatief,"Hondius van den Broek, W.G.",1895
Portret van Desmond O'Callaghan,albumblad,anonymous,1865
Lansperge-le-Chartreux et la dévotion au sacré-cœur,fotoboek,"Boutrais, Cyprien Marie",1878
XL Papier d'Alfa et Chiffons,foto,anonymous,1900
Conferva Lanosa,foto,"Atkins, Anna",1843
Gigartina purpurascens – in fruit,foto,"Atkins, Anna",1843
Polysiphonia elongata,foto,"Atkins, Anna",1843
Schizonema helminthosum,foto,"Atkins, Anna",1843
Ceramium echionotum,foto,"Atkins, Anna",1843
Ingelijste foto met maskeradeportret van M.B. Halbertsma als Koning Stadhouder Willem II,foto,anonymous,1905
Groep op het erf achter de tuin van de familie Van den Berg,foto,"Berg, Hendrik Herman van den",1890
Groep,foto,"Berg, Hendrik Herman van den",1890
Groep in de kamer van Hendrik Herman van den Berg,foto,"Berg, Hendrik Herman van den",1890
Man in uniform bij het raam,foto,"Berg, Norbert van den (1901-1972)",1924
"""Augustus 1938""",fotoalbum,"Berg, Norbert van den (1901-1972)",1938
Portret van Hendrik Herman van den Berg (Henk),kabinetfoto,"Büttinghausen, Max",1898
Portret in passe-partout van Karel Frederik van den Berg,foto,"Groot, Godfried de",1930
Portret van Emilie A. Onnen-van den Berg als baby,foto,anonymous,1865
Studioportret van Pauline van den Berg,carte-de-visite,Woodbury & Page,1870
Portret van tante Leo,carte-de-visite,"Talbot, L.",1890
C.L. van den Berg buiten met twee kinderen,foto,"Berg, Hendrik Herman van den",1900
A.C.M. Geertsema met vrienden en familie in een roeiboot,foto,"Geertsema, A.C.M.",1895
C.F. van den Berg met een hondje in het gras,foto,"Berg, Caroline Frédérique van den",1930
"Envelop met 26 foto's van Norbert van den Berg nabij Paestum, Italië",foto,"Berg, Norbert van den (1901-1972)",1920
Norbert van den Berg in een rolstoel,foto,anonymous,1912
Twee groepsfoto's met Karel van den Berg te paard,foto,"Berg, Karel Frederik van den",1900
"Portret van een jonge vrouw, leunened op een sokkel",carte-de-visite,"Reesinck, Johan Christiaan",1855
Shamanee,foto,"Diepraam, Willem",1986
"Shamanee, Spanje 1986",foto,"Diepraam, Willem",1986
"Barbès-Rochechouart, Parijs, 1988",foto,"Diepraam, Willem",1988
Voorstudie voor schilderij Het Bushokje,foto,"Veldhoen, Aat",1969
Stilleven,foto,"Veldhoen, Aat",1969
Stilleven,foto,"Veldhoen, Aat",1969
Stilleven,foto,"Veldhoen, Aat",1969
Portret van Simon Carmiggelt,foto,"Veldhoen, Aat",1969
Amsterdams stadsgezicht,foto,"Veldhoen, Aat",1980
Amsterdams stadsgezicht,foto,"Veldhoen, Aat",1980
Amsterdams profiel met lucht,foto,"Veldhoen, Aat",1980
Reproductie van een schilderij,foto,"Veldhoen, Aat",1972
Reproductie van een schilderij,foto,"Veldhoen, Aat",1972
Stilleven,foto,"Veldhoen, Aat",1969
"Perrine, Florida, November 11, 1977",foto,"Shore, Stephen",1977
Verwoeste huiskamer,foto,"Kesteren, Geert van",2006
Geënsceneerde stereofoto van twee mannen bij een fotograaf: opdruk: ‘Fatih and we don’t want none of yer X rays but be after makin us look young again’,stereofoto,"Kilburn, Benjamin West",1897
"Barranco, Lima 1991",foto,"Diepraam, Willem",1990
