Location	Latitude	Longitude
Nordsee	54.279260	7.037825
Hohenhameln	52.259262	10.067558
Nordsee	54.279260	7.037825
München	48.152126	11.544467
Unterföhring	48.192979	11.645829
München	48.152126	11.544467
München	48.152126	11.544467
Münster	51.954044	7.624747
Neckarwestheim	49.046869	9.189068
Neuhardenberg	52.609473	14.239075
Bergheim	50.950593	6.636422
Bergheim	50.950593	6.636422
Bergheim	50.950593	6.636422
Nordsee	54.279260	7.037825
Nordsee	54.279260	7.037825
Nordsee	54.279260	7.037825
Nürnberg	49.446007	11.07977
Obernburg	49.834732	9.131573
Jacobsdorf	52.340515	14.351524
Norden	53.595832	7.203823
Pforzheim	48.890549	8.688956
Plattling	48.777527	12.874429
Putlitz	53.248611	12.038042
Quierschied	49.325581	7.049711
Olbersleben	51.146658	11.336799
Trausnitz	49.522227	12.262746
Reußenköge	54.6023	8.9027
Grapzow	53.712374	13.293883
Rheinberg	51.546882	6.593034
Rheinfelden	47.560866	7.78799
Nordsee	54.279260	7.037825
Finnentrop-Rönkh.	51.173147	7.964499
Rostock	54.084592	12.088019
Rostock	54.084592	12.088019
Rüsselsheim	49.98942	8.425592
Saarbrücken	49.234378	6.978198
Bad Säckingen	47.553951	7.940783
Salzgitter	52.12325	10.372852
Salzgitter	52.12325	10.372852
Salzgitter	52.12325	10.372852
Nordsee	54.279260	7.037825
Korbetha	51.40469	11.9655
Korbetha	51.40469	11.9655
Schönewalde	51.68333	13.6
Berg im Gau	48.636209	11.248308
Spremberg	51.566691	14.368594
Spremberg	51.566691	14.368594
Schwarzheide	51.477912	13.887816
Schwedt	53.05963	14.28154
Ryburg-Schwörstadt	47.58683	7.833755
Senftenberg	51.517831	13.985141
Sindelfingen	48.707181	9.000288
Lichtenau	51.616443	8.898157
Stade	53.59295	9.475568
Staßfurt	51.853346	11.586211
Großkrotzenburg	50.078259	8.990077
Großkrotzenburg	50.078259	8.990077
Stößen	51.113981	11.926594
Stuttgart	48.802275	9.188624
Sülzetal	52.054571	11.582171
Templin	53.115846	13.500864
Thyrow	52.247073	13.259913
Töging	48.257973	12.586419
Wangenheim	51.019378	10.625481
Bertikow	53.237681	13.941755
Joldelund	54.650686	9.137191
Nordsee	54.279260	7.037825
Hürth	50.870585	6.880676
Völklingen-Fenne	49.252847	6.860886
Völklingen-Fenne	49.252847	6.860886
Kochel am See	47.653932	11.366395
Edertal	51.160867	9.131043
Edertal	51.160867	9.131043
Waldshut	47.686453	8.09851
Walheim	49.011977	9.153804
Walheim	49.011977	9.153804
Walheim	49.011977	9.153804
Wedel	53.576357	9.713091
Wedel	53.576357	9.713091
Wedel	53.576357	9.713091
Werneuchen	52.62854	13.754724
Wehr	47.632564	7.908469
Wehr	47.632564	7.908469
Wehr	47.632564	7.908469
Wehr	47.632564	7.908469
Eschweiler	50.815001	6.278116
Eschweiler	50.815001	6.278116
Eschweiler	50.815001	6.278116
Wesseling	50.817828	6.978792
Ostsee	54.834359	13.908217
Wilhelmshaven	53.536564	8.099767
Heringen	50.888178	10.010051
Witznau	47.681139	8.254345
Wolfsburg	52.423458	10.759152
Wolfsburg	52.423458	10.759152
Wolfsburg	52.423458	10.759152
Wuppertal	51.265292	7.143049
Würzburg	49.784984	9.941828
Emden	53.362663	7.206439
Zerbst	51.9598	12.093
Zolling	48.451217	11.769355
