Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
Ante 'Walking Trouble' Delija,Ante Delija,Walking Trouble,6.3,239.0,Orthodox,26,6,0,False,1.0,0.0,4.0,0.0,0.0,8.0,0.46,0.46,0.0,0.0,0.39,0.0,0.8,0.0,0.0,Heavyweight,Male,No Clear Style
Jack 'No Nickname' Della Maddalena,Jack Della Maddalena,No Nickname,5.11,170.0,Switch,18,2,0,True,2.25,0.62,59.62,1.38,0.12,23.5,0.53,0.47,0.68,0.58,0.48,0.74,0.64,0.12,0.0,Welterweight,Male,Striker
Roland 'No Nickname' Delorme,Roland Delorme,No Nickname,5.9,135.0,Orthodox,9,5,0,False,2.14,0.14,33.14,1.71,1.14,116.0,0.4,0.34,0.46,0.5,0.32,0.7,0.65,1.0,0.43,Bantamweight,Male,Wrestler
Jon 'The Heat' Delos Reyes,Jon Delos Reyes,The Heat,5.6,125.0,Orthodox,8,5,0,False,1.5,0.25,18.5,1.5,0.0,126.5,0.4,0.3,0.61,0.75,0.32,0.7,0.32,0.75,0.25,Flyweight,Male,Hybrid
Jason 'No Nickname' DeLucia,Jason DeLucia,No Nickname,5.11,190.0,Southpaw,33,21,1,False,1.0,0.0,1.33,0.33,1.67,9.0,0.8,0.5,0.17,0.33,0.5,0.0,0.33,1.67,1.33,Open Weight,Male,Wrestler
Vanessa 'Lil Monster' Demopoulos,Vanessa Demopoulos,Lil Monster,5.2,125.0,Orthodox,11,8,0,False,2.6,0.2,49.2,0.7,0.1,95.7,0.4,0.28,0.67,0.54,0.34,0.5,0.36,0.2,0.1,Women's Strawweight,Female,Hybrid
Chris 'No Nickname' Dempsey,Chris Dempsey,No Nickname,5.1,185.0,Orthodox,11,5,0,False,1.5,0.25,12.0,1.0,0.0,99.0,0.28,0.22,0.42,0.38,0.07,0.58,0.46,0.0,0.0,Light Heavyweight,Male,No Clear Style
Nick 'The Ninja of Love' Denis,Nick Denis,The Ninja of Love,5.7,135.0,Orthodox,11,3,0,False,1.0,0.0,13.5,0.5,0.0,62.5,0.51,0.46,0.5,0.5,0.36,0.8,0.5,0.0,0.0,Bantamweight,Male,Hybrid
Jason 'Dynamite' Dent,Jason Dent,Dynamite,5.1,155.0,Orthodox,22,13,0,False,2.25,0.0,22.25,0.0,1.0,11.5,0.37,0.26,0.71,0.84,0.35,0.62,0.62,1.0,0.25,Lightweight,Male,Wrestler
Mackenzie 'No Nickname' Dern,Mackenzie Dern,No Nickname,5.4,115.0,Orthodox,15,5,0,False,2.8,0.2,56.2,0.6,0.8,239.73,0.42,0.37,0.63,0.78,0.36,0.39,0.69,1.07,0.53,Women's Strawweight,Female,Wrestler
Tony 'No Nickname' DeSouza,Tony DeSouza,No Nickname,6.0,170.0,Southpaw,11,4,0,False,1.83,0.0,7.5,1.0,0.67,168.33,0.47,0.4,0.5,0.17,0.08,0.53,0.41,0.67,0.17,Welterweight,Male,Wrestler
Robelis 'The Big Boy' Despaigne,Robelis Despaigne,The Big Boy,6.7,265.0,Orthodox,5,2,0,False,2.33,0.33,21.33,0.0,0.0,7.0,0.65,0.57,0.56,0.67,0.6,0.33,0.33,0.0,0.0,Heavyweight,Male,Hybrid
Edwin 'Babyface' DeWees,Edwin DeWees,Babyface,6.1,185.0,Orthodox,38,17,0,False,1.0,0.0,5.0,0.67,1.0,39.0,0.54,0.39,0.81,0.5,0.41,0.6,0.0,1.0,0.0,Middleweight,Male,Wrestler
Alessio 'Manzo' Di Chirico,Alessio Di Chirico,Manzo,6.0,185.0,Orthodox,13,7,0,False,2.36,0.36,34.64,0.91,0.09,64.27,0.41,0.31,0.49,0.66,0.39,0.46,0.3,0.0,0.0,Middleweight,Male,Hybrid
Cyrille 'The Snake' Diabate,Cyrille Diabate,The Snake,6.6,205.0,Southpaw,19,10,1,False,1.75,0.38,17.5,1.25,1.12,74.12,0.7,0.55,0.65,0.57,0.54,0.48,0.57,0.12,0.25,Light Heavyweight,Male,Striker
Marc 'Bonecrusher' Diakiese,Marc Diakiese,Bonecrusher,5.1,155.0,Orthodox,17,7,0,False,2.6,0.13,33.13,2.27,0.13,234.47,0.45,0.33,0.55,0.7,0.41,0.64,0.4,0.0,0.2,Lightweight,Male,Striker
Tyler 'No Nickname' Diamond,Tyler Diamond,No Nickname,5.7,145.0,Orthodox,9,1,0,False,3.0,0.0,38.0,3.0,1.0,512.0,0.47,0.39,0.86,1.0,0.32,0.2,0.75,0.0,2.0,Featherweight,Male,Wrestler
Blood 'No Nickname' Diamond,Blood Diamond,No Nickname,5.11,170.0,Switch,3,3,0,False,2.33,0.0,33.0,0.33,0.0,30.67,0.48,0.28,0.86,0.46,0.3,0.82,0.0,0.0,0.0,Welterweight,Male,Hybrid
Hacran 'Barnabe' Dias,Hacran Dias,Barnabe,5.8,155.0,Orthodox,23,6,1,False,3.0,0.25,43.38,1.62,0.38,251.75,0.43,0.34,0.56,0.92,0.39,0.48,0.38,0.5,0.0,Lightweight,Male,Striker
Nick 'No Nickname' Diaz,Nick Diaz,No Nickname,6.1,170.0,Southpaw,26,10,0,False,3.0,0.2,53.93,0.93,0.87,118.0,0.42,0.37,0.62,0.51,0.36,0.54,0.36,0.87,0.27,Middleweight,Male,Wrestler
Nate 'No Nickname' Diaz,Nate Diaz,No Nickname,6.0,170.0,Southpaw,22,13,0,False,2.67,0.26,52.48,0.96,0.85,105.11,0.43,0.38,0.57,0.67,0.36,0.69,0.34,0.96,0.26,Welterweight,Male,Wrestler
Ozzy 'No Nickname' Diaz,Ozzy Diaz,No Nickname,6.4,185.0,Orthodox,10,3,0,False,2.0,0.0,70.0,0.5,0.0,0.0,0.63,0.53,0.84,0.44,0.63,0.42,0.0,0.0,0.0,Middleweight,Male,Striker
TJ 'No Nickname' Dillashaw,TJ Dillashaw,No Nickname,5.6,135.0,Orthodox,18,5,0,False,2.78,0.39,59.5,1.33,0.61,180.83,0.4,0.31,0.68,0.69,0.35,0.38,0.56,0.67,0.0,Bantamweight,Male,Striker
Jhonata 'No Nickname' Diniz,Jhonata Diniz,No Nickname,6.4,254.0,Orthodox,9,1,0,False,2.4,0.0,46.4,0.8,0.4,15.4,0.5,0.41,0.69,0.89,0.49,0.47,0.12,0.0,0.2,Heavyweight,Male,Hybrid
Russell 'No Nickname' Doane,Russell Doane,No Nickname,5.7,135.0,Orthodox,15,8,0,False,2.12,0.0,13.12,2.0,0.62,182.38,0.39,0.32,0.62,0.54,0.28,0.74,0.52,0.5,0.5,Bantamweight,Male,Wrestler
Drew 'No Nickname' Dober,Drew Dober,No Nickname,5.8,155.0,Southpaw,27,15,0,False,2.04,0.35,35.96,0.5,0.0,67.65,0.41,0.34,0.63,0.7,0.35,0.61,0.52,0.04,0.04,Lightweight,Male,Hybrid
Shana 'Danger' Dobson,Shana Dobson,Danger,5.6,125.0,Orthodox,4,5,0,False,2.17,0.0,33.67,1.33,0.17,35.33,0.45,0.37,0.72,0.68,0.38,0.69,0.35,0.0,0.33,Women's Flyweight,Female,Striker
AJ 'No Nickname' Dobson,AJ Dobson,No Nickname,6.1,185.0,Orthodox,7,3,0,False,2.5,0.0,55.0,2.75,0.0,106.0,0.44,0.31,0.83,0.91,0.42,0.66,0.35,0.0,0.25,Middleweight,Male,Striker
David 'No Nickname' Dodd,David Dodd,No Nickname,6.2,200.0,Orthodox,4,7,0,False,2.5,0.0,5.0,0.0,0.0,49.5,0.32,0.1,0.42,0.0,0.07,0.42,0.34,0.0,0.0,Middleweight,Male,No Clear Style
John 'The Magician' Dodson,John Dodson,The Magician,5.3,135.0,Orthodox,22,12,0,False,2.88,0.47,47.76,0.71,0.06,40.47,0.42,0.32,0.74,0.84,0.39,0.53,0.47,0.0,0.0,Bantamweight,Male,Striker
Joe 'El Dirte' Doerksen,Joe Doerksen,El Dirte,6.0,185.0,Orthodox,51,16,0,False,2.44,0.22,13.67,1.89,1.33,122.67,0.56,0.33,0.77,0.94,0.52,0.37,0.27,1.56,0.33,Middleweight,Male,Wrestler
Roman 'No Nickname' Dolidze,Roman Dolidze,No Nickname,6.2,185.0,Orthodox,15,4,0,False,2.69,0.31,49.0,1.69,0.54,185.15,0.46,0.4,0.58,0.75,0.39,0.52,0.43,0.69,0.15,Middleweight,Male,Striker
Cameron 'No Nickname' Dollar,Cameron Dollar,No Nickname,5.11,155.0,Orthodox,11,5,0,False,1.0,0.0,24.0,0.0,0.0,5.0,0.38,0.32,0.86,0.0,0.39,0.0,0.0,0.0,0.0,Lightweight,Male,Hybrid
CB 'The Doberman' Dollaway,CB Dollaway,The Doberman,6.2,185.0,Orthodox,17,9,0,False,1.95,0.2,19.0,1.1,0.8,189.8,0.45,0.35,0.57,0.62,0.39,0.42,0.42,0.65,0.3,Middleweight,Male,Wrestler
Daniil 'No Nickname' Donchenko,Daniil Donchenko,No Nickname,5.11,170.0,Orthodox,13,2,0,False,1.0,0.0,10.0,1.0,0.0,63.0,0.57,0.53,0.73,1.0,0.52,0.67,0.67,0.0,0.0,Welterweight,Male,Striker
Cody 'Donnybrook' Donovan,Cody Donovan,Donnybrook,6.3,205.0,Orthodox,8,5,0,False,1.25,0.5,24.5,0.25,0.0,60.0,0.61,0.47,0.88,0.5,0.47,0.77,0.26,0.5,0.0,Light Heavyweight,Male,Striker
Houston 'No Nickname' Dorr,Houston Dorr,No Nickname,6.1,210.0,Orthodox,1,2,0,False,1.0,0.0,1.0,0.0,0.0,163.266,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,Heavyweight,Male,No Clear Style
Rafael 'No Nickname' Dos Anjos,Rafael Dos Anjos,No Nickname,5.8,170.0,Southpaw,32,17,0,False,3.11,0.14,50.33,1.97,0.42,227.92,0.47,0.36,0.7,0.77,0.4,0.65,0.52,0.56,0.08,Lightweight,Male,Wrestler
Junior 'Cigano' Dos Santos,Junior Dos Santos,Cigano,6.4,238.0,Orthodox,21,9,0,False,2.52,0.61,42.57,0.61,0.04,19.83,0.5,0.42,0.66,0.6,0.48,0.29,0.39,0.04,0.0,Heavyweight,Male,Hybrid
Antonio 'Junior Alpha' Dos Santos,Antonio Dos Santos,Junior Alpha,5.1,185.0,Orthodox,6,4,0,False,1.5,0.5,24.0,0.0,0.0,77.0,0.51,0.45,0.31,1.0,0.5,0.66,0.2,0.0,0.0,Middleweight,Male,Hybrid
Anderson 'Berinja' Dos Santos,Anderson Dos Santos,Berinja,5.5,135.0,Orthodox,21,9,0,False,2.5,0.0,30.5,0.75,0.25,109.0,0.32,0.24,0.7,0.78,0.3,0.71,0.41,0.5,0.0,Bantamweight,Male,Hybrid
Rayanne 'No Nickname' dos Santos,Rayanne dos Santos,No Nickname,5.2,115.0,Orthodox,14,9,0,False,3.0,0.0,95.0,0.67,0.0,31.0,0.44,0.41,0.63,0.74,0.43,0.71,0.33,0.0,0.0,Women's Strawweight,Female,Striker
Felipe 'Lipe Detona' dos Santos,Felipe dos Santos,Lipe Detona,5.7,125.0,Orthodox,8,3,0,False,3.0,0.0,52.0,2.75,0.75,39.0,0.43,0.34,0.53,0.83,0.4,0.66,0.35,0.5,0.0,Flyweight,Male,Striker
Tiago 'Trator' dos Santos e Silva,Tiago dos Santos e Silva,Trator,5.9,145.0,Orthodox,20,7,2,False,2.5,0.75,50.75,1.0,0.0,155.25,0.42,0.24,0.53,0.84,0.38,0.56,0.25,0.25,0.5,Featherweight,Male,Striker
Danny 'No Nickname' Downes,Danny Downes,No Nickname,6.0,155.0,Orthodox,8,3,0,False,3.0,0.0,30.5,3.0,1.5,29.5,0.29,0.16,0.86,0.35,0.22,0.92,0.0,0.5,0.0,Lightweight,Male,Wrestler
Derek 'No Nickname' Downey,Derek Downey,No Nickname,6.1,185.0,Orthodox,11,4,0,False,2.0,0.0,2.0,1.0,0.0,62.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Middleweight,Male,Hybrid
Tomasz 'Gorilla' Drwal,Tomasz Drwal,Gorilla,6.1,205.0,Orthodox,21,5,1,False,1.67,0.17,21.67,2.0,0.17,83.67,0.34,0.3,0.4,0.72,0.3,0.36,0.42,0.17,0.0,Middleweight,Male,Hybrid
Robert 'No Nickname' Drysdale,Robert Drysdale,No Nickname,6.3,205.0,Orthodox,7,0,0,False,1.0,0.0,0.0,1.0,3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Light Heavyweight,Male,No Clear Style
Dricus 'Stillknocks' Du Plessis,Dricus Du Plessis,Stillknocks,6.1,185.0,Switch,23,3,0,False,3.2,0.0,65.6,2.0,0.3,105.4,0.5,0.4,0.73,0.8,0.47,0.45,0.64,0.7,0.1,Middleweight,Male,Striker
Hugo 'No Nickname' Duarte,Hugo Duarte,No Nickname,6.0,240.0,Orthodox,6,3,0,False,1.0,0.0,0.0,1.0,0.0,123.13869442198869,0.44064717348927873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heavyweight,Male,No Clear Style
Yuneisy 'No Nickname' Duben,Yuneisy Duben,No Nickname,5.4,125.0,Orthodox,6,1,0,False,1.0,1.0,17.0,0.0,0.0,0.0,0.34,0.25,0.0,0.67,0.34,0.0,0.0,0.0,0.0,Women's Flyweight,Female,No Clear Style
Emily 'Gordinha' Ducote,Emily Ducote,Gordinha,5.2,115.0,Orthodox,13,9,0,False,3.0,0.0,102.2,0.2,0.0,12.0,0.52,0.41,0.75,0.89,0.52,0.4,0.2,0.0,0.0,Catch Weight,Male,Striker
Viktoriia 'No Nickname' Dudakova,Viktoriia Dudakova,No Nickname,5.5,115.0,Orthodox,8,2,0,False,2.25,0.25,43.75,0.75,0.0,114.75,0.38,0.23,0.52,0.75,0.35,0.38,0.25,0.0,0.25,Women's Strawweight,Female,Hybrid
Milana 'No Nickname' Dudieva,Milana Dudieva,No Nickname,5.3,135.0,Orthodox,11,6,0,False,2.33,0.0,14.0,1.0,0.0,116.33,0.22,0.15,0.35,0.33,0.18,0.44,0.08,0.0,0.0,Women's Bantamweight,Female,No Clear Style
Todd 'No Nickname' Duffee,Todd Duffee,No Nickname,6.3,260.0,Orthodox,9,3,0,False,1.33,0.67,12.0,0.33,0.0,26.83,0.51,0.49,0.48,0.33,0.5,0.41,0.4,0.0,0.0,Heavyweight,Male,Hybrid
Joe 'Irish' Duffy,Joe Duffy,Irish,5.1,155.0,Orthodox,16,5,0,False,1.88,0.12,20.38,0.38,0.5,44.75,0.36,0.28,0.65,0.81,0.36,0.47,0.35,0.38,0.12,Lightweight,Male,Hybrid
Alexis 'Sneaky Zebra' Dufresne,Alexis Dufresne,Sneaky Zebra,5.9,135.0,Orthodox,6,3,0,False,3.0,0.0,48.5,1.5,0.0,334.5,0.33,0.16,0.69,0.81,0.34,0.25,0.2,0.0,0.5,Women's Bantamweight,Female,Hybrid
Jessamyn 'The Gun' Duke,Jessamyn Duke,The Gun,5.11,135.0,Orthodox,3,5,0,False,2.5,0.25,74.75,0.75,1.0,74.75,0.49,0.4,0.76,1.0,0.46,0.67,0.38,1.5,0.5,Women's Bantamweight,Female,Striker
Islam 'The Ripper' Dulatov,Islam Dulatov,The Ripper,6.3,170.0,Orthodox,12,1,0,False,1.0,0.0,14.0,0.0,0.0,2.0,0.51,0.46,1.0,1.0,0.46,0.67,1.0,0.0,0.0,Welterweight,Male,Striker
Isaac 'The Midwest Choppa' Dulgarian,Isaac Dulgarian,The Midwest Choppa,5.7,145.0,Orthodox,7,1,0,False,2.0,0.0,21.67,3.0,1.33,457.33,0.63,0.6,0.33,0.67,0.55,0.33,0.73,1.33,0.0,Featherweight,Male,Wrestler
Kelly 'Psycho' Dullanty,Kelly Dullanty,Psycho,5.8,155.0,Orthodox,4,2,0,False,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lightweight,Male,No Clear Style
Sedriques 'The Reaper' Dumas,Sedriques Dumas,The Reaper,6.2,185.0,Orthodox,10,3,0,False,2.0,0.14,23.43,1.29,0.43,183.57,0.38,0.28,0.4,0.7,0.33,0.43,0.41,0.0,0.43,Middleweight,Male,Hybrid
Norma 'The Immortal' Dumont,Norma Dumont,The Immortal,5.7,135.0,Orthodox,12,2,0,False,3.0,0.2,37.7,1.2,0.0,243.2,0.47,0.38,0.79,0.69,0.4,0.79,0.27,0.0,0.1,Women's Bantamweight,Female,Striker
Chris 'The Problem' Duncan,Chris Duncan,The Problem,5.1,155.0,Orthodox,14,2,0,False,2.17,0.0,49.5,2.17,0.0,140.5,0.45,0.4,0.69,0.43,0.43,0.48,0.29,0.33,0.0,Lightweight,Male,Striker
Christian 'CLD' Leroy Duncan,Christian Leroy Duncan,CLD,6.2,185.0,Switch,12,2,0,False,2.14,0.14,46.14,0.86,0.0,144.71,0.6,0.46,0.75,0.91,0.57,0.74,0.39,0.0,0.0,Middleweight,Male,Striker
Evan 'No Nickname' Dunham,Evan Dunham,No Nickname,5.1,155.0,Southpaw,18,9,1,False,2.38,0.14,51.81,1.05,0.76,149.57,0.39,0.35,0.57,0.5,0.35,0.55,0.3,0.71,0.05,Catch Weight,Male,Wrestler
Tom 'Fire Kid' Duquesnoy,Tom Duquesnoy,Fire Kid,5.7,135.0,Orthodox,16,2,0,False,2.67,0.0,56.67,2.0,0.0,12.0,0.5,0.37,0.66,0.92,0.49,0.56,0.11,0.0,0.0,Bantamweight,Male,Striker
Albert 'No Nickname' Duraev,Albert Duraev,No Nickname,5.11,185.0,Orthodox,16,5,0,False,2.5,0.25,42.75,0.75,1.0,189.25,0.36,0.27,0.62,0.69,0.34,0.25,0.28,0.25,0.0,Middleweight,Male,Hybrid
Reuben 'No Nickname' Duran,Reuben Duran,No Nickname,5.7,135.0,Orthodox,11,7,1,False,2.5,0.75,40.25,0.75,0.5,237.25,0.46,0.31,0.84,1.0,0.36,0.86,0.62,0.5,0.0,Bantamweight,Male,Striker
Cody 'Custom Made' Durden,Cody Durden,Custom Made,5.7,125.0,Southpaw,17,8,1,False,2.23,0.15,41.92,2.23,0.15,237.08,0.47,0.4,0.8,0.64,0.44,0.5,0.51,0.46,0.0,Flyweight,Male,Striker
Luiz 'Besouro' Dutra,Luiz Dutra,Besouro,5.11,170.0,Orthodox,13,6,1,False,1.0,0.5,18.0,0.0,0.0,22.5,0.52,0.33,0.84,1.0,0.46,0.82,0.0,0.0,0.0,Welterweight,Male,Hybrid
Merab 'The Machine' Dvalishvili,Merab Dvalishvili,The Machine,5.6,135.0,Orthodox,20,4,0,True,3.44,0.06,58.19,4.62,0.38,383.31,0.43,0.35,0.69,0.78,0.33,0.67,0.55,0.31,0.0,Bantamweight,Male,Striker
David 'Undertaker' Dvorak,David Dvorak,Undertaker,5.5,125.0,Orthodox,20,6,0,False,2.67,0.17,42.5,1.0,0.67,77.17,0.41,0.3,0.51,0.84,0.4,0.48,0.52,0.17,0.33,Flyweight,Male,Striker
Matt 'No Nickname' Dwyer,Matt Dwyer,No Nickname,6.4,170.0,Orthodox,9,4,0,False,2.0,0.25,21.25,0.25,0.25,48.0,0.26,0.22,0.31,0.42,0.23,0.31,0.25,0.0,0.0,Welterweight,Male,No Clear Style
Rolando 'Dy Incredible' Dy,Rolando Dy,Dy Incredible,5.8,145.0,Orthodox,9,7,1,False,2.5,0.0,47.25,1.5,0.0,51.0,0.37,0.29,0.6,0.81,0.34,0.68,0.3,0.0,0.25,Featherweight,Male,Hybrid
Ben 'No Nickname' Earwood,Ben Earwood,No Nickname,5.8,170.0,Orthodox,12,3,0,False,2.0,0.0,5.0,2.0,0.0,587.0,0.55,0.56,0.0,0.0,1.0,0.0,0.5,0.0,0.0,Welterweight,Male,Striker
Cody 'The Freight Train' East,Cody East,The Freight Train,6.3,245.0,Orthodox,12,3,0,False,1.5,0.0,39.0,2.5,0.0,32.5,0.42,0.37,0.25,0.89,0.4,0.62,0.25,0.0,0.0,Heavyweight,Male,Hybrid
Marvin 'The Beastman' Eastman,Marvin Eastman,The Beastman,5.9,185.0,Orthodox,18,15,1,False,1.8,0.0,13.8,0.4,0.0,59.4,0.33,0.2,0.39,0.54,0.13,0.5,0.0,0.0,0.0,Middleweight,Male,No Clear Style
Mike 'The Hulk' Easton,Mike Easton,The Hulk,5.6,135.0,Southpaw,13,6,0,False,2.86,0.14,49.29,0.57,0.0,80.86,0.37,0.22,0.61,0.86,0.31,0.79,0.37,0.0,0.14,Bantamweight,Male,Hybrid
Brian 'Bad Boy' Ebersole,Brian Ebersole,Bad Boy,6.0,170.0,Southpaw,51,18,1,False,2.5,0.25,33.0,1.5,0.75,251.12,0.5,0.45,0.54,0.55,0.34,0.45,0.57,0.12,0.25,Welterweight,Male,Wrestler
Mark 'No Nickname' Eddiva,Mark Eddiva,No Nickname,5.8,145.0,Orthodox,6,3,0,False,2.25,0.0,24.25,2.0,0.5,193.0,0.47,0.25,0.74,0.84,0.38,0.57,0.38,0.0,0.0,Featherweight,Male,Striker
Frankie 'The Answer' Edgar,Frankie Edgar,The Answer,5.6,135.0,Orthodox,23,11,1,False,3.3,0.23,63.27,2.1,0.47,211.23,0.44,0.36,0.64,0.72,0.37,0.44,0.52,0.33,0.1,Bantamweight,Male,Striker
Abdul-Kerim 'No Nickname' Edilov,Abdul-Kerim Edilov,No Nickname,6.2,205.0,Orthodox,17,4,0,False,2.0,0.0,1.0,0.0,0.0,333.0,0.61,0.56,0.94,0.67,0.41,0.5,0.68,1.0,0.0,Light Heavyweight,Male,Striker
Johnny 'No Nickname' Eduardo,Johnny Eduardo,No Nickname,5.7,135.0,Orthodox,28,13,0,False,2.0,0.12,25.25,0.25,0.25,14.38,0.41,0.27,0.49,0.76,0.4,0.58,0.23,0.25,0.0,Bantamweight,Male,Hybrid
Yves 'No Nickname' Edwards,Yves Edwards,No Nickname,5.9,155.0,Southpaw,42,22,1,False,2.19,0.48,28.24,0.48,0.52,113.52,0.46,0.34,0.66,0.89,0.4,0.52,0.41,0.48,0.19,Lightweight,Male,Wrestler
Justin 'Fast Eddy' Edwards,Justin Edwards,Fast Eddy,5.1,155.0,Orthodox,9,5,0,False,2.43,0.43,30.86,1.71,0.57,133.43,0.45,0.38,0.78,0.62,0.38,0.51,0.33,0.71,0.0,Welterweight,Male,Striker
Leon 'Rocky' Edwards,Leon Edwards,Rocky,6.2,170.0,Southpaw,22,5,0,False,3.63,0.16,47.68,2.11,0.42,212.95,0.57,0.47,0.73,0.71,0.49,0.71,0.56,0.42,0.32,Welterweight,Male,Striker
Te 'No Nickname' Edwards,Te Edwards,No Nickname,5.8,155.0,Orthodox,6,3,0,False,2.5,1.5,22.0,0.0,0.5,373.5,0.37,0.32,0.8,0.4,0.38,0.5,0.18,0.0,0.0,Lightweight,Male,Hybrid
Joselyne 'La Pantera' Edwards,Joselyne Edwards,La Pantera,5.8,135.0,Orthodox,16,6,0,False,2.64,0.09,46.18,1.18,0.36,138.55,0.55,0.42,0.63,0.77,0.52,0.69,0.71,0.45,0.64,Women's Bantamweight,Female,Striker
Tom 'No Nickname' Egan,Tom Egan,No Nickname,5.11,170.0,Orthodox,7,5,0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Welterweight,Male,No Clear Style
Stephanie 'No Nickname' Egger,Stephanie Egger,No Nickname,5.6,135.0,Orthodox,8,5,0,False,1.86,0.0,18.0,1.14,0.29,135.0,0.51,0.42,0.39,0.65,0.32,0.49,0.51,0.29,0.29,Women's Bantamweight,Female,Hybrid
Justin 'The Hammer' Eilers,Justin Eilers,The Hammer,6.1,235.0,Orthodox,19,7,1,False,1.0,0.25,5.0,0.0,0.0,28.75,0.37,0.22,0.0,0.67,0.12,0.72,0.25,0.0,0.0,Heavyweight,Male,No Clear Style
Jon 'The Viking' Olav Einemo,Jon Olav Einemo,The Viking,6.6,253.0,Orthodox,6,3,0,False,2.5,0.0,32.5,0.5,0.0,58.5,0.6,0.52,0.84,1.0,0.56,0.82,0.16,0.0,0.5,Heavyweight,Male,Striker
Per 'No Nickname' Eklund,Per Eklund,No Nickname,5.1,155.0,Orthodox,14,5,1,False,2.33,0.0,20.0,1.33,2.33,152.33,0.63,0.46,0.91,0.93,0.53,0.46,0.58,2.33,0.0,Lightweight,Male,Wrestler
Evan 'The Phenom' Elder,Evan Elder,The Phenom,5.1,155.0,Switch,10,2,0,False,2.8,0.4,70.6,0.4,0.4,68.6,0.5,0.33,0.82,0.83,0.49,0.47,0.12,0.4,0.6,Lightweight,Male,Striker
Billy 'Son of Susie' Elekana,Billy Elekana,Son of Susie,6.3,205.0,Southpaw,8,2,0,False,2.5,0.0,24.0,0.5,0.0,110.0,0.61,0.55,0.74,0.0,0.56,0.0,0.5,0.0,0.0,Light Heavyweight,Male,Hybrid
Darren 'The Damage' Elkins,Darren Elkins,The Damage,5.1,145.0,Orthodox,29,12,0,False,2.53,0.13,42.7,2.1,0.57,258.07,0.35,0.31,0.63,0.49,0.25,0.42,0.47,0.83,0.17,Featherweight,Male,Wrestler
Jake 'The Juggernaut' Ellenberger,Jake Ellenberger,The Juggernaut,5.9,170.0,Orthodox,31,15,0,False,1.95,0.62,19.52,0.76,0.29,99.19,0.43,0.39,0.75,0.53,0.37,0.58,0.38,0.19,0.14,Welterweight,Male,Striker
Joe 'Excalibur' Ellenberger,Joe Ellenberger,Excalibur,5.9,155.0,Orthodox,15,2,0,False,3.0,0.5,42.5,1.5,1.0,264.0,0.5,0.41,0.84,1.0,0.34,0.64,0.74,1.0,0.0,Lightweight,Male,Striker
Tim 'No Nickname' Elliott,Tim Elliott,No Nickname,5.7,125.0,Southpaw,22,13,1,False,2.57,0.05,35.9,1.67,0.71,229.1,0.48,0.41,0.53,0.72,0.4,0.65,0.49,0.9,0.33,Flyweight,Male,Wrestler
Oban 'The Welsh Gangster' Elliott,Oban Elliott,The Welsh Gangster,6.0,170.0,Orthodox,12,3,0,False,3.0,0.0,37.0,1.0,0.0,235.75,0.46,0.35,0.72,0.81,0.42,1.0,0.45,0.0,0.0,Welterweight,Male,Striker
Lisa 'No Nickname' Ellis,Lisa Ellis,No Nickname,5.4,115.0,Orthodox,15,11,0,False,1.5,0.0,5.5,1.5,0.5,121.5,0.6,0.59,0.66,0.0,0.36,0.75,1.0,0.5,0.5,Women's Strawweight,Female,Wrestler
Elisha 'The Snack Panther' Ellison,Elisha Ellison,The Snack Panther,6.0,238.0,Orthodox,5,1,0,False,1.0,0.0,3.0,0.0,0.0,13.0,0.33,0.25,1.0,0.0,0.25,1.0,0.0,0.0,0.0,Heavyweight,Male,Hybrid
Anna 'Panda' Elmose,Anna Elmose,Panda,5.3,115.0,Orthodox,3,2,0,False,2.0,0.0,37.5,1.0,0.5,124.0,0.54,0.53,0.6,0.9,0.46,0.71,0.39,0.0,0.0,Women's Strawweight,Female,Striker
Cameron 'Camchida' Else,Cameron Else,Camchida,5.9,135.0,Switch,10,6,0,False,1.5,0.0,8.5,0.0,0.0,8.0,0.43,0.35,0.38,0.75,0.4,0.0,0.75,0.0,0.0,Bantamweight,Male,Hybrid
Ramazan 'Gorets' Emeev,Ramazan Emeev,Gorets,5.1,170.0,Southpaw,20,6,0,False,2.75,0.12,29.75,1.38,0.88,218.75,0.43,0.39,0.71,0.58,0.37,0.67,0.52,0.62,0.12,Welterweight,Male,Wrestler
Rob 'The Saint' Emerson,Rob Emerson,The Saint,5.9,155.0,Orthodox,18,12,0,False,2.43,0.14,29.57,2.0,0.29,95.0,0.41,0.33,0.5,0.63,0.38,0.53,0.62,0.29,0.0,Lightweight,Male,Striker
