Full Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Nurullo Aliev,Tajik Eagle,5.1,155.0,72.0,Orthodox,10,0,0,False
Ikram Aliskerov,No Nickname,6.0,185.0,76.0,Southpaw,16,2,0,False
Leon Aliu,The Albanian Lion,6.0,185.0,74.0,Orthodox,10,2,0,False
John Allan,No Nickname,6.1,205.0,75.0,Orthodox,13,7,0,False
George Allen,No Nickname,6.2,205.0,,Open Stance,13,19,2,False
Arnold Allen,Almighty,5.8,145.0,70.0,Southpaw,20,3,0,False
Brendan Allen,All In,6.2,185.0,75.0,Orthodox,25,7,0,False
Daniel Allen,No Nickname,6.0,155.0,75.0,Southpaw,5,0,0,False
Ben Alloway,Blanco,5.11,170.0,76.0,Orthodox,18,8,0,False
Asu Almabayev,Zulfikar,5.4,125.0,65.0,Orthodox,22,3,0,False
Bekzat Almakhan,The Turan Warrior,5.7,135.0,68.0,Orthodox,12,2,0,False
John Dave Almanza,The Striker,5.7,125.0,67.0,Southpaw,6,1,0,False
Ricardo Almeida,Big Dog,6.0,170.0,74.0,Orthodox,13,5,0,False
Magno Almeida,No Nickname,6.0,155.0,,Orthodox,10,3,0,False
Thomas Almeida,Thominhas,5.7,145.0,70.0,Southpaw,22,5,0,False
Ericka Almeida,No Nickname,5.6,115.0,,Orthodox,7,3,0,False
Estefani Almeida,No Nickname,5.4,125.0,,Orthodox,7,3,0,False
Jailton Almeida,Malhadinho,6.3,205.0,79.0,Orthodox,22,3,0,False
Lucas Almeida,No Nickname,5.11,145.0,71.0,Orthodox,15,4,0,False
Cesar Almeida,Cesinha,6.1,185.0,74.0,Orthodox,7,1,0,False
Mauricio Alonso,No Nickname,6.2,170.0,,Orthodox,13,7,0,False
Sarah Alpar,Too Sweet,5.4,135.0,63.0,Southpaw,9,6,0,False
Ali AlQaisi,The Royal Fighter,5.6,135.0,68.0,Orthodox,8,5,0,False
Rico Altamirano,No Nickname,5.1,170.0,,Orthodox,4,3,0,False
Victor Altamirano,El Magnifico,5.8,125.0,70.0,Switch,12,5,0,False
Mike Altman,No Nickname,5.1,185.0,,Orthodox,1,4,0,False
Patricia Alujas,The Angel,5.4,115.0,64.0,Orthodox,9,3,0,False
Sean Alvarez,No Nickname,6.0,235.0,,Orthodox,4,3,0,False
Eddie Alvarez,No Nickname,5.9,155.0,69.0,Orthodox,29,6,0,False
Jaime Alvarez,No Nickname,5.8,125.0,69.0,Orthodox,6,1,0,False
Joel Alvarez,El Fenomeno,6.3,155.0,77.0,Orthodox,22,3,0,False
Thiago Alves,Pitbull,5.9,170.0,70.0,Orthodox,23,15,0,False
Anthony Alves,No Nickname,,,,Orthodox,1,4,0,False
Amilcar Alves,No Nickname,6.0,170.0,,Southpaw,15,12,0,False
