Full Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Oleksandr Doskalchuk,No Nickname,5.6,125.0,,Southpaw,10,2,0,False
David Douglas,Tarzan,5.11,155.0,,Orthodox,9,7,0,False
Damion Douglas,No Nickname,,170.0,,Orthodox,4,1,0,False
Lerryan Douglas,Gunslinger,5.9,145.0,72.0,Orthodox,13,5,0,False
Cedric Doumbe,No Nickname,5.1,170.0,,Orthodox,2,0,0,False
John Dowdy,No Nickname,,,,Orthodox,0,1,0,False
Jordan Dowdy,No Nickname,,170.0,,Orthodox,4,3,0,False
Danny Downes,No Nickname,6.0,155.0,72.0,Orthodox,8,3,0,False
Derek Downey,No Nickname,6.1,185.0,,Orthodox,11,4,0,False
John Doyle,The Iron Bull,5.11,205.0,,Orthodox,11,22,0,False
Edson Drago,No Nickname,6.4,220.0,,Orthodox,11,7,0,False
Jimmy Drago,No Nickname,5.1,170.0,71.0,Orthodox,7,3,0,False
Anthony Drilich,No Nickname,5.5,125.0,65.0,Southpaw,8,2,0,False
Kyle Driscoll,KD,5.11,145.0,74.0,Orthodox,12,3,0,False
Chris Drumm,No Nickname,5.8,145.0,,Orthodox,0,1,0,False
Tomasz Drwal,Gorilla,6.1,205.0,76.0,Orthodox,21,5,1,False
Robert Drysdale,No Nickname,6.3,205.0,,Orthodox,7,0,0,False
Dricus Du Plessis,Stillknocks,6.1,185.0,76.0,Switch,23,3,0,False
Hugo Duarte,No Nickname,6.0,240.0,,Orthodox,6,3,0,False
Antonio Duarte,Tigre,5.7,135.0,,Orthodox,19,7,0,False
Joe Duarte,No Nickname,,155.0,,Orthodox,10,4,0,False
Yuneisy Duben,No Nickname,5.4,125.0,65.0,Orthodox,6,1,0,False
Matthieu Duclos,No Nickname,6.3,185.0,77.0,Orthodox,6,3,0,False
Emily Ducote,Gordinha,5.2,115.0,63.0,Orthodox,13,9,0,False
Viktoriia Dudakova,No Nickname,5.5,115.0,67.0,Orthodox,8,2,0,False
Milana Dudieva,No Nickname,5.3,135.0,,Orthodox,11,6,0,False
Adin Duenas,No Nickname,5.6,145.0,,Orthodox,6,1,0,False
Todd Duffee,No Nickname,6.3,260.0,78.0,Orthodox,9,3,0,False
Joe Duffy,Irish,5.1,155.0,73.0,Orthodox,16,5,0,False
Jack Duffy,The Fury,5.7,125.0,69.0,Switch,7,1,0,False
Alexis Dufresne,Sneaky Zebra,5.9,135.0,,Orthodox,6,3,0,False
Jessamyn Duke,The Gun,5.11,135.0,73.0,Orthodox,3,5,0,False
Islam Dulatov,The Ripper,6.3,170.0,75.0,Orthodox,12,1,0,False
Isaac Dulgarian,The Midwest Choppa,5.7,145.0,71.0,Orthodox,7,1,0,False
Kelly Dullanty,Psycho,5.8,155.0,,Orthodox,4,2,0,False
Sedriques Dumas,The Reaper,6.2,185.0,79.0,Orthodox,10,3,0,False
Norma Dumont,The Immortal,5.7,135.0,67.0,Orthodox,12,2,0,False
Chris Duncan,The Problem,5.1,155.0,71.0,Orthodox,14,2,0,False
Christian Leroy Duncan,CLD,6.2,185.0,79.0,Switch,12,2,0,False
Evan Dunham,No Nickname,5.1,155.0,70.0,Southpaw,18,9,1,False
Alex Dunworth,No Nickname,5.8,155.0,,Orthodox,2,2,0,False
Tom Duquesnoy,Fire Kid,5.7,135.0,68.0,Orthodox,16,2,0,False
Albert Duraev,No Nickname,5.11,185.0,75.0,Orthodox,16,5,0,False
Reuben Duran,No Nickname,5.7,135.0,71.0,Orthodox,11,7,1,False
Cody Durden,Custom Made,5.7,125.0,67.0,Southpaw,17,8,1,False
Luiz Dutra,Besouro,5.11,170.0,,Orthodox,13,6,1,False
Rilley Dutro,No Nickname,5.8,125.0,,Orthodox,11,4,0,False
Bill Duvall,No Nickname,6.2,185.0,,Southpaw,1,2,0,False
Merab Dvalishvili,The Machine,5.6,135.0,68.0,Orthodox,20,4,0,True
David Dvorak,Undertaker,5.5,125.0,68.0,Orthodox,20,6,0,False
Matt Dwyer,No Nickname,6.4,170.0,76.0,Orthodox,9,4,0,False
Rolando Dy,Dy Incredible,5.8,145.0,69.0,Orthodox,9,7,1,False
Shanelle Dyer,The Nightmare,5.6,115.0,65.0,Orthodox,6,1,0,False
Ben Earwood,No Nickname,5.8,170.0,,Orthodox,12,3,0,False
Cody East,The Freight Train,6.3,245.0,,Orthodox,12,3,0,False
Marvin Eastman,The Beastman,5.9,185.0,73.0,Orthodox,18,15,1,False
Mike Easton,The Hulk,5.6,135.0,70.0,Southpaw,13,6,0,False
Maurice Eazel,No Nickname,5.7,135.0,,Orthodox,7,15,0,False
Vincent Eazelle,The Real Deal,5.11,155.0,,Orthodox,9,2,0,False
Ross Ebanez,The Boss,5.9,154.0,,Southpaw,20,10,0,False
Brian Ebersole,Bad Boy,6.0,170.0,73.0,Southpaw,51,18,1,False
Roybert Echeverria,The Unbroken,5.5,125.0,67.0,Switch,7,1,0,False
Mark Eddiva,No Nickname,5.8,145.0,68.0,Orthodox,6,3,0,False
Frankie Edgar,The Answer,5.6,135.0,68.0,Orthodox,23,11,1,False
Abdul-Kerim Edilov,No Nickname,6.2,205.0,,Orthodox,17,4,0,False
Johnny Eduardo,No Nickname,5.7,135.0,71.0,Orthodox,28,13,0,False
Yves Edwards,No Nickname,5.9,155.0,73.0,Southpaw,42,22,1,False
Justin Edwards,Fast Eddy,5.1,155.0,70.0,Orthodox,9,5,0,False
Leon Edwards,Rocky,6.2,170.0,74.0,Southpaw,22,5,0,False
Te Edwards,No Nickname,5.8,155.0,72.0,Orthodox,6,3,0,False
Adli Edwards,No Nickname,,145.0,,Orthodox,4,1,0,False
Joselyne Edwards,La Pantera,5.8,135.0,70.0,Orthodox,16,6,0,False
Tom Egan,No Nickname,5.11,170.0,,Orthodox,7,5,0,False
Stephanie Egger,No Nickname,5.6,135.0,68.0,Orthodox,8,5,0,False
Justin Eilers,The Hammer,6.1,235.0,,Orthodox,19,7,1,False
Jon Olav Einemo,The Viking,6.6,253.0,,Orthodox,6,3,0,False
Per Eklund,No Nickname,5.1,155.0,72.0,Orthodox,14,5,1,False
John Elam,No Nickname,,,,Orthodox,2,0,0,False
Evan Elder,The Phenom,5.1,155.0,72.0,Switch,10,2,0,False
Billy Elekana,Son of Susie,6.3,205.0,77.0,Southpaw,8,2,0,False
John Paul Elias,No Nickname,6.4,205.0,,Orthodox,3,1,0,False
Joao Elias,Alicate,5.3,125.0,64.0,Southpaw,17,4,1,False
Saul Elizondo,No Nickname,5.7,135.0,,Orthodox,6,8,0,False
Darren Elkins,The Damage,5.1,145.0,71.0,Orthodox,29,12,0,False
Jake Ellenberger,The Juggernaut,5.9,170.0,71.0,Orthodox,31,15,0,False
Joe Ellenberger,Excalibur,5.9,155.0,72.0,Orthodox,15,2,0,False
Tim Elliott,No Nickname,5.7,125.0,66.0,Southpaw,22,13,1,False
Oban Elliott,The Welsh Gangster,6.0,170.0,72.0,Orthodox,12,3,0,False
Eddy Ellis,Fast,5.9,170.0,,Orthodox,21,16,1,False
Lisa Ellis,No Nickname,5.4,115.0,,Orthodox,15,11,0,False
Elisha Ellison,The Snack Panther,6.0,238.0,78.0,Orthodox,5,1,0,False
Anna Elmose,Panda,5.3,115.0,,Orthodox,3,2,0,False
Cameron Else,Camchida,5.9,135.0,71.0,Switch,10,6,0,False
Aaron Ely,The Cyborg,5.8,135.0,,Orthodox,5,2,0,False
Sovannahry Em,The Sweet Savage,5.4,135.0,,Orthodox,3,1,0,False
Ramazan Emeev,Gorets,5.1,170.0,76.0,Southpaw,20,6,0,False
Aleksander Emelianenko,No Nickname,6.6,255.0,,Orthodox,23,7,0,False
Fedor Emelianenko,The Last Emperor,6.0,230.0,74.0,Orthodox,36,5,0,False
Rob Emerson,The Saint,5.9,155.0,70.0,Orthodox,18,12,0,False
Jamall Emmers,Pretty Boy,5.1,145.0,74.0,Orthodox,21,8,0,False
Josh Emmett,CC0,5.6,145.0,70.0,Orthodox,19,5,0,False
Marius Enache,No Nickname,5.11,155.0,,Orthodox,3,3,0,False
Kevin Engel,The Hitman,6.2,170.0,,Orthodox,5,1,0,False
Kolton Englund,White Assassin,5.1,155.0,69.0,Orthodox,9,4,0,False
Oliver Enkamp,No Nickname,6.0,170.0,77.0,Switch,7,2,0,False
Alex Enlund,No Nickname,5.1,145.0,,Orthodox,14,2,0,False
Kenny Ento,Tha' Dragon,6.2,192.0,,Orthodox,14,15,0,False
Ian Entwistle,Enty,5.5,135.0,,Orthodox,9,3,0,False
Andy Enz,Tank Mode,6.3,185.0,78.0,Orthodox,10,4,0,False
Won Jin Eoh,No Nickname,5.7,160.0,,Orthodox,5,5,1,False
Yuji Ephoevi-Ga,The Chef,6.0,155.0,75.0,Switch,11,1,0,False
Josh Epps,No Nickname,,130.0,,Orthodox,6,7,0,False
Abdellah Er-Ramy,The Golden Boy,6.0,185.0,74.0,Orthodox,7,2,0,False
Steve Erceg,Astroboy,5.8,125.0,68.0,Orthodox,13,4,0,False
Tom Erikson,The Big Cat,6.3,280.0,,Orthodox,9,4,1,False
Konstantin Erokhin,No Nickname,5.11,230.0,,Orthodox,9,3,0,False
Julian Erosa,Juicy J,6.1,145.0,74.0,Southpaw,31,13,0,False
Jarno Errens,No Nickname,5.11,145.0,73.0,Orthodox,14,6,1,False
Ivan Erslan,No Nickname,6.2,205.0,72.0,Orthodox,14,5,0,False
Nick Ertl,No Nickname,5.9,155.0,,Orthodox,8,6,0,False
Chel Erwin-Davis,The First Sun,6.0,170.0,,Orthodox,5,1,0,False
Bobby Escalante,No Nickname,,130.0,,Orthodox,5,6,0,False
Eric Esch,Butterbean,5.11,350.0,,Orthodox,15,10,1,False
Pro Escobedo,No Nickname,,205.0,,Orthodox,1,0,0,False
Cole Escovedo,Apache Kid,5.7,135.0,72.0,Orthodox,17,9,0,False
Efrain Escudero,Hecho En Mexico,5.9,155.0,71.0,Orthodox,28,12,0,False
Evan Esguerra,No Nickname,,145.0,,Orthodox,8,7,0,False
Carla Esparza,Cookie Monster,5.1,115.0,63.0,Orthodox,20,8,0,False
Juan Espino,El Guapo,6.3,255.0,80.0,Orthodox,11,2,0,False
Jordan Espinosa,The Gamer,5.6,125.0,69.0,Orthodox,15,9,0,False
Jodie Esquibel,No Nickname,5.1,115.0,64.0,Orthodox,6,6,0,False
Rafael Estevam,Macapa,5.8,125.0,69.0,Orthodox,14,0,0,False
Achilles Estremadura,No Nickname,5.1,155.0,68.0,Orthodox,7,1,0,False
Shaun Etchell,The Buzzsaw,5.7,125.0,68.0,Switch,7,3,0,False
Terry Etim,No Nickname,6.1,155.0,73.0,Orthodox,16,5,0,False
Fred Ettish,No Nickname,6.0,180.0,,Southpaw,1,1,0,False
Scott Ettling,No Nickname,,135.0,,Orthodox,4,2,0,False
Sijara Eubanks,SarJ,5.4,125.0,67.0,Orthodox,8,7,0,False
Billy Evangelista,No Nickname,5.8,155.0,68.0,Orthodox,13,3,0,False
Rashad Evans,Suga,6.0,205.0,75.0,Orthodox,19,8,1,False
Doug Evans,No Nickname,5.9,155.0,,Orthodox,13,10,0,False
Ashlee Evans-Smith,Rebel Girl,5.8,135.0,67.0,Orthodox,6,6,0,False
Dan Evensen,The Viking,6.3,250.0,,Orthodox,11,4,0,False
Tonya Evinger,Triple Threat,5.7,135.0,70.0,Orthodox,19,8,0,False
Movsar Evloev,No Nickname,5.7,145.0,72.0,Orthodox,19,0,0,False
Andre Ewell,Mr. Highlight,5.8,145.0,75.0,Southpaw,17,9,0,False
Chris Ewert,El Tanke,6.0,185.0,75.0,Orthodox,7,1,0,False
Neal Ewing,No Nickname,,185.0,,Orthodox,6,0,0,False
Manuel Exposito,No Nickname,5.7,145.0,68.0,Orthodox,13,3,0,False
Jessica Eye,Evil,5.6,125.0,66.0,Orthodox,15,11,0,False
Edward Faaloloto,No Nickname,,155.0,70.0,Orthodox,2,5,0,False
Urijah Faber,The California Kid,5.6,135.0,67.0,Orthodox,35,11,0,False
Melinda Fabian,No Nickname,5.6,125.0,66.0,Orthodox,4,4,2,False
Wagnney Fabiano,The Silencer,5.6,145.0,69.0,Southpaw,16,4,0,False
Bartosz Fabinski,The Butcher,6.0,170.0,75.0,Orthodox,15,5,0,False
Ron Faircloth,No Nickname,5.9,205.0,,Orthodox,33,20,0,False
Jason Fairn,No Nickname,6.1,230.0,,Orthodox,4,5,0,False
Zarah Fairn,Infinite,5.8,135.0,72.0,Orthodox,6,6,0,False
Rinat Fakhretdinov,Gladiator,6.0,170.0,74.0,Orthodox,24,1,1,False
Maiquel Falcao,Big Rig,5.11,185.0,,Orthodox,37,10,0,False
Pedro Falcao,Pedrinho,5.6,135.0,66.0,Orthodox,16,5,0,False
Brodie Farber,No Nickname,6.1,170.0,,Orthodox,16,7,0,False
Joao Paulo Faria,No Nickname,5.9,155.0,,Orthodox,1,1,0,False
Kalindra Faria,No Nickname,5.7,125.0,,Switch,18,8,1,False
Jair Farias,Chosen,6.1,145.0,76.0,Orthodox,10,1,0,False
Chance Farrar,No Nickname,5.9,145.0,,Southpaw,8,3,0,False
Rico Farrington,The Triggerman,6.4,170.0,79.0,Southpaw,7,3,0,False
Kelly Faszholz,No Nickname,5.8,135.0,,Orthodox,4,2,0,False
Rodney Faverus,No Nickname,6.0,215.0,,Southpaw,25,20,3,False
Paul Felder,The Irish Dragon,5.11,155.0,70.0,Orthodox,17,6,0,False
Carlos Felipe,Boi,6.0,245.0,75.0,Orthodox,11,2,0,False
Luis Felipe Dias,No Nickname,,185.0,,Orthodox,15,5,0,False
JP Felty,No Nickname,,170.0,,Orthodox,4,5,0,False
Feng Pengchao,No Nickname,,135.0,,Orthodox,15,9,1,False
Feng Xiaocan,No Nickname,5.7,115.0,67.0,Southpaw,10,4,0,False
Kevin Ferguson,Kimbo Slice,6.2,235.0,77.0,Orthodox,5,2,0,False
Rhadi Ferguson,No Nickname,5.7,205.0,,Orthodox,3,0,0,False
Tony Ferguson,El Cucuy,5.11,170.0,76.0,Orthodox,26,11,0,False
Josh Ferguson,Taz,5.5,125.0,,Orthodox,10,5,0,False
CJ Fernandes,No Nickname,6.2,170.0,,Orthodox,14,8,3,False
Bibiano Fernandes,No Nickname,5.7,139.0,,Orthodox,20,3,0,False
Gabriella Fernandes,Gabi,5.6,125.0,66.0,Southpaw,11,3,0,False
Kaue Fernandes,No Nickname,5.9,155.0,73.0,Orthodox,11,2,0,False
Emily Fernandez,No Nickname,,,,Orthodox,0,0,0,False
Luke Fernandez,No Nickname,,205.0,,Orthodox,5,0,0,False
Lucas Fernando,No Nickname,6.3,185.0,80.0,Orthodox,9,2,0,False
Alexandre Ferreira,Cacareco,5.7,205.0,,Orthodox,18,6,0,False
Cezar Ferreira,Mutante,6.1,185.0,78.0,Southpaw,13,8,0,False
Diego Ferreira,No Nickname,5.9,155.0,74.0,Orthodox,19,7,0,False
Erisson Ferreira,Gato,5.6,125.0,70.0,Orthodox,12,2,0,False
Brunno Ferreira,The Hulk,5.1,185.0,72.0,Orthodox,14,2,0,False
Scott Ferrozzo,The Pitbull,5.11,323.0,,Orthodox,4,2,0,False
Timo Feucht,No Nickname,6.3,205.0,79.0,Orthodox,8,1,0,False
Andre Fialho,No Nickname,6.0,170.0,74.0,Orthodox,16,8,0,False
Drew Fickett,The Master,5.1,155.0,70.0,Orthodox,42,21,0,False
Scott Fiedler,No Nickname,6.4,235.0,,Orthodox,0,1,0,False
Ron Fields,Killing,6.2,200.0,,Orthodox,28,32,1,False
Michal Figlak,Mad Dog,5.1,155.0,70.0,Orthodox,8,2,0,False
Deiveson Figueiredo,Deus da Guerra,5.5,135.0,68.0,Orthodox,24,5,1,False
Francisco Figueiredo,Sniper,5.6,125.0,68.0,Southpaw,13,5,1,False
Anthony Figueroa,No Nickname,5.4,135.0,,Orthodox,11,8,1,False
Edwin Figueroa,El Feroz,5.7,135.0,69.0,Orthodox,9,5,0,False
Jonathan Figueroa,El Picante,,185.0,,Orthodox,16,1,0,False
Paulo Filho,No Nickname,5.8,185.0,,Southpaw,23,6,3,False
Jafel Filho,Pastor,5.7,125.0,68.0,Orthodox,16,4,0,False
Andre Fili,Touchy,5.11,145.0,74.0,Orthodox,25,12,0,False
Mirko Filipovic,Cro Cop,6.2,230.0,73.0,Southpaw,35,11,2,False
Brady Fink,No Nickname,6.0,183.0,,Orthodox,2,3,0,False
Jesse Finney,No Nickname,6.0,170.0,,Orthodox,5,1,0,False
Jan Finney,Cuddles,5.8,135.0,,Orthodox,11,12,0,False
Torrez Finney,The Punisher,5.8,185.0,75.0,Orthodox,11,0,0,False
Luigi Fioravanti,No Nickname,5.8,170.0,70.0,Orthodox,26,15,0,False
Nick Fiore,No Nickname,5.1,155.0,72.0,Orthodox,6,2,0,False
Manon Fiorot,The Beast,5.7,125.0,65.0,Orthodox,12,2,0,False
Luiz Firmino,Buscape,5.6,154.0,,Orthodox,19,8,0,False
Spencer Fisher,The King,5.7,155.0,68.0,Southpaw,24,9,0,False
Chris Fishgold,No Nickname,5.8,145.0,68.0,Orthodox,18,4,1,False
Bryanna Fissori,No Nickname,5.4,145.0,,Orthodox,2,4,0,False
Jon Fitch,No Nickname,6.0,170.0,74.0,Orthodox,30,7,1,False
Isi Fitikefu,Doxz,5.1,205.0,,Orthodox,6,0,0,False
Rafael Fiziev,Ataman,5.8,155.0,71.0,Switch,13,4,0,False
Colin Fletcher,The Freakshow,6.2,155.0,,Orthodox,14,8,0,False
AJ Fletcher,The Ghost,5.1,170.0,67.0,Switch,10,3,0,False
Nathan Fletcher,No Nickname,5.7,135.0,70.0,Orthodox,9,3,0,False
Jimmy Flick,The Brick,5.7,125.0,68.0,Orthodox,17,9,0,False
Luke Flores,No Nickname,6.0,155.0,73.0,Southpaw,9,2,0,False
Ty Flores,Big Medicine,6.3,205.0,73.0,Switch,7,3,0,False
Alejandro Flores,El Gallito,5.1,145.0,73.0,Orthodox,17,3,0,False
Kenny Florian,KenFlo,5.1,145.0,74.0,Southpaw,14,6,0,False
Darrius Flowers,Beast Mode,5.9,155.0,71.0,Orthodox,12,8,1,False
Cody Floyd,No Nickname,,,,Orthodox,2,0,0,False
Bobby Flynn,No Nickname,,170.0,,Orthodox,6,4,0,False
Caros Fodor,The Future,5.9,155.0,74.0,Orthodox,11,6,0,False
Mal Foki,Twin Tiger,5.7,220.0,,Orthodox,5,5,0,False
Matt Foki,Twin Tiger,5.7,220.0,,Orthodox,5,4,0,False
AJ Fonseca,No Nickname,5.4,145.0,,Orthodox,5,4,0,False
Rob Font,No Nickname,5.8,135.0,71.0,Orthodox,22,9,0,False
Claudionor Fontinelle,No Nickname,5.5,185.0,,Orthodox,10,15,1,False
Jesse Forbes,Kid Hercules,6.2,185.0,75.0,Southpaw,15,5,0,False
Sterling Ford,No Nickname,5.1,155.0,,Orthodox,15,7,0,False
Codale Ford,Crunch Time,5.9,170.0,,Orthodox,11,9,0,False
Raheam Forest,Rambo,5.11,170.0,73.0,Switch,7,2,0,False
Jussier Formiga,No Nickname,5.5,125.0,67.0,Orthodox,23,8,0,False
Carol Foro,Anabelle,5.2,115.0,61.0,Orthodox,9,1,0,False
Renee Forte,No Nickname,5.7,155.0,71.0,Orthodox,8,4,0,False
Brianna Fortino,The Bull,5.0,115.0,62.0,Southpaw,9,3,0,False
Marcel Fortuna,No Nickname,6.1,205.0,74.0,Orthodox,9,3,0,False
Brian Foster,The Foster Boy,5.9,170.0,71.0,Orthodox,27,10,0,False
Xavier Foupa-Pokam,Professor X,6.1,185.0,,Open Stance,32,22,0,False
Mason Fowler,No Nickname,5.11,170.0,,Orthodox,2,0,0,False
Brandon Foxworth,No Nickname,5.11,145.0,,Orthodox,18,4,0,False
Hermes Franca,No Nickname,5.6,155.0,71.0,Orthodox,24,17,0,False
Glaico Franca Moreira,Nego,6.0,155.0,77.0,Orthodox,15,5,0,False
Francisco France,Kiko,6.0,205.0,,Orthodox,13,5,1,False
John Franchi,No Nickname,5.6,145.0,67.0,Orthodox,6,2,0,False
Felipe Franco,Negao,6.1,205.0,76.0,Orthodox,8,1,0,False
Rich Franklin,Ace,6.1,185.0,76.0,Southpaw,29,7,0,False
Xavier Franklin,Mr. Benjamin,5.6,135.0,66.0,Southpaw,5,1,0,False
Zoila Frausto,Warrior Princess,5.4,135.0,,Orthodox,13,5,0,False
Stephanie Frausto,Lil Bovy,5.2,115.0,61.0,Orthodox,8,7,0,False
Zane Frazier,Nasty,6.5,250.0,,Orthodox,4,11,0,False
Gary Frazier,No Nickname,6.0,245.0,,Orthodox,3,3,0,False
Justin Frazier,The Grizzly Bear,6.0,265.0,75.0,Southpaw,10,3,0,False
Ian Freeman,The Machine,5.11,225.0,,Orthodox,20,7,1,False
Jason Freeman,No Nickname,6.2,225.0,,Orthodox,6,4,0,False
Kennedy Freeman,The Machine 2.0,,125.0,,Orthodox,6,0,0,False
Willamy Freire,Chiquerim,5.8,155.0,,Orthodox,26,6,0,False
Patricio Freire,Pitbull,5.6,145.0,67.0,Orthodox,37,8,0,False
Patricky Freire,Pitbull,5.7,155.0,71.0,Orthodox,17,8,0,False
Jeremy Freitag,No Nickname,6.1,205.0,,Orthodox,6,10,0,False
Rafael Freitas,Capoeira,,205.0,,Orthodox,3,6,0,False
Donavon Frelow,No Nickname,5.7,135.0,,Orthodox,6,3,0,False
Josh Fremd,No Nickname,6.4,185.0,76.0,Orthodox,11,6,0,False
Clay French,No Nickname,5.7,161.0,,Southpaw,19,7,0,False
Mike French,No Nickname,5.1,145.0,,Orthodox,9,10,0,False
Matt Frevola,The SteamRolla,5.9,155.0,71.0,Orthodox,11,5,1,False
Jinh Yu Frey,No Nickname,5.3,115.0,65.0,Southpaw,11,10,0,False
Artem Frolov,No Nickname,5.1,185.0,,Orthodox,11,0,0,False
Sarah Frota,A Treta,5.6,125.0,69.0,Southpaw,9,2,0,False
Daniel Frunza,No Nickname,6.1,170.0,73.0,Orthodox,9,3,0,False
Don Frye,The Predator,6.1,219.0,,Orthodox,20,9,1,False
Allen Frye Jr.,No Nickname,,265.0,,Orthodox,6,0,0,False
Tony Fryklund,The Freak,6.0,185.0,,Orthodox,14,9,1,False
Adam Fugitt,No Nickname,6.1,170.0,77.0,Southpaw,10,5,0,False
Jesse Fujarczyk,The Ronin,6.4,225.0,,Southpaw,2,2,0,False
Katsuhisa Fujii,Shamoji,6.0,205.0,,Orthodox,9,18,1,False
Megumi Fujii,Mega Megu,5.3,113.0,,Orthodox,26,3,0,False
Kazuyuki Fujita,Ironhead,6.0,235.0,,Orthodox,15,12,0,False
Keisuke Fujiwara,No Nickname,5.6,139.0,,Switch,17,12,5,False
Riki Fukuda,No Nickname,6.0,185.0,73.0,Southpaw,24,9,0,False
Masio Fullen,Lobo,5.1,145.0,70.0,Orthodox,11,7,0,False
Travis Fulton,The Ironman,6.0,240.0,,Orthodox,253,53,10,False
Sam Fulton,No Nickname,,,,Orthodox,0,2,0,False
Masakatsu Funaki,No Nickname,6.0,185.0,,Southpaw,39,13,2,False
Ricardo Funch,Golden Boy,5.1,170.0,74.0,Southpaw,9,6,0,False
Katsuaki Furuki,No Nickname,6.0,168.0,,Orthodox,1,1,0,False
James Gabert,No Nickname,,178.0,,Orthodox,6,4,0,False
Gustavo Gabriel,No Nickname,5.6,125.0,,Orthodox,13,1,0,False
Claudia Gadelha,Claudinha,5.4,115.0,63.0,Orthodox,18,5,0,False
Alavutdin Gadjiev,No Nickname,6.2,185.0,,Orthodox,18,13,1,False
Magomed Gadzhiyasulov,No Nickname,6.2,205.0,75.0,Orthodox,9,1,0,False
Justin Gaethje,The Highlight,5.11,155.0,70.0,Orthodox,26,5,0,False
Sheila Gaff,The German Tank,5.5,135.0,,Orthodox,9,7,0,False
Muin Gafurov,Tajik,5.7,135.0,68.0,Orthodox,20,6,0,False
Mitch Gagnon,No Nickname,5.5,135.0,65.0,Southpaw,12,5,0,False
Brandon Gaines,No Nickname,6.3,185.0,,Orthodox,5,21,0,False
Travis Galbraith,The Gladiator,6.0,170.0,,Orthodox,18,7,0,False
Dave Galera,Scarecrow,5.11,135.0,,Orthodox,5,1,0,False
Zelg Galesic,Benkei,6.2,185.0,,Orthodox,11,9,0,False
Mickey Gall,No Nickname,6.2,170.0,74.0,Switch,7,7,0,False
Daniel Gallemore,Big Kansas,6.5,265.0,,Orthodox,7,3,0,False
Tom Gallicchio,Da Tank,5.1,170.0,,Southpaw,19,10,0,False
Turrell Galloway,No Nickname,5.3,145.0,,Orthodox,8,6,0,False
Eric Galvan,No Nickname,,155.0,,Orthodox,0,0,0,False
Andre Galvao,No Nickname,5.7,168.0,,Orthodox,5,2,0,False
Marcos Galvao,Loro,5.7,135.0,,Orthodox,18,8,1,False
Lucas Gamaza,No Nickname,,170.0,,Orthodox,8,4,0,False
Joey Gambino,The Raging Warrior,5.7,145.0,,Orthodox,9,2,0,False
Manvel Gamburyan,The Anvil,5.5,135.0,67.0,Orthodox,15,10,0,False
Mateusz Gamrot,Gamer,5.1,155.0,70.0,Southpaw,25,3,0,False
Shamil Gamzatov,No Nickname,6.2,205.0,76.0,Orthodox,14,1,0,False
Ryan Gandra,Problema,6.1,185.0,74.0,Orthodox,8,1,0,False
Ariel Gandulla,No Nickname,5.11,205.0,,Orthodox,7,9,0,False
Ciryl Gane,Bon Gamin,6.4,245.0,81.0,Orthodox,13,2,0,False
Sean Gannon,The Cannon,6.3,265.0,,Southpaw,2,1,0,False
Tommy Gantt,No Nickname,5.11,155.0,76.0,Orthodox,11,0,0,False
Junye Gao,No Nickname,,125.0,,Orthodox,19,12,0,False
Eduardo Garagorri,No Nickname,5.9,145.0,70.0,Orthodox,13,2,0,False
Cody Garbrandt,No Love,5.8,135.0,65.0,Orthodox,14,7,0,False
Leonard Garcia,Bad Boy,5.1,145.0,68.0,Orthodox,18,13,1,False
Edgar Garcia,No Nickname,5.1,170.0,71.0,Orthodox,14,5,0,False
Alejandro Garcia,Alex,5.7,145.0,,Orthodox,14,10,0,False
Alex Garcia,The Dominican Nightmare,5.9,170.0,72.0,Orthodox,15,6,0,False
Nick Garcia,Nitro,5.4,125.0,,Orthodox,8,3,0,False
Steve Garcia,Mean Machine,6.0,145.0,75.0,Southpaw,18,5,0,False
Elias Garcia,No Nickname,5.5,125.0,67.0,Southpaw,6,2,0,False
Rafa Garcia,Gifted,5.7,155.0,70.0,Orthodox,18,4,0,False
Fernie Garcia,No Nickname,5.7,135.0,67.0,Orthodox,10,5,0,False
Rulon Gardner,No Nickname,6.3,265.0,,Orthodox,1,0,0,False
David Gardner,No Nickname,5.11,155.0,,Orthodox,18,21,0,False
Pablo Garza,The Scarecrow,6.1,145.0,73.0,Orthodox,12,4,0,False
Azamat Gashimov,No Nickname,5.6,125.0,,Orthodox,8,3,0,False
Brian Gassaway,No Nickname,6.1,170.0,,Orthodox,29,20,2,False
Kelvin Gastelum,No Nickname,5.9,185.0,71.0,Southpaw,21,10,0,False
Willie Gates,No Nickname,5.8,125.0,72.0,Orthodox,12,7,0,False
Melissa Gatto,No Nickname,5.5,135.0,69.0,Orthodox,9,2,2,False
Sean Gauci,No Nickname,5.5,125.0,64.0,Switch,10,1,0,False
Louis Gaudinot,Goodnight,5.3,125.0,63.0,Orthodox,8,4,0,False
Ateba Gautier,The Silent Assassin,6.4,185.0,81.0,Switch,8,1,0,False
Manuel Gaxhja,No Nickname,5.8,155.0,,Switch,7,0,0,False
Shamil Gaziev,No Nickname,6.4,265.0,78.0,Orthodox,14,1,0,False
Charlene Gellner,Princess,5.2,125.0,,Orthodox,0,4,0,False
Chad George,Savage,5.6,135.0,68.0,Southpaw,16,8,0,False
Paul Georgieff,No Nickname,6.2,170.0,,Orthodox,6,2,0,False
Brian Geraghty,Duke,5.7,155.0,,Orthodox,26,18,1,False
