Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Accuracy,Feedback,Study
2,1,1,0.65,2.11973,1.478709,3,1,1,1
2,1,1,0.8,1.31919,1.99549,3,1,1,1
3,2,2,0.7,0.9926707,1.484068,1,1,1,1
3,1,2,0.75,1.082912,2.084754,1,0,1,1
3,2,1,0.5,3.447211,0.4630661,1,0,1,1
3,2,2,0.6,1.129162,0.8690873,1,1,1,1
3,2,1,0.6,2.353621,1.749727,1,0,1,1
3,2,2,0.6,1.380151,3.983555,1,1,1,1
3,1,2,0.65,1.032347,1.778249,1,0,1,1
3,2,2,0.55,1.035566,0.9153175,1,1,1,1
3,2,2,0.55,2.577824,2.502797,1,1,1,1
3,1,1,0.6,1.438713,1.183167,1,1,1,1
3,1,2,0.65,1.06604,2.520427,1,0,1,1
3,1,1,0.7,0.7630819,1.589397,1,1,1,1
3,2,1,0.8,1.220283,2.304694,1,0,1,1
3,2,2,0.75,1.692269,3.749491,1,1,1,1
3,2,2,0.5,1.551041,1.253435,1,1,1,1
3,1,1,0.75,0.7984301,2.859498,1,1,1,1
3,2,2,0.9,0.7787915,5.022973,1,1,1,1
3,2,1,0.6,1.78394,1.117234,1,0,1,1
3,1,2,0.6,0.7225468,1.188052,1,0,1,1
3,1,1,0.6,1.129764,1.967563,1,1,1,1
3,2,2,0.8,0.7772622,2.07607,1,1,1,1
3,1,1,0.5,2.104713,0.3053846,1,1,1,1
3,1,1,0.6,1.172517,1.007337,1,1,1,1
3,2,1,0.6,0.9673392,3.867352,1,0,1,1
3,1,1,0.5,3.414083,0.3312969,1,1,1,1
3,2,2,0.7,0.7538277,1.360276,1,1,1,1
3,2,2,0.85,0.7702903,3.208938,1,1,1,1
3,2,2,0.85,1.165418,1.794727,1,1,1,1
3,1,1,0.5,0.672159,1.201919,1,1,1,1
3,1,2,0.7,0.7020118,1.619797,1,0,1,1
3,1,1,0.55,1.706265,0.8951947,1,1,1,1
3,2,2,0.6,0.9046742,3.566916,1,1,1,1
3,1,1,0.5,1.309206,0.3490385,1,1,1,1
3,1,1,0.7,1.330621,1.448149,1,1,1,1
3,2,2,0.7,0.7166988,3.495262,1,1,1,1
3,2,2,0.7,0.8349833,1.646296,1,1,1,1
3,2,2,0.95,1.012897,1.850308,1,1,1,1
3,2,2,0.8,1.174352,2.435477,1,1,1,1
3,2,1,0.55,1.236419,1.087193,1,0,1,1
3,2,2,0.7,1.643716,1.951653,1,1,1,1
3,2,2,0.7,0.9166809,1.380535,1,1,1,1
3,1,2,0.65,0.7359548,2.502275,1,0,1,1
3,1,1,0.6,1.246207,0.8956226,1,1,1,1
3,2,2,0.7,2.25958,2.677367,1,1,1,1
3,1,2,0.6,0.8362126,2.22299,1,0,1,1
3,2,1,0.6,1.426992,2.263324,1,0,1,1
3,1,2,0.5,0.8942506,0.597607,1,0,1,1
3,2,2,0.5,1.145351,0.5595706,1,1,1,1
3,1,1,0.65,0.7683445,3.949905,1,1,1,1
3,1,1,0.55,3.100463,1.568449,1,1,1,1
4,2,1,0.15,0.8120335,2.12724,3,0,1,1
4,1,2,1,0.7605519,2.355376,3,0,1,1
4,2,1,1,0.7410428,0.9236546,3,0,1,1
4,2,2,0.05,0.7176148,1.810445,3,1,1,1
4,2,2,0.05,0.7597271,1.525422,3,1,1,1
4,2,1,0,0.868888,1.223763,3,0,1,1
4,1,1,0,0.9671315,2.222053,3,1,1,1
4,2,2,0,0.5300311,0.9276896,3,1,1,1
4,2,1,1,0.5391909,0.7688313,3,0,1,1
4,1,1,1,0.7723125,0.8394278,3,1,1,1
4,1,2,1,1.172691,0.9610909,3,0,1,1
4,1,1,0.95,0.7910509,1.740722,3,1,1,1
4,2,2,1,0.7374399,0.7898853,3,1,1,1
4,2,2,0.1,0.715851,1.489935,3,1,1,1
4,2,2,0.95,1.221482,1.685919,3,1,1,1
4,1,2,1,0.9460607,0.8803724,3,0,1,1
4,2,2,1,0.768788,0.7428307,3,1,1,1
4,2,1,0.55,0.9226099,2.616431,3,0,1,1
4,1,2,0.9,0.9130135,1.288198,3,0,1,1
4,1,1,1,0.8562949,0.9635418,3,1,1,1
4,2,2,1,0.7334597,0.5970536,3,1,1,1
4,1,2,0.2,0.8415104,3.468834,3,0,1,1
4,1,2,0,0.824439,1.242122,3,0,1,1
4,2,2,1,0.8214111,1.234145,3,1,1,1
4,1,1,0.2,0.8998233,1.666966,3,1,1,1
4,2,2,1,0.7074903,0.6493975,3,1,1,1
4,2,2,1,0.7688253,0.6631659,3,1,1,1
4,2,2,0.4,0.7836215,2.149032,3,1,1,1
4,1,1,1,0.7488242,0.6840895,3,1,1,1
4,1,2,0,0.7398999,1.503355,3,0,1,1
4,1,1,1,0.7384742,0.8316619,3,1,1,1
4,2,2,0.55,1.013374,1.061645,3,1,1,1
4,1,2,1,1.009269,0.7904099,3,0,1,1
4,1,1,1,0.8457921,0.8690155,3,1,1,1
4,2,2,1,1.017453,0.628982,3,1,1,1
4,2,2,1,0.7936982,0.6788375,3,1,1,1
4,2,2,1,0.8177351,0.5635,3,1,1,1
4,2,2,0.15,1.028036,1.327666,3,1,1,1
4,2,1,1,0.7991078,0.6078993,3,0,1,1
4,2,2,1,0.8233489,0.5802905,3,1,1,1
4,2,2,0.15,0.7547354,1.071139,3,1,1,1
4,1,2,0.95,0.8516205,1.454092,3,0,1,1
4,1,1,1,0.8095362,0.5904321,3,1,1,1
4,2,2,0.95,1.044767,0.9972401,3,1,1,1
4,1,2,1,0.9428175,0.5636141,3,0,1,1
4,2,2,0.95,1.015743,0.8643958,3,1,1,1
4,1,1,1,1.113342,0.704551,3,1,1,1
4,2,1,0.55,0.9340494,1.149773,3,0,1,1
4,1,1,1,1.649414,0.5954922,3,1,1,1
4,1,1,1,0.7700947,0.5352162,3,1,1,1
5,2,2,0.8,0.613683,1.566948,1,1,1,1
5,1,2,0.75,1.131936,1.747186,1,0,1,1
5,2,1,0.7,1.281714,1.843114,1,0,1,1
5,2,2,0.8,1.111579,2.016126,1,1,1,1
5,2,1,0.7,1.43016,1.946095,1,0,1,1
5,2,2,0.8,1.215423,1.313932,1,1,1,1
5,1,2,0.7,1.973991,1.572026,1,0,1,1
5,2,1,0.6,1.471448,1.263885,1,0,1,1
5,2,2,0.8,0.7978919,1.1706,1,1,1,1
5,1,1,0.6,1.967534,1.298279,1,1,1,1
5,1,1,0.6,1.648943,1.351852,1,1,1,1
5,1,1,0.75,0.7102199,1.798356,1,1,1,1
5,2,2,0.85,0.8312302,1.936077,1,1,1,1
5,2,1,0.8,1.153849,1.884764,1,0,1,1
5,2,2,0.95,0.8721828,1.570501,1,1,1,1
5,1,1,0.95,1.111352,1.51909,1,1,1,1
5,2,2,1,0.8305259,0.8826517,1,1,1,1
5,2,1,0.75,1.077787,1.4468,1,0,1,1
5,1,2,0.5,0.6046621,1.021325,1,0,1,1
5,1,1,0.95,0.5989437,1.068429,1,1,1,1
5,2,2,0.8,1.117986,1.36581,1,1,1,1
5,1,1,0.7,1.132109,1.882152,1,1,1,1
5,1,1,0.6,0.8433504,1.085576,1,1,1,1
5,2,2,0.75,1.165262,1.522178,1,1,1,1
5,1,1,0.75,0.7930647,1.212571,1,1,1,1
5,2,2,0.8,0.670335,1.694244,1,1,1,1
5,2,2,0.8,1.036646,1.496392,1,1,1,1
5,2,2,0.75,2.58033,2.481686,1,1,1,1
5,1,2,0.7,1.122752,1.545636,1,0,1,1
5,1,2,0.6,1.453266,1.012223,1,0,1,1
5,1,1,0.8,0.7647381,1.778653,1,1,1,1
5,2,2,0.5,1.156056,0.4675671,1,1,1,1
5,1,1,0.75,0.7205316,1.344249,1,1,1,1
5,1,1,0.8,0.6172353,1.946801,1,1,1,1
5,2,2,0.6,0.5320022,0.9719503,1,1,1,1
5,2,2,0.5,0.5175753,0.8443215,1,1,1,1
5,2,1,0.5,0.649744,0.9092161,1,0,1,1
5,2,2,0.9,0.548294,1.792339,1,1,1,1
5,2,2,0.9,0.6221036,1.290195,1,1,1,1
5,2,2,0.8,1.656408,1.952636,1,1,1,1
5,2,2,0.85,0.7589552,1.69805,1,1,1,1
5,1,1,0.5,0.7192859,0.6077445,1,1,1,1
5,1,2,0.65,0.5556815,1.166489,1,0,1,1
5,2,2,0.7,0.6341493,1.531052,1,1,1,1
5,1,2,0.8,0.8286868,1.660891,1,0,1,1
5,2,2,0.5,0.6033977,0.7507387,1,1,1,1
5,1,2,0.75,1.281844,1.57578,1,0,1,1
5,2,2,0.65,0.6396433,1.215106,1,1,1,1
5,1,1,0.7,1.418163,1.47699,1,1,1,1
5,1,1,0.7,1.113026,1.185266,1,1,1,1
6,2,2,0.85,1.309298,2.642166,3,1,1,1
6,1,1,0.7,1.260523,3.68562,3,1,1,1
6,2,2,0.85,1.26947,1.694612,3,1,1,1
6,2,1,0.7,1.318634,1.622452,3,0,1,1
6,2,1,0.95,1.329494,3.704748,3,0,1,1
6,2,2,0.75,1.284252,2.097754,3,1,1,1
6,1,1,0.8,1.255611,2.643149,3,1,1,1
6,2,2,0.75,1.34083,2.451148,3,1,1,1
6,2,2,0.5,1.985004,0.6183467,3,1,1,1
6,1,1,0.65,1.275661,1.175009,3,1,1,1
6,1,1,0.65,1.46999,1.581034,3,1,1,1
6,1,2,0.6,1.170479,1.472889,3,0,1,1
6,2,1,0.5,3.054426,0.805116,3,0,1,1
6,2,2,0.65,1.162339,1.335143,3,1,1,1
6,2,1,0.7,1.178439,1.317433,3,0,1,1
6,1,1,0.85,1.285154,2.244447,3,1,1,1
6,2,2,0.65,1.272802,1.683627,3,1,1,1
6,2,1,0.7,1.200483,1.585488,3,0,1,1
6,1,2,0.7,1.233912,2.947937,3,0,1,1
6,1,1,1,1.221503,1.127403,3,1,1,1
6,2,2,0.75,1.118093,2.642641,3,1,1,1
6,1,1,0.7,1.190795,1.349431,3,1,1,1
6,1,1,1,1.170045,1.024566,3,1,1,1
6,2,1,0.9,1.066665,1.497571,3,0,1,1
6,1,2,0.5,1.476114,0.4460746,3,0,1,1
6,2,2,0.5,3.95908,0.5796701,3,1,1,1
6,2,2,0.7,1.210478,1.239264,3,1,1,1
6,2,2,0.5,1.41716,0.5899182,3,1,1,1
6,1,1,0.75,1.13316,2.05695,3,1,1,1
6,1,2,0.6,1.275951,1.807396,3,0,1,1
6,1,1,0.8,1.13584,1.716565,3,1,1,1
6,2,2,0.65,1.183614,1.589837,3,1,1,1
6,1,1,0.6,1.383574,1.155049,3,1,1,1
6,1,1,0.7,1.292639,2.716432,3,1,1,1
6,2,2,0.5,1.452091,0.6471598,3,1,1,1
6,2,2,0.5,1.307583,0.3312486,3,1,1,1
6,2,2,0.6,1.191833,0.9573328,3,1,1,1
6,2,2,0.55,1.159972,0.7329929,3,1,1,1
6,2,1,0.6,1.239611,1.073287,3,0,1,1
6,2,2,0.6,1.169973,0.9896005,3,1,1,1
6,2,2,0.6,1.346681,1.023706,3,1,1,1
6,1,2,0.6,1.156829,0.9284453,3,0,1,1
6,1,1,0.75,1.161672,2.157622,3,1,1,1
6,2,2,0.6,1.222618,1.664127,3,1,1,1
6,1,2,0.6,1.721858,1.078534,3,0,1,1
6,2,1,0.7,1.198931,1.802972,3,0,1,1
6,1,1,0.5,2.005053,0.4141731,3,1,1,1
6,2,2,0.65,1.625506,1.964754,3,1,1,1
6,1,1,0.9,1.145926,1.502547,3,1,1,1
6,1,1,1,1.051809,0.8752173,3,1,1,1
7,2,2,0.7,1.503328,7.296062,3,1,1,1
7,1,1,0.7,1.561663,1.262233,3,1,1,1
7,2,2,0.6,1.680572,1.655992,3,1,1,1
7,2,1,0.7,1.458236,4.939952,3,0,1,1
7,2,1,0.85,1.53089,2.153921,3,0,1,1
7,2,2,0.65,1.561864,2.333705,3,1,1,1
7,1,1,0.65,1.524032,5.032428,3,1,1,1
7,2,2,0.65,1.780026,1.697469,3,1,1,1
7,2,2,0.7,1.61985,2.791734,3,1,1,1
7,1,1,0.75,1.585934,2.030162,3,1,1,1
7,1,2,0.75,1.595989,1.768068,3,0,1,1
7,1,2,0.6,2.844903,2.015641,3,0,1,1
7,2,1,0.65,1.482268,1.471954,3,0,1,1
7,2,2,0.7,1.511289,1.343289,3,1,1,1
7,2,1,0.65,1.612141,1.926357,3,0,1,1
7,1,1,0.85,1.283801,2.737446,3,1,1,1
7,2,2,0.7,1.576959,2.751853,3,1,1,1
7,2,1,0.65,1.336961,3.133989,3,0,1,1
7,1,1,0.8,1.655895,1.79159,3,1,1,1
7,1,1,0.9,1.453689,2.183629,3,1,1,1
7,2,2,0.55,2.501664,0.7265319,3,1,1,1
7,1,1,0.65,1.569231,0.9963136,3,1,1,1
7,1,1,0.6,2.647604,2.189837,3,1,1,1
7,2,1,0.65,4.644127,0.9079198,3,0,1,1
7,1,1,0.9,1.083868,1.620406,3,1,1,1
7,2,2,0.9,1.298946,1.705898,3,1,1,1
7,2,2,0.7,2.203264,1.125274,3,1,1,1
7,2,2,0.85,1.195756,2.63013,3,1,1,1
7,1,2,0.6,1.787745,0.9043724,3,0,1,1
7,1,1,0.65,1.790405,2.20799,3,1,1,1
7,1,2,0.65,1.439057,1.674301,3,0,1,1
7,2,1,0.6,3.07369,1.123191,3,0,1,1
7,1,1,0.65,2.639697,2.082667,3,1,1,1
7,1,1,1,1.12486,1.915198,3,1,1,1
7,2,2,1,1.323014,0.7863051,3,1,1,1
7,2,2,0.65,1.417408,1.069257,3,1,1,1
7,2,1,0.75,1.737245,2.158696,3,0,1,1
7,2,2,0.65,1.348158,1.154987,3,1,1,1
7,2,1,0.6,1.58765,0.9344516,3,0,1,1
7,2,2,0.7,1.400292,2.866827,3,1,1,1
7,2,1,0.6,1.772371,0.7907826,3,0,1,1
7,1,2,0.8,1.50991,1.380129,3,0,1,1
7,1,1,0.6,1.153167,0.8668518,3,1,1,1
7,2,2,0.65,1.360492,1.525376,3,1,1,1
7,1,1,0.6,1.579157,2.180954,3,1,1,1
7,2,2,0.6,1.836918,1.399631,3,1,1,1
7,1,1,0.7,1.313276,1.51813,3,1,1,1
7,2,1,0.6,2.161946,1.152915,3,0,1,1
7,1,1,0.7,1.488871,1.009752,3,1,1,1
7,1,2,0.7,1.485113,0.91518,3,0,1,1
8,2,2,0.75,1.357211,2.353131,1,1,1,1
8,1,2,0.6,1.382873,1.297365,1,0,1,1
8,2,1,0.55,1.552715,1.152041,1,0,1,1
8,2,2,0.6,1.375385,1.122531,1,1,1,1
8,2,1,0.85,1.188023,2.617946,1,0,1,1
8,2,2,0.6,1.514087,1.005986,1,1,1,1
8,1,1,0.6,2.113715,1.050256,1,1,1,1
8,2,2,0.5,1.890339,0.5282437,1,1,1,1
8,2,1,0.65,1.474865,1.746906,1,0,1,1
8,1,1,0.55,1.773642,0.8646955,1,1,1,1
8,1,2,0.6,1.453188,1.269465,1,0,1,1
