Borough Location,Park Location,Sports Played,Week Start Date,Week End Date,Sunday's Attendance,Monday's Attendance,Tuesday's Attendance,Wednesday's Attendance,Thursday's Attendance,Friday's Attendance,Saturday's Attendance,Attendance Sum
Brooklyn,Sunset Park,Softball,07/18/2017,07/18/2017,0,0,14,0,0,0,0,14
Brooklyn,Sunset Park,Rugby,07/19/2017,07/19/2017,0,0,0,14,0,0,0,14
Brooklyn,Sunset Park,Family Zumba,07/19/2017,07/19/2017,0,0,0,13,0,0,0,13
Brooklyn,Sunset Park,Kickball,07/18/2017,07/18/2017,0,0,16,0,0,0,0,16
Brooklyn,Sunset Park,Kickball,07/20/2017,07/20/2017,0,0,0,0,18,0,0,18
Brooklyn,Sunset Park,Softball,07/21/2017,07/21/2017,0,0,0,0,0,11,0,11
Brooklyn,Sunset Park,Track,07/21/2017,07/21/2017,0,0,0,0,0,21,0,21
Brooklyn,Sunset Park,Soccer,07/21/2017,07/21/2017,0,0,0,0,0,14,0,14
Brooklyn,Sunset Park,Basketball,07/21/2017,07/21/2017,0,0,0,0,0,23,0,23
Queens,Playground for All Children,"Paddle Ball, Soccer, Ultimate Frisbee, Rugby, Softball",07/16/2017,07/22/2017,0,520,450,355,425,0,375,2125
Brooklyn,Sunset Park,Track,07/24/2017,07/24/2017,0,7,0,0,0,0,0,7
Brooklyn,Sunset Park,Soccer,07/24/2017,07/24/2017,0,30,0,0,0,0,0,30
Brooklyn,Sunset Park,Volleyball,07/24/2017,07/24/2017,0,11,0,0,0,0,0,11
Brooklyn,Sunset Park,Field Games,07/24/2017,07/24/2017,0,8,0,0,0,0,0,8
Brooklyn,Sunset Park,Basketball,07/25/2017,07/25/2017,0,0,31,0,0,0,0,31
Brooklyn,Sunset Park,Soccer,07/25/2017,07/25/2017,0,0,22,0,0,0,0,22
Brooklyn,Sunset Park,Softball,07/25/2017,07/25/2017,0,0,19,0,0,0,0,19
Brooklyn,Sunset Park,Flag Football,07/25/2017,07/25/2017,0,0,17,0,0,0,0,17
Brooklyn,Sunset Park,Kickball,07/25/2017,07/25/2017,0,0,25,0,0,0,0,25
Brooklyn,Sunset Park,Basketball,07/26/2017,07/26/2017,0,0,0,31,0,0,0,31
Brooklyn,Sunset Park,Track,07/26/2017,07/26/2017,0,0,0,23,0,0,0,23
Brooklyn,Sunset Park,Soccer,07/26/2017,07/26/2017,0,0,0,14,0,0,0,14
Brooklyn,Sunset Park,Softball,07/26/2017,07/26/2017,0,0,0,17,0,0,0,17
Brooklyn,Sunset Park,Field Games,07/26/2017,07/26/2017,0,0,0,14,0,0,0,14
Bronx,Williamsbridge Oval,"Basketball, soccer, flag football, kickball",07/16/2017,07/22/2017,0,0,47,48,74,46,55,270
Brooklyn,Sunset Park,Flag Football,07/27/2017,07/27/2017,0,0,0,0,17,0,0,17
Brooklyn,Sunset Park,Basketball,07/27/2017,07/27/2017,0,0,0,0,26,0,0,26
Brooklyn,Sunset Park,Red Bull Soccer Clinic 1st Session,07/27/2017,07/27/2017,0,0,0,0,38,0,0,38
Brooklyn,Sunset Park,Red Bull Soccer Clinic 2nd Session,07/27/2017,07/27/2017,0,0,0,0,24,0,0,24
Brooklyn,Sunset Park,Volleyball,07/27/2017,07/27/2017,0,0,0,0,17,0,0,17
Queens,Playground for All Children,"Basketball, paddleball, rugby, dodgeball, soccer",07/23/2017,07/29/2017,0,0,330,250,230,300,250,1360
Brooklyn,Sunset Park,Volleyball,07/31/2017,07/31/2017,0,21,0,0,0,0,0,21
Brooklyn,Sunset Park,Soccer,07/31/2017,07/31/2017,0,24,0,0,0,0,0,24
Brooklyn,Sunset Park,Field Games,07/31/2017,07/31/2017,0,19,0,0,0,0,0,19
Brooklyn,Sunset Park,Track,07/31/2017,07/31/2017,0,28,0,0,0,0,0,28
Brooklyn,Sunset Park,Basketball,07/31/2017,07/31/2017,0,35,0,0,0,0,0,35
Brooklyn,Sunset Park,Track,08/28/2017,08/28/2017,0,0,0,0,0,30,0,30
Brooklyn,Sunset Park,Flag Football,08/28/2017,08/28/2017,0,0,0,0,0,16,0,16
Brooklyn,Sunset Park,Basketball,08/28/2017,08/28/2017,0,0,0,0,0,33,0,33
Brooklyn,Sunset Park,Soccer,08/28/2017,08/28/2017,0,0,0,0,0,21,0,21
Brooklyn,Sunset Park,Softball,08/28/2017,08/28/2017,0,0,0,0,0,16,0,16
Bronx,Williamsbridge Oval,"Basketball, Soccer, Flag Football, Kickball, Group Games",07/23/2017,07/29/2017,0,0,41,0,56,98,0,195
Brooklyn,Sunset Park,Softball,08/01/2017,08/01/2017,0,0,17,0,0,0,0,17
Brooklyn,Sunset Park,Soccer,08/01/2017,08/01/2017,0,0,22,0,0,0,0,22
Brooklyn,Sunset Park,Kickball,08/01/2017,08/01/2017,0,0,28,0,0,0,0,28
Brooklyn,Sunset Park,Basketball,08/01/2017,08/01/2017,0,0,34,0,0,0,0,34
Staten Island,CPL. Thompson Park,"Softball, Kickball, Wiffleball, Ultimate Frisbee",07/11/2017,07/15/2017,0,0,17,0,0,11,0,28
Staten Island,Dugan Playground,"Softball, Kickball, Wiffleball",07/11/2017,07/15/2017,0,0,14,0,0,0,0,14
Staten Island,Schmul Park,"Softball, Kickball, Wiffleball, Basketball",07/11/2017,07/15/2017,0,0,48,0,7,0,287,342
Staten Island,Cedar Grove,Volleyball,07/11/2017,07/15/2017,0,0,0,6,0,0,0,6
Staten Island,Midland Beach,Volleyball/Spikeball,07/11/2017,07/15/2017,0,0,0,24,0,0,0,24
Brooklyn,Sunset Park,Flag Football,08/02/2017,08/02/2017,0,0,0,17,0,0,0,17
Brooklyn,Sunset Park,Basketball,08/02/2017,08/02/2017,0,0,0,23,0,0,0,23
Brooklyn,Sunset Park,Track,08/02/2017,08/02/2017,0,0,0,18,0,0,0,18
Brooklyn,Sunset Park,Ultimate Frisbee,08/02/2017,08/02/2017,0,0,0,17,0,0,0,17
Brooklyn,Sunset Park,Family Zumba,08/02/2017,08/02/2017,0,0,0,15,0,0,0,15
Brooklyn,Sunset Park,Field Games,08/03/2017,08/03/2017,0,0,0,0,17,0,0,17
Brooklyn,Sunset Park,Volleyball,08/03/2017,08/03/2017,0,0,0,0,18,0,0,18
Brooklyn,Sunset Park,Basketball,08/03/2017,08/03/2017,0,0,0,0,33,0,0,33
Brooklyn,Sunset Park,Kickball,08/03/2017,08/03/2017,0,0,0,0,25,0,0,25
Brooklyn,Sunset Park,Soccer,08/03/2017,08/03/2017,0,0,0,0,22,0,0,22
Brooklyn,Sunset Park,Softball,08/04/2017,08/04/2017,0,0,0,0,0,14,0,14
Brooklyn,Sunset Park,Track,08/04/2017,08/04/2017,0,0,0,0,0,14,0,14
Brooklyn,Sunset Park,Flag Football,08/04/2017,08/04/2017,0,0,0,0,0,14,0,14
Queens,Playground for All Children,"Basketball, Soccer, Dodgeball, Paddle ball,",07/30/2017,08/05/2017,0,330,275,310,300,265,310,1790
Brooklyn,Sunset Park,Field Games,08/07/2017,08/07/2017,0,13,0,0,0,0,0,13
Brooklyn,Sunset Park,Track,08/07/2017,08/07/2017,0,14,0,0,0,0,0,14
Brooklyn,Sunset Park,Soccer,08/07/2017,08/07/2017,0,16,0,0,0,0,0,16
Brooklyn,Sunset Park,Volleyball,08/07/2017,08/07/2017,0,14,0,0,0,0,0,14
Bronx,Williamsbridge Oval,"Basketball, Soccer, Flag Football, Kickball, Track",07/30/2017,08/05/2017,0,0,66,41,80,55,15,257
Manhattan,Thomas Jefferson Park,Dodgeball & Basketball,07/25/2017,07/29/2017,0,0,300,201,149,332,220,1202
Manhattan,Thomas Jefferson Park,Football & Tag,07/18/2017,07/22/2017,0,0,200,1502,300,250,150,2402
Brooklyn,Sunset Park,Basketball,08/09/2017,08/09/2017,0,0,0,20,0,0,0,20
Brooklyn,Sunset Park,Track,08/09/2017,08/09/2017,0,0,0,0,21,0,0,21
Brooklyn,Sunset Park,Field Games,08/09/2017,08/09/2017,0,0,0,13,0,0,0,13
Brooklyn,Sunset Park,Ultimate Frisbee,08/09/2017,08/09/2017,0,0,0,16,0,0,0,16
Brooklyn,Sunset Park,Family Zumba,08/09/2017,08/09/2017,0,0,0,11,0,0,0,11
Brooklyn,Sunset Park,Kickball,08/09/2017,08/09/2017,0,0,0,15,0,0,0,15
Brooklyn,Sunset Park,Flag Football,08/10/2017,08/10/2017,0,0,0,0,13,0,0,13
Brooklyn,Sunset Park,Field Games,08/10/2017,08/10/2017,0,0,0,0,16,0,0,16
Brooklyn,Sunset Park,Basketball,08/10/2017,08/10/2017,0,0,0,0,27,0,0,27
Brooklyn,Sunset Park,Kickball,08/10/2017,08/10/2017,0,0,0,0,23,0,0,23
Brooklyn,Sunset Park,Soccer,08/10/2017,08/10/2017,0,0,0,0,20,0,0,20
Brooklyn,Sunset Park,Field Games,08/14/2017,08/14/2017,0,11,0,0,0,0,0,11
Brooklyn,Sunset Park,Basketball,08/14/2017,08/14/2017,0,20,0,0,0,0,0,20
Brooklyn,Sunset Park,Track,08/14/2017,08/14/2017,0,20,0,0,0,0,0,20
Brooklyn,Sunset Park,Soccer,08/14/2017,08/14/2017,0,14,0,0,0,0,0,14
Brooklyn,Sunset Park,Softball,08/14/2017,08/14/2017,0,12,0,0,0,0,0,12
Bronx,Williamsbridge Oval,"Basketball, Soccer, Kickball, Tennis, Flag Football, Street Hockey, Table Tennis",08/06/2017,08/12/2017,0,0,62,48,64,49,43,266
Brooklyn,Sunset Park,Soccer,08/15/2017,08/15/2017,0,0,11,0,0,0,0,11
Brooklyn,Sunset Park,Kickball,08/15/2017,08/15/2017,0,0,10,0,0,0,0,10
Brooklyn,Sunset Park,Free Play,08/15/2017,08/15/2017,0,0,20,0,0,0,0,20
Brooklyn,Sunset Park,Kickball,08/17/2017,08/17/2017,0,0,0,0,19,0,0,19
Brooklyn,Sunset Park,Soccer,08/17/2017,08/17/2017,0,0,0,0,17,0,0,17
Brooklyn,Sunset Park,Volleyball,08/17/2017,08/17/2017,0,0,0,0,13,0,0,13
Brooklyn,Sunset Park,Basketball,08/17/2017,08/17/2017,0,0,0,0,19,0,0,19
Brooklyn,Sunset Park,Flag Football,08/17/2017,08/17/2017,0,0,0,0,6,0,0,6
Brooklyn,Sunset Park,Child's Tumbling,08/11/2017,08/11/2017,0,0,0,0,0,19,0,19
Brooklyn,Sunset Park,Field Games,08/11/2017,08/11/2017,0,0,0,0,0,15,0,15
Brooklyn,Sunset Park,Track,08/11/2017,08/11/2017,0,0,0,0,0,28,0,28
Brooklyn,Sunset Park,Basketball,08/11/2017,08/11/2017,0,0,0,0,0,36,0,36
Brooklyn,Sunset Park,Flag Football,08/11/2017,08/11/2017,0,0,0,0,0,22,0,22
Brooklyn,Sunset Park,Basketball,08/18/2017,08/18/2017,0,0,0,0,0,7,0,7
Brooklyn,Sunset Park,Track,08/18/2017,08/18/2017,0,0,0,0,0,8,0,8
Bronx,Williamsbridge Oval,"Basketball, Kickball, Soccer, Tennis, Flag Football, Group Games, Ping-Pong",08/13/2017,08/19/2017,0,0,22,0,45,50,58,175
Brooklyn,Sunset Park,Basketball,08/21/2017,08/21/2017,0,11,0,0,0,0,0,11
Brooklyn,Sunset Park,Track,08/21/2017,08/21/2017,0,13,0,0,0,0,0,13
Brooklyn,Sunset Park,Soccer,08/21/2017,08/21/2017,0,12,0,0,0,0,0,12
Brooklyn,Sunset Park,Volleyball,08/21/2017,08/21/2017,0,7,0,0,0,0,0,7
Brooklyn,Sunset Park,Field Games,08/21/2017,08/21/2017,0,6,0,0,0,0,0,6
Brooklyn,Sunset Park,Softball,08/22/2017,08/22/2017,0,0,14,0,0,0,0,14
Brooklyn,Sunset Park,Free Play,08/22/2017,08/22/2017,0,0,9,0,0,0,0,9
Brooklyn,Sunset Park,Basketball,08/22/2017,08/22/2017,0,0,13,0,0,0,0,13
Brooklyn,Sunset Park,Track,08/22/2017,08/22/2017,0,0,20,0,0,0,0,20
Brooklyn,Sunset Park,Kickball,08/22/2017,08/22/2017,0,0,20,0,0,0,0,20
Brooklyn,Sunset Park,Soccer,08/22/2017,08/22/2017,0,0,22,0,0,0,0,22
Manhattan,Thomas Jefferson Park,Football and frisbee Tag,08/01/2017,08/05/2017,0,0,300,100,250,350,400,1400
Manhattan,Thomas Jefferson Park,Basketball and Football,08/08/2017,08/12/2017,0,0,0,250,300,250,100,900
Manhattan,Thomas Jefferson Park,Flag Football,08/15/2017,08/19/2017,0,0,150,300,400,80,70,1000
Queens,Playground for All Children,"Soccer, basketball, dodgeball, Ultimate Frisbee",08/06/2017,08/12/2017,0,0,150,175,200,75,195,795
Brooklyn,Sunset Park,Soccer,08/24/2017,08/24/2017,0,0,0,0,22,0,0,22
Brooklyn,Sunset Park,Basketball,08/24/2017,08/24/2017,0,0,0,0,15,0,0,15
Brooklyn,Sunset Park,Kickball,08/24/2017,08/24/2017,0,0,0,0,19,0,0,19
Brooklyn,Sunset Park,Free play,08/25/2017,08/25/2017,0,0,0,0,0,15,0,15
Brooklyn,Sunset Park,Basketball,08/25/2017,08/25/2017,0,0,0,0,0,14,0,14
Brooklyn,Sunset Park,Track,08/25/2017,08/25/2017,0,0,0,0,0,22,0,22
Brooklyn,Sunset Park,Soccer,08/25/2017,08/25/2017,0,0,0,0,0,12,0,12
Brooklyn,Sunset Park,Bowling,08/23/2017,08/23/2017,0,0,0,17,0,0,0,17
Brooklyn,Sunset Park,Track,08/23/2017,08/23/2017,0,0,0,10,0,0,0,10
Brooklyn,Sunset Park,Basketball,08/23/2017,08/23/2017,0,0,0,7,0,0,0,7
Brooklyn,Sunset Park,Ultimate Frisbee,08/23/2017,08/23/2017,0,0,0,6,0,0,0,6
Brooklyn,Sunset Park,Zumba,08/23/2017,08/23/2017,0,0,0,7,0,0,0,7
Bronx,Williamsbridge Oval,"Basketball, Kickball, Soccer, Tennis, Ping-Pong, Volleyball, Flag-Football, Dodgeball",08/20/2017,08/26/2017,0,0,22,59,45,57,57,240
Queens,Playground for All Children,"Basketball, Soccer, Dodgeball, Ultimate Frisbee",08/13/2017,08/19/2017,0,250,230,0,250,0,220,950
Manhattan,Thomas Jefferson Park,Basketball drills,08/22/2017,08/26/2017,0,0,200,300,250,150,50,950
Manhattan,Thomas Jefferson Park,"Flag Football, Basketball, Soccer",08/29/2017,09/02/2017,0,0,130,300,200,80,100,810
Bronx,Williamsbridge Oval,"Basketball, Soccer, Tennis, Kickball, Ping-Pong, Flag-Football",08/27/2017,09/02/2017,0,0,52,45,51,47,50,245
Queens,Playground for All Children,"Soccer, basketball, dodgeball, handball",08/20/2017,08/26/2017,0,200,250,210,0,175,250,1085
Queens,Playground for All Children,"Basketball, Soccer, Handball, Free play, cricket",08/27/2017,09/02/2017,0,75,150,100,115,120,230,790
Queens,Playground for All Children,"Basketball, Handball, Soccer, Dodgeball",09/03/2017,09/09/2017,0,105,120,100,110,100,220,755
Manhattan,Thomas Jefferson Park,Soccer and Football,09/05/2017,09/09/2017,0,0,100,200,80,150,50,580
Bronx,Williamsbridge Oval,"Soccer, Dodgeball, Basketball, Kickball, Tennis, Flag-Football",09/03/2017,09/09/2017,0,23,25,20,26,0,40,134
Bronx,Williamsbridge Oval,"Basketball, Soccer, Tennis, Flag- football, Dodgeball",09/10/2017,09/16/2017,0,25,22,26,29,28,25,155
Queens,Playground for All Children,"Basketball, Soccer, Dodgeball, ultimate frisbee",09/10/2017,09/16/2017,0,150,95,100,110,100,120,675
Bronx,Williamsbridge Oval,"Soccer, Ping pong, Football, Dodgeball",09/17/2017,09/23/2017,0,21,18,25,20,18,23,125
Bronx,Williamsbridge Oval,"Basketball, Soccer, Tennis, Kickball",09/24/2017,09/30/2017,0,20,22,26,23,21,18,130
Queens,Playground for All Children,"Basketball, Soccer, Dodgeball, Rugby",09/17/2017,09/23/2017,0,0,120,100,110,105,140,575
Queens,Playground for All Children,"Basketball, Soccer, Dodgeball, Ultimate Frisbee",09/24/2017,09/30/2017,0,0,125,98,110,105,144,582
Manhattan,Thomas Jefferson Park,"Dodgeball, Football, Soccer.",09/12/2017,09/16/2017,0,0,175,90,200,130,100,695
Bronx,Williamsbridge Oval,"Basketball, Soccer, Tennis, Kickball, Football",10/01/2017,10/07/2017,0,27,29,25,26,21,20,148
Queens,Playground for All Children,"Basketball, Ultimate Frisbee, Dodgeball, Soccer",10/01/2017,10/07/2017,0,0,95,110,250,220,150,825
Queens,Playground for All Children,"Basketball, Dodgeball, Soccer",10/08/2017,10/14/2017,0,0,97,112,85,120,154,568
Manhattan,Thomas Jefferson Park,Flag Football,09/26/2017,09/30/2017,0,0,70,100,120,90,45,425
Manhattan,Thomas Jefferson Park,Basketball Dodgeball Flag Football,10/03/2017,10/07/2017,0,0,75,130,100,130,100,535
Bronx,Williamsbridge Oval,"flag football, track & field",05/06/2018,05/12/2018,0,0,0,47,20,0,0,67
Bronx,Williamsbridge Oval,"Frisbee, Softball, Pickelball, Football",05/13/2018,05/19/2018,0,19,19,0,18,7,0,63
Bronx,Williamsbridge Oval,"Basketball, Soccer, Track & Field",05/20/2018,05/26/2018,0,16,0,7,25,11,0,59
Queens,Playground for All Children,"Lacrosse, basketball, football, soccer, baseball",05/27/2018,06/02/2018,0,0,200,385,223,246,616,1670
Queens,Playground for All Children,"Basketball, Soccer, Football",04/15/2018,04/21/2018,0,0,0,12,0,17,0,29
Queens,Playground for All Children,"Baseball, Soccer, football",04/22/2018,04/28/2018,0,0,32,0,109,14,0,155
Queens,Playground for All Children,"Volleyball, Hockey, Basketball",04/29/2018,05/05/2018,0,0,40,320,480,381,120,1341
Queens,Playground for All Children,Basketball Soccer Football,05/06/2018,05/12/2018,0,0,87,216,0,0,116,419
Queens,Playground for All Children,"Baseball, Soccer, Football",05/13/2018,05/19/2018,0,0,62,0,0,141,0,203
Staten Island,Midland Beach,"Pickleball, Basketball, Volleyball",05/20/2018,05/26/2018,0,0,11,10,0,9,3,33
Staten Island,Midland Beach,"Basketball, Volleyball, Pickleball",05/27/2018,06/02/2018,0,0,5,0,0,0,8,13
Staten Island,Midland Beach,"Basketball, Pickleball, Football",06/03/2018,06/09/2018,0,0,0,2,18,17,0,37
Queens,Playground for All Children,"Soccer, baseball, basketball,",06/03/2018,06/09/2018,0,0,294,466,340,326,485,1911
Queens,Playground for All Children,"volleyball, badminton, baseball, soccer",05/27/2018,06/02/2018,0,0,71,424,0,461,652,1608
Bronx,Williamsbridge Oval,"Frisbee,Soccer,Basketball,Track and Field",05/27/2018,06/02/2018,0,0,24,38,3,6,11,82
Bronx,Williamsbridge Oval,"Soccer,Frisbee,Wiffleball",06/03/2018,06/09/2018,0,0,0,20,0,21,5,46
Bronx,Williamsbridge Oval,"Flag Football,Kickball,Soccer",06/10/2018,06/16/2018,0,27,26,14,36,21,9,133
Queens,Playground for All Children,"Basketball, flag football, baseball, lacrosse",06/10/2018,06/16/2018,0,0,611,137,315,369,665,2097
Bronx,Williamsbridge Oval,"Soccer,Basketball,Wiffleball, Frisbee, Track and Field",06/17/2018,06/23/2018,0,6,8,13,6,0,0,33
Queens,Playground for All Children,"Lacrosse, Basketball, Soccer",06/17/2018,06/23/2018,0,0,123,193,463,121,93,993
Queens,Playground for All Children,"Lacrosse, Basketball, Soccer",06/17/2018,06/23/2018,0,0,123,193,121,93,0,530
Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",07/05/2018,07/06/2018,0,42,39,0,184,94,0,359
Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",07/09/2018,07/13/2018,0,184,170,194,203,180,0,931
Queens,Playground for All Children,"Basketball, Lacrosse, Volleyball, baseball, flag football",07/01/2018,07/07/2018,0,0,0,0,214,75,321,610
Bronx,Williamsbridge Oval,"Basketball,Volleyball, Arts and Crafts, Kickball, Soccer",07/01/2018,07/07/2018,0,24,20,0,13,15,0,72
Bronx,Williamsbridge Oval,"Soccer,Tennis, Track and Field, Basketball",06/24/2018,06/30/2018,0,2,15,20,25,0,0,62
