Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
Magomed Ankalaev,Alex Pereira,0,0,28,4,0,0,0,0,Light Heavyweight,KO/TKO Elbows,1,1:20,8944a0f9b2f0ce6d,L,W,5 Rnd (5-5-5-5-5),Herb Dean,Elbows to Head From Half Guard,0.44,0.62,0,0,0,0,0,17,0.0,0.6,0.75,0.5,1.0,1.0,0.44,0.42,0,0,0,0.7,0.44,0.62,0.44,0.62
Merab Dvalishvili,Cory Sandhagen,0,0,114,80,20,0,0,0,Bantamweight,U-DEC,5,5:00,8944a0f9b2f0ce6d,W,L,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell45 - 49.Ben Cartlidge45 - 49.Eric Colon46 - 49.,0.43,0.43,0,0,0,0,602,0,0.37,0.32,0.72,0.78,0.94,0.89,0.36,0.43,0.81,0,0.72,0,0.61,0.58,0.43,0.43
Jiri Prochazka,Khalil Rountree Jr.,1,0,71,66,0,0,0,0,Light Heavyweight,KO/TKO Punches,3,3:04,8944a0f9b2f0ce6d,W,L,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,0.51,0.41,0,0,0,0,12,2,0.44,0.35,0.64,0.71,0.85,0.71,0.48,0.41,0.91,0.57,0,0,0.51,0.42,0.51,0.42
Josh Emmett,Youssef Zalal,0,0,0,0,1,0,1,0,Featherweight,SUB Armbar,1,1:38,8944a0f9b2f0ce6d,L,W,3 Rnd (5-5-5),Jason Herzog,Armbar From Back Control,,0.0,0,1,0,0,16,48,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0
Abus Magomedov,Joe Pyfer,1,0,6,11,0,1,2,1,Middleweight,SUB Rear Naked Choke,2,1:46,8944a0f9b2f0ce6d,L,W,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,0.91,0.6,1,2,0,0,156,136,0.86,0.6,1.0,0,0,0,0.75,0.5,0,0,1.0,0.75,0.86,0.72,0.92,0.6
Ateba Gautier,Tre'ston Vines,1,0,6,0,1,0,0,0,Middleweight,KO/TKO Punches,1,1:41,8944a0f9b2f0ce6d,W,L,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground,0.5,0.0,0,0,0,0,4,6,0.4,0,1.0,0,0,0.0,0.2,0.0,1.0,0,0.33,0,0.5,0.0,0.5,0.0
Daniel Santos,JooSang Yoo,1,0,27,31,1,0,0,0,Catch Weight,KO/TKO Punch,2,0:21,8944a0f9b2f0ce6d,W,L,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,0.43,0.56,0,0,0,0,83,0,0.39,0.39,0.25,1.0,0.69,0.92,0.36,0.56,0.0,1.0,0.82,0,0.44,0.68,0.44,0.56
Patchy Mix,Jakub Wiklacz,0,0,46,37,0,5,3,0,Bantamweight,S-DEC,3,5:00,8944a0f9b2f0ce6d,L,W,3 Rnd (5-5-5),Jason Herzog,Mike Bell28 - 29.Ben Cartlidge29 - 28.Derek Cleary28 - 29.,0.63,0.55,0,3,0,1,461,124,0.57,0.49,0.67,0.63,0.89,0.6,0.6,0.51,0.83,1.0,0.7,0.8,0.74,0.73,0.64,0.55
Edmen Shahbazyan,Andre Muniz,1,0,25,15,0,1,0,0,Middleweight,KO/TKO Elbows,1,4:58,8944a0f9b2f0ce6d,W,L,3 Rnd (5-5-5),Mark Smith,Elbows to Head From Half Guard,0.5,0.39,0,0,0,0,39,18,0.44,0.3,1.0,0.2,1.0,0.88,0.44,0.39,0.5,0,0.57,0,0.51,0.42,0.5,0.39
Punahele Soriano,Nikolay Veretennikov,0,0,39,9,4,0,1,2,Welterweight,U-DEC,3,5:00,8944a0f9b2f0ce6d,W,L,3 Rnd (5-5-5),Marc Goddard,Mike Bell27 - 30.Derek Cleary27 - 30.Chris Lee27 - 30.,0.72,0.75,1,2,1,0,755,49,0.75,1.0,0.33,0.67,0,1.0,0.25,0.67,1.0,0.8,0.76,1.0,0.81,0.92,0.72,0.75
Macy Chiasson,Yana Santos,0,0,65,54,0,2,0,1,Women's Bantamweight,U-DEC,3,5:00,8944a0f9b2f0ce6d,L,W,3 Rnd (5-5-5),Chris Tognoni,Ben Cartlidge28 - 29.Sal D'amato28 - 29.Junichiro Kamijo28 - 29.,0.45,0.52,1,0,0,0,223,49,0.33,0.39,0.71,0.72,0.57,0.71,0.3,0.4,0.86,0.71,0.62,0,0.58,0.65,0.46,0.52
Chris Gutierrez,Farid Basharat,0,0,41,31,2,1,0,0,Bantamweight,U-DEC,3,5:00,8944a0f9b2f0ce6d,L,W,3 Rnd (5-5-5),Herb Dean,Derek Cleary28 - 29.Eric Colon28 - 29.Sal D'amato28 - 29.,0.36,0.37,0,0,1,0,42,207,0.29,0.25,0.0,0.45,0.65,0.71,0.35,0.38,0,0,1.0,0.33,0.51,0.44,0.36,0.37
Ramiz Brahimaj,Austin Vanderford,0,0,21,5,0,3,2,0,Welterweight,SUB Guillotine Choke,2,2:24,8944a0f9b2f0ce6d,W,L,3 Rnd (5-5-5),Mark Smith,Guillotine Choke On Ground,0.6,0.31,2,0,0,0,37,203,0.62,0.29,0.0,0.0,0.75,1.0,0.39,0.27,1.0,0,1.0,1.0,0.75,0.54,0.6,0.31
Veronica Hardy,Brogan Walker,1,0,39,22,0,3,1,0,Women's Flyweight,U-DEC,3,5:00,8944a0f9b2f0ce6d,W,L,3 Rnd (5-5-5),Jason Herzog,Derek Cleary27 - 30.Chris Lee27 - 30.Clemens Werner27 - 30.,0.52,0.36,1,0,0,0,156,175,0.48,0.24,0.5,1.0,1.0,0.88,0.49,0.33,1.0,1.0,0.5,0.44,0.56,0.43,0.52,0.37
Carlos Ulberg,Dominick Reyes,1,0,11,5,0,0,0,0,Light Heavyweight,KO/TKO Punches,1,4:27,ed220e87bef0cc64,W,L,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head At Distance,0.64,0.45,0,0,0,0,3,0,0.67,0.0,0.67,1.0,0.6,0.8,0.6,0.45,0,0,1.0,0,0.65,0.45,0.65,0.45
Jimmy Crute,Ivan Erslan,0,0,12,10,2,0,1,0,Light Heavyweight,SUB Rear Naked Choke,1,3:19,ed220e87bef0cc64,W,L,3 Rnd (5-5-5),Mike Beltran,Rear Naked Choke,0.75,0.71,1,0,1,0,128,5,0.43,0.69,1.0,0,1.0,1.0,0.75,0.71,0,0,0.75,0,0.75,0.71,0.75,0.71
Jack Jenkins,Ramon Taveras,0,0,65,43,3,0,1,0,Featherweight,U-DEC,3,5:00,ed220e87bef0cc64,W,L,3 Rnd (5-5-5),Marc Goddard,Evan Field27 - 30.Clemens Werner27 - 30.Ben Cartlidge28 - 29.,0.59,0.38,1,0,0,1,238,99,0.43,0.37,0.76,0.43,1.0,1.0,0.61,0.36,0.8,0.0,0.33,0.83,0.59,0.48,0.6,0.38
Jake Matthews,Neil Magny,0,0,31,18,3,0,1,3,Welterweight,SUB D'Arce Choke,3,3:08,ed220e87bef0cc64,L,W,3 Rnd (5-5-5),Jim Perdios,D'Arce Choke From Half Guard,0.4,0.54,3,1,1,0,283,166,0.31,0.54,1.0,0.5,0.75,0.67,0.41,0.56,0.5,0.4,0.33,0,0.52,0.71,0.41,0.54
