"Status","","'=","in Betrieb",""
"","","'=","genehmigt, noch nicht in Betrieb",""


"Zuständige Dienststelle","Standortgemeinde","Hersteller","Typbezeichnung des Herstellers","Generatorleistung [MW]","Nabenhöhe [m]","Rotordurchmesser [m]","Status","Inbetriebnahmedatum","Stilllegedatum","Ost","Nord","Herkunft der Daten","Stand der Daten"
"Landratsamt Main-Tauber-Kreis","Weikersheim","Enercon","E-58/10.58","1,00","70,50","58,00","in Betrieb","30.04.2002",,"569507","5481123","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","Enercon","E40","0,50","65,00","40,30","in Betrieb","30.04.2002",,"569770","5481086","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","Enercon","E-58/10.58","1,00","70,50","58,00","in Betrieb","30.04.2002",,"569900","5481465","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","Fuhrländer","FL 100","1,00","70,00","54,00","in Betrieb","30.11.2001",,"543882","5508759","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","RE Power","MD 70","1,50","90,00","70,00","in Betrieb","30.11.2001",,"543492","5509044","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","RE Power","MD 70","1,50","90,00","70,00","in Betrieb","30.11.2001",,"544317","5508940","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","RE Power","MD 70","1,50","90,00","70,00","in Betrieb","30.11.2001",,"543706","5509008","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","RE Power","MD 70","1,50","90,00","70,00","in Betrieb","30.11.2001",,"543906","5508981","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","RE Power","MD 70","1,50","90,00","70,00","in Betrieb","30.11.2001",,"544120","5508948","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","Fuhrländer","FL 100","1,00","70,00","54,00","in Betrieb","30.11.2007",,"543968","5508442","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","Fuhrländer","FL 100","1,00","70,00","54,00","in Betrieb","30.11.2001",,"544125","5508649","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","Enercon","E-40/6.44","0,60","77,90","44,00","in Betrieb","14.08.2002",,"544590","5508729","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","Enercon","E-40/6.44","0,60","77,90","44,00","in Betrieb","14.08.2002",,"544764","5508562","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","Enercon","E-58/1000 kW","1,00","70,50","58,60","in Betrieb","30.11.2001",,"544481","5508469","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","Vestas","V52","0,85","74,00","52,00","in Betrieb","30.11.2001",,"543180","5508804","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","Vestas","V52","0,85","74,00","52,00","in Betrieb","30.11.2001",,"543186","5508630","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wertheim","Vestas","V52","0,85","74,00","52,00","in Betrieb","30.11.2001",,"543212","5509122","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Freudenberg","RE Power","MM 82/100","2,00","100,00","82,00","in Betrieb","02.01.2007",,"525684","5510454","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Freudenberg","RE Power","MM 82/100","2,00","100,00","82,00","in Betrieb","02.01.2007",,"526039","5510374","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","RE Power","MM92","2,00","100,00","92,50","in Betrieb","01.04.2011",,"570177","5481538","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Werbach","Enercon","E82 E-2","2,30","138,38","82,00","in Betrieb","01.07.2012",,"550416","5501486","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Werbach","Enercon","E82","2,00","108,38","82,00","in Betrieb","01.07.2012",,"551160","5501697","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Werbach","Enercon","E82","2,00","108,38","82,00","in Betrieb","01.07.2012",,"551094","5502099","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wittighausen","Vestas","V47","0,66","65,00","47,00","in Betrieb","20.09.2002",,"558249","5496714","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wittighausen","Vestas","V47","0,66","65,00","47,00","in Betrieb","20.09.2002",,"557858","5496740","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wittighausen","Vestas","V47","0,66","65,00","47,00","in Betrieb","20.09.2002",,"557953","5496894","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wittighausen","Vestas","V47","0,66","65,00","47,00","in Betrieb","20.09.2002",,"558394","5497009","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wittighausen","Vestas","V47","0,66","65,00","47,00","in Betrieb","20.09.2002",,"558452","5496805","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wittighausen","Vestas","V47","0,66","65,00","47,00","in Betrieb","20.09.2002",,"558083","5497034","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wittighausen","Vestas","V47","0,66","65,00","47,00","in Betrieb","20.09.2002",,"558174","5496900","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wittighausen","Vestas","V47","0,66","65,00","47,00","in Betrieb","20.09.2002",,"558064","5496707","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Wittighausen","Vestas","V47","0,66","65,00","47,00","in Betrieb","20.09.2002",,"558350","5497183","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Niederstetten","Vestas","V 126","3,60","137,00","126,00","in Betrieb","11.05.2021",,"563026","5476524","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Tauberbischofsheim","Vestas","V 126","3,30","149,00","126,00","in Betrieb","31.12.2017",,"544449","5494587","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Tauberbischofsheim","Vestas","V 126","3,30","149,00","126,00","in Betrieb","16.01.2018",,"544527","5494205","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Tauberbischofsheim","Vestas","V 126","3,30","149,00","126,00","in Betrieb","10.02.2018",,"543952","5494208","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim-Pülfringen","Enercon","E-115","4,20","149,00","115,70","in Betrieb","12.12.2024",,"537410","5493066","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim-Pülfringen","Enercon","E-115","4,20","149,00","115,70","in Betrieb","16.12.2024",,"537951","5493732","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim-Pülfringen","Enercon","E-138","4,20","160,00","138,00","in Betrieb","23.01.2025",,"537683","5494148","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Ahorn","General Electrics","GE 2.75-120","2,78","139,00","120,00","in Betrieb","30.03.2017",,"541420","5480829","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Tauberbischofsheim-Dittwar","Vestas Wind Systems ","V162-5.6MW","5,60","169,00","162,00","in Betrieb","10.06.2024",,"546173","5491423","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Kirchberg","Vestas","V126","3,30","137,00","126,00","in Betrieb","31.03.2016",,"570549","5447837","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Kirchberg","Vestas","V126","3,30","137,00","126,00","in Betrieb","29.04.2016",,"568422","5448574","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Kirchberg","Vestas","V126","3,30","137,00","126,00","in Betrieb","06.05.2016",,"567763","5448496","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Kirchberg","Vestas","V126","3,30","137,00","126,00","in Betrieb","12.05.2016",,"568989","5448691","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Rot am See","Vestas","V126","3,30","137,00","126,00","in Betrieb","28.09.2016",,"582117","5462198","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Rot am See","Vestas","V126","3,30","137,00","126,00","in Betrieb","30.09.2016",,"581911","5461671","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Rot am See","Vestas","V126","3,30","137,00","126,00","in Betrieb","23.09.2016",,"582476","5462275","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Obersontheim","Vestas","V136","3,60","149,00","136,00","in Betrieb","23.11.2017",,"560797","5428728","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Obersontheim","Vestas","v136","3,65","149,00","136,00","in Betrieb","23.01.2018",,"561234","5428576","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Obersontheim","Vestas","V136","3,60","149,00","136,00","in Betrieb","19.12.2017",,"561495","5428274","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Bühlerzell","Vestas","V136","3,60","149,00","136,00","in Betrieb","28.12.2017",,"562525","5428061","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Bühlerzell","Vestas","V136","3,60","149,00","136,00","in Betrieb","13.12.2017",,"562342","5427622","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Obersontheim","Vestas","V136","3,60","149,00","136,00","in Betrieb","19.12.2017",,"561872","5428083","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Obersontheim","Vestas","V136","3,60","149,00","136,00","in Betrieb","19.12.2017",,"561280","5427841","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Obersontheim","Vestas","V136","3,60","149,00","136,00","in Betrieb","19.12.2017",,"560785","5428034","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Obersontheim","Vestas","V136","3,60","149,00","136,00","in Betrieb","19.12.2017",,"560206","5427865","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Wallhausen","Enercon","E-115","3,00","149,00","115,71","in Betrieb","28.06.2018",,"577166","5455641","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Wallhausen","Enercon","E-115","3,00","149,00","115,71","in Betrieb","25.03.2018",,"576924","5455204","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Langenburg","Vestas","V126","3,30","137,00","126,00","in Betrieb","21.12.2017",,"563405","5458691","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Langenburg","Vestas","V126","3,30","137,00","126,00","in Betrieb","21.12.2017",,"562819","5458568","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Langenburg","Vestas","V126","3,45","117,00","126,00","in Betrieb","31.12.2017",,"563110","5457970","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Langenburg","Vestas","V126","3,30","137,00","126,00","in Betrieb","31.12.2017",,"563814","5458187","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Blaufelden","Vestas","V126","3,45","117,00","126,00","in Betrieb","31.01.2018",,"564017","5459897","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Langenburg","Vestas","V126","3,30","137,00","126,00","in Betrieb","07.12.2017",,"564098","5459542","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Langenburg","Vestas","V126","3,30","137,00","126,00","in Betrieb","17.11.2017",,"564030","5459153","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Blaufelden","Vestas","V126","3,30","137,00","126,00","in Betrieb","08.12.2017",,"564609","5459106","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Blaufelden","Vestas","V126","3,30","137,00","126,00","in Betrieb","23.12.2017",,"564917","5458739","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Langenburg","Vestas","V126","3,30","137,00","126,00","in Betrieb","17.11.2017",,"564113","5458782","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Langenburg","Vestas","V126","3,45","117,00","126,00","in Betrieb","31.12.2017",,"564679","5458085","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Langenburg","Vestas","V126","3,30","137,00","126,00","in Betrieb","31.12.2017",,"565010","5458371","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Bühlertann","VESTAS","V126","3,30","149,00","126,00","in Betrieb","15.05.2017",,"570786","5430862","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Bühlertann","VESTAS","V126","3,30","149,00","126,00","in Betrieb","17.05.2017",,"571497","5430611","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Bühlertann","VESTAS","V126","3,30","149,00","126,00","in Betrieb","04.05.2017",,"570816","5430317","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Bühlertann","VESTAS","V126","3,30","149,00","126,00","in Betrieb","04.05.2017",,"571020","5429991","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Gerabronn","VESTAS","V126","3,30","149,00","126,00","in Betrieb","01.09.2017",,"564736","5450031","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Gerabronn","VESTAS","V126","3,30","149,00","126,00","in Betrieb","05.09.2017",,"565176","5449997","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Gerabronn","VESTAS","V126","3,30","149,00","126,00","in Betrieb","16.09.2017",,"565386","5450267","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Fichtenau","VESTAS","V126","3,30","149,00","126,00","in Betrieb","13.09.2017",,"587265","5438709","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Fichtenau","VESTAS","V126","3,30","149,00","126,00","in Betrieb","13.09.2017",,"587570","5438343","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Fichtenau","VESTAS","V126","3,30","149,00","126,00","in Betrieb","13.09.2017",,"587845","5438154","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Stimpfach","Enercon","E-115","3,00","149,00","115,71","in Betrieb","05.07.2017",,"582485","5434648","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Stimpfach","Enercon","E-115","3,00","149,00","115,71","in Betrieb","16.06.2017",,"582159","5434303","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Stimpfach","Enercon","E-115","3,00","149,00","115,71","in Betrieb","09.06.2017",,"581800","5433580","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Michelfeld","Vestas","V136","3,60","149,00","136,00","in Betrieb","21.12.2017",,"546908","5438856","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Michelfeld","Vestas","V136","3,60","149,00","136,00","in Betrieb","24.11.2018",,"546465","5437878","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Michelfeld","Vestas","V136","3,60","149,00","136,00","in Betrieb","30.01.2018",,"546732","5437535","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Mainhardt","Vestas","V136","3,60","149,00","136,00","in Betrieb","29.11.2017",,"546830","5436917","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Mainhardt","Vestas","V136","3,60","149,00","136,00","in Betrieb","29.11.2017",,"546536","5436517","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Mainhardt","Vestas","V136","3,60","149,00","136,00","in Betrieb","29.11.2017",,"547151","5436621","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Rot am See-Brettenfeld","Nordex","N131","3,30","134,00","131,00","in Betrieb","29.09.2017",,"573587","5458300","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Rot am See-Brettenfeld","Nordex","N131","3,30","134,00","131,00","in Betrieb","29.09.2017",,"573406","5457879","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Rot am See","Vestas","V126","3,30","149,00","126,00","in Betrieb","29.09.2017",,"568927","5453661","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Rot am See","Vestas","V126","3,30","149,00","126,00","in Betrieb","29.09.2017",,"568832","5453279","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Rot am See","Vestas","V126","3,30","149,00","126,00","in Betrieb","29.09.2017",,"569362","5453432","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Rot am See","Vestas","V126","3,30","137,00","126,00","in Betrieb","27.06.2019",,"581666","5461922","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Kreßberg","Vensys","VE-112","2,50","140,00","112,00","in Betrieb","13.11.2020",,"583777","5442256","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Crailsheim","Enercon","E-138 EP3 E2 BM 01","4,20","160,00","138,59","in Betrieb","23.11.2021",,"569584","5443351","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Crailsheim","Enercon","E-138 EP3 E2 BM 01","4,20","160,00","138,59","in Betrieb","23.11.2021",,"569926","5442984","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Craislheim","Enercon","E-138 EP3 E2 BM 01","4,20","160,00","138,59","in Betrieb","23.11.2021",,"570031","5442603","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Crailsheim","Enercon","E-138 EP3 E2 BM 01","4,20","160,00","138,59","in Betrieb","26.11.2021",,"570686","5442670","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Kreßberg","Vensys","VE 120","3,00","139,80","120,00","in Betrieb","01.02.2021",,"583821","5442692","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Ilshofen","Enercon","E-138 EP3 E2","4,20","149,00","138,25","in Betrieb","24.06.2024",,"568523","5443339","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Ilshofen","Enercon","E-138 EP3 E2","4,20","160,00","138,25","in Betrieb","31.07.2023",,"565021","5448753","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Sulzbach-Laufen","Enercon","E-160 EP5 E3","5,56","166,60","160,00","in Betrieb","28.11.2024",,"561567","5427413","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Sulzbach-Laufen","Enercon","E-160 EP5 E3","5,56","166,60","160,00","in Betrieb","03.12.2024",,"561861","5426770","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Sulzbach-Laufen","Enercon","E-160 EP5 E3","5,56","166,60","160,00","in Betrieb","15.11.2024",,"561932","5426245","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Sulzbach-Laufen","Enercon","E-160 EP5 E3","5,56","166,60","160,00","in Betrieb","28.11.2024",,"562537","5427237","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Sulzbach-Laufen","Enercon","E-160 EP5 E3","5,56","166,60","160,00","in Betrieb","07.11.2024",,"562875","5426740","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Sulzbach-Laufen","Enercon","E-160 EP5 E3","5,56","166,60","160,00","in Betrieb","10.12.2024",,"563130","5426365","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Sulzbach-Laufen","Enercon","E-160 EP5 E3","5,56","166,60","160,00","in Betrieb","26.11.2024",,"563443","5425945","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Frankenhardt-Honhardt","Enercon","Enercon E-138 EP3 E3","4,26","160,00","138,25","in Betrieb","22.10.2025",,"573655","5432931","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Wolpertshausen","DeWind","D 4","0,60","70,00","48,00","in Betrieb","01.07.2001",,"562539","5445486","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Schrozberg","NEG Micon","NM 82","1,50","108,60","82,10","in Betrieb","01.07.2004",,"572807","5462281","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Schrozberg","NEG Micon","NM 82","1,50","108,60","82,10","in Betrieb","01.07.2004",,"573110","5462611","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Schrozberg","NEG Micon","NM 82","1,50","108,60","82,10","in Betrieb","01.07.2004",,"572172","5462136","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Langenburg","Fuhrländer","Fuhrländer 1000","1,00","70,00","54,00","in Betrieb","01.07.2000",,"560610","5453484","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Langenburg","Fuhrländer","Fuhrländer 1000","1,00","70,00","54,00","in Betrieb","01.07.2002",,"561010","5454116","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Crailsheim","Fuhrländer","MD 77","1,50","100,00","77,00","in Betrieb","01.07.2005",,"583289","5441230","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Kirchberg","Vestas","V 90","2,00","105,00","90,00","in Betrieb","01.07.2009",,"569253","5448415","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Kirchberg","Vestas","V 90","2,00","105,00","90,00","in Betrieb","01.07.2009",,"569745","5448429","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Vestas","V90 - 2,0 MW OptiSpeed","2,00","105,00","90,00","in Betrieb","14.09.2004",,"541586","5484596","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Vestas","V90-2,0 MW OptiSpeed","2,00","105,00","90,00","in Betrieb","14.09.2004",,"541046","5484028","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Vestas","V90 - 2,0 MW OptiSpeed","2,00","105,00","90,00","in Betrieb","14.09.2004",,"541695","5484411","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","Enercon","E40 / WK III","0,60","78,00","44,00","in Betrieb","13.09.2001",,"537635","5493770","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","Enercon","E40","0,60","78,00","44,00","in Betrieb","13.09.2001",,"537683","5493244","LUBW      ","2025"
"Stadt Stuttgart","Stuttgart","Enercon GmbH","Enercon E40","0,50","46,00","40,00","in Betrieb","16.03.2000",,"507150","5408675","LUBW      ","2025"
"Landratsamt Göppingen","Bad Ditzenbach","Vestas Deutschland GmbH","Vestas V52","0,85","74,00","52,00","in Betrieb","30.08.2000",,"552166","5378191","LUBW      ","2025"
"Landratsamt Göppingen","Böhmenkirch-Heidhöfe","Südwind Energy GmbH","Fuhrländer MD70","1,50","85,00","70,00","in Betrieb","30.07.2007",,"569888","5393818","LUBW      ","2025"
"Landratsamt Göppingen","Böhmenkirch-Heidhöfe","Südwind Energy GmbH","Südwind S-70","1,50","85,00","70,00","in Betrieb","20.06.2001",,"569714","5394589","LUBW      ","2025"
"Landratsamt Göppingen","Böhmenkirch-Schnittlingen","DeWind","D 6-1000","1,00","74,00","52,00","in Betrieb","05.10.2001",,"563717","5390758","LUBW      ","2025"
"Landratsamt Göppingen","Bad Ditzenbach","Vestas Deutschland GmbH","Vestas V52","0,85","74,00","52,00","in Betrieb","30.08.2000",,"552286","5377864","LUBW      ","2025"
"Landratsamt Göppingen","Bad Ditzenbach","Vestas Deutschland GmbH","Vestas V52","0,85","74,00","52,00","in Betrieb","30.08.2000",,"551909","5377707","LUBW      ","2025"
"Landratsamt Göppingen","Böhmenkirch-Heidhöfe","Südwind Energy GmbH","Südwind S-70","1,50","85,00","70,00","in Betrieb","20.06.2001",,"569725","5394163","LUBW      ","2025"
"Landratsamt Göppingen","Geislingen","Vestas Deutschland GmbH","Vestas V90","2,00","105,00","90,00","in Betrieb","29.06.2006",,"562695","5389788","LUBW      ","2025"
"Landratsamt Göppingen","Geislingen-Stötten","Vestas Deutschland GmbH","Vestas V52","0,85","74,00","52,00","in Betrieb","04.11.2002",,"563211","5390612","LUBW      ","2025"
"Landratsamt Göppingen","Geislingen-Stötten","Vestas Deutschland GmbH","Vestas V52","0,85","74,00","52,00","in Betrieb","04.11.2002",,"563209","5390462","LUBW      ","2025"
"Landratsamt Göppingen","Geislingen-Stötten","Vestas Deutschland GmbH","Vestas V52","0,85","74,00","52,00","in Betrieb","04.11.2002",,"563220","5390277","LUBW      ","2025"
"Landratsamt Göppingen","Geislingen","Vestas","Vestas V80","2,00","78,00","80,00","in Betrieb","05.04.2002",,"555205","5381338","LUBW      ","2025"
"Landratsamt Göppingen","Geislingen-Aufhausen","Vestas Deutschland GmbH","Vestas V80","2,00","78,00","80,00","in Betrieb","05.04.2002",,"555212","5381064","LUBW      ","2025"
"Landratsamt Göppingen","Geislingen-Stötten","Vestas Deutschland GmbH","Vestas V44","0,60","50,00","44,00","in Betrieb","05.11.1996",,"563568","5390371","LUBW      ","2025"
"Landratsamt Göppingen","Geislingen-Aufhausen","Vestas Deutschland GmbH","Vestas V90","2,00","105,00","90,00","in Betrieb","06.09.2005",,"555282","5380786","LUBW      ","2025"
"Landratsamt Göppingen","Geislingen-Aufhausen","Vestas Deutschland GmbH","Vestas V90","2,00","105,00","90,00","in Betrieb","06.09.2005",,"555590","5380526","LUBW      ","2025"
"Landratsamt Göppingen","Wiesensteig","NEC Micon, Dänemark","NEC NEC Micon NM 750/48","0,75","70,00","48,00","in Betrieb","21.06.1999",,"545810","5377930","LUBW      ","2025"
"Landratsamt Göppingen","Wiesensteig","NEC Micon, Dänemark","NEC Micon NM 750/48","0,75","70,00","48,00","in Betrieb","21.06.1999",,"546301","5377871","LUBW      ","2025"
"Landratsamt Göppingen","Wiesensteig","NEC Micon, Dänemark","NEC Micon NM 750/48","0,75","70,00","48,00","in Betrieb","21.06.1999",,"545772","5377713","LUBW      ","2025"
"Landratsamt Göppingen","Wiesensteig","NEC Micon, Dänemark","NEC Micon NM 750/48","0,75","70,00","48,00","in Betrieb","21.06.1999",,"545868","5377581","LUBW      ","2025"
"Landratsamt Göppingen","Wiesensteig","NEC Micon, Dänemark","NEC Micon NM 750/48","0,75","70,00","48,00","in Betrieb","21.06.1999",,"545711","5378182","LUBW      ","2025"
"Landratsamt Göppingen","Böhmenkirch","Südwind Energy GmbH","Südwind S-70","1,50","85,00","70,00","in Betrieb","20.06.2001",,"569746","5394362","LUBW      ","2025"
"Landratsamt Göppingen","Geislingen-Stötten","Vestas Deutschland GmbH","Vestas V52","0,85","74,00","52,00","in Betrieb","04.11.2002",,"563243","5390786","LUBW      ","2025"
"Landratsamt Göppingen","Wiesensteig","NEG Micon, Dänemark","NEG Micon NM 750/48","0,75","70,00","48,00","in Betrieb","21.06.1999",,"545816","5378331","LUBW      ","2025"
"Landratsamt Göppingen","Geislingen","Vestas Deutschland GmbH","Vestas V90","2,00","105,00","92,00","in Betrieb","29.06.2006",,"562596","5390141","LUBW      ","2025"
"Landratsamt Göppingen","Donzdorf","GE Power & Water Company","GE 2.75-120","2,78","139,00","120,00","in Betrieb","19.01.2018",,"560168","5388546","LUBW      ","2025"
"Landratsamt Göppingen","Donzdorf","GE Power & Water Company","GE 2.75-120","2,78","139,00","120,00","in Betrieb","31.12.2017",,"560267","5388230","LUBW      ","2025"
"Landratsamt Göppingen","Donzdorf","GE Power & Water Company","GE 2.75-120","2,78","139,00","120,00","in Betrieb","31.12.2017",,"560202","5387890","LUBW      ","2025"
"Landratsamt Göppingen","Hohenstadt, Flst. 2191","Nordex","N149","4,50","164,00","149,00","in Betrieb","05.06.2023",,"547360","5375703","LUBW      ","2025"
"Landratsamt Göppingen","Hohenstadt, Flst. 1760","Nordex","N131","3,60","134,00","131,00","in Betrieb","05.06.2023",,"547587","5375114","LUBW      ","2025"
"Landratsamt Göppingen","Hohenstadt, Flst. 1215","Nordex","N149","4,50","164,00","149,00","in Betrieb","05.06.2023",,"548398","5374395","LUBW      ","2025"
"Landratsamt Göppingen","Ebersbach an der Fils, Flst. 3608/2","Nordex","N149/ 4.0-4.5","4,50","164,00","149,00","in Betrieb","20.12.2024",,"537544","5399576","LUBW      ","2025"
"Landratsamt Göppingen","Ebersbach an der Fils, Flst. 1062","Nordex","N149/4.0-4.5","4,50","164,00","149,00","in Betrieb","20.12.2024",,"538111","5399101","LUBW      ","2025"
"Landratsamt Göppingen","Drackenstein","Nordex ","N131/3300","3,30","164,00","131,00","in Betrieb","21.08.2020",,"551556","5376654","LUBW      ","2025"
"Landratsamt Göppingen","Drackenstein","Nordex","N131/3300","3,30","164,00","131,00","in Betrieb","21.08.2020",,"551455","5377819","LUBW      ","2025"
"Landratsamt Göppingen","Drackenstein","Nordex","N131/3300","3,30","164,00","131,00","in Betrieb","21.08.2020",,"552059","5376858","LUBW      ","2025"
