"Status","","'=","in Betrieb",""
"","","'=","genehmigt, noch nicht in Betrieb",""


"Zuständige Dienststelle","Standortgemeinde","Hersteller","Typbezeichnung des Herstellers","Generatorleistung [MW]","Nabenhöhe [m]","Rotordurchmesser [m]","Status","Inbetriebnahmedatum","Stilllegedatum","Ost","Nord","Herkunft der Daten","Stand der Daten"
"Landratsamt Schwäbisch-Hall","Gaildorf","GE","GE 3.6-137","3,60","153,48","137,00","in Betrieb","21.12.2017",,"558224","5428904","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Gaildorf","GE","GE 3.6-137","3,60","172,18","137,00","in Betrieb","28.11.2017",,"558978","5428077","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Gaildorf","GE ","GE 3.6-137","3,60","166,48","137,00","in Betrieb","06.12.2017",,"559235","5427446","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Gaildorf","GE","GE 3.6-137","3,60","173,48","137,00","in Betrieb","14.12.2017",,"559406","5426863","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Ilshofen","Enercon","E-101","3,05","149,00","101,00","in Betrieb","26.06.2015",,"564876","5449333","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Ilshofen","Enercon","E-101","3,05","149,00","101,00","in Betrieb","28.07.2014",,"565050","5449590","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Braunsbach","Enercon","E-115","3,00","149,00","115,72","in Betrieb","15.11.2016",,"559298","5454939","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Braunsbach","Enercon","E-115","3,00","149,00","115,72","in Betrieb","12.12.2016",,"558981","5454615","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Braunsbach","Enercon","E-115","3,00","149,00","115,72","in Betrieb","30.12.2016",,"559456","5454607","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Braunsbach","Enercon","E-115","3,00","149,00","115,72","in Betrieb","21.12.2016",,"558677","5454279","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Braunsbach","Enercon","E-101","3,00","149,00","101,00","in Betrieb","21.12.2016",,"560024","5452363","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Michelbach an der Bilz","Vestas","V126","3,30","137,00","126,00","in Betrieb","13.11.2015",,"557595","5434336","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Michelbach an der Bilz","Vestas","V126","3,30","137,00","126,00","in Betrieb","18.11.2015",,"557963","5434064","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Michelbach an der Bilz","Vestas","V126","3,30","137,00","126,00","in Betrieb","30.11.2015",,"557375","5433804","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Michelbach an der Bilz","Vestas","V126","3,30","137,00","126,00","in Betrieb","25.11.2015",,"558106","5433726","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Gaildorf","Vestas","V126","3,30","137,00","126,00","in Betrieb","11.12.2015",,"558281","5433135","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Gaildorf","Vestas","V126","3,30","137,00","126,00","in Betrieb","18.12.2015",,"558121","5432732","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Obersontheim","Vestas","V126","3,30","137,00","126,00","in Betrieb","23.12.2015",,"558681","5432267","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Kirchberg","Vestas","V126","3,30","137,00","126,00","in Betrieb","21.04.2016",,"569149","5449063","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Kirchberg","Vestas","V126","3,30","137,00","126,00","in Betrieb","15.04.2016",,"570244","5448851","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Kirchberg","Vestas","V126","3,30","137,00","126,00","in Betrieb","20.05.2016",,"569996","5448118","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Kirchberg","Vestas","V126","3,30","137,00","126,00","in Betrieb","30.03.2016",,"570567","5448382","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","Enercon","E40","0,60","78,00","44,00","in Betrieb","13.09.2001",,"537512","5493324","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","Enercon","E40","0,60","78,00","44,00","in Betrieb","13.09.2001",,"537924","5493397","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","Enercon","E40","0,60","78,00","44,00","in Betrieb","13.09.2001",,"537968","5493271","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","Enercon","E40","0,60","78,00","44,00","in Betrieb","13.09.2001",,"537863","5493508","LUBW      ","2025"
