Labornummer Tübingen;Profil_2;Horizont_43;Tiefe_44;Horizontbezeichnung_45;East_84;North_85;Neigung_16;Expozition_17;Corg;CaCO3;Ca ;Mg ;K ;Na;Kationen ;KAKpot ;KAKpot 2;gS;mS ;fS;S;gU;mU;fU;U;gT;mT+fT ; T ;S+U+T;Bodenart
[];[];[];[cm];[];[];[];[ % ];[];[%];[%];[mmol/kg];[mmol/kg];[mmol/kg];[mmol/kg];[mmol/kg];[mmol/kg];[cmol/kg];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[]
50875;138;4;65;II Sd-Bt;499006;5382346;4;S;0,21;0;68,01;31,75;0,58;0,50;100,34;171,23;17,12;4,56;8,05;6,32;18,90;11,30;17,10;8,00;36,40;6,10;38,10;44,20;99,50;Lt3
50876;138;5;100;III lCv;499006;5382346;4;S;0,20;0;83,33;41,10;1,13;0,50;125,56;197,45;19,74;1,12;4,21;4,61;9,90;14,10;20,50;9,10;43,70;8,20;38,30;46,50;100,10;Tu2
50979;144;1;9;Aeh;499241;5382136;5;S;4,73;0;11,89;2,39;0,25;0,50;14,27;172,65;17,26;3,68;14,91;24,72;43,30;13,50;16,90;9,60;40,00;5,10;11,60;16,70;100,00;Slu
50980;144;2;17;Bv;499241;5382136;5;S;1,77;0;1,55;0,10;3,32;0,50;4,87;106,87;10,69;4,48;14,22;22,50;41,20;12,00;18,00;10,80;40,80;7,40;10,70;18,10;100,10;Ls2
50981;144;3;36;Sw;499241;5382136;2;S;0,67;0;1,30;0,10;0,25;0,50;1,30;53,43;5,34;4,98;14,06;22,54;41,60;12,00;16,60;10,40;39,00;6,80;12,80;19,60;100,20;Ls3
50982;144;4;57;II P-Sd;499241;5382136;2;S;0,32;0;30,24;16,57;0,78;0,50;47,59;141,67;14,17;2,58;15,29;26,37;44,20;5,70;7,90;5,50;19,10;5,00;31,30;36,30;99,60;Lts
50983;144;5;98;III Cv;499241;5382136;2;S;0,12;0;51,90;26,91;1;0,50;79,82;110,14;11,01;3,97;18,46;33,06;55,50;5,80;6,90;5,30;18,00;4,60;21,50;26,10;99,60;Lts
51004;149;1;19;Ah;498797;5381814;5;S;4,52;0;109;58,77;0,25;0,50;167,77;265,77;26,58;4,51;12,36;12,74;29,60;7,60;10,00;10,50;28,10;8,50;33,30;41,80;99,50;Lts
51005;149;2;40;Go-M;498797;5381814;5;S;0,93;0;63,49;45,75;0,25;0,50;109,24;152,48;15,25;11;12,97;14,54;38,50;5,10;8,60;11,30;25,00;11,70;24,00;35,70;99,20;Lts
51006;149;3;71;Gr-M;498797;5381814;5;S;0,28;0;58,62;53,43;0,25;0,50;112,05;135,83;13,58;17,12;16,02;7,41;40,60;3,00;5,10;10,20;18,30;11,50;29,70;41,20;100,10;Lts
51007;149;4;100;II lCv;498797;5381814;5;S;0,23;0;64,59;58,54;3,02;0,50;126,15;143,04;14,30;10,73;16,92;11,42;39,10;4,90;7,60;10,10;22,60;9,50;29;38,50;100,20;Lts
51043;159;1;4;Ah;498882;5381304;20;SW;3,73;0;24,88;10,93;2,76;0,50;38,58;171,95;17,20;4,55;5,45;12,86;22,90;19,80;19,40;12,10;51,30;7,80;18,60;26,40;100,60;Lu
51044;159;2;34;Bv;498882;5381304;20;SW;0,65;0;3,11;4,81;0,80;0,50;8,71;72,15;7,22;5,52;6,54;12,80;24,90;18,50;18,90;12,60;50,00;10,00;15,00;25,00;99,90;Lu
51045;159;3;51;II P-Bv;498882;5381304;20;SW;0,43;0;56,50;60,14;0,25;0,50;116,63;183,63;18,36;3,13;4,83;5,83;13,80;9,30;14,60;9,20;33,10;7,30;45,60;52,90;99,80;Tu2
51046;159;4;66;II P;498882;5381304;20;SW;0,27;0;80,65;78,59;0,96;0,50;160,19;218,07;21,81;1,25;3,40;4,26;8,90;7,70;15,30;9,20;32,20;8,30;50;58,30;99,40;Tu2
51047;159;5;85;III lCv;498882;5381304;20;SW;0,18;0;84,34;82,31;0,25;0,50;167,67;202,72;20,27;2,73;5,38;6,02;14,10;8,40;14,60;9,70;32,70;8,00;44,50;52,50;99,30;Tu2
51068;164;1;4;Aeh;500991;5381663;45;SW;9,12;0;44,73;5,35;1,93;0,50;52,01;267,40;26,74;3,88;23,03;35,71;62,60;8,20;12,10;6,90;27,20;4,20;6;10,20;100,00;Sl3
51069;164;2;12;Bv;500991;5381663;45;SW;1,54;0;10,38;1,40;0,25;0,50;11,78;96,82;9,68;5,09;18,86;25,72;49,70;8,30;13,70;8,90;30,90;5,30;13,30;18,60;99,20;Ls3
51070;164;3;31;II Bv;500991;5381663;45;SW;0,59;0;7,32;1,73;0,60;0,50;9,65;33,34;3,33;14,07;21,62;26,42;62,10;6,70;9,90;6,70;23,30;4,40;10,50;14,90;100,30;Sl4
51071;164;4;75;III Pv;500991;5381663;45;SW;0,43;0;79,58;31,75;0,25;0,50;111,33;205,19;20,52;3,66;10,51;14,53;28,70;2,70;6,40;6,40;15,50;5,70;49,80;55,50;99,70;Tl
51102;171;1;6;Aeh;500031;5381634;4;S;5,04;0;21,86;7,42;2,28;0,50;31,56;189,80;18,98;4,07;3,96;30,62;38,60;16,50;16,50;11,10;44,10;7,70;9,80;17,50;100,20;Ls2
51103;171;2;20;Bv;500031;5381634;4;S;1,55;0;1,16;0,25;0,77;0,50;2,18;110,34;11,03;4,45;3,14;29,59;37,20;15,20;17;12;44,20;7,90;10,70;18,60;100,00;Ls2
51104;171;3;37;II Bv;500031;5381634;4;S;0,81;0;0,05;0,10;0,63;0,50;0,50;66,26;6,63;4,37;3,21;31,18;38,80;16,50;16,70;11,60;44,80;8,10;8,40;16,50;100,10;Slu
51105;171;4;81;III lCv;500031;5381634;4;S;0,14;0;5,57;13,96;1,89;0,50;21,42;68,12;6,81;1,27;3,24;59,15;63,70;9,20;8,20;6;23,40;4,10;9;13,10;100,20;Sl4
51106;171;5;95;III mCv;500031;5381634;4;S;0,13;0;5,33;21,23;2,21;0,50;28,77;73,51;7,35;0,18;3,38;63,23;66,80;7,70;7,50;5,20;20,40;3,80;9;12,80;100,00;Sl4
