participant,sex,age_range,do_you_have_a_mobile_phone,is_this_mobile_phone_yours_or_do_you_share_it,computer_searching,computer_studying,computer_others,mobile_searching,mobile_studying,mobile_others,which_social_media_platform_site_facebook_instagram_twitter_tiktok_snapchat_is_your_favourite_to_use_for_your_health_and_what_do_you_like_about_it,age_group,age_sex_group,mobile_phone_ownership,platform_for_health,platform_for_hisb,platform_for_health_topic,computer_socializing,computer_entertainment,mobile_socializing,mobile_entertainment,hisb_rate
93,F,Between 16 and 17 inclusive,1,Not shared,1,1,0,1,1,0,Youtube et chrome,16-17,16-17 F,2,social media,search engine,none,0,2,1,3,1
94,F,Greater than or equal to 18,1,Not shared,0,0,0,0,0,0,,>=18,>=18 F,2,,none,none,0,3,1,3,0
95,F,Greater than or equal to 18,1,Not shared,0,0,0,0,0,0,,>=18,>=18 F,2,,none,none,0,1,0,1,0
96,F,Greater than or equal to 18,1,Not shared,0,1,0,0,1,0,,>=18,>=18 F,2,,none,none,0,0,0,2,0
97,F,Between 16 and 17 inclusive,0,,0,0,0,0,0,0,,16-17,16-17 F,0,,none,none,0,1,0,0,0
98,M,Lower than or equal 15,1,Shared,1,1,0,1,1,0,,<=15,<=15 M,1,,none,none,0,2,2,0,0
99,M,Between 16 and 17 inclusive,1,Not shared,0,0,0,0,0,0,,16-17,16-17 M,2,,none,none,0,1,0,1,0
100,F,Greater than or equal to 18,1,Not shared,0,0,0,1,0,0,Facebook:chat aves les amisgoGoo,>=18,>=18 F,2,social media,search engine,app,0,1,0,0,1
101,M,Between 16 and 17 inclusive,1,Shared,0,0,0,0,0,0,,16-17,16-17 M,1,,none,none,0,1,0,1,0
102,M,Between 16 and 17 inclusive,1,Not shared,0,0,0,1,1,0,Tiktok,16-17,16-17 M,2,social media,social media,social media,0,1,1,3,1
103,F,Between 16 and 17 inclusive,0,,1,1,0,0,0,0,Facebook,16-17,16-17 F,0,social media,none,none,0,1,0,0,0
104,F,Between 16 and 17 inclusive,1,Not shared,1,1,0,1,1,0,Instagram ou tiktok et ils me plaît le plus car il y a des vidéos concernant la santé.,16-17,16-17 F,2,social media,social media,social media,1,0,3,3,2
105,M,Greater than or equal to 18,1,Not shared,0,1,0,1,1,0,,>=18,>=18 M,2,none,none,none,0,2,0,1,0
106,M,Between 16 and 17 inclusive,1,Not shared,0,1,0,1,1,0,,16-17,16-17 M,2,,none,none,0,3,0,1,0
107,F,Between 16 and 17 inclusive,1,Not shared,0,1,0,0,1,0,,16-17,16-17 F,2,,none,none,0,1,0,0,0
108,F,Between 16 and 17 inclusive,1,Not shared,0,0,0,0,0,0,,16-17,16-17 F,2,,none,none,0,2,1,2,0
109,F,Between 16 and 17 inclusive,1,Shared,0,1,0,0,0,0,,16-17,16-17 F,1,,none,none,0,0,0,1,0
110,F,Between 16 and 17 inclusive,1,Not shared,0,0,0,0,0,0,,16-17,16-17 F,2,,none,none,0,2,0,2,0
111,M,Between 16 and 17 inclusive,1,Shared,0,0,0,0,0,0,,16-17,16-17 M,1,,none,none,0,2,0,2,0
112,M,Greater than or equal to 18,1,Not shared,0,0,0,0,0,0,,>=18,>=18 M,2,,none,none,0,1,0,1,0
113,F,Between 16 and 17 inclusive,1,Shared,0,0,0,0,0,0,,16-17,16-17 F,1,,none,none,0,1,0,1,0
114,F,Between 16 and 17 inclusive,1,Not shared,1,0,0,0,0,0,"Moi je préfére le  Facebook et Instagram, mais le  Facebook qui me plaît le plus",16-17,16-17 F,2,social media,web site,social media,0,3,2,1,1
115,M,Lower than or equal 15,1,Not shared,1,0,0,0,1,0,,<=15,<=15 M,2,,none,none,1,0,0,3,0
116,M,Between 16 and 17 inclusive,1,Not shared,0,0,0,0,0,0,Facebook,16-17,16-17 M,2,social media,search engine,search engine,0,1,0,2,1
117,M,Between 16 and 17 inclusive,1,Not shared,1,1,0,0,0,0,Facebook. It help me to know more about  our health  or how to get  rid  of the  sick.,16-17,16-17 M,2,social media,social media,web site,1,0,1,2,1
118,M,Between 16 and 17 inclusive,1,Not shared,0,1,0,0,0,0,Tiktok,16-17,16-17 M,2,social media,social media,social media,0,2,2,1,1
119,F,Between 16 and 17 inclusive,1,Not shared,0,0,0,0,0,0,,16-17,16-17 F,2,,none,none,0,1,1,2,0
120,F,Between 16 and 17 inclusive,0,,0,1,0,0,0,0,,16-17,16-17 F,0,,none,none,0,0,0,0,0
121,F,Lower than or equal 15,0,,0,0,0,0,0,0,,<=15,<=15 F,0,,none,none,0,2,0,0,0
122,F,Between 16 and 17 inclusive,1,Not shared,0,1,0,0,0,0,,16-17,16-17 F,2,,none,none,0,1,1,1,0
123,M,Between 16 and 17 inclusive,0,,1,0,0,0,0,0,,16-17,16-17 M,0,,none,none,0,0,0,0,0
124,F,Lower than or equal 15,1,Not shared,0,0,0,0,0,0,,<=15,<=15 F,2,,none,none,0,1,0,1,0
125,M,Lower than or equal 15,0,,0,0,0,0,0,0,,<=15,<=15 M,0,,none,none,0,3,0,0,0
126,M,Lower than or equal 15,1,Not shared,0,1,0,0,1,0,,<=15,<=15 M,2,,none,none,0,2,0,3,0
127,F,Between 16 and 17 inclusive,0,,0,0,0,0,0,0,,16-17,16-17 F,0,,none,none,0,1,0,0,0
128,F,Lower than or equal 15,1,Not shared,1,1,0,0,0,0,,<=15,<=15 F,2,,none,none,1,0,1,3,0
129,F,Between 16 and 17 inclusive,0,,1,0,0,0,0,0,,16-17,16-17 F,0,,none,none,0,0,0,0,0
130,M,Between 16 and 17 inclusive,1,Not shared,0,0,0,0,0,0,,16-17,16-17 M,2,,none,none,1,0,0,1,0
131,M,Lower than or equal 15,0,,0,0,0,0,0,0,,<=15,<=15 M,0,,none,none,0,1,0,0,0
132,M,Greater than or equal to 18,0,,0,0,0,0,0,0,,>=18,>=18 M,0,,none,none,0,2,0,0,0
133,M,Lower than or equal 15,1,Not shared,0,0,0,0,0,1,,<=15,<=15 M,2,,none,none,0,2,2,3,0
134,M,Lower than or equal 15,1,Not shared,0,1,0,0,1,0,,<=15,<=15 M,2,,none,none,0,2,1,2,0
135,F,Lower than or equal 15,0,,0,0,0,0,0,0,,<=15,<=15 F,0,,none,none,0,1,0,0,0
136,F,Lower than or equal 15,1,Not shared,0,0,0,0,0,0,,<=15,<=15 F,2,,none,none,1,2,2,2,0
137,F,Lower than or equal 15,0,,0,1,0,0,0,0,,<=15,<=15 F,0,,none,none,0,1,0,0,0
138,F,Lower than or equal 15,0,,0,0,0,0,0,0,,<=15,<=15 F,0,,none,none,0,1,0,0,0
139,F,Between 16 and 17 inclusive,0,,0,1,0,0,0,0,,16-17,16-17 F,0,,none,none,0,0,0,0,0
140,F,Between 16 and 17 inclusive,0,,0,1,0,0,0,0,,16-17,16-17 F,0,,none,none,0,0,0,0,0
141,F,Lower than or equal 15,1,Shared,0,1,0,0,0,0,,<=15,<=15 F,1,,none,none,1,1,1,0,0
142,M,Lower than or equal 15,0,,0,0,0,0,0,0,,<=15,<=15 M,0,,none,none,0,1,0,0,0
143,F,Lower than or equal 15,0,,0,0,0,0,0,0,,<=15,<=15 F,0,,none,none,0,2,0,0,0
144,F,Between 16 and 17 inclusive,1,Not shared,0,0,0,0,0,0,,16-17,16-17 F,2,,none,none,0,2,2,2,0
145,F,Lower than or equal 15,1,Not shared,0,0,0,0,0,0,,<=15,<=15 F,2,,none,none,0,1,1,1,0
146,M,Lower than or equal 15,1,Not shared,0,0,0,0,0,0,,<=15,<=15 M,2,,none,none,1,0,1,0,0
147,M,Lower than or equal 15,1,Shared,0,0,0,0,0,0,,<=15,<=15 M,1,,none,none,0,1,0,1,0
148,F,,0,,0,0,0,0,0,0,Platform,,NA F,0,unclear,social media,web site,2,0,0,0,1
149,M,,1,Shared,0,0,0,0,0,0,,,NA M,1,,none,none,1,0,0,1,0
150,M,,1,Not shared,0,0,0,0,0,0,Facebook,,NA M,2,social media,social media,social media,1,0,0,1,1
151,M,,1,Not shared,0,0,0,0,0,0,Twitter,,NA M,2,social media,search engine,web site,0,1,0,1,1
152,F,,1,Not shared,0,0,0,0,0,0,,,NA F,2,,none,none,1,0,1,0,0
153,F,,1,Not shared,0,0,0,0,0,0,,,NA F,2,,none,none,0,1,0,1,0
154,M,,1,Not shared,0,0,0,0,0,0,,,NA M,2,none,none,none,0,1,0,1,0
155,M,Between 16 and 17 inclusive,1,Not shared,1,1,1,1,1,1,,16-17,16-17 M,2,,none,none,0,3,1,3,0
156,M,,1,Not shared,0,0,0,0,0,0,,,NA M,2,,none,none,0,1,0,1,0
157,M,,1,Not shared,0,1,0,0,0,0,,,NA M,2,,none,none,0,0,0,1,0
158,F,Between 16 and 17 inclusive,1,Not shared,1,0,0,1,0,0,,16-17,16-17 F,2,,none,none,0,0,0,0,0
159,F,,1,Not shared,0,0,0,0,0,0,,,NA F,2,,none,none,0,1,1,0,0
160,F,,1,Not shared,0,0,0,0,0,0,,,NA F,2,,none,none,0,1,0,1,0
161,F,,1,Not shared,0,1,1,0,1,1,Tiktok. what i like about them is  that they give some information about health.,,NA F,2,social media,social media,social media,1,0,1,1,2
162,F,,1,Not shared,1,0,0,0,0,0,Facebook,,NA F,2,social media,social media,social media,0,0,1,0,1
163,F,,0,,0,0,0,0,0,0,,,NA F,0,,none,none,0,1,0,0,0
164,M,,1,Not shared,0,0,0,0,0,0,,,NA M,2,,none,none,0,1,1,1,0
165,F,Between 16 and 17 inclusive,1,Not shared,1,0,0,1,0,0,,16-17,16-17 F,2,,none,none,0,0,0,0,0
166,M,,1,Not shared,1,0,0,0,0,0,,,NA M,2,,none,none,0,0,0,1,0
167,F,,1,Not shared,0,0,1,0,0,0,,,NA F,2,,none,none,0,0,1,0,0
168,M,,1,Not shared,1,1,0,0,1,0,,,NA M,2,,none,none,0,0,0,0,0
169,F,Lower than or equal 15,1,Not shared,0,0,0,0,0,0,,<=15,<=15 F,2,,none,none,0,1,1,0,0
170,F,,1,Not shared,0,1,0,0,0,0,Platform,,NA F,2,unclear,social media,social media,1,0,2,0,1
171,F,,0,,0,0,0,0,0,0,,,NA F,0,,none,none,0,1,0,0,0
172,F,,1,Not shared,0,0,1,0,0,0,,,NA F,2,,none,none,0,0,0,1,0
173,F,,1,Not shared,0,1,0,0,1,0,,,NA F,2,,none,none,0,0,0,0,0
174,F,Lower than or equal 15,0,,1,1,0,0,0,0,,<=15,<=15 F,0,,none,none,0,0,0,0,0
175,F,Between 16 and 17 inclusive,0,,1,0,0,0,0,0,,16-17,16-17 F,0,,none,none,0,0,0,0,0
176,F,,1,Not shared,1,1,1,0,1,1,Facebook,,NA F,2,social media,social media,,0,1,0,0,1
177,M,,1,Not shared,0,0,0,1,0,0,Facebook,,NA M,2,social media,social media,social media,0,2,0,2,1
178,F,Lower than or equal 15,1,Not shared,0,0,1,1,0,0,Google it gives information i dont know about,<=15,<=15 F,2,search engine,search engine,social media,0,0,2,2,1
179,M,Lower than or equal 15,1,Not shared,0,0,0,0,0,0,,<=15,<=15 M,2,,none,none,0,1,0,1,0
180,M,Between 16 and 17 inclusive,0,,0,0,0,0,0,0,,16-17,16-17 M,0,,none,none,0,1,0,0,0
181,M,Lower than or equal 15,1,Not shared,0,0,0,0,0,0,,<=15,<=15 M,2,,none,none,0,1,0,1,0
182,F,Lower than or equal 15,1,Not shared,1,0,0,1,0,0,,<=15,<=15 F,2,,none,none,0,1,0,1,0
183,F,Lower than or equal 15,1,Shared,0,0,0,0,0,0,,<=15,<=15 F,1,,none,none,0,1,1,0,0
184,F,Between 16 and 17 inclusive,1,Not shared,0,0,0,0,0,0,,16-17,16-17 F,2,,none,none,0,1,0,1,0
185,F,Lower than or equal 15,1,Not shared,0,0,0,1,0,0,,<=15,<=15 F,2,,none,none,1,0,0,0,0
186,F,Lower than or equal 15,1,Not shared,0,0,0,0,0,0,,<=15,<=15 F,2,,none,none,0,1,0,1,0
187,F,Lower than or equal 15,0,,1,0,0,0,0,0,,<=15,<=15 F,0,,none,none,0,0,0,0,0
188,F,Lower than or equal 15,1,Not shared,0,1,0,0,0,0,,<=15,<=15 F,2,,none,none,0,0,1,0,0
189,F,Lower than or equal 15,1,Not shared,0,1,0,0,1,0,,<=15,<=15 F,2,,none,none,0,1,0,2,0
190,F,Lower than or equal 15,1,Not shared,0,0,0,0,0,0,,<=15,<=15 F,2,,none,none,0,1,1,0,0
191,F,Lower than or equal 15,1,Not shared,0,0,0,0,0,0,,<=15,<=15 F,2,,none,none,0,1,1,0,0
192,M,,1,Not shared,0,0,0,0,0,0,,,NA M,2,,none,none,0,1,1,0,0
193,F,,1,Not shared,0,1,0,0,0,0,,,NA F,2,,none,none,0,0,0,1,0
194,F,,1,Not shared,0,0,0,0,0,0,,,NA F,2,,none,none,0,1,0,1,0
195,F,,0,,1,1,1,0,0,0,,,NA F,0,,none,none,0,2,0,0,0
196,F,,1,Not shared,0,0,0,0,0,0,Shows experiment video of health,,NA F,2,unclear,social media,none,0,3,1,3,1
197,F,Between 16 and 17 inclusive,1,Not shared,1,1,1,1,1,1,,16-17,16-17 F,2,,none,none,2,2,3,3,0
