Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Accuracy
2,2,2,6,1.926,0.928,1
2,1,1,5,1.952,1.427,1
2,2,2,6,1.501,0.892,1
2,2,2,6,2.074,1.088,1
2,1,1,5,1.833,1.639,1
2,2,2,6,1.475,0.858,1
2,2,2,5,2.386,0.911,1
2,1,1,5,1.685,1.344,1
2,2,2,6,1.686,0.905,1
2,1,2,4,1.935,1.069,0
2,2,2,6,1.353,1.089,1
2,2,2,6,1.504,0.774,1
2,1,1,6,1.201,0.833,1
2,2,2,6,1.62,0.788,1
2,1,1,6,1.638,0.861,1
2,2,2,5,2.335,0.868,1
2,2,2,6,2.026,0.747,1
2,1,1,3,1.956,0.931,1
2,1,1,3,2.557,0.922,1
2,2,2,5,2.034,1.271,1
2,2,2,6,2.958,1.002,1
2,2,2,5,2.843,1.092,1
2,2,2,6,2.084,0.955,1
2,1,1,6,1.312,0.789,1
2,1,1,6,2.367,0.782,1
2,1,2,6,3.052,0.837,0
2,2,2,6,1.233,0.778,1
2,2,2,6,1.476,0.754,1
2,1,1,6,1.226,0.755,1
2,1,2,4,2.117,1.31,0
2,2,2,6,1.378,0.737,1
2,1,1,6,0.979,0.747,1
2,1,1,4,1.664,0.824,1
2,1,2,6,0.94,1,0
2,1,1,5,2.4,1.368,1
2,1,1,5,1.559,1.135,1
2,2,2,6,1.244,0.732,1
2,1,2,5,1.909,1.025,0
2,2,2,4,1.522,1.058,1
2,1,1,4,3.047,1.119,1
2,1,1,4,2.558,0.968,1
2,1,1,4,2.174,0.85,1
2,1,1,5,2.074,0.744,1
2,2,1,4,2.772,1.383,0
2,2,2,3,2.83,1.012,1
2,2,2,5,1.631,0.752,1
2,2,1,3,2.693,0.778,0
2,2,2,6,1.651,0.743,1
2,2,2,6,2.408,0.712,1
2,2,2,6,1.411,0.777,1
2,1,1,6,2.642,1.082,1
2,2,2,5,1.294,1.171,1
2,2,2,5,1.871,0.741,1
2,1,1,4,2.346,0.932,1
2,2,2,5,1.768,1.231,1
2,2,2,6,3.339,0.881,1
2,1,1,6,1.989,0.732,1
2,2,2,4,1.748,0.864,1
2,2,1,4,2.38,0.696,0
2,2,2,6,1.935,0.789,1
2,1,1,6,1.759,1.069,1
2,1,1,6,1.046,0.69,1
2,1,1,5,3.382,1.015,1
2,1,1,6,1.599,0.661,1
2,1,1,6,1.455,0.77,1
2,2,1,3,1.591,1.418,0
2,2,2,6,1.341,0.883,1
2,2,2,4,2.361,0.953,1
2,1,1,4,2.472,0.854,1
2,1,1,4,3.714,0.862,1
2,1,1,5,1.258,0.743,1
2,1,1,4,3.625,1.383,1
2,1,1,5,1.477,0.886,1
2,1,1,6,1.75,1.088,1
2,1,1,3,2.812,0.844,1
