Fight_Id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id_x,Result_1,Result_2,Time Format,Referee,Method Details,Kd_1,Kd_2,Sig. Str._1,Sig. Str._2,Sig. Str. %_1,Sig. Str. %_2,Total Str._1,Total Str._2,Td_1,Td_2,Td %_1,Td %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_1,Head_2,Body_1,Body_2,Leg_1,Leg_2,Distance_1,Distance_2,Clinch_1,Clinch_2,Ground_1,Ground_2,Event_Id_y
7a72d7448159fb59,win,Anthony Johnson,Yoshiyuki Yoshida,1,0,10,0,0,0,0,0,Welterweight,KO/TKO Punch,1,0:41,7c0847d3854a95f2,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Punch to Head At Distance,1,0,10 of 20,0 of 1,50%,0%,10 of 20,0 of 1,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,9 of 19,0 of 0,1 of 1,0 of 1,0 of 0,0 of 0,5 of 9,0 of 1,5 of 11,0 of 0,0 of 0,0 of 0,7c0847d3854a95f2
5c612d2cc1f5da21,win,Ryan Bader,Eric Schafer,2,0,52,25,3,0,0,1,Light Heavyweight,U-DEC,3,5:00,7c0847d3854a95f2,W,L,3 Rnd (5-5-5),Josh Rosenthal,Cecil Peoples27 - 30.Tony Weeks27 - 29.Marcos Rosales27 - 30.,2,0,52 of 166,25 of 116,31%,21%,74 of 192,45 of 136,3 of 4,0 of 0,75%,---,0,1,0,0,4:24,0:01,46 of 159,23 of 112,1 of 1,1 of 3,5 of 6,1 of 1,33 of 131,23 of 114,5 of 7,2 of 2,14 of 28,0 of 0,7c0847d3854a95f2
d77a72e3fa8db853,win,Pat Barry,Antoni Hardonk,1,0,29,29,0,0,0,0,Heavyweight,KO/TKO Punches,2,2:30,7c0847d3854a95f2,W,L,3 Rnd (5-5-5),Josh Rosenthal,Punches to Head On Ground,1,0,29 of 64,29 of 72,45%,40%,31 of 66,29 of 72,0 of 0,0 of 2,---,0%,0,0,0,0,1:09,0:00,23 of 55,6 of 39,3 of 5,2 of 5,3 of 4,21 of 28,26 of 61,29 of 70,0 of 0,0 of 2,3 of 3,0 of 0,7c0847d3854a95f2
32ae3f0d43babd86,win,Chael Sonnen,Yushin Okami,0,0,91,25,4,0,0,1,Middleweight,U-DEC,3,5:00,7c0847d3854a95f2,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Nelson Hamilton27 - 30.Cecil Peoples27 - 30.Tony Weeks27 - 30.,0,0,91 of 281,25 of 154,32%,16%,144 of 337,29 of 158,4 of 7,0 of 0,57%,---,0,1,0,0,5:09,0:19,38 of 204,23 of 151,6 of 20,1 of 2,47 of 57,1 of 1,64 of 248,25 of 154,25 of 29,0 of 0,2 of 4,0 of 0,7c0847d3854a95f2
5a9ecff594dc6bb9,win,Jorge Rivera,Rob Kimmons,1,0,66,23,0,1,0,0,Middleweight,KO/TKO Punches,3,1:53,7c0847d3854a95f2,W,L,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Guard,1,0,66 of 136,23 of 54,48%,42%,135 of 224,88 of 120,0 of 0,1 of 3,---,33%,0,0,0,0,7:19,3:00,53 of 122,13 of 43,13 of 14,8 of 9,0 of 0,2 of 2,15 of 43,5 of 20,23 of 39,17 of 30,28 of 54,1 of 4,7c0847d3854a95f2
03c2cebad8d8c012,win,Kyle Kingsbury,Razak Al-Hassan,0,0,25,31,2,1,0,0,Light Heavyweight,S-DEC,3,5:00,7c0847d3854a95f2,W,L,3 Rnd (5-5-5),Jason Herzog,Susan Thomas-Gitlin29 - 28.Nelson Hamilton28 - 29.Cecil Peoples28 - 29.,0,0,25 of 98,31 of 79,25%,39%,76 of 149,45 of 93,2 of 6,1 of 4,33%,25%,0,0,0,1,5:29,3:49,8 of 69,13 of 50,6 of 10,7 of 13,11 of 19,11 of 16,17 of 83,26 of 63,5 of 9,5 of 15,3 of 6,0 of 1,7c0847d3854a95f2
1298d89922befa8c,win,Stefan Struve,Chase Gormley,0,0,12,8,1,1,3,1,Heavyweight,SUB Triangle Choke,1,4:04,7c0847d3854a95f2,W,L,3 Rnd (5-5-5),Jason Herzog,Triangle Choke From Bottom Guard,0,0,12 of 16,8 of 23,75%,34%,32 of 41,10 of 28,1 of 1,1 of 1,100%,100%,3,1,1,0,1:07,1:29,7 of 11,4 of 16,0 of 0,4 of 7,5 of 5,0 of 0,5 of 6,1 of 6,0 of 0,2 of 2,7 of 10,5 of 15,7c0847d3854a95f2
ec271393bc31ab72,win,Vitor Belfort,Rich Franklin,0,0,9,4,0,0,0,0,Catch Weight,KO/TKO Punch,1,3:02,896c322f56b8be5a,W,L,3 Rnd (5-5-5),Yves Lavigne,Punch to Head On Ground,0,0,9 of 22,4 of 19,40%,21%,9 of 22,4 of 19,0 of 0,0 of 1,---,0%,0,0,0,0,0:04,0:00,7 of 19,0 of 14,0 of 1,2 of 3,2 of 2,2 of 2,5 of 17,4 of 19,0 of 0,0 of 0,4 of 5,0 of 0,896c322f56b8be5a
2ff09ddaa2b78cc4,win,Junior Dos Santos,Mirko Filipovic,0,0,70,22,0,0,0,0,Heavyweight,KO/TKO Punches,3,2:00,896c322f56b8be5a,W,L,3 Rnd (5-5-5),Dan Miragliotta,"Punches to Head At Distance
      Submission - Eye Injury",0,0,70 of 157,22 of 49,44%,44%,83 of 170,24 of 51,0 of 0,0 of 1,---,0%,0,0,0,0,0:49,0:23,28 of 103,13 of 36,39 of 51,5 of 9,3 of 3,4 of 4,54 of 132,18 of 40,16 of 25,4 of 9,0 of 0,0 of 0,896c322f56b8be5a
acfa3a3c0d09bb57,win,Paul Daley,Martin Kampmann,0,0,27,12,0,0,0,0,Welterweight,KO/TKO Punches,1,2:31,896c322f56b8be5a,W,L,3 Rnd (5-5-5),Yves Lavigne,Punches to Head At Distance,0,0,27 of 63,12 of 35,42%,34%,29 of 65,12 of 35,0 of 0,0 of 2,---,0%,0,0,0,0,0:00,0:20,25 of 60,9 of 32,2 of 3,3 of 3,0 of 0,0 of 0,19 of 50,8 of 28,8 of 13,4 of 7,0 of 0,0 of 0,896c322f56b8be5a
