Event_Id,Name,Date,Location
5efaaf313b652dd7,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA"
6e380a4d73ab4f0e,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France"
754968e325d6f60d,UFC Fight Night: Walker vs. Zhang,"August 23, 2025","Shanghai, Hebei, China"
421ccfc6ddb17958,UFC 319: Du Plessis vs. Chimaev,"August 16, 2025","Chicago, Illinois, USA"
6cd3dfc54f01287f,UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025","Las Vegas, Nevada, USA"
f2c934689243fe4e,UFC Fight Night: Taira vs. Park,"August 02, 2025","Las Vegas, Nevada, USA"
28d8638ea0a71908,UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates"
b8e2f10efb6eca85,UFC 318: Holloway vs. Poirier 3,"July 19, 2025","New Orleans, Louisiana, USA"
7b03d9df5910917d,UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025","Nashville, Tennessee, USA"
66766984842c13dc,UFC 317: Topuria vs. Oliveira,"June 28, 2025","Las Vegas, Nevada, USA"
400c7b43c86d27d3,UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025","Baku, Azerbaijan"
de277a4abcfeea46,UFC Fight Night: Usman vs. Buckley,"June 14, 2025","Atlanta, Georgia, USA"
18c49685296c60e6,UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025","Newark, New Jersey, USA"
2a898bf9fb7710b3,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA"
8ad022dd81224f61,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA"
118463dd8db16e7f,UFC 315: Muhammad vs. Della Maddalena,"May 10, 2025","Montreal, Quebec, Canada"
de20ffb3fc2e7629,UFC Fight Night: Sandhagen vs. Figueiredo,"May 03, 2025","Des Moines, Iowa, USA"
b2e3aca4cd363477,UFC Fight Night: Machado Garry vs. Prates,"April 26, 2025","Kansas City, Missouri, USA"
22f4b6cb6b1bd7fd,UFC 314: Volkanovski vs. Lopes,"April 12, 2025","Miami, Florida, USA"
86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,"April 05, 2025","Las Vegas, Nevada, USA"
0f7210aa8d61af8d,UFC Fight Night: Moreno vs. Erceg,"March 29, 2025","Mexico City, Distrito Federal, Mexico"
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,"March 22, 2025","London, England, United Kingdom"
39f62b833e4cf126,UFC Fight Night: Vettori vs. Dolidze 2,"March 15, 2025","Las Vegas, Nevada, USA"
ca936c67687789e9,UFC 313: Pereira vs. Ankalaev,"March 08, 2025","Las Vegas, Nevada, USA"
9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,"March 01, 2025","Las Vegas, Nevada, USA"
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,"February 22, 2025","Seattle, Washington, USA"
ce7871949b0ed2bf,UFC Fight Night: Cannonier vs. Rodrigues,"February 15, 2025","Las Vegas, Nevada, USA"
e6015889f50075d2,UFC 312: Du Plessis vs. Strickland 2,"February 08, 2025","Sydney, New South Wales, Australia"
80dbeb1dd5b53e64,UFC Fight Night: Adesanya vs. Imavov,"February 01, 2025","Riyadh, Riyadh, Saudi Arabia"
39f68882def7a507,UFC 311: Makhachev vs. Moicano,"January 18, 2025","Inglewood, California, USA"
81ddc98fceb30086,UFC Fight Night: Dern vs. Ribas 2,"January 11, 2025","Las Vegas, Nevada, USA"
72c9c2eadfc3277e,UFC Fight Night: Covington vs. Buckley,"December 14, 2024","Tampa, Florida, USA"
ad23903ef3af7406,UFC 310: Pantoja vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA"
e955046551f8c7dd,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China"
daff32bc96d1eabf,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA"
585f9ffdb0cd0466,UFC Fight Night: Magny vs. Prates,"November 09, 2024","Las Vegas, Nevada, USA"
3ab0df1ddd5f1dc2,UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada"
221b2a3070c7ce3e,UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates"
6a0047ac8c99fece,UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA"
5bdcbd8dd681a257,UFC Fight Night: Royval vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA"
eee8efec7b951d84,UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA"
079488710f012779,UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France"
0c01568b1ac77bff,UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA"
ee0b69e307c857e5,UFC Fight Night: Burns vs. Brady,"September 07, 2024","Las Vegas, Nevada, USA"
be8ad887e4d674b0,UFC Fight Night: Cannonier vs. Borralho,"August 24, 2024","Las Vegas, Nevada, USA"
32ba186f4b0e3267,UFC 305: Du Plessis vs. Adesanya,"August 17, 2024","Perth, Western Australia, Australia"
2c733e059462c1dc,UFC Fight Night: Tybura vs. Spivac 2,"August 10, 2024","Las Vegas, Nevada, USA"
fe435e440b5de0ff,UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 03, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates"
