Event_Id,Name,Date,Location
026b4f7049085842,UFC 304: Edwards vs. Muhammad 2,"July 27, 2024","Manchester, England, United Kingdom"
c11036da9162cb5f,UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA"
66e0a70352fef46a,UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA"
f3743d8ef5dde970,UFC 303: Pereira vs. Prochazka 2,"June 29, 2024","Las Vegas, Nevada, USA"
b12a1d19ee383b7c,UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia"
9c5828c6fd9dc948,UFC Fight Night: Perez vs. Taira,"June 15, 2024","Las Vegas, Nevada, USA"
cba3a2dfbc06ce79,UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA"
6e4acc2c115215b5,UFC 302: Makhachev vs. Poirier,"June 01, 2024","Newark, New Jersey, USA"
46baf0f57edfa4df,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA"
5dfe71ade71f3a4b,UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA"
981ab7a0576f76a0,UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil"
a16ce18149021139,UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA"
6750e338922a099d,UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA"
899eaba48fa864a6,UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA"
dba230fe33011201,UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA"
79ff6545b0abc685,UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA"
c398235fcaf8d71d,UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024","Las Vegas, Nevada, USA"
a9df5ae20a97b090,UFC 299: O'Malley vs. Vera 2,"March 09, 2024","Miami, Florida, USA"
e4a9dbade7c7e1a7,UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024","Las Vegas, Nevada, USA"
902ab9197b83d0db,UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024","Mexico City, Distrito Federal, Mexico"
dab0e6cb8c932162,UFC 298: Volkanovski vs. Topuria,"February 17, 2024","Anaheim, California, USA"
eaea0fc7b76525a8,UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024","Las Vegas, Nevada, USA"
cce79e827569f26e,UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024","Las Vegas, Nevada, USA"
bd85ca0bb4f26cfc,UFC 297: Strickland vs. Du Plessis,"January 20, 2024","Toronto, Ontario, Canada"
010986ee359fb863,UFC Fight Night: Ankalaev vs. Walker 2,"January 13, 2024","Las Vegas, Nevada, USA"
a8e8587a06e73c87,UFC 296: Edwards vs. Covington,"December 16, 2023","Las Vegas, Nevada, USA"
5ef0088c1b19beeb,UFC Fight Night: Song vs. Gutierrez,"December 09, 2023","Las Vegas, Nevada, USA"
53e4e21f4c688801,UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023","Austin, Texas, USA"
3feed7d02711d8b7,UFC Fight Night: Allen vs. Craig,"November 18, 2023","Las Vegas, Nevada, USA"
5a558ba1ff5e9121,UFC 295: Prochazka vs. Pereira,"November 11, 2023","New York City, New York, USA"
7c4ec656d8fcb867,UFC Fight Night: Almeida vs. Lewis,"November 04, 2023","Sao Paulo, Sao Paulo, Brazil"
13a0fb8fbdafb54f,UFC 294: Makhachev vs. Volkanovski 2,"October 21, 2023","Abu Dhabi, Abu Dhabi, United Arab Emirates"
f3a078277b3b8ff4,UFC Fight Night: Yusuff vs. Barboza,"October 14, 2023","Las Vegas, Nevada, USA"
c8a49ff2acb6f3c5,UFC Fight Night: Dawson vs. Green,"October 07, 2023","Las Vegas, Nevada, USA"
c945adc22c2bfe8f,UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA"
8fa2b06572365321,UFC Fight Night: Grasso vs. Shevchenko 2,"September 16, 2023","Las Vegas, Nevada, USA"
ece280745f8727b8,UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia"
ef61d9f5176b3200,UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France"
89a407032911e27e,UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore"
2719f300b0439039,UFC 292: Sterling vs. O'Malley,"August 19, 2023","Boston, Massachusetts, USA"
d2fa318f34d0aadc,UFC Fight Night: Luque vs. Dos Anjos,"August 12, 2023","Las Vegas, Nevada, USA"
6f81b6de2557739a,UFC Fight Night: Sandhagen vs. Font,"August 05, 2023","Nashville, Tennessee, USA"
ccd58ff71e260ed5,UFC 291: Poirier vs. Gaethje 2,"July 29, 2023","Salt Lake City, Utah, USA"
1174782eacde9b0c,UFC Fight Night: Aspinall vs. Tybura,"July 22, 2023","London, England, United Kingdom"
c9885b1b7c7055a0,UFC Fight Night: Holm vs. Bueno Silva,"July 15, 2023","Las Vegas, Nevada, USA"
6085ceb59087514b,UFC 290: Volkanovski vs. Rodriguez,"July 08, 2023","Las Vegas, Nevada, USA"
e9e1acc96536bb4f,UFC Fight Night: Strickland vs. Magomedov,"July 01, 2023","Las Vegas, Nevada, USA"
a780d16cf7eed44d,UFC Fight Night: Emmett vs. Topuria,"June 24, 2023","Jacksonville, Florida, USA"
b9415726dc3ec526,UFC Fight Night: Vettori vs. Cannonier,"June 17, 2023","Las Vegas, Nevada, USA"
b6c6d1731ff00eeb,UFC 289: Nunes vs. Aldana,"June 10, 2023","Vancouver, British Columbia, Canada"
7abe471b61725980,UFC Fight Night: Kara-France vs. Albazi,"June 03, 2023","Las Vegas, Nevada, USA"
6f812143641ceff8,UFC Fight Night: Dern vs. Hill,"May 20, 2023","Las Vegas, Nevada, USA"
901cddcbfa079097,UFC Fight Night: Rozenstruik vs. Almeida,"May 13, 2023","Charlotte, North Carolina, USA"
3c6976f8182d9527,UFC 288: Sterling vs. Cejudo,"May 06, 2023","Newark, New Jersey, USA"
51b1e2fd9872005b,UFC Fight Night: Song vs. Simon,"April 29, 2023","Las Vegas, Nevada, USA"
6fb1ba67bef41b37,UFC Fight Night: Pavlovich vs. Blaydes,"April 22, 2023","Las Vegas, Nevada, USA"
15b1b21cd743d652,UFC Fight Night: Holloway vs. Allen,"April 15, 2023","Kansas City, Missouri, USA"
3dc3022232b79c7a,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023","Miami, Florida, USA"
aec273fcb765330d,UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023","San Antonio, Texas, USA"
e4bb7e483c4ad318,UFC 286: Edwards vs. Usman 3,"March 18, 2023","London, England, United Kingdom"
35080a7f406f9ab3,UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA"
1ccff7f0cfdf85eb,UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA"
806975e1b4f47b27,UFC Fight Night: Muniz vs. Allen,"February 25, 2023","Las Vegas, Nevada, USA"
f21a3d68fb9df387,UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023","Las Vegas, Nevada, USA"
01dd4cdc2446f665,UFC 284: Makhachev vs. Volkanovski,"February 11, 2023","Perth, Western Australia, Australia"
d26394fc0e8e880a,UFC Fight Night: Lewis vs. Spivac,"February 04, 2023","Las Vegas, Nevada, USA"
5717efc6f271cd52,UFC 283: Teixeira vs. Hill,"January 21, 2023","Rio de Janeiro, Rio de Janeiro, Brazil"
2e2cdb6e9eb84bb9,UFC Fight Night: Strickland vs. Imavov,"January 14, 2023","Las Vegas, Nevada, USA"
56ec58954158966a,UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022","Las Vegas, Nevada, USA"
f65a0eb902f9476b,UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022","Las Vegas, Nevada, USA"
b23388ff8ac6637b,UFC Fight Night: Thompson vs. Holland,"December 03, 2022","Orlando, Florida, USA"
012fc7cd0779c09a,UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022","Las Vegas, Nevada, USA"
b3b6e80b7d5f8f0d,UFC 281: Adesanya vs. Pereira,"November 12, 2022","New York City, New York, USA"
756f45905fb20cb5,UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022","Las Vegas, Nevada, USA"
be5aab761c40ef35,UFC Fight Night: Kattar vs. Allen,"October 29, 2022","Las Vegas, Nevada, USA"
885e7f70dcac0007,UFC 280: Oliveira vs. Makhachev,"October 22, 2022","Abu Dhabi, Abu Dhabi, United Arab Emirates"
49c29e57d4e2be6f,UFC Fight Night: Grasso vs. Araujo,"October 15, 2022","Las Vegas, Nevada, USA"
4f670b7972fa0a2e,UFC Fight Night: Dern vs. Yan,"October 01, 2022","Las Vegas, Nevada, USA"
8d477c3fbe001f9d,UFC Fight Night: Sandhagen vs. Song,"September 17, 2022","Las Vegas, Nevada, USA"
93bf96be327fcd98,UFC 279: Diaz vs. Ferguson,"September 10, 2022","Las Vegas, Nevada, USA"
00a905a4a4a2b071,UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022","Paris, Ile-de-France, France"
4f853e98886283cf,UFC 278: Usman vs. Edwards,"August 20, 2022","Salt Lake City, Utah, USA"
a23e63184c65f5b8,UFC Fight Night: Vera vs. Cruz,"August 13, 2022","San Diego, California, USA"
8f6a18831a120817,UFC Fight Night: Santos vs. Hill,"August 06, 2022","Las Vegas, Nevada, USA"
b0a6124751a56bc4,UFC 277: Pena vs. Nunes 2,"July 30, 2022","Dallas, Texas, USA"
319c15b8aac5bfde,UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022","London, England, United Kingdom"
8fd76e1b49c00ae2,UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022","Elmont, New York, USA"
31da66df48c0c1a0,UFC Fight Night: Dos Anjos vs. Fiziev,"July 09, 2022","Las Vegas, Nevada, USA"
4a9e305633f3ef47,UFC 276: Adesanya vs. Cannonier,"July 02, 2022","Las Vegas, Nevada, USA"
eb42d4febfafefd1,UFC Fight Night: Tsarukyan vs. Gamrot,"June 25, 2022","Las Vegas, Nevada, USA"
a0a680fe2f6cc8e6,UFC Fight Night: Kattar vs. Emmett,"June 18, 2022","Austin, Texas, USA"
3a24769a4855040a,UFC 275: Teixeira vs. Prochazka,"June 11, 2022","Kallang, Singapore"
57591bbf1623574e,UFC Fight Night: Volkov vs. Rozenstruik,"June 04, 2022","Las Vegas, Nevada, USA"
a6c32678efd4f434,UFC Fight Night: Holm vs. Vieira,"May 21, 2022","Las Vegas, Nevada, USA"
60ba33c3f555a7a3,UFC Fight Night: Blachowicz vs. Rakic,"May 14, 2022","Las Vegas, Nevada, USA"
253d3f9e97ca149a,UFC 274: Oliveira vs. Gaethje,"May 07, 2022","Phoenix, Arizona, USA"
6bf5a7d3e081ade2,UFC Fight Night: Font vs. Vera,"April 30, 2022","Las Vegas, Nevada, USA"
236a37d96d476164,UFC Fight Night: Lemos vs. Andrade,"April 23, 2022","Las Vegas, Nevada, USA"
8753e125f4499816,UFC Fight Night: Luque vs. Muhammad,"April 16, 2022","Las Vegas, Nevada, USA"
3a97fda0de6f1fa4,UFC 273: Volkanovski vs. The Korean Zombie,"April 09, 2022","Jacksonville, Florida, USA"
1fac46d466abd5b8,UFC Fight Night: Blaydes vs. Daukaus,"March 26, 2022","Columbus, Ohio, USA"
1d00756835ca67c9,UFC Fight Night: Volkov vs. Aspinall,"March 19, 2022","London, England, United Kingdom"
1f9344211ca7fd60,UFC Fight Night: Santos vs. Ankalaev,"March 12, 2022","Las Vegas, Nevada, USA"
75e0d3cc2262b732,UFC 272: Covington vs. Masvidal,"March 05, 2022","Las Vegas, Nevada, USA"
f6a7b02c42e9fc5b,UFC Fight Night: Makhachev vs. Green,"February 26, 2022","Las Vegas, Nevada, USA"
77940e45bc86208e,UFC Fight Night: Walker vs. Hill,"February 19, 2022","Las Vegas, Nevada, USA"
cbb682f5fcc44bfc,UFC 271: Adesanya vs. Whittaker 2,"February 12, 2022","Houston, Texas, USA"
883922e5cd6d8473,UFC Fight Night: Hermansson vs. Strickland,"February 05, 2022","Las Vegas, Nevada, USA"
335ad945324c3a2e,UFC 270: Ngannou vs. Gane,"January 22, 2022","Anaheim, California, USA"
f5585e675af7afd4,UFC Fight Night: Kattar vs. Chikadze,"January 15, 2022","Las Vegas, Nevada, USA"
2a470ad41c22c25a,UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021","Las Vegas, Nevada, USA"
ef927e4fe2117ab8,UFC 269: Oliveira vs. Poirier,"December 11, 2021","Las Vegas, Nevada, USA"
509697e08673d2e5,UFC Fight Night: Font vs. Aldo,"December 04, 2021","Las Vegas, Nevada, USA"
c95fbc085e17a532,UFC Fight Night: Vieira vs. Tate,"November 20, 2021","Las Vegas, Nevada, USA"
b5abaa65f87938eb,UFC Fight Night: Holloway vs. Rodriguez,"November 13, 2021","Las Vegas, Nevada, USA"
48e093ea1f43a053,UFC 268: Usman vs. Covington 2,"November 06, 2021","New York City, New York, USA"
3974fa35c917af1d,UFC 267: Blachowicz vs. Teixeira,"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates"
8a9c6c4301f6d088,UFC Fight Night: Costa vs. Vettori,"October 23, 2021","Las Vegas, Nevada, USA"
8f4616698508f24d,UFC Fight Night: Ladd vs. Dumont,"October 16, 2021","Las Vegas, Nevada, USA"
d247691a6c0e9034,UFC Fight Night: Dern vs. Rodriguez,"October 09, 2021","Las Vegas, Nevada, USA"
e15d0a2519d6a0b5,UFC Fight Night: Santos vs. Walker,"October 02, 2021","Las Vegas, Nevada, USA"
0eec866a077889f0,UFC 266: Volkanovski vs. Ortega,"September 25, 2021","Las Vegas, Nevada, USA"
4c27ca8c8481f79a,UFC Fight Night: Smith vs. Spann,"September 18, 2021","Las Vegas, Nevada, USA"
b9532d815060de7f,UFC Fight Night: Brunson vs. Till,"September 04, 2021","Las Vegas, Nevada, USA"
0db9d2486d564a3c,UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021","Las Vegas, Nevada, USA"
2f13e4020cea5b38,UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021","Las Vegas, Nevada, USA"
972197a8c61ac413,UFC 265: Lewis vs. Gane,"August 07, 2021","Houston, Texas, USA"
320edfb0332b7073,UFC Fight Night: Hall vs. Strickland,"July 31, 2021","Las Vegas, Nevada, USA"
e57f0b06ea39e360,UFC Fight Night: Sandhagen vs. Dillashaw,"July 24, 2021","Las Vegas, Nevada, USA"
40389d39a92f5bfa,UFC Fight Night: Makhachev vs. Moises,"July 17, 2021","Las Vegas, Nevada, USA"
8a0be41c0380188d,UFC 264: Poirier vs. McGregor 3,"July 10, 2021","Las Vegas, Nevada, USA"
a1d6b308781aa2f5,UFC Fight Night: Gane vs. Volkov,"June 26, 2021","Las Vegas, Nevada, USA"
9ddfb3369a3b0394,UFC Fight Night: Jung vs. Ige,"June 19, 2021","Las Vegas, Nevada, USA"
0b64d0fed453ef7f,UFC 263: Adesanya vs. Vettori 2,"June 12, 2021","Glendale, Arizona, USA"
3b2485c8d5c8b580,UFC Fight Night: Rozenstruik vs. Sakai,"June 05, 2021","Las Vegas, Nevada, USA"
277ffed20cf07aea,UFC Fight Night: Font vs. Garbrandt,"May 22, 2021","Las Vegas, Nevada, USA"
744f50016c39c26c,UFC 262: Oliveira vs. Chandler,"May 15, 2021","Houston, Texas, USA"
58a36b4ccf5dc30e,UFC Fight Night: Rodriguez vs. Waterson,"May 08, 2021","Las Vegas, Nevada, USA"
d57e6a8971b6d2bd,UFC Fight Night: Reyes vs. Prochazka,"May 01, 2021","Las Vegas, Nevada, USA"
27541033b97c076d,UFC 261: Usman vs. Masvidal 2,"April 24, 2021","Jacksonville, Florida, USA"
4a35913bd9aa4161,UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021","Las Vegas, Nevada, USA"
9114c8ded5ccd71d,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA"
6597b611f1c32555,UFC 260: Miocic vs. Ngannou,"March 27, 2021","Las Vegas, Nevada, USA"
c36e1f4fa755ffb4,UFC Fight Night: Brunson vs. Holland,"March 20, 2021","Las Vegas, Nevada, USA"
8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021","Las Vegas, Nevada, USA"
6e2b1d631832921d,UFC 259: Blachowicz vs. Adesanya,"March 06, 2021","Las Vegas, Nevada, USA"
81b57acd6975ac06,UFC Fight Night: Rozenstruik vs. Gane,"February 27, 2021","Las Vegas, Nevada, USA"
bfe95ec546692b13,UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021","Las Vegas, Nevada, USA"
3f7c14c7eca7195d,UFC 258: Usman vs. Burns,"February 13, 2021","Las Vegas, Nevada, USA"
a1153013cb5f628f,UFC Fight Night: Overeem vs. Volkov,"February 06, 2021","Las Vegas, Nevada, USA"
4304992c2acc187b,UFC 257: Poirier vs. McGregor,"January 23, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates"
56116537d71a578c,UFC Fight Night: Chiesa vs. Magny,"January 20, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates"
307064d3e0f036c2,UFC Fight Night: Holloway vs. Kattar,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates"
e49c2db95e572dc8,UFC Fight Night: Thompson vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA"
d0d43cb9b14f231c,UFC 256: Figueiredo vs. Moreno,"December 12, 2020","Las Vegas, Nevada, USA"
398b440e73d55b8b,UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020","Las Vegas, Nevada, USA"
992c82450d96f726,UFC Fight Night: Smith vs. Clark,"November 28, 2020","Las Vegas, Nevada, USA"
bbb15f301e4a490a,UFC 255: Figueiredo vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA"
3bc27ec15facbcf3,UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020","Las Vegas, Nevada, USA"
41dca66f9dadfc86,UFC Fight Night: Santos vs. Teixeira,"November 07, 2020","Las Vegas, Nevada, USA"
ad044be25c94dcfd,UFC Fight Night: Hall vs. Silva,"October 31, 2020","Las Vegas, Nevada, USA"
c3c38c86f5ab9b5c,UFC 254: Khabib vs. Gaethje,"October 24, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
d4f364dd076bb0e2,UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
fd4578cac86d75ca,UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
805ad1801eb26abb,UFC Fight Night: Holm vs. Aldana,"October 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
e69c5ce12f4e762b,UFC 253: Adesanya vs. Costa,"September 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
831b937811804dad,UFC Fight Night: Covington vs. Woodley,"September 19, 2020","Las Vegas, Nevada, USA"
9c37681096c6f3a9,UFC Fight Night: Waterson vs. Hill,"September 12, 2020","Las Vegas, Nevada, USA"
542db012217ecb83,UFC Fight Night: Overeem vs. Sakai,"September 05, 2020","Las Vegas, Nevada, USA"
e29cf523ebd155c5,UFC Fight Night: Smith vs. Rakic,"August 29, 2020","Las Vegas, Nevada, USA"
af1e5c64b8663aa0,UFC Fight Night: Munhoz vs. Edgar,"August 22, 2020","Las Vegas, Nevada, USA"
bda04c573563cc2e,UFC 252: Miocic vs. Cormier 3,"August 15, 2020","Las Vegas, Nevada, USA"
7a82635ffa9b59fe,UFC Fight Night: Lewis vs. Oleinik,"August 08, 2020","Las Vegas, Nevada, USA"
3746e21bb508391a,UFC Fight Night: Brunson vs. Shahbazyan,"August 01, 2020","Las Vegas, Nevada, USA"
dde70a112e053a6c,UFC Fight Night: Whittaker vs. Till,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
ddbd0d6259ce57cc,UFC Fight Night: Figueiredo vs. Benavidez 2,"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
18f5669a92e99d92,UFC Fight Night: Kattar vs. Ige,"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
dbd198f780286aca,UFC 251: Usman vs. Masvidal,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
c32eab6c2119e989,UFC Fight Night: Poirier vs. Hooker,"June 27, 2020","Las Vegas, Nevada, USA"
2eab7a6c8b0ed8cc,UFC Fight Night: Blaydes vs. Volkov,"June 20, 2020","Las Vegas, Nevada, USA"
1e13936d708bcff7,UFC Fight Night: Eye vs. Calvillo,"June 13, 2020","Las Vegas, Nevada, USA"
4c12aa7ca246e7a4,UFC 250: Nunes vs. Spencer,"June 06, 2020","Las Vegas, Nevada, USA"
14b9e0f2679a2205,UFC Fight Night: Woodley vs. Burns,"May 30, 2020","Las Vegas, Nevada, USA"
dfb965c9824425db,UFC Fight Night: Overeem vs. Harris,"May 16, 2020","Jacksonville, Florida, USA"
5f8e00c27b7e7410,UFC Fight Night: Smith vs. Teixeira,"May 13, 2020","Jacksonville, Florida, USA"
898337ef520fe4d3,UFC 249: Ferguson vs. Gaethje,"May 09, 2020","Jacksonville, Florida, USA"
53278852bcd91e11,UFC Fight Night: Lee vs. Oliveira,"March 14, 2020","Brasilia, Distrito Federal, Brazil"
0b5b6876c2a4723f,UFC 248: Adesanya vs. Romero,"March 07, 2020","Las Vegas, Nevada, USA"
fc9a9559a05f2704,UFC Fight Night: Benavidez vs. Figueiredo,"February 29, 2020","Norfolk, Virginia, USA"
33b2f68ef95252e0,UFC Fight Night: Felder vs. Hooker,"February 22, 2020","Auckland, New Zealand"
5df17b3620145578,UFC Fight Night: Anderson vs. Blachowicz,"February 15, 2020","Rio Rancho, New Mexico, USA"
b26d3e3746fb4024,UFC 247: Jones vs. Reyes,"February 08, 2020","Houston, Texas, USA"
