First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Abdellah,Er-Ramy,The Golden Boy,"6' 0""",185 lbs.,"74.0""",Orthodox,7,2,0,False
Steve,Erceg,Astroboy,"5' 8""",125 lbs.,"68.0""",Orthodox,13,4,0,False
Tom,Erikson,The Big Cat,"6' 3""",280 lbs.,--,Orthodox,9,4,1,False
Konstantin,Erokhin,,"5' 11""",230 lbs.,--,Orthodox,9,3,0,False
Julian,Erosa,Juicy J,"6' 1""",145 lbs.,"74.0""",Southpaw,31,13,0,False
Jarno,Errens,,"5' 11""",145 lbs.,"73.0""",Orthodox,14,6,1,False
Ivan,Erslan,,"6' 2""",205 lbs.,"72.0""",Orthodox,14,5,0,False
Nick,Ertl,,"5' 9""",155 lbs.,--,,8,6,0,False
Chel,Erwin-Davis,The First Sun,"6' 0""",170 lbs.,--,,5,1,0,False
Bobby,Escalante,,--,130 lbs.,--,,5,6,0,False
Eric,Esch,Butterbean,"5' 11""",350 lbs.,--,Orthodox,15,10,1,False
Pro,Escobedo,,--,205 lbs.,--,,1,0,0,False
Cole,Escovedo,Apache Kid,"5' 7""",135 lbs.,"72.0""",Orthodox,17,9,0,False
Efrain,Escudero,Hecho En Mexico,"5' 9""",155 lbs.,"71.0""",Orthodox,28,12,0,False
Evan,Esguerra,,--,145 lbs.,--,,8,7,0,False
Carla,Esparza,Cookie Monster,"5' 1""",115 lbs.,"63.0""",Orthodox,20,8,0,False
Juan,Espino,El Guapo,"6' 3""",255 lbs.,"80.0""",Orthodox,11,2,0,False
Jordan,Espinosa,The Gamer,"5' 6""",125 lbs.,"69.0""",Orthodox,15,9,0,False
Jodie,Esquibel,,"5' 1""",115 lbs.,"64.0""",Orthodox,6,6,0,False
Rafael,Estevam,Macapa,"5' 8""",125 lbs.,"69.0""",Orthodox,14,0,0,False
Achilles,Estremadura,,"5' 10""",155 lbs.,"68.0""",Orthodox,7,1,0,False
Shaun,Etchell,The Buzzsaw,"5' 7""",125 lbs.,"68.0""",Switch,7,3,0,False
Terry,Etim,,"6' 1""",155 lbs.,"73.0""",Orthodox,16,5,0,False
Fred,Ettish,,"6' 0""",180 lbs.,--,Southpaw,1,1,0,False
Scott,Ettling,,--,135 lbs.,--,,4,2,0,False
Sijara,Eubanks,SarJ,"5' 4""",125 lbs.,"67.0""",Orthodox,8,7,0,False
Billy,Evangelista,,"5' 8""",155 lbs.,"68.0""",Orthodox,13,3,0,False
Rashad,Evans,Suga,"6' 0""",205 lbs.,"75.0""",Orthodox,19,8,1,False
Doug,Evans,,"5' 9""",155 lbs.,--,Orthodox,13,10,0,False
Ashlee,Evans-Smith,Rebel Girl,"5' 8""",135 lbs.,"67.0""",Orthodox,6,6,0,False
Dan,Evensen,The Viking,"6' 3""",250 lbs.,--,Orthodox,11,4,0,False
Tonya,Evinger,Triple Threat,"5' 7""",135 lbs.,"70.0""",Orthodox,19,8,0,False
Movsar,Evloev,,"5' 7""",145 lbs.,"72.0""",Orthodox,19,0,0,False
Andre,Ewell,Mr. Highlight,"5' 8""",145 lbs.,"75.0""",Southpaw,17,9,0,False
Chris,Ewert,El Tanke,"6' 0""",185 lbs.,"75.0""",Orthodox,7,1,0,False
Neal,Ewing,,--,185 lbs.,--,,6,0,0,False
Manuel,Exposito,,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,False
Jessica,Eye,Evil,"5' 6""",125 lbs.,"66.0""",Orthodox,15,11,0,False
Edward,Faaloloto,,--,155 lbs.,"70.0""",Orthodox,2,5,0,False
Urijah,Faber,The California Kid,"5' 6""",135 lbs.,"67.0""",Orthodox,35,11,0,False
Melinda,Fabian,,"5' 6""",125 lbs.,"66.0""",Orthodox,4,4,2,False
Wagnney,Fabiano,The Silencer,"5' 6""",145 lbs.,"69.0""",Southpaw,16,4,0,False
Bartosz,Fabinski,The Butcher,"6' 0""",170 lbs.,"75.0""",Orthodox,15,5,0,False
Ron,Faircloth,,"5' 9""",205 lbs.,--,Orthodox,33,20,0,False
Jason,Fairn,,"6' 1""",230 lbs.,--,,4,5,0,False
Zarah,Fairn,Infinite,"5' 8""",135 lbs.,"72.0""",Orthodox,6,6,0,False
Rinat,Fakhretdinov,Gladiator,"6' 0""",170 lbs.,"74.0""",Orthodox,24,1,1,False
Maiquel,Falcao,Big Rig,"5' 11""",185 lbs.,--,Orthodox,37,10,0,False
Pedro,Falcao,Pedrinho,"5' 6""",135 lbs.,"66.0""",Orthodox,16,5,0,False
Brodie,Farber,,"6' 1""",170 lbs.,--,Orthodox,16,7,0,False
Joao Paulo,Faria,,"5' 9""",155 lbs.,--,,1,1,0,False
Kalindra,Faria,,"5' 7""",125 lbs.,--,Switch,18,8,1,False
Jair,Farias,Chosen,"6' 1""",145 lbs.,"76.0""",Orthodox,10,1,0,False
Chance,Farrar,,"5' 9""",145 lbs.,--,Southpaw,8,3,0,False
Rico,Farrington,The Triggerman,"6' 4""",170 lbs.,"79.0""",Southpaw,7,3,0,False
Kelly,Faszholz,,"5' 8""",135 lbs.,--,Orthodox,4,2,0,False
Rodney,Faverus,,"6' 0""",215 lbs.,--,Southpaw,25,20,3,False
Paul,Felder,The Irish Dragon,"5' 11""",155 lbs.,"70.0""",Orthodox,17,6,0,False
Carlos,Felipe,Boi,"6' 0""",245 lbs.,"75.0""",Orthodox,11,2,0,False
Luis,Felipe Dias,,--,185 lbs.,--,,15,5,0,False
JP,Felty,,--,170 lbs.,--,,4,5,0,False
Feng,Pengchao,,--,135 lbs.,--,,15,9,1,False
Feng,Xiaocan,,"5' 7""",115 lbs.,"67.0""",Southpaw,10,4,0,False
Kevin,Ferguson,Kimbo Slice,"6' 2""",235 lbs.,"77.0""",Orthodox,5,2,0,False
Rhadi,Ferguson,,"5' 7""",205 lbs.,--,,3,0,0,False
Tony,Ferguson,El Cucuy,"5' 11""",170 lbs.,"76.0""",Orthodox,26,11,0,False
Josh,Ferguson,Taz,"5' 5""",125 lbs.,--,Orthodox,10,5,0,False
CJ,Fernandes,,"6' 2""",170 lbs.,--,,14,8,3,False
Bibiano,Fernandes,,"5' 7""",139 lbs.,--,Orthodox,20,3,0,False
Gabriella,Fernandes,Gabi,"5' 6""",125 lbs.,"66.0""",Southpaw,11,3,0,False
Kaue,Fernandes,,"5' 9""",155 lbs.,"73.0""",Orthodox,11,2,0,False
Emily,Fernandez,,--,--,--,,0,0,0,False
Luke,Fernandez,,--,205 lbs.,--,,5,0,0,False
Lucas,Fernando,,"6' 3""",185 lbs.,"80.0""",,9,2,0,False
Alexandre,Ferreira,Cacareco,"5' 7""",205 lbs.,--,Orthodox,18,6,0,False
Cezar,Ferreira,Mutante,"6' 1""",185 lbs.,"78.0""",Southpaw,13,8,0,False
Diego,Ferreira,,"5' 9""",155 lbs.,"74.0""",Orthodox,19,7,0,False
Erisson,Ferreira,Gato,"5' 6""",125 lbs.,"70.0""",Orthodox,12,2,0,False
Brunno,Ferreira,The Hulk,"5' 10""",185 lbs.,"72.0""",Orthodox,14,2,0,False
Scott,Ferrozzo,The Pitbull,"5' 11""",323 lbs.,--,Orthodox,4,2,0,False
Timo,Feucht,,"6' 3""",205 lbs.,"79.0""",Orthodox,8,1,0,False
Andre,Fialho,,"6' 0""",170 lbs.,"74.0""",Orthodox,16,8,0,False
Drew,Fickett,The Master,"5' 10""",155 lbs.,"70.0""",Orthodox,42,21,0,False
Scott,Fiedler,,"6' 4""",235 lbs.,--,Orthodox,0,1,0,False
Ron,Fields,Killing,"6' 2""",200 lbs.,--,Orthodox,28,32,1,False
Michal,Figlak,Mad Dog,"5' 10""",155 lbs.,"70.0""",Orthodox,8,2,0,False
Deiveson,Figueiredo,Deus da Guerra,"5' 5""",135 lbs.,"68.0""",Orthodox,24,5,1,False
Francisco,Figueiredo,Sniper,"5' 6""",125 lbs.,"68.0""",Southpaw,13,5,1,False
Anthony,Figueroa,,"5' 4""",135 lbs.,--,Orthodox,11,8,1,False
Edwin,Figueroa,El Feroz,"5' 7""",135 lbs.,"69.0""",Orthodox,9,5,0,False
Jonathan,Figueroa,El Picante,--,185 lbs.,--,,16,1,0,False
Paulo,Filho,,"5' 8""",185 lbs.,--,Southpaw,23,6,3,False
Jafel,Filho,Pastor,"5' 7""",125 lbs.,"68.0""",Orthodox,16,4,0,False
Andre,Fili,Touchy,"5' 11""",145 lbs.,"74.0""",Orthodox,25,12,0,False
Mirko,Filipovic,Cro Cop,"6' 2""",230 lbs.,"73.0""",Southpaw,35,11,2,False
Brady,Fink,,"6' 0""",183 lbs.,--,Orthodox,2,3,0,False
Jesse,Finney,,"6' 0""",170 lbs.,--,,5,1,0,False
Jan,Finney,Cuddles,"5' 8""",135 lbs.,--,Orthodox,11,12,0,False
Torrez,Finney,The Punisher,"5' 8""",185 lbs.,"75.0""",Orthodox,11,0,0,False
Luigi,Fioravanti,,"5' 8""",170 lbs.,"70.0""",Orthodox,26,15,0,False
Nick,Fiore,,"5' 10""",155 lbs.,"72.0""",Orthodox,6,2,0,False
Manon,Fiorot,The Beast,"5' 7""",125 lbs.,"65.0""",Orthodox,12,2,0,False
Luiz,Firmino,Buscape,"5' 6""",154 lbs.,--,Orthodox,19,8,0,False
Spencer,Fisher,The King,"5' 7""",155 lbs.,"68.0""",Southpaw,24,9,0,False
Chris,Fishgold,,"5' 8""",145 lbs.,"68.0""",Orthodox,18,4,1,False
Bryanna,Fissori,,"5' 4""",145 lbs.,--,,2,4,0,False
Jon,Fitch,,"6' 0""",170 lbs.,"74.0""",Orthodox,30,7,1,False
Isi,Fitikefu,Doxz,"5' 10""",205 lbs.,--,,6,0,0,False
Rafael,Fiziev,Ataman,"5' 8""",155 lbs.,"71.0""",Switch,13,4,0,False
Colin,Fletcher,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,14,8,0,False
AJ,Fletcher,The Ghost,"5' 10""",170 lbs.,"67.0""",Switch,10,3,0,False
Nathan,Fletcher,,"5' 7""",135 lbs.,"70.0""",Orthodox,9,3,0,False
Jimmy,Flick,The Brick,"5' 7""",125 lbs.,"68.0""",Orthodox,17,9,0,False
Luke,Flores,,"6' 0""",155 lbs.,"73.0""",Southpaw,9,2,0,False
Ty,Flores,Big Medicine,"6' 3""",205 lbs.,"73.0""",Switch,7,3,0,False
Alejandro,Flores,El Gallito,"5' 10""",145 lbs.,"73.0""",Orthodox,17,3,0,False
Kenny,Florian,KenFlo,"5' 10""",145 lbs.,"74.0""",Southpaw,14,6,0,False
Darrius,Flowers,Beast Mode,"5' 9""",155 lbs.,"71.0""",Orthodox,12,8,1,False
Cody,Floyd,,--,--,--,,2,0,0,False
Bobby,Flynn,,--,170 lbs.,--,,6,4,0,False
Caros,Fodor,The Future,"5' 9""",155 lbs.,"74.0""",Orthodox,11,6,0,False
Mal,Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,5,0,False
Matt,Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,4,0,False
AJ,Fonseca,,"5' 4""",145 lbs.,--,,5,4,0,False
Rob,Font,,"5' 8""",135 lbs.,"71.0""",Orthodox,22,9,0,False
Claudionor,Fontinelle,,"5' 5""",185 lbs.,--,Orthodox,10,15,1,False
Jesse,Forbes,Kid Hercules,"6' 2""",185 lbs.,"75.0""",Southpaw,15,5,0,False
Sterling,Ford,,"5' 10""",155 lbs.,--,,15,7,0,False
Codale,Ford,Crunch Time,"5' 9""",170 lbs.,--,,11,9,0,False
Raheam,Forest,Rambo,"5' 11""",170 lbs.,"73.0""",Switch,7,2,0,False
Jussier,Formiga,,"5' 5""",125 lbs.,"67.0""",Orthodox,23,8,0,False
Carol,Foro,Anabelle,"5' 2""",115 lbs.,"61.0""",Orthodox,9,1,0,False
Renee,Forte,,"5' 7""",155 lbs.,"71.0""",Orthodox,8,4,0,False
Brianna,Fortino,The Bull,"5' 0""",115 lbs.,"62.0""",Southpaw,9,3,0,False
Marcel,Fortuna,,"6' 1""",205 lbs.,"74.0""",Orthodox,9,3,0,False
Brian,Foster,The Foster Boy,"5' 9""",170 lbs.,"71.0""",Orthodox,27,10,0,False
Xavier,Foupa-Pokam,Professor X,"6' 1""",185 lbs.,--,Open Stance,32,22,0,False
Mason,Fowler,,"5' 11""",170 lbs.,--,,2,0,0,False
Brandon,Foxworth,,"5' 11""",145 lbs.,--,Orthodox,18,4,0,False
Hermes,Franca,,"5' 6""",155 lbs.,"71.0""",Orthodox,24,17,0,False
Glaico,Franca Moreira,Nego,"6' 0""",155 lbs.,"77.0""",Orthodox,15,5,0,False
Francisco,France,Kiko,"6' 0""",205 lbs.,--,,13,5,1,False
John,Franchi,,"5' 6""",145 lbs.,"67.0""",Orthodox,6,2,0,False
Felipe,Franco,Negao,"6' 1""",205 lbs.,"76.0""",Orthodox,8,1,0,False
Rich,Franklin,Ace,"6' 1""",185 lbs.,"76.0""",Southpaw,29,7,0,False
Xavier,Franklin,Mr. Benjamin,"5' 6""",135 lbs.,"66.0""",Southpaw,5,1,0,False
Zoila,Frausto,Warrior Princess,"5' 4""",135 lbs.,--,Orthodox,13,5,0,False
Stephanie,Frausto,Lil Bovy,"5' 2""",115 lbs.,"61.0""",Orthodox,8,7,0,False
Zane,Frazier,Nasty,"6' 5""",250 lbs.,--,Orthodox,4,11,0,False
Gary,Frazier,,"6' 0""",245 lbs.,--,Orthodox,3,3,0,False
Justin,Frazier,The Grizzly Bear,"6' 0""",265 lbs.,"75.0""",Southpaw,10,3,0,False
Ian,Freeman,The Machine,"5' 11""",225 lbs.,--,Orthodox,20,7,1,False
Jason,Freeman,,"6' 2""",225 lbs.,--,,6,4,0,False
Kennedy,Freeman,The Machine 2.0,--,125 lbs.,--,,6,0,0,False
Willamy,Freire,Chiquerim,"5' 8""",155 lbs.,--,Orthodox,26,6,0,False
Patricio,Freire,Pitbull,"5' 6""",145 lbs.,"67.0""",Orthodox,37,8,0,False
Patricky,Freire,Pitbull,"5' 7""",155 lbs.,"71.0""",,17,8,0,False
Jeremy,Freitag,,"6' 1""",205 lbs.,--,,6,10,0,False
Rafael,Freitas,Capoeira,--,205 lbs.,--,Orthodox,3,6,0,False
Donavon,Frelow,,"5' 7""",135 lbs.,--,Orthodox,6,3,0,False
Josh,Fremd,,"6' 4""",185 lbs.,"76.0""",Orthodox,11,6,0,False
Clay,French,,"5' 7""",161 lbs.,--,Southpaw,19,7,0,False
Mike,French,,"5' 10""",145 lbs.,--,,9,10,0,False
Matt,Frevola,The SteamRolla,"5' 9""",155 lbs.,"71.0""",Orthodox,11,5,1,False
Jinh Yu,Frey,,"5' 3""",115 lbs.,"65.0""",Southpaw,11,10,0,False
Artem,Frolov,,"5' 10""",185 lbs.,--,,11,0,0,False
Sarah,Frota,A Treta,"5' 6""",125 lbs.,"69.0""",Southpaw,9,2,0,False
Daniel,Frunza,,"6' 1""",170 lbs.,"73.0""",Orthodox,9,3,0,False
Don,Frye,The Predator,"6' 1""",219 lbs.,--,Orthodox,20,9,1,False
Allen,Frye Jr.,,--,265 lbs.,--,,6,0,0,False
Tony,Fryklund,The Freak,"6' 0""",185 lbs.,--,Orthodox,14,9,1,False
Adam,Fugitt,,"6' 1""",170 lbs.,"77.0""",Southpaw,10,5,0,False
Jesse,Fujarczyk,The Ronin,"6' 4""",225 lbs.,--,Southpaw,2,2,0,False
Katsuhisa,Fujii,Shamoji,"6' 0""",205 lbs.,--,Orthodox,9,18,1,False
Megumi,Fujii,Mega Megu,"5' 3""",113 lbs.,--,,26,3,0,False
Kazuyuki,Fujita,Ironhead,"6' 0""",235 lbs.,--,Orthodox,15,12,0,False
Keisuke,Fujiwara,,"5' 6""",139 lbs.,--,Switch,17,12,5,False
Riki,Fukuda,,"6' 0""",185 lbs.,"73.0""",Southpaw,24,9,0,False
Masio,Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,11,7,0,False
Travis,Fulton,The Ironman,"6' 0""",240 lbs.,--,Orthodox,253,53,10,False
Sam,Fulton,,--,--,--,,0,2,0,False
Masakatsu,Funaki,,"6' 0""",185 lbs.,--,Southpaw,39,13,2,False
Ricardo,Funch,Golden Boy,"5' 10""",170 lbs.,"74.0""",Southpaw,9,6,0,False
Katsuaki,Furuki,,"6' 0""",168 lbs.,--,,1,1,0,False
James,Gabert,,--,178 lbs.,--,,6,4,0,False
Gustavo,Gabriel,,"5' 6""",125 lbs.,--,Orthodox,13,1,0,False
Claudia,Gadelha,Claudinha,"5' 4""",115 lbs.,"63.0""",Orthodox,18,5,0,False
Alavutdin,Gadjiev,,"6' 2""",185 lbs.,--,Orthodox,18,13,1,False
Magomed,Gadzhiyasulov,,"6' 2""",205 lbs.,"75.0""",Orthodox,9,1,0,False
Justin,Gaethje,The Highlight,"5' 11""",155 lbs.,"70.0""",Orthodox,26,5,0,False
Sheila,Gaff,The German Tank,"5' 5""",135 lbs.,--,Orthodox,9,7,0,False
Muin,Gafurov,Tajik,"5' 7""",135 lbs.,"68.0""",Orthodox,20,6,0,False
Mitch,Gagnon,,"5' 5""",135 lbs.,"65.0""",Southpaw,12,5,0,False
Brandon,Gaines,,"6' 3""",185 lbs.,--,,5,21,0,False
Travis,Galbraith,The Gladiator,"6' 0""",170 lbs.,--,Orthodox,18,7,0,False
Dave,Galera,Scarecrow,"5' 11""",135 lbs.,--,Orthodox,5,1,0,False
Zelg,Galesic,Benkei,"6' 2""",185 lbs.,--,Orthodox,11,9,0,False
Mickey,Gall,,"6' 2""",170 lbs.,"74.0""",Switch,7,7,0,False
Daniel,Gallemore,Big Kansas,"6' 5""",265 lbs.,--,,7,3,0,False
Tom,Gallicchio,Da Tank,"5' 10""",170 lbs.,--,Southpaw,19,10,0,False
Turrell,Galloway,,"5' 3""",145 lbs.,--,,8,6,0,False
Eric,Galvan,,--,155 lbs.,--,,0,0,0,False
Andre,Galvao,,"5' 7""",168 lbs.,--,Orthodox,5,2,0,False
Marcos,Galvao,Loro,"5' 7""",135 lbs.,--,Orthodox,18,8,1,False
Lucas,Gamaza,,--,170 lbs.,--,,8,4,0,False
Joey,Gambino,The Raging Warrior,"5' 7""",145 lbs.,--,Orthodox,9,2,0,False
Manvel,Gamburyan,The Anvil,"5' 5""",135 lbs.,"67.0""",Orthodox,15,10,0,False
Mateusz,Gamrot,Gamer,"5' 10""",155 lbs.,"70.0""",Southpaw,25,3,0,False
Shamil,Gamzatov,,"6' 2""",205 lbs.,"76.0""",Orthodox,14,1,0,False
Ryan,Gandra,Problema,"6' 1""",185 lbs.,"74.0""",Orthodox,8,1,0,False
Ariel,Gandulla,,"5' 11""",205 lbs.,--,Orthodox,7,9,0,False
Ciryl,Gane,Bon Gamin,"6' 4""",245 lbs.,"81.0""",Orthodox,13,2,0,False
Sean,Gannon,The Cannon,"6' 3""",265 lbs.,--,Southpaw,2,1,0,False
Tommy,Gantt,,"5' 11""",155 lbs.,"76.0""",Orthodox,11,0,0,False
Junye,Gao,,--,125 lbs.,--,,19,12,0,False
Eduardo,Garagorri,,"5' 9""",145 lbs.,"70.0""",Orthodox,13,2,0,False
Cody,Garbrandt,No Love,"5' 8""",135 lbs.,"65.0""",Orthodox,14,7,0,False
Leonard,Garcia,Bad Boy,"5' 10""",145 lbs.,"68.0""",Orthodox,18,13,1,False
Edgar,Garcia,,"5' 10""",170 lbs.,"71.0""",Orthodox,14,5,0,False
Alejandro,Garcia,Alex,"5' 7""",145 lbs.,--,,14,10,0,False
Alex,Garcia,The Dominican Nightmare,"5' 9""",170 lbs.,"72.0""",Orthodox,15,6,0,False
Nick,Garcia,Nitro,"5' 4""",125 lbs.,--,,8,3,0,False
Steve,Garcia,Mean Machine,"6' 0""",145 lbs.,"75.0""",Southpaw,18,5,0,False
Elias,Garcia,,"5' 5""",125 lbs.,"67.0""",Southpaw,6,2,0,False
Rafa,Garcia,Gifted,"5' 7""",155 lbs.,"70.0""",Orthodox,18,4,0,False
Fernie,Garcia,,"5' 7""",135 lbs.,"67.0""",Orthodox,10,5,0,False
Rulon,Gardner,,"6' 3""",265 lbs.,--,Orthodox,1,0,0,False
David,Gardner,,"5' 11""",155 lbs.,--,Orthodox,18,21,0,False
Pablo,Garza,The Scarecrow,"6' 1""",145 lbs.,"73.0""",Orthodox,12,4,0,False
Azamat,Gashimov,,"5' 6""",125 lbs.,--,Orthodox,8,3,0,False
Brian,Gassaway,,"6' 1""",170 lbs.,--,Orthodox,29,20,2,False
Kelvin,Gastelum,,"5' 9""",185 lbs.,"71.0""",Southpaw,21,10,0,False
Willie,Gates,,"5' 8""",125 lbs.,"72.0""",Orthodox,12,7,0,False
Melissa,Gatto,,"5' 5""",135 lbs.,"69.0""",Orthodox,9,2,2,False
Sean,Gauci,,"5' 5""",125 lbs.,"64.0""",Switch,10,1,0,False
Louis,Gaudinot,Goodnight,"5' 3""",125 lbs.,"63.0""",Orthodox,8,4,0,False
Ateba,Gautier,The Silent Assassin,"6' 4""",185 lbs.,"81.0""",Switch,8,1,0,False
Manuel,Gaxhja,,"5' 8""",155 lbs.,--,Switch,7,0,0,False
Shamil,Gaziev,,"6' 4""",265 lbs.,"78.0""",Orthodox,14,1,0,False
Charlene,Gellner,Princess,"5' 2""",125 lbs.,--,,0,4,0,False
Chad,George,Savage,"5' 6""",135 lbs.,"68.0""",Southpaw,16,8,0,False
Paul,Georgieff,,"6' 2""",170 lbs.,--,Orthodox,6,2,0,False
Brian,Geraghty,Duke,"5' 7""",155 lbs.,--,Orthodox,26,18,1,False
Derek,Getzel,The Pretzel,"6' 0""",155 lbs.,--,,8,5,0,False
Karine,Gevorgyan,The Princess,"5' 4""",125 lbs.,"63.0""",,3,3,0,False
Yanis,Ghemmouri,The Desert Warrior,"5' 9""",135 lbs.,"69.0""",Orthodox,12,3,0,False
Darrel,Gholar,,"5' 8""",194 lbs.,--,Orthodox,5,6,0,False
Tiki,Ghosn,,"5' 10""",170 lbs.,--,Orthodox,10,7,1,False
Christos,Giagos,The Spartan,"5' 10""",155 lbs.,"71.0""",Orthodox,20,12,0,False
Joe,Giannetti,,"6' 0""",155 lbs.,"74.0""",Southpaw,6,1,0,False
Nick,Gibbons,,"5' 10""",155 lbs.,--,,2,1,0,False
James,Giboo,,"5' 11""",170 lbs.,--,Orthodox,13,5,0,False
Lance,Gibson,Fearless,"5' 9""",185 lbs.,--,Orthodox,4,5,0,False
Lee,Gibson,Lethal,"5' 7""",155 lbs.,--,,12,4,0,False
Cody,Gibson,The Renegade,"5' 10""",135 lbs.,"71.0""",Orthodox,22,11,0,False
Chase,Gibson,El Guero,"5' 10""",155 lbs.,"72.0""",Orthodox,9,5,0,False
Kenny,Giddens,,"5' 11""",155 lbs.,--,,12,7,0,False
Thomas,Gifford,The Young Lion,"6' 1""",155 lbs.,"75.0""",Orthodox,14,9,0,False
Joseph,Gigliotti,Capo,"5' 11""",185 lbs.,--,Orthodox,7,2,0,False
Joey,Gilbert,,"5' 11""",155 lbs.,--,Orthodox,2,3,0,False
Trevin,Giles,,"6' 0""",170 lbs.,"74.0""",Orthodox,16,7,0,False
Kultar,Gill,Black Mamba,"6' 0""",154 lbs.,--,Orthodox,12,8,0,False
Jesse,Gillespie,,--,185 lbs.,--,,3,2,0,False
Gregor,Gillespie,The Gift,"5' 7""",155 lbs.,"71.0""",Orthodox,14,1,0,False
Jason,Gilliam,,"6' 0""",170 lbs.,--,Orthodox,14,9,0,False
Micheal,Gillmore,The Gentleman,"5' 11""",170 lbs.,"72.0""",Orthodox,6,5,0,False
Krishaun,Gilmore,,--,--,--,,0,1,0,False
Alex,Gilpin,,"5' 7""",145 lbs.,--,Orthodox,11,1,0,False
Bob,Gilstrap,,"6' 3""",200 lbs.,--,Orthodox,5,7,0,False
Eperaim,Ginting,The Wolfman,"5' 4""",135 lbs.,"64.0""",Orthodox,6,1,0,False
Demetrius,Gioulacos,,"5' 11""",185 lbs.,--,,0,1,0,False
Billy,Giovanella,Wolverine,"5' 8""",125 lbs.,--,,9,5,0,False
He-Man,Gipson,,--,--,--,,1,2,0,False
Israel,Giron,El Rojo,"5' 8""",155 lbs.,--,,19,5,0,False
Brandon,Girtz,Cold Roll,"5' 7""",155 lbs.,--,,14,7,0,False
Jason,Glaza,,"6' 0""",230 lbs.,--,,3,2,0,False
Mike,Glenn,,--,205 lbs.,--,,5,6,0,False
Ricky,Glenn,The Gladiator,"6' 0""",170 lbs.,"70.0""",Southpaw,22,9,2,False
Ivan,Gnizditskiy,,--,205 lbs.,--,,5,0,0,False
Mark,Godbeer,The Hand Of,"6' 4""",240 lbs.,"77.0""",Orthodox,13,4,0,False
Clint,Godfrey,,"5' 6""",135 lbs.,--,Southpaw,13,3,0,False
Loopy,Godinez,,"5' 2""",115 lbs.,"61.0""",Orthodox,14,5,0,False
Jason,Godsey,,"6' 2""",230 lbs.,--,Orthodox,16,16,0,False
Allan,Goes,,"6' 0""",205 lbs.,--,Orthodox,10,5,2,False
Billy Ray,Goff,,"5' 10""",170 lbs.,"72.0""",Switch,9,4,0,False
Amiran,Gogoladze,,"6' 1""",170 lbs.,"74.0""",Switch,14,3,0,False
Jonny,Goh,,"5' 11""",155 lbs.,--,,3,4,0,False
Hannah,Goldy,24K,"5' 4""",115 lbs.,"61.0""",Orthodox,6,4,0,False
Marcelo,Golm,,"6' 3""",249 lbs.,"75.0""",Orthodox,6,3,0,False
Denise,Gomes,Dee,"5' 2""",115 lbs.,"63.0""",Orthodox,11,3,0,False
Sergio,Gomez,,"5' 6""",155 lbs.,--,Orthodox,10,3,0,False
Frank,Gomez,,"5' 10""",135 lbs.,"67.0""",Orthodox,10,6,0,False
Alan,Gomez,,--,155 lbs.,--,,2,0,0,False
David,Gomez,,--,155 lbs.,--,,1,2,0,False
Ulysses,Gomez,Useless,"5' 6""",125 lbs.,--,Orthodox,9,5,0,False
Joey,Gomez,KO King,"5' 10""",135 lbs.,"73.0""",Orthodox,6,2,0,False
Luis,Gomez,Tiger Junior,"5' 7""",145 lbs.,"68.0""",Orthodox,4,1,0,False
Joey,Gomez,,"5' 10""",155 lbs.,"71.0""",Orthodox,7,1,0,False
Edson,Gomez,,"5' 8""",170 lbs.,"69.0""",Switch,6,2,0,False
Silvana,Gomez Juarez,La Malvada,"5' 3""",115 lbs.,"65.0""",Orthodox,11,5,0,False
Takanori,Gomi,The Fireball Kid,"5' 7""",155 lbs.,"70.0""",Southpaw,35,14,0,False
William,Gomis,Jaguar,"6' 0""",145 lbs.,"73.0""",Southpaw,15,3,0,False
Akihiro,Gono,,"5' 7""",170 lbs.,"68.0""",Switch,35,21,8,False
Gabriel,Gonzaga,Napao,"6' 2""",242 lbs.,"76.0""",Orthodox,17,11,0,False
Justin,Gonzales,J-Train,"5' 9""",145 lbs.,"72.0""",Orthodox,6,0,0,False
Fernando,Gonzalez,The Menifee Maniac,"5' 9""",170 lbs.,"68.0""",Southpaw,26,14,0,False
Nick,Gonzalez,The Ghost,"5' 6""",155 lbs.,--,Orthodox,17,12,0,False
Fabian,Gonzalez,,"5' 10""",135 lbs.,--,,2,1,0,False
Lewis,Gonzalez,Lethal,"5' 10""",170 lbs.,--,Orthodox,11,3,0,False
Jason,Gonzalez,Nicoya,"6' 2""",155 lbs.,"74.0""",Southpaw,11,5,0,False
Pearl,Gonzalez,,"5' 4""",115 lbs.,--,Orthodox,6,3,0,False
Jorge,Gonzalez,Street,"6' 2""",205 lbs.,"76.0""",Orthodox,16,4,0,False
Mikey,Gonzalez,Rolls,"5' 11""",155 lbs.,"74.0""",Orthodox,7,2,0,False
Erick,Gonzalez,The Ghost Pepper,"5' 11""",155 lbs.,"75.0""",Orthodox,14,8,0,False
Jennifer,Gonzalez,Jefa,"5' 2""",125 lbs.,--,,13,5,0,False
Kier,Gooch,,--,155 lbs.,--,,2,7,0,False
