First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,False
Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,5,0,False
Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,False
Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,False
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,False
Levi,Alford,,--,--,--,,1,7,0,False
Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18,9,0,False
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,False
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,False
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,False
Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,10,0,0,False
Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,16,2,0,False
Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,False
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,False
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,False
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,20,3,0,False
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,25,7,0,False
Daniel,Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0,False
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,False
Asu,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,22,3,0,False
Bekzat,Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",Orthodox,12,2,0,False
John Dave,Almanza,The Striker,"5' 7""",125 lbs.,"67.0""",Southpaw,6,1,0,False
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,False
Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,False
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,False
Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,False
Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,False
Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,22,3,0,False
Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,15,4,0,False
Cesar,Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,7,1,0,False
Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,False
Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,False
Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,False
Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,False
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,5,0,False
Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,False
Patricia,Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0,False
Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,False
Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,False
Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,False
Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,22,3,0,False
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,False
Anthony,Alves,,--,--,--,,1,4,0,False
Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,False
Warlley,Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15,8,0,False
Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0,False
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1,False
Christopher,Alvidrez,The Newborn,--,170 lbs.,--,Orthodox,6,1,0,False
Mahamed,Aly,,"6' 2""",205 lbs.,"78.0""",Orthodox,4,1,0,False
Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,False
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,False
Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,False
Chris,Amarante,,--,185 lbs.,--,,2,0,0,False
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,False
JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,False
Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0,False
Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,11,1,0,False
Hamid,Amiri,The Storm,--,145 lbs.,--,,9,0,0,False
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0,False
Jaqueline,Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,10,1,0,False
Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,False
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,False
Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,17,9,0,False
Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,False
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,False
Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,False
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,False
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,False
Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,False
Liam,Anderson,,"6' 3""",185 lbs.,"75.0""",Orthodox,6,3,0,False
Tatsuya,Ando,Kirinji,"5' 4""",145 lbs.,"68.0""",Southpaw,14,4,1,False
