Participant;Sex;Age range;Do you have a mobile phone?;Is this mobile phone yours or do you share it ?;When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Searching for general information);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Discussion by email or on the digital social networks with friends or family);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Watching your social network feed);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Listening to the music);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Playing games);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Study or homeworks);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Viewing videos);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Other);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Searching for general information);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Discussion by email or on the digital social networks with friends or family);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Watching your social network feed);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Listening to the music);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Playing games);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Study or homeworks);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Viewing videos);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Telephone conversation);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Other);Do you use apps, social media or websites for your health?;Which social media platform/site (Facebook, Instagram, Twitter, Tiktok, Snapchat) is your favourite to use for your health? And what do you like about it?;Favourite platform/site for health: social media;Favourite platform/site for health: search engine;Favourite platform/site for health: unclear;Favourite platform/site for health: none;For searching health information, which app, social media or website do you use ?;For searching health information: social media;For searching health information: search engine;For searching health information: web site;For searching health information: unclear;For searching health information: none;For discussing health topics with other people online, which app, social media or website do you use ?;For discussing: social media;For discussing: search engine;For discussing: app;For discussing: web site;For discussing: unclear;For discussing: none
148;F;;No;;Unchecked;Checked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Yes;Platform ;Unchecked;Unchecked;Checked;Unchecked;Social media;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Website;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked
149;M;;Yes;Shared;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
150;M;;Yes;Not shared;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Yes;Facebook ;Checked;Unchecked;Unchecked;Unchecked;Facebook ;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Facebook ;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked
151;M;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Yes;Twitter ;Checked;Unchecked;Unchecked;Unchecked;Chrome ;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Website ;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked
152;F;;Yes;Not shared;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;No;;;;;;;;;;;;;;;;;;
153;F;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
154;M;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Yes;;Unchecked;Unchecked;Unchecked;Checked;;Unchecked;Unchecked;Unchecked;Unchecked;Checked;;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked
155;M;Between 16 and 17 inclusive;Yes;Not shared;Checked;Unchecked;Unchecked;Checked;Checked;Checked;Checked;Checked;Checked;Unchecked;Unchecked;Checked;Checked;Checked;Checked;Checked;Checked;No;;;;;;;;;;;;;;;;;;
156;M;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
157;M;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
158;F;Between 16 and 17 inclusive;Yes;Not shared;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
159;F;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
160;F;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
161;F;;Yes;Not shared;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Checked;Unchecked;Checked;Unchecked;Unchecked;Checked;Checked;Unchecked;Checked;Unchecked;Unchecked;Checked;Yes;Tiktok. what i like about them is  that they give some information about health.;Checked;Unchecked;Unchecked;Unchecked;Google and in some ways i use tiktok;Checked;Checked;Unchecked;Unchecked;Unchecked;Facebook and Instagram ;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked
162;F;;Yes;Not shared;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Yes;Facebook;Checked;Unchecked;Unchecked;Unchecked;Social media;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Social media ;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked
163;F;;No;;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
164;M;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Checked;Unchecked;No;;;;;;;;;;;;;;;;;;
165;F;Between 16 and 17 inclusive;Yes;Not shared;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
166;M;;Yes;Not shared;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
167;F;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
168;M;;Yes;Not shared;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
169;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;No;;;;;;;;;;;;;;;;;;
170;F;;Yes;Not shared;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Yes;Platform ;Unchecked;Unchecked;Checked;Unchecked;Facebook ;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Twitter;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked
171;F;;No;;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
172;F;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
173;F;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
174;F;Lower than or equal 15;No;;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
175;F;Between 16 and 17 inclusive;No;;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
176;F;;Yes;Not shared;Checked;Unchecked;Unchecked;Checked;Unchecked;Checked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Checked;Yes;Facebook ;Checked;Unchecked;Unchecked;Unchecked;Facebook ;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Socal media;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked
177;M;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Checked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Checked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Yes;Facebook ;Checked;Unchecked;Unchecked;Unchecked;YouTube ;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Facebook ;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked
178;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Checked;Unchecked;Checked;Checked;Checked;Unchecked;Unchecked;Checked;Unchecked;Yes;Google it gives information i dont know about ;Unchecked;Checked;Unchecked;Unchecked;Google ;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Facebook;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked
179;M;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
180;M;Between 16 and 17 inclusive;No;;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
181;M;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
182;F;Lower than or equal 15;Yes;Not shared;Checked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
183;F;Lower than or equal 15;Yes;Shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;No;;;;;;;;;;;;;;;;;;
184;F;Between 16 and 17 inclusive;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
185;F;Lower than or equal 15;Yes;Not shared;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
186;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
187;F;Lower than or equal 15;No;;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
188;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
189;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Checked;Checked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
190;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;No;;;;;;;;;;;;;;;;;;
191;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;No;;;;;;;;;;;;;;;;;;
192;M;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
193;F;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
194;F;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
195;F;;No;;Checked;Unchecked;Unchecked;Checked;Unchecked;Checked;Checked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
196;F;;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Checked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Checked;Unchecked;Checked;Checked;Unchecked;Yes;Shows experiment video of health;Unchecked;Unchecked;Checked;Unchecked;Tiktok;Checked;Unchecked;Unchecked;Unchecked;Unchecked;I don't use any;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked
197;F;Between 16 and 17 inclusive;Yes;Not shared;Checked;Checked;Checked;Checked;Unchecked;Checked;Checked;Checked;Checked;Checked;Checked;Checked;Checked;Checked;Checked;Checked;Checked;No;;;;;;;;;;;;;;;;;;
