id;name;typ;saison;jahr;temperatur_heisse_tage;temperatur_frosttage;temperatur_tropennaechte;temperatur_mittelwert;temperatur_heizgradtage;temperatur_kuehlgradtage;niederschlag_summe;starkniederschlag_20mm_tage;trockenperiode_tage_maximum
8416;Tübingen;kreis;winter_djf;1963;0;84;0;-5,3;1832;0;113,7;0;12
8416;Tübingen;kreis;winter_djf;1964;0;77;0;-1,86;1539;0;56,8;0;26
8416;Tübingen;kreis;winter_djf;1965;0;74;0;-0,45;1394;0;134,2;0;12
8416;Tübingen;kreis;winter_djf;1966;0;40;0;2,03;1163;0;174,6;0;15
8416;Tübingen;kreis;winter_djf;1967;0;51;0;1,61;1201;0;186,8;2;16
8416;Tübingen;kreis;winter_djf;1968;0;67;0;-0,1;1375;0;177,7;0;8
8416;Tübingen;kreis;winter_djf;1969;0;73;0;-0,94;1439;0;121,4;0;24
8416;Tübingen;kreis;winter_djf;1970;0;76;0;-1,76;1513;0;224,8;1;12
8416;Tübingen;kreis;winter_djf;1971;0;70;0;-0,85;1431;0;68,4;0;22
8416;Tübingen;kreis;winter_djf;1972;0;69;0;0,9;1279;0;40;0;17
8416;Tübingen;kreis;winter_djf;1973;0;74;0;-0,83;1429;0;95,8;0;36
8416;Tübingen;kreis;winter_djf;1974;0;55;0;1,57;1205;0;129,8;0;17
8416;Tübingen;kreis;winter_djf;1975;0;44;0;3,03;1073;0;136,3;0;10
8416;Tübingen;kreis;winter_djf;1976;0;62;0;0,63;1303;0;65,8;0;15
8416;Tübingen;kreis;winter_djf;1977;0;56;0;0,83;1271;0;206,3;1;17
8416;Tübingen;kreis;winter_djf;1978;0;64;0;0,23;1326;0;145,8;0;15
8416;Tübingen;kreis;winter_djf;1979;0;68;0;-0,95;1440;0;203,4;1;11
8416;Tübingen;kreis;winter_djf;1980;0;56;0;1,54;1220;0;169,3;0;13
8416;Tübingen;kreis;winter_djf;1981;0;74;0;-1,27;1469;0;131,8;0;13
8416;Tübingen;kreis;winter_djf;1982;0;72;0;-0,86;1432;0;238,1;1;13
8416;Tübingen;kreis;winter_djf;1983;0;52;0;1,49;1212;0;199,1;1;12
8416;Tübingen;kreis;winter_djf;1984;0;68;0;0,08;1356;0;189,8;0;9
8416;Tübingen;kreis;winter_djf;1985;0;79;0;-2,31;1562;0;106,9;0;17
8416;Tübingen;kreis;winter_djf;1986;0;62;0;-0,62;1410;0;150,8;1;14
8416;Tübingen;kreis;winter_djf;1987;0;68;0;-1,1;1454;0;144,9;0;22
8416;Tübingen;kreis;winter_djf;1988;0;53;0;2,12;1168;0;164,9;0;14
8416;Tübingen;kreis;winter_djf;1989;0;51;0;2,23;1145;0;145;2;30
8416;Tübingen;kreis;winter_djf;1990;0;52;0;2,74;1099;0;224,1;2;19
