Borough Location,Sports Played,Sunday's Attendance,Saturday's Attendance,Attendance Sum
Brooklyn,Field Games,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Softball,0,0,0
Bronx,"Basketball, Soccer, Kickball, Tennis, Flag Football, Street Hockey, Table Tennis",0,43,43
Brooklyn,Soccer,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Free Play,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Volleyball,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Flag Football,0,0,0
Brooklyn,Child's Tumbling,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Flag Football,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Bronx,"Basketball, Kickball, Soccer, Tennis, Flag Football, Group Games, Ping-Pong",0,58,58
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Volleyball,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Softball,0,0,0
Brooklyn,Free Play,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Soccer,0,0,0
Manhattan,Football and frisbee Tag,0,400,400
Manhattan,Basketball and Football,0,100,100
Manhattan,Flag Football,0,70,70
Queens,"Soccer, basketball, dodgeball, Ultimate Frisbee",0,195,195
Brooklyn,Soccer,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Free play,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Bowling,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Ultimate Frisbee,0,0,0
Brooklyn,Zumba,0,0,0
Bronx,"Basketball, Kickball, Soccer, Tennis, Ping-Pong, Volleyball, Flag-Football, Dodgeball",0,57,57
Queens,"Basketball, Soccer, Dodgeball, Ultimate Frisbee",0,220,220
Manhattan,Basketball,0,50,50
Manhattan,"Flag Football, Basketball, Soccer",0,100,100
Bronx,"Basketball, Soccer, Tennis, Kickball, Ping-Pong, Flag-Football",0,50,50
Queens,"Soccer, basketball, dodgeball, handball",0,250,250
Queens,"Basketball, Soccer, Handball, Free play, cricket",0,230,230
Queens,"Basketball, Handball, Soccer, Dodgeball",0,220,220
Manhattan,Soccer and Football,0,50,50
Bronx,"Soccer, Dodgeball, Basketball, Kickball, Tennis, Flag-Football",0,40,40
Bronx,"Basketball, Soccer, Tennis, Flag- football, Dodgeball",0,25,25
Queens,"Basketball, Soccer, Dodgeball, ultimate frisbee",0,120,120
Bronx,"Soccer, Ping pong, Football, Dodgeball",0,23,23
Bronx,"Basketball, Soccer, Tennis, Kickball",0,18,18
Queens,"Basketball, Soccer, Dodgeball, Rugby",0,140,140
Queens,"Basketball, Soccer, Dodgeball, Ultimate Frisbee",0,144,144
Manhattan,"Dodgeball, Football, Soccer.",0,100,100
Bronx,"Basketball, Soccer, Tennis, Kickball, Football",0,20,20
Queens,"Basketball, Ultimate Frisbee, Dodgeball, Soccer",0,150,150
Queens,"Basketball, Dodgeball, Soccer",0,154,154
Manhattan,Flag Football,0,45,45
Manhattan,Basketball Dodgeball Flag Football,0,100,100
Bronx,"flag football, track & field",0,0,0
Bronx,"Frisbee, Softball, Pickelball, Football",0,0,0
Bronx,"Basketball, Soccer, Track & Field",0,0,0
Queens,"Lacrosse, basketball, football, soccer, baseball",0,616,616
Queens,"Basketball, Soccer, Football",0,0,0
Queens,"Baseball, Soccer, football",0,0,0
Queens,"Volleyball, Hockey, Basketball",0,120,120
Queens,Basketball Soccer Football,0,116,116
Queens,"Baseball, Soccer, Football",0,0,0
Staten Island,"Pickleball, Basketball, Volleyball",0,3,3
Staten Island,"Basketball, Volleyball, Pickleball",0,8,8
Staten Island,"Basketball, Pickleball, Football",0,0,0
Queens,"Soccer, baseball, basketball,",0,485,485
Queens,"volleyball, badminton, baseball, soccer",0,652,652
Bronx,"Frisbee,Soccer,Basketball,Track and Field",0,11,11
Bronx,"Soccer,Frisbee,Wiffleball",0,5,5
Bronx,"Flag Football,Kickball,Soccer",0,9,9
Queens,"Basketball, flag football, baseball, lacrosse",0,665,665
Bronx,"Soccer,Basketball,Wiffleball, Frisbee, Track and Field",0,0,0
Queens,"Lacrosse, Basketball, Soccer",0,93,93
Queens,"Lacrosse, Basketball, Soccer",0,0,0
Brooklyn,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",0,0,0
Brooklyn,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",0,0,0
Queens,"Basketball, Lacrosse, Volleyball, baseball, flag football",0,321,321
Bronx,"Basketball,Volleyball, Arts and Crafts, Kickball, Soccer",0,0,0
Bronx,"Soccer,Tennis, Track and Field, Basketball",0,0,0
Brooklyn,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",0,0,0
Queens,"Softball, basketball, agility training, jacks, lacrosse",0,161,161
Bronx,"Soccer, Kickball,Volleyball, Flag Football, Basketball",0,0,0
Bronx,"Pickle Ball, Soccer, Basketball,Frisbee,Track and Field",20,0,20
Brooklyn,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",0,0,0
Queens,Baseball Football Basketball Soccer,0,150,150
Queens,basketball Baseball Soccer Football,0,192,192
Queens,Football Basketball Baseball,0,192,192
Manhattan,varies sports,0,0,0
Manhattan,various sports,0,0,0
Manhattan,various sports,0,0,0
Staten Island,flag football / basketball/ pickleball/bocce/volleyball,0,200,200
Staten Island,basketball/flag football,0,90,90
Staten Island,flag football/ basketball/bocce,0,200,200
Staten Island,basketball/ flag football/  bocce,0,40,40
Brooklyn,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",0,0,0
Brooklyn,"Fitness Friday, Soccer, Basketball, Dance,Track",0,0,0
Brooklyn,"Fitness Friday, Soccer, Basketball, Dance,Track",0,0,0
Brooklyn,"Fitness Friday, Soccer, Basketball, Dance,Track",0,0,0
Brooklyn,"Fitness Friday, Soccer, Basketball, Dance,Track",0,0,0
Brooklyn,"Fitness Friday, Soccer, Basketball, Dance,Track",0,0,0
Brooklyn,"Fitness Friday, Soccer, Basketball, Dance,Track",0,0,0
