Rank	Name	Position	Points overall	Errors overall	Points per Set	Sets played	Games played	Top-Scorer
32	Mantha, Jori Alexander 	Au·enangriff	146	135	3,2	46	12	11
48	Barsemian, Raymond Sarkis 	Diagonal	134	135	3,3	41	12	-1
43	Timmermann, Theo 	Au·enangriff	139	138	3,2	44	12	1
4	Brand, Tobias 	Au·enangriff	218	139	4,0	54	14	79
36	Vicentin, Luciano 	Au·enangriff	151	141	3,3	46	13	10
1	Superlak, Michal 'Supi'	Diagonal	236	144	4,5	53	14	92
6	Hurt, Albert	Au·enangriff	218	145	4,0	55	16	73
89	Ernastowicz, Marcin 	Au·enangriff	131	155	2,4	55	16	-24
2	Ewert, Jordan 	Au·enangriff	244	159	4,2	58	16	85
54	Schumann, Philipp 	Diagonal	168	171	3,5	48	16	-3
19	Karlitzek, Lorenz 	Au·enangriff	199	177	3,6	55	15	22
