Rank;Name;Position;Team;Country;Points overall;Errors overall;Points per Set;Sets played;Games played;Top-Scorer
66;Vincic, Dejan ;Zuspiel;Friedrichshafen ;;27;34;0,8;35;10;-7
67;Borris, Maciej;Mittelblock;Herrsching ;;112;120;2,2;51;14;-8
68;Ketrzynski, Xander Wolf Wassenaar ;Mittelblock;Lüneburg ;;53;61;1,4;37;13;-8
69;Brandt, Severin ;Zuspiel;Herrsching ;;2;11;0,1;15;10;-9
70;Deweese, Randy ;Diagonal;KönigsWusterh. ;;104;113;2,4;44;16;-9
71;Petrusic, Juro ;Diagonal;Haching München ;;52;61;2,1;25;11;-9
72;Chamberlain, Max ;Mittelblock;KönigsWusterh. ;;76;86;2,1;37;10;-10
73;Jung, Anton ;Außenangriff;VCO Berlin ;;70;80;2,3;30;13;-10
74;Möller, Carl ;Mittelblock;VCO Berlin ;;26;37;1,5;17;9;-11
75;Gehringer, Paul ;Mittelblock;Haching München ;;8;20;0,4;18;7;-12
76;Biernat, Mateusz ;Zuspiel;Friedrichshafen ;;24;37;0,8;32;11;-13
77;Brown, Andre ;Mittelblock;Friedrichshafen ;;60;73;1,8;33;11;-13
78;Gerken, Hannes ;Zuspiel;Lüneburg ;;4;17;0,1;27;11;-13
79;Keturakis, Byron ;Zuspiel;KönigsWusterh. ;;41;54;0,8;50;14;-13
80;Schulz, Max ;Außenangriff;KönigsWusterh. ;;73;86;2,6;28;10;-13
81;Baumann, Felix ;Außenangriff;VCO Berlin ;;115;130;3,2;36;14;-15
82;Kunstmann, Joscha ;Diagonal;VCO Berlin ;;64;80;2;32;11;-16
83;Sagstetter, Jonas;Außenangriff;Herrsching ;;70;87;1,6;44;16;-17
84;Welsch, Laurenz ;Universal;VCO Berlin ;;99;116;2,4;41;16;-17
85;Burggräf, Eric ;Zuspiel;Düren ;;28;47;0,5;57;16;-19
86;Schmidgall, Mario ;Zuspiel;KönigsWusterh. ;;18;37;0,4;44;15;-19
87;Ivanov, Fedor ;Zuspiel;Giesen ;;36;59;0,8;43;12;-23
88;Kvrzic, Milan ;Zuspiel;VCO Berlin ;;8;31;0,2;35;13;-23
89;Ernastowicz, Marcin ;Außenangriff;Düren ;;131;155;2,4;55;16;-24
90;Paduretu, Eric ;Zuspiel;Haching München ;;7;32;0,2;33;13;-25
91;Tille, Johannes ;Zuspiel;Berlin ;;26;51;0,5;49;16;-25
92;Rupprecht, Patrick ;Außenangriff;Haching München ;;59;87;1,6;37;14;-28
93;Jung, Fabian ;Mittelblock;VCO Berlin ;;19;48;0,6;34;14;-29
94;Kocian-Falkenbach, Tomas ;Zuspiel;Düren ;;20;49;0,5;39;12;-29
95;Mikuláss Koch, Marcell ;Zuspiel;Haching München ;;19;48;0,4;46;16;-29
96;Nogueira Silva, Thiago Vanole;Außenangriff;Herrsching ;;75;105;2,1;35;11;-30
97;Gumenjuk, Mark ;Mittelblock;Haching München ;;31;63;0,7;42;15;-32
98;Klehm, Karl-Lennart ;Mittelblock;VCO Berlin ;;68;100;1,7;39;13;-32
99;Shaw, James Walker;Zuspiel;Herrsching ;;59;91;1,2;51;15;-32
100;Amedegnato, Djifa Julien ;Zuspiel;VCO Berlin ;;10;46;0,2;45;16;-36
