"Cell.ID","x","y","Time.point","Intensity","Area"
57,53.6999168744805,55.7049044056525,1288,7919.53465346535,200.5
57,51.5969756738988,53.4845496383958,1289,7480.79051383399,253.5
57,53.8182559087205,56.6259168704157,1290,7796.86829268293,204.5
57,50.6714542190305,53.0837821663674,1291,7308.30714285714,278.5
57,52.978898007034,51.9546697928878,1292,6800.84382284382,426.5
57,50.6861559139785,54.3864247311828,1293,7518.84738955823,248
57,51.6719653179191,53.5746628131021,1294,7043.31988472622,346
57,51.8333333333333,50.5179640718563,1295,7230.40662650602,334
57,51.9930686830498,54.4310018903592,1296,7563.84210526316,264.5
57,51.8257482574826,51.910209102091,1297,6954.88861386139,406.5
57,53.3111111111111,53.1864197530864,1298,7418.06296296296,270
57,52.1814092953523,53.2303848075962,1299,7209.58083832335,333.5
57,52.8750761730652,55.5551492992078,1300,7372.15808823529,273.5
57,51.935389133627,52.9755261869799,1301,7127.09495548961,340.5
57,51.246170678337,50.1929248723559,1302,6833.4451754386,457
57,51.3333333333333,52.9630261660978,1303,7262.39322033898,293
57,50.406162464986,50.219287715086,1304,6978.47961630695,416.5
57,51.9118852459016,52.8510928961749,1305,7567.50819672131,244
57,51.648253068933,49.2875354107649,1306,7072.96629213483,353
57,52.2915971062883,52.8063439065109,1307,7565.09302325581,299.5
57,51.298463356974,54.0656028368794,1308,7354.1649122807,282
57,52.7208333333333,50.4178571428571,1309,7696.68571428571,280
57,50.856862745098,54.8555555555556,1310,7627.90234375,255
57,50.0757268424611,48.3847194050034,1311,7833.33198380567,246.5
57,51.8009446693657,52.914979757085,1312,7724.41935483871,247
57,50.5579710144928,52.4371980676328,1313,6920.18644067797,414
57,51.2545454545455,52.2262626262626,1314,7849.85140562249,247.5
57,50.0682087781732,55.4282325029656,1315,7327.92857142857,281
57,51.5127087872186,51.8976034858388,1316,7974.54935622318,229.5
57,52.7049941927991,55.4843205574913,1317,7460.42361111111,287
57,50.9194883370956,49.7840481565087,1318,7851.15315315315,221.5
57,52.4383000512033,53.6185355862775,1319,7449.54740061162,325.5
57,50.5139644541168,51.4486760972071,1320,6800.33406113537,459.5
57,54.4873563218391,52.5316091954023,1321,7583.0618556701,290
57,52.1073919107392,54.9476987447699,1322,7866.2050209205,239
57,50.7287522603978,49.1139240506329,1323,7743.34782608696,276.5
57,52.8483381736044,51.1148757663763,1324,6667.54826254826,516.5
57,51.0596914822267,51.3480885311871,1325,7713.24302788845,248.5
57,50.9739066519662,51.619625137817,1326,6851.83407079646,453.5
57,51.1107660455487,53.7201518288475,1327,6742.78806584362,483
57,52.8471454880295,51.1593001841621,1328,7161.8864265928,362
57,51.9848888888889,54.1608888888889,1329,6987.51458885942,375
57,51.3391915641476,51.0556531927358,1330,7593.88541666667,284.5
57,52.2210200927357,54.7959814528594,1331,7176.36615384615,323.5
57,51.609756097561,50.8174427198817,1332,7753.85152838428,225.5
57,51.9799635701275,53.7814207650273,1333,7657.78545454545,274.5
57,49.7364912280702,53.9943859649123,1334,6745.14046121593,475
57,51.3778905809363,51.3807106598985,1335,7518.18305084746,295.5
57,51.9531051964512,55.5266159695817,1336,7545.92424242424,263
57,51.3856932153392,50.8761061946903,1337,8014.42105263158,226
57,52.0776322173702,53.8937409024745,1338,7297.67543859649,343.5
57,50.7262426900585,53.4919590643275,1339,6784.76200873362,456
57,53.4672754946728,51.9977168949772,1340,8146.97716894977,219
57,51.0935779816514,56.0165137614679,1341,7527.38827838828,272.5
57,50.7017857142857,49.1815476190476,1342,7546.39222614841,280
57,52.1273666092943,53.1474469305795,1343,7463.34602076125,290.5
57,51.6890826068908,53.6006641760066,1344,6950.725,401.5
57,52.6550458715596,52.6941896024465,1345,7758.63970588235,272.5
57,50.9144072301967,54.9239766081871,1346,7222.78662420382,313.5
57,51.5519713261649,50.5268817204301,1347,7888.91341991342,232.5
57,52.1880952380952,53.1946428571429,1348,7488.72857142857,280
57,50.391621129326,53.379781420765,1349,7020.43442622951,366
57,50.8386187455955,53,1350,7907.49579831933,236.5
57,48.9203473008683,53.4933937334843,1351,6834.10633484163,441.5
57,50.9475240206948,50.9246119733925,1352,7937.47345132743,225.5
57,50.2225108225108,52.9415584415584,1353,7031.45454545455,385
57,49.4837606837607,52.0632478632479,1354,7395.45051194539,292.5
57,48.4052558782849,50.3485477178423,1355,7089.67313019391,361.5
57,49.7662037037037,51.2719907407407,1356,7367.85467128028,288
57,48.7392781316348,51.7596602972399,1357,6981.22588832487,392.5
57,48.337343358396,51.0260651629073,1358,7200.30120481928,332.5
57,48.5195681511471,51.5380116959064,1359,7024.9783197832,370.5
57,49.5358062854199,50.8521380731582,1360,7289.57846153846,323.5
57,48.286359530262,49.7326106594399,1361,7032.48641304348,369
57,49.8255613126079,51.8986758779505,1362,7475.14827586207,289.5
57,49.3835125448029,50.7141577060932,1363,7053.31382978723,372
57,49.3354666666667,52.1477333333333,1364,7338.25714285714,312.5
57,47.9752770673487,51.9441602728048,1365,6929.73264781491,391
57,49.7507730364873,51.4094001236858,1366,7617.42804428044,269.5
57,49.5072836332476,49.8830334190231,1367,6931.99487179487,389
57,49.4603934077618,50.2876129718235,1368,7282.78025477707,313.5
57,49.4507246376812,50.0971014492754,1369,7126.76608187134,345
57,49.7350543478261,50.3269927536232,1370,7057.97826086957,368
57,49.292899408284,49.1651873767258,1371,7213.84866468843,338
57,49.5384283246978,50.8225388601036,1372,6999.99222797927,386
57,49.8594815825375,49.5898135516144,1373,7067.96448087432,366.5
57,49.886155330439,49.589001447178,1374,7130.9161849711,345.5
