Age;Gender;Education;has_whatsapp;has_facebook;has_instagram;bfi_01;bfi_02;bfi_03;bfi_04;bfi_05;bfi_06;bfi_07;bfi_08;bfi_09;bfi_10;bfi_11;bfi_12;bfi_13;bfi_14;bfi_15;bfi_16;bfi_17;bfi_18;bfi_19;bfi_20;bfi_21;bfi_22;bfi_23;bfi_24;bfi_25;bfi_26;bfi_27;bfi_28;bfi_29;bfi_30;bfi_31;bfi_32;bfi_33;bfi_34;bfi_35;bfi_36;bfi_37;bfi_38;bfi_39;bfi_40;bfi_41;bfi_42;bfi_43;bfi_44;bfi_45;BFI_Extra;BFI_Extra_Durchs;BFI_Extra_Aktiv;BFI_Agree;BFI_Agree_Altru;BFI_Agree_Entgeg;BFI_Consc;BFI_Consc_Ordentlich;BFI_Consc_Selbstdisz;BFI_Neuro;BFI_Neuro_Aengstl;BFI_Neuro_Depr;BFI_Open;BFI_Open_Aesth;BFI_Open_Idea
52;2;3;1;1;1;5;2;5;1;4;5;4;4;3;5;4;4;5;2;3;4;3;4;3;2;5;4;5;2;4;4;2;4;2;4;4;4;5;2;3;4;3;4;1;3;4;4;4;2;5;4,38;4,6;4,00;3,50;3,50;3,00;4,44;4,00;4,40;2,00;2,25;1,50;3,40;3,33;3,60
52;1;7;1;1;1;4;5;5;2;5;2;4;3;1;5;4;5;5;1;5;5;3;2;2;5;2;5;2;1;5;5;2;2;1;5;3;4;3;1;2;3;3;5;3;5;5;4;5;5;5;3,50;3,2;4,50;4,00;3,75;4,33;3,56;2,50;3,80;1,50;1,75;1,50;4,70;5,00;4,40
52;2;5;1;1;1;4;3;4;3;3;4;5;3;4;4;3;5;4;3;4;3;3;1;4;4;4;4;2;3;3;3;2;3;4;4;3;5;4;3;3;4;2;3;2;2;4;3;4;3;5;3,50;3,6;3,00;3,70;4,00;3,67;3,11;2,00;3,20;3,25;3,25;3,50;3,40;3,67;3,20
52;2;3;1;1;1;5;4;5;3;4;5;4;5;3;5;4;3;4;5;5;5;3;4;5;5;5;5;3;3;4;4;4;4;3;4;4;4;5;2;1;3;2;5;3;5;5;5;3;1;3;4,38;4,6;4,50;3,70;4,25;3,33;4,22;4,50;3,80;3,38;3,25;3,00;3,90;3,33;4,00
52;1;7;1;1;1;4;3;4;3;5;2;4;2;2;5;2;3;4;4;5;3;3;4;2;4;3;4;2;2;5;4;2;2;3;5;5;4;4;1;3;2;2;4;1;5;5;4;2;5;3;3,13;3,6;2,50;3,20;3,50;3,00;3,11;3,00;2,80;2,25;1,50;3,00;4,70;5,00;4,60
51;2;3;1;1;1;4;4;4;2;4;2;4;4;2;4;4;5;4;2;5;4;4;4;4;4;2;5;4;2;4;2;4;4;2;4;2;4;4;2;2;3;4;4;2;4;4;4;4;4;4;2,88;2,4;4,00;4,20;4,25;4,33;4,00;4,00;4,00;2,25;2,50;2,00;3,90;4,00;3,80
51;2;7;1;1;1;5;4;5;2;5;5;4;4;2;5;4;4;5;1;4;5;4;4;3;5;5;4;3;2;4;4;2;4;1;4;4;4;4;1;3;5;3;4;2;4;4;5;5;3;5;4,63;4,6;4,50;3,90;3,50;4,00;4,22;4,00;4,20;1,75;2,00;1,50;4,10;3,67;4,00
51;1;7;1;1;1;4;2;4;1;4;3;4;3;3;3;3;4;4;3;4;3;2;5;3;3;4;3;3;2;4;3;3;5;4;3;3;3;5;2;3;3;2;4;3;3;3;3;3;3;4;3,25;3,4;3,00;3,00;3,25;2,67;4,00;4,00;3,80;2,63;2,75;2,50;3,30;3,00;3,40
51;2;4;1;1;1;5;4;5;1;5;5;4;4;2;3;4;5;4;2;4;4;4;4;1;4;5;4;4;2;4;4;5;3;1;4;5;4;4;2;4;3;5;4;2;3;3;3;4;4;5;4,38;4,8;4,00;4,30;4,25;4,33;4,00;4,00;3,80;1,63;1,75;1,00;3,80;3,67;3,60
51;2;6;1;1;1;4;2;5;3;2;3;4;3;4;4;3;4;5;3;5;2;2;3;4;4;3;3;3;4;4;3;1;4;3;5;2;4;5;3;2;2;3;4;3;3;4;4;5;2;4;2,75;3,0;2,50;3,10;3,00;2,67;4,11;3,00;4,20;3,38;3,50;3,00;3,50;3,67;3,60
