Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,LMT,NVDA,V,^GSPC,^IXIC,AAPL,AMZN,LMT,NVDA,V,^GSPC,^IXIC,AAPL,AMZN,LMT,NVDA,V,^GSPC,^IXIC,AAPL,AMZN,LMT,NVDA,V,^GSPC,^IXIC,AAPL,AMZN,LMT,NVDA,V,^GSPC,^IXIC
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-21 14:30:00+00:00,182.55999755859375,168.01980590820312,427.1400146484375,67.91200256347656,275.2300109863281,4963.7099609375,15536.0576171875,182.8887939453125,170.22999572753906,427.5,68.88800048828125,275.5899963378906,4970.10009765625,15577.2021484375,181.55499267578125,167.63499450683594,424.3699951171875,67.70001220703125,273.5299987792969,4958.33984375,15520.466796875,181.60000610351562,169.1999969482422,426.2099914550781,68.0,274.6300048828125,4963.02978515625,15533.3994140625,9104336,15381626,130776,13298661,777888,0,0
2024-02-21 15:30:00+00:00,182.15499877929688,168.3800048828125,427.5111999511719,68.07099914550781,276.1099853515625,4967.9501953125,15550.259765625,182.64999389648438,168.6999969482422,428.2200012207031,68.33499908447266,276.1700134277344,4972.7998046875,15571.2099609375,182.07000732421875,167.59500122070312,426.7149963378906,67.76599884033203,275.0899963378906,4959.919921875,15519.681640625,182.55999755859375,168.02000427246094,427.1499938964844,67.91200256347656,275.2049865722656,4963.68017578125,15535.73046875,4359759,4724713,128386,5318878,470207,255577595,533987000
2024-02-21 16:30:00+00:00,181.38999938964844,167.7301025390625,427.125,67.13029479980469,275.3699951171875,4960.419921875,15505.1494140625,182.3300018310547,168.6300048828125,427.9599914550781,68.20800018310547,276.1199951171875,4970.419921875,15561.0615234375,181.36000061035156,167.55999755859375,426.9501037597656,66.61299896240234,275.2699890136719,4958.3798828125,15495.9833984375,182.14999389648438,168.38999938964844,427.510009765625,68.08100128173828,276.1099853515625,4967.89990234375,15551.0341796875,3729837,3750105,55144,7946663,226068,217414563,435763000
2024-02-21 17:30:00+00:00,181.4199981689453,167.86880493164062,426.4750061035156,67.01100158691406,275.3349914550781,4962.35986328125,15512.853515625,181.72500610351562,168.1199951171875,427.25,67.4229965209961,275.6099853515625,4966.72998046875,15534.8564453125,181.05999755859375,167.41000366210938,426.3700866699219,66.86949920654297,274.92999267578125,4954.27001953125,15490.1845703125,181.38999938964844,167.73199462890625,426.82000732421875,67.125,275.3900146484375,4960.43994140625,15504.9814453125,3311637,3018610,51062,5478248,267162,190459349,362273000
2024-02-21 18:30:00+00:00,180.9499969482422,167.86000061035156,426.739990234375,66.82050323486328,275.25,4956.35009765625,15483.517578125,181.52000427246094,168.65499877929688,427.17999267578125,67.49500274658203,275.6390075683594,4969.77978515625,15538.5087890625,180.66000366210938,167.6699981689453,426.30010986328125,66.7239990234375,275.0,4952.2998046875,15471.912109375,181.42999267578125,167.89999389648438,426.4800109863281,66.98787689208984,275.3374938964844,4962.419921875,15513.82421875,3555971,3295368,58232,5470657,280452,205373000,371440000
2024-02-21 19:30:00+00:00,181.2050018310547,167.86000061035156,426.42999267578125,66.86949920654297,274.9599914550781,4953.75,15482.947265625,181.30499267578125,167.9779052734375,427.55999755859375,67.01699829101562,275.2869873046875,4957.27978515625,15488.677734375,180.76499938964844,167.13999938964844,426.15301513671875,66.24800109863281,274.614990234375,4946.0,15451.65234375,180.9499969482422,167.85000610351562,426.760009765625,66.82177734375,275.239990234375,4956.35986328125,15482.2626953125,3885929,3362106,102610,8104741,380727,229948000,423356000
2024-02-21 20:30:00+00:00,182.3300018310547,168.6199951171875,427.5899963378906,67.49500274658203,276.760009765625,4981.91015625,15580.5107421875,182.38999938964844,168.7899932861328,427.7900085449219,67.5999984741211,276.9700012207031,4983.2099609375,15582.31640625,181.2050018310547,167.86500549316406,426.3299865722656,66.82000732421875,274.989990234375,4953.830078125,15483.7880859375,181.2100067138672,167.8699951171875,426.4100036621094,66.88499450683594,275.010009765625,4953.830078125,15483.7880859375,4689099,3690694,135183,7182953,634782,343371000,462571000
2024-02-22 14:30:00+00:00,183.05499267578125,172.75999450683594,425.1099853515625,77.74949645996094,281.9150085449219,5063.2998046875,15957.728515625,184.0399932861328,173.42999267578125,426.2799987792969,78.08499908447266,282.1400146484375,5064.1201171875,15980.9765625,182.5240020751953,171.77000427246094,423.8324890136719,74.22000122070312,278.9800109863281,5038.830078125,15869.64453125,183.83999633789062,172.5,425.0,74.80000305175781,279.17999267578125,5038.830078125,15904.5751953125,11857133,14110080,144473,38795056,960431,544360490,0
