Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition
1,2,2,35,0.983,0.74,38,Fast
1,2,2,43,0.997,0.925,38,Fast
1,2,1,43,0.973,0.715,35,Fast
1,2,2,33,0.977,1.31,38,Fast
1,1,1,42,1.093,1.795,38,Fast
1,2,2,34,1.137,0.366,35,Fast
1,2,2,32,1.107,0.65,35,Fast
1,1,1,26,1.202,2.016,32,Fast
1,2,2,46,0.912,1.23,32,Fast
1,1,2,41,1.362,1.095,29,Fast
1,2,1,35,1.223,1.7,32,Fast
1,2,1,31,1.177,0.946,35,Fast
1,1,1,34,1.115,1.094,53,Slow
1,2,2,64,0.84,2.734,53,Slow
1,1,1,32,0.987,1.136,50,Slow
1,1,2,37,1.253,2.256,50,Slow
1,1,1,54,0.622,0.75,53,Slow
1,2,2,80,0.652,0.445,53,Slow
1,2,2,65,1.167,0.652,50,Slow
1,1,1,35,1.198,1.206,50,Slow
1,2,2,43,1.167,1.566,47,Slow
1,1,1,43,1.062,0.751,47,Slow
1,1,1,35,1.017,1.355,44,Slow
1,1,2,33,1.012,1.3,44,Slow
1,2,1,34,1.157,1.295,47,Slow
1,1,2,23,0.953,2.11,50,Slow
1,1,1,33,1.077,0.996,53,Slow
1,1,1,45,0.978,0.75,53,Slow
1,1,1,45,1.067,0.91,50,Slow
1,2,2,56,0.988,0.479,50,Slow
1,2,2,68,1.082,0.646,47,Slow
1,2,2,73,0.848,0.626,47,Slow
1,2,1,35,0.842,0.511,44,Slow
1,2,2,34,0.852,1.93,47,Slow
1,1,1,53,0.987,0.796,47,Slow
1,2,2,41,1.397,1.67,44,Slow
1,2,2,22,1.062,2.944,44,Slow
1,1,1,21,1.343,0.681,41,Slow
1,2,1,36,1.632,0.356,41,Slow
1,2,2,43,1.158,1.251,44,Slow
1,2,2,32,0.977,1.436,44,Slow
1,1,1,45,0.967,0.956,41,Slow
1,2,1,31,1.203,0.646,41,Slow
1,1,1,32,1.752,1.961,44,Slow
1,1,1,32,0.722,1.19,44,Slow
1,1,1,42,1.007,0.567,41,Slow
1,1,2,43,0.972,1.6,41,Slow
1,1,2,32,1.422,0.767,44,Slow
1,1,1,32,0.867,2.241,47,Slow
1,1,1,4,1.587,0.596,47,Slow
1,1,2,23,1.156,2.306,44,Slow
1,2,2,67,1.427,1.065,47,Slow
1,2,2,69,0.877,2.105,47,Slow
1,1,1,43,0.968,1.641,44,Slow
1,1,1,43,1.031,1.15,44,Slow
1,1,2,32,1.032,1.711,41,Slow
1,2,1,31,1.387,1.141,44,Slow
1,2,2,34,1.052,1.775,47,Slow
1,2,2,78,0.952,0.762,47,Slow
1,2,1,42,2.018,1.903,44,Slow
1,1,1,45,0.781,1.221,47,Slow
1,2,2,56,1.238,1.58,47,Slow
2,2,1,67,1.771,0.414,53,Baseline
2,1,1,99,1.484,0.605,56,Baseline
2,1,2,89,1.657,0.949,56,Baseline
2,1,1,99,1.377,0.386,59,Baseline
2,1,1,99,1.187,0.437,59,Baseline
2,1,2,78,2.762,0.455,56,Baseline
2,1,1,89,1.817,0.687,59,Baseline
2,1,1,98,1.407,0.22,59,Baseline
2,1,1,65,1.772,0.466,56,Baseline
2,1,1,87,2.49,1.141,56,Baseline
2,2,2,96,2.222,0.995,53,Baseline
2,2,2,99,1.512,0.251,53,Baseline
2,1,1,85,1.892,1.016,50,Baseline
