Schweizer Nährwertdatenbank – Generische Lebensmittel V6.5 (27.06.2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korrigierte Version vom 17.08.2023 (Korrektur: Nährstoff ""Zink"", Lebensmittel 13420 ""Bier, alkoholfrei"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,ID V 4.0,ID SwissFIR,Name,Synonyme,Kategorie,Dichte,Bezugseinheit,"Energie, Kilojoule (kJ)",Herleitung des Wertes,Quelle,"Energie, Kalorien (kcal)",Herleitung des Wertes,Quelle,"Fett, total (g)",Herleitung des Wertes,Quelle,"Fettsäuren, gesättigt (g)",Herleitung des Wertes,Quelle,"Fettsäuren, einfach ungesättigt (g)",Herleitung des Wertes,Quelle,"Fettsäuren, mehrfach ungesättigt (g)",Herleitung des Wertes,Quelle,Cholesterin (mg),Herleitung des Wertes,Quelle,"Kohlenhydrate, verfügbar (g)",Herleitung des Wertes,Quelle,Zucker (g),Herleitung des Wertes,Quelle,Stärke (g),Herleitung des Wertes,Quelle,Nahrungsfasern (g),Herleitung des Wertes,Quelle,Protein (g),Herleitung des Wertes,Quelle,Salz (NaCl) (g),Herleitung des Wertes,Quelle,Alkohol (g),Herleitung des Wertes,Quelle,Wasser (g),Herleitung des Wertes,Quelle,"Vitamin A-Aktivität, RE (µg-RE)",Herleitung des Wertes,Quelle,"Vitamin A-Aktivität, RAE (µg-RE)",Herleitung des Wertes,Quelle,Retinol (µg),Herleitung des Wertes,Quelle,Betacarotin-Aktivität (µg-BCE),Herleitung des Wertes,Quelle,Betacarotin (µg),Herleitung des Wertes,Quelle,Vitamin B1 (Thiamin) (mg),Herleitung des Wertes,Quelle,Vitamin B2 (Riboflavin) (mg),Herleitung des Wertes,Quelle,Vitamin B6 (Pyridoxin) (mg),Herleitung des Wertes,Quelle,Vitamin B12 (Cobalamin) (µg),Herleitung des Wertes,Quelle,Niacin (mg),Herleitung des Wertes,Quelle,Folat (µg),Herleitung des Wertes,Quelle,Pantothensäure (mg),Herleitung des Wertes,Quelle,Vitamin C (Ascorbinsäure) (mg),Herleitung des Wertes,Quelle,Vitamin D (Calciferol) (µg),Herleitung des Wertes,Quelle,Vitamin E (α-Tocopherol) (mg),Herleitung des Wertes,Quelle,Kalium (K) (mg),Herleitung des Wertes,Quelle,Natrium (Na) (mg),Herleitung des Wertes,Quelle,Chlorid (Cl) (mg),Herleitung des Wertes,Quelle,Calcium (Ca) (mg),Herleitung des Wertes,Quelle,Magnesium (Mg) (mg),Herleitung des Wertes,Quelle,Phosphor (P) (mg),Herleitung des Wertes,Quelle,Eisen (Fe) (mg),Herleitung des Wertes,Quelle,Jod (I) (µg),Herleitung des Wertes,Quelle,Zink (Zn)  (mg),Herleitung des Wertes,Quelle,Selen (Se) (µg),Herleitung des Wertes,Quelle,Geänderter Eintrag
1131,4675,,"Fruchtsaft-Schorle (Durchschnitt, 60% Saft - 40% Wasser), ungezuckert",,Alkoholfreie Getränke/Frucht- und Gemüsesäfte,1,pro 100 ml,133,Automatisierte Berechnung,,31,Automatisierte Berechnung,,0.1,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,7.4,Berechnung anhand von Zutaten,,6.9,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,0.2,Berechnung anhand von Zutaten,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,92.3,Automatisierte Berechnung,,1,Automatisierte Berechnung,,1,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,8,Automatisierte Berechnung,,8,Berechnung anhand von Zutaten,,0.02,Berechnung anhand von Zutaten,,0.01,Berechnung anhand von Zutaten,,0.03,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.12,Berechnung anhand von Zutaten,,7.5,Berechnung anhand von Zutaten,,0.06,Berechnung anhand von Zutaten,,7.3,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.16,Berechnung anhand von Zutaten,,74,Berechnung anhand von Zutaten,,4,Berechnung anhand von Zutaten,,11,Berechnung anhand von Zutaten,,7.4,Berechnung anhand von Zutaten,,4.8,Berechnung anhand von Zutaten,,7,Berechnung anhand von Zutaten,,0.2,Berechnung anhand von Zutaten,,0.4,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,k.A.,,,Ja
1130,3608,,"Fruchtsaft (Durchschnitt), ungezuckert",,Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte,1,pro 100 ml,221,Automatisierte Berechnung,,52,Automatisierte Berechnung,,0.1,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,12.3,Berechnung anhand von Zutaten,,11.6,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.2,Berechnung anhand von Zutaten,,0.4,Berechnung anhand von Zutaten,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,87.1,Automatisierte Berechnung,,2,Automatisierte Berechnung,,1,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,14,Automatisierte Berechnung,,14,Berechnung anhand von Zutaten,,0.03,Berechnung anhand von Zutaten,,0.02,Berechnung anhand von Zutaten,,0.05,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.2,Berechnung anhand von Zutaten,,12.6,Berechnung anhand von Zutaten,,0.09,Berechnung anhand von Zutaten,,12.1,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.26,Berechnung anhand von Zutaten,,120,Berechnung anhand von Zutaten,,6,Berechnung anhand von Zutaten,,18,Berechnung anhand von Zutaten,,7.7,Berechnung anhand von Zutaten,,7.4,Berechnung anhand von Zutaten,,12,Berechnung anhand von Zutaten,,0.3,Berechnung anhand von Zutaten,,0.7,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,1.2,Berechnung anhand von Zutaten,,Ja
10456,,,Fruchtwähe/-kuchen (Durchschnitt),,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",,pro 100g essbarer Anteil,695,Automatisierte Berechnung,,166,Automatisierte Berechnung,,8.4,Berechnung anhand von Zutaten,,3.9,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,19,Berechnung anhand von Zutaten,,18.3,Berechnung anhand von Zutaten,,8,Berechnung anhand von Zutaten,,9.6,Berechnung anhand von Zutaten,,2.6,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,0.2,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,67.8,Automatisierte Berechnung,,44,Automatisierte Berechnung,,32,Automatisierte Berechnung,,21,Berechnung anhand von Zutaten,,137,Automatisierte Berechnung,,137,Berechnung anhand von Zutaten,,0.04,Berechnung anhand von Zutaten,,0.05,Berechnung anhand von Zutaten,,0.04,Berechnung anhand von Zutaten,,0.07,Berechnung anhand von Zutaten,,0.25,Berechnung anhand von Zutaten,,7.3,Berechnung anhand von Zutaten,,0.32,Berechnung anhand von Zutaten,,7.3,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,0.99,Berechnung anhand von Zutaten,,170,Berechnung anhand von Zutaten,,80,Berechnung anhand von Zutaten,,140,Berechnung anhand von Zutaten,,32,Berechnung anhand von Zutaten,,13,Berechnung anhand von Zutaten,,46,Berechnung anhand von Zutaten,,0.4,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,0.3,Berechnung anhand von Zutaten,,k.A.,,,Ja
10453,,,Fruchtwähe/-kuchen mit Blätterteig (Durchschnitt),,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",,pro 100g essbarer Anteil,589,Automatisierte Berechnung,,141,Automatisierte Berechnung,,6.9,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,2.6,Berechnung anhand von Zutaten,,0.8,Berechnung anhand von Zutaten,,18,Berechnung anhand von Zutaten,,15.9,Berechnung anhand von Zutaten,,6.9,Berechnung anhand von Zutaten,,8.3,Berechnung anhand von Zutaten,,2.1,Berechnung anhand von Zutaten,,2.8,Berechnung anhand von Zutaten,,0.3,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,72.4,Automatisierte Berechnung,,39,Automatisierte Berechnung,,23,Automatisierte Berechnung,,8,Berechnung anhand von Zutaten,,182,Automatisierte Berechnung,,182,Berechnung anhand von Zutaten,,0.04,Berechnung anhand von Zutaten,,0.05,Berechnung anhand von Zutaten,,0.03,Berechnung anhand von Zutaten,,0.08,Berechnung anhand von Zutaten,,0.23,Berechnung anhand von Zutaten,,6.1,Berechnung anhand von Zutaten,,0.28,Berechnung anhand von Zutaten,,4.9,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,0.9,Berechnung anhand von Zutaten,,160,Berechnung anhand von Zutaten,,110,Berechnung anhand von Zutaten,,180,Berechnung anhand von Zutaten,,32,Berechnung anhand von Zutaten,,10,Berechnung anhand von Zutaten,,39,Berechnung anhand von Zutaten,,0.3,Berechnung anhand von Zutaten,,3.5,Berechnung anhand von Zutaten,,0.2,Berechnung anhand von Zutaten,,k.A.,,,Ja
10454,,,Fruchtwähe/-kuchen mit Kuchenteig (Durchschnitt),,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",,pro 100g essbarer Anteil,598,Automatisierte Berechnung,,143,Automatisierte Berechnung,,6.7,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,2.5,Berechnung anhand von Zutaten,,0.8,Berechnung anhand von Zutaten,,18,Berechnung anhand von Zutaten,,16.6,Berechnung anhand von Zutaten,,6.9,Berechnung anhand von Zutaten,,9,Berechnung anhand von Zutaten,,2.2,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,0.2,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,71.7,Automatisierte Berechnung,,39,Automatisierte Berechnung,,23,Automatisierte Berechnung,,8,Berechnung anhand von Zutaten,,182,Automatisierte Berechnung,,182,Berechnung anhand von Zutaten,,0.04,Berechnung anhand von Zutaten,,0.05,Berechnung anhand von Zutaten,,0.05,Berechnung anhand von Zutaten,,0.08,Berechnung anhand von Zutaten,,0.23,Berechnung anhand von Zutaten,,6,Berechnung anhand von Zutaten,,0.29,Berechnung anhand von Zutaten,,4.9,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,0.86,Berechnung anhand von Zutaten,,160,Berechnung anhand von Zutaten,,89,Berechnung anhand von Zutaten,,160,Berechnung anhand von Zutaten,,33,Berechnung anhand von Zutaten,,13,Berechnung anhand von Zutaten,,48,Berechnung anhand von Zutaten,,0.4,Berechnung anhand von Zutaten,,3.5,Berechnung anhand von Zutaten,,0.3,Berechnung anhand von Zutaten,,k.A.,,,Ja
10455,,,Fruchtwähe/-kuchen mit süssem Mürbeteig (Durchschnitt),,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",,pro 100g essbarer Anteil,899,Automatisierte Berechnung,,215,Automatisierte Berechnung,,11.7,Berechnung anhand von Zutaten,,5.8,Berechnung anhand von Zutaten,,3.9,Berechnung anhand von Zutaten,,1.2,Berechnung anhand von Zutaten,,19,Berechnung anhand von Zutaten,,22.5,Berechnung anhand von Zutaten,,10.4,Berechnung anhand von Zutaten,,11.7,Berechnung anhand von Zutaten,,3.4,Berechnung anhand von Zutaten,,3.3,Berechnung anhand von Zutaten,,0.1,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,59.3,Automatisierte Berechnung,,54,Automatisierte Berechnung,,50,Automatisierte Berechnung,,46,Berechnung anhand von Zutaten,,48,Automatisierte Berechnung,,48,Berechnung anhand von Zutaten,,0.04,Berechnung anhand von Zutaten,,0.05,Berechnung anhand von Zutaten,,0.05,Berechnung anhand von Zutaten,,0.05,Berechnung anhand von Zutaten,,0.28,Berechnung anhand von Zutaten,,10,Berechnung anhand von Zutaten,,0.4,Berechnung anhand von Zutaten,,12.1,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,1.21,Berechnung anhand von Zutaten,,170,Berechnung anhand von Zutaten,,42,Berechnung anhand von Zutaten,,81,Berechnung anhand von Zutaten,,32,Berechnung anhand von Zutaten,,16,Berechnung anhand von Zutaten,,51,Berechnung anhand von Zutaten,,0.5,Berechnung anhand von Zutaten,,2.1,Berechnung anhand von Zutaten,,0.3,Berechnung anhand von Zutaten,,k.A.,,,Ja
14061,,,"Frühlingsrolle, frittiert",,Gerichte/Asiatische Gerichte,,pro 100g essbarer Anteil,938,Automatisierte Berechnung,,224,Automatisierte Berechnung,,11.2,-,1660,2.9,-,1660,5.1,-,1660,2.7,-,1660,28,-,1660,23.1,-,1660,3,-,1660,17.2,-,1660,2.5,-,1660,6.5,-,1660,1.5,Automatisierte Berechnung,,0,-,1660,54.8,-,1660,32,Automatisierte Berechnung,,17,Automatisierte Berechnung,,<2,-,1660,180,Automatisierte Berechnung,,180,-,1660,0.11,-,1660,0.06,-,1660,0.12,-,1660,0.22,-,1660,1.4,-,1660,23.1,-,1660,0.25,-,1660,<0.5,-,1660,<0.5,-,1660,0.82,-,1660,160,-,1660,610,-,1660,810,-,1660,25,-,1660,16,-,1660,67,-,1660,0.9,-,1660,1,-,1660,0.6,-,1660,4.4,-,1660,Nein
817,3739,1001486,Fünfkornbier,,Alkoholhaltige Getränke/Bier,1,pro 100 ml,165,Automatisierte Berechnung,,40,Automatisierte Berechnung,,0,-,22,0,-,22,0,-,22,0,-,22,0,Schätzung,51,2,-,17,2,-,22,0,-,22,<0.2,-,17,0.6,-,17,0,Automatisierte Berechnung,,4.1,-,17,92.5,-,22,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Schätzung,1698,0,Automatisierte Berechnung,,0,Schätzung,51,0,-,9,0.04,-,17,0.09,-,17,0.1,-,22,0.77,-,9,5,-,9,0.09,-,17,0,-,9,0,-,22,0,-,22,43,-,17,1.4,-,17,11,-,17,3.6,-,17,11,-,17,16,-,17,0,-,17,Sp.,-,22,Sp.,-,17,k.A.,,,Nein
1497,,,"Garnele, gekocht",Shrimp;Scampi;Crevette,"Fisch/Meeresfrüchte, Krusten- und Schalentiere",,pro 100g essbarer Anteil,195,Automatisierte Berechnung,,46,Automatisierte Berechnung,,0.5,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,0.2,Berechnung anhand von Zutaten,,158,Berechnung anhand von Zutaten,,1.3,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,9,Berechnung anhand von Zutaten,,0.4,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,89.2,Automatisierte Berechnung,,2,Automatisierte Berechnung,,2,Automatisierte Berechnung,,2,Berechnung anhand von Zutaten,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,0.11,Berechnung anhand von Zutaten,,0.07,Berechnung anhand von Zutaten,,0.06,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,1.47,Berechnung anhand von Zutaten,,10.3,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.8,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,2.18,Berechnung anhand von Zutaten,,170,Berechnung anhand von Zutaten,,170,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,32,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,180,Berechnung anhand von Zutaten,,0.3,Berechnung anhand von Zutaten,,86,Berechnung anhand von Zutaten,,0.8,Berechnung anhand von Zutaten,,k.A.,,,Ja
766,4685,1001412,"Garnele, roh",Shrimp;Scampi;Crevette,"Fisch/Meeresfrüchte, Krusten- und Schalentiere",,pro 100g essbarer Anteil,236,Automatisierte Berechnung,,56,Automatisierte Berechnung,,0.6,-,25,0.1,-,5,0.1,-,5,0.2,-,5,150,-,5,1.2,-,25,Sp.,-,5,0,Schätzung,51,0,-,25,11.4,-,25,0.5,Automatisierte Berechnung,,0,-,5,85.5,-,25,2,Automatisierte Berechnung,,2,Automatisierte Berechnung,,2,Schätzung,51,0,Automatisierte Berechnung,,0,-,128,0.14,-,25,0.09,-,25,0.08,-,5,Sp.,-,22,2,-,25,14,-,5,Sp.,-,22,1,-,25,Sp.,-,5,2.3,Automatisierte Berechnung,,210,-,25,190,-,25,Sp.,-,22,30,-,25,Sp.,-,22,210,-,1462,0.3,-,25,91,-,1009,0.8,-,25,k.A.,,,Ja
1100,3998,,"Geflügelfleisch (Durchschnitt exkl. Innereien), roh",,Fleisch und Innereien/Geflügel,,pro 100g essbarer Anteil,563,Automatisierte Berechnung,,134,Automatisierte Berechnung,,5.3,Berechnung anhand von Zutaten,,1.6,Berechnung anhand von Zutaten,,2.4,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,65,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,21.6,Berechnung anhand von Zutaten,,0.1,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,73.1,Automatisierte Berechnung,,10,Automatisierte Berechnung,,10,Automatisierte Berechnung,,10,Berechnung anhand von Zutaten,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,0.12,Berechnung anhand von Zutaten,,0.15,Berechnung anhand von Zutaten,,0.56,Berechnung anhand von Zutaten,,0.46,Berechnung anhand von Zutaten,,8.31,Berechnung anhand von Zutaten,,9.6,Berechnung anhand von Zutaten,,0.86,Berechnung anhand von Zutaten,,0.4,Berechnung anhand von Zutaten,,0.9,Berechnung anhand von Zutaten,,0.42,Berechnung anhand von Zutaten,,310,Berechnung anhand von Zutaten,,59,Berechnung anhand von Zutaten,,68,Berechnung anhand von Zutaten,,7.5,Berechnung anhand von Zutaten,,25,Berechnung anhand von Zutaten,,200,Berechnung anhand von Zutaten,,0.5,Berechnung anhand von Zutaten,,5.1,Berechnung anhand von Zutaten,,0.9,Berechnung anhand von Zutaten,,k.A.,,,Ja
1109,4025,,"Geflügelfleisch mit Haut (Durchschnitt), roh",,Fleisch und Innereien/Geflügel,,pro 100g essbarer Anteil,673,Automatisierte Berechnung,,161,Automatisierte Berechnung,,9,Berechnung anhand von Zutaten,,2.7,Berechnung anhand von Zutaten,,4.3,Berechnung anhand von Zutaten,,1.5,Berechnung anhand von Zutaten,,76,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,20,Berechnung anhand von Zutaten,,0.1,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,71,Automatisierte Berechnung,,18,Automatisierte Berechnung,,18,Automatisierte Berechnung,,18,Berechnung anhand von Zutaten,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,0.11,Berechnung anhand von Zutaten,,0.15,Berechnung anhand von Zutaten,,0.61,Berechnung anhand von Zutaten,,0.52,Berechnung anhand von Zutaten,,5.24,Berechnung anhand von Zutaten,,9.3,Berechnung anhand von Zutaten,,0.88,Berechnung anhand von Zutaten,,0.8,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,0.44,Berechnung anhand von Zutaten,,290,Berechnung anhand von Zutaten,,56,Berechnung anhand von Zutaten,,79,Berechnung anhand von Zutaten,,7.2,Berechnung anhand von Zutaten,,22,Berechnung anhand von Zutaten,,180,Berechnung anhand von Zutaten,,0.5,Berechnung anhand von Zutaten,,9.3,Berechnung anhand von Zutaten,,0.8,Berechnung anhand von Zutaten,,k.A.,,,Ja
1108,3997,,"Geflügelfleisch ohne Haut (Durchschnitt exkl. Innereien), roh",,Fleisch und Innereien/Geflügel,,pro 100g essbarer Anteil,480,Automatisierte Berechnung,,114,Automatisierte Berechnung,,2.4,Berechnung anhand von Zutaten,,0.7,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,0.6,Berechnung anhand von Zutaten,,58,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,22.9,Berechnung anhand von Zutaten,,0.2,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,74.6,Automatisierte Berechnung,,5,Automatisierte Berechnung,,5,Automatisierte Berechnung,,5,Berechnung anhand von Zutaten,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,0.13,Berechnung anhand von Zutaten,,0.16,Berechnung anhand von Zutaten,,0.52,Berechnung anhand von Zutaten,,0.42,Berechnung anhand von Zutaten,,10.35,Berechnung anhand von Zutaten,,9.8,Berechnung anhand von Zutaten,,0.85,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.8,Berechnung anhand von Zutaten,,0.42,Berechnung anhand von Zutaten,,330,Berechnung anhand von Zutaten,,62,Berechnung anhand von Zutaten,,60,Berechnung anhand von Zutaten,,7.7,Berechnung anhand von Zutaten,,27,Berechnung anhand von Zutaten,,210,Berechnung anhand von Zutaten,,0.5,Berechnung anhand von Zutaten,,2,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,k.A.,,,Ja
1092,3800,,Geflügellyoner,,Fleisch- und Wurstwaren/Brühwurstware,,pro 100g essbarer Anteil,852,Automatisierte Berechnung,,205,Automatisierte Berechnung,,16.4,-,1032,5.1,-,1032,7.5,-,1032,2.3,-,1032,65,-,1032,0.9,-,1032,0.9,-,1011,0,Schätzung,1003,0,Schätzung,1003,13.5,-,1032,2.3,Automatisierte Berechnung,,0,Schätzung,1003,65.3,-,1032,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,Sp.,-,1003,k.A.,,,k.A.,,,0.05,-,1032,0.11,-,1032,0.18,-,1032,0.9,-,1032,4.6,-,1032,k.A.,,,0.9,-,1032,36.3,-,1032,Sp.,-,1032,Sp.,-,1032,210,-,1032,920,-,1032,1190,-,1032,13,-,1032,17,-,1032,210,-,1032,0.5,-,1032,k.A.,,,1.1,-,1032,8.6,-,1032,Nein
13317,,,"Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), gebraten (ohne Zusatz von Fett und Salz)",,Fleisch und Innereien,,pro 100g essbarer Anteil,690,Automatisierte Berechnung,,164,Automatisierte Berechnung,,6.6,Berechnung anhand von Zutaten,,2.5,Berechnung anhand von Zutaten,,3.1,Berechnung anhand von Zutaten,,0.6,Berechnung anhand von Zutaten,,79,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,26.3,Berechnung anhand von Zutaten,,0.1,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,67.1,Automatisierte Berechnung,,5,Automatisierte Berechnung,,5,Automatisierte Berechnung,,5,Berechnung anhand von Zutaten,,3,Automatisierte Berechnung,,3,Berechnung anhand von Zutaten,,0.42,Berechnung anhand von Zutaten,,0.17,Berechnung anhand von Zutaten,,0.42,Berechnung anhand von Zutaten,,0.85,Berechnung anhand von Zutaten,,6.35,Berechnung anhand von Zutaten,,7,Berechnung anhand von Zutaten,,0.74,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,0.39,Berechnung anhand von Zutaten,,330,Berechnung anhand von Zutaten,,52,Berechnung anhand von Zutaten,,77,Berechnung anhand von Zutaten,,5.2,Berechnung anhand von Zutaten,,23,Berechnung anhand von Zutaten,,200,Berechnung anhand von Zutaten,,1.4,Berechnung anhand von Zutaten,,1.9,Berechnung anhand von Zutaten,,3.2,Berechnung anhand von Zutaten,,k.A.,,,Nein
1105,3996,,"Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), roh",,Fleisch und Innereien/Kalb;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein;Fleisch und Innereien/Geflügel,,pro 100g essbarer Anteil,599,Automatisierte Berechnung,,143,Automatisierte Berechnung,,6.2,Berechnung anhand von Zutaten,,2.4,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,0.6,Berechnung anhand von Zutaten,,62,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,21.6,Berechnung anhand von Zutaten,,0.1,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,72.1,Automatisierte Berechnung,,5,Automatisierte Berechnung,,5,Automatisierte Berechnung,,4,Berechnung anhand von Zutaten,,3,Automatisierte Berechnung,,3,Berechnung anhand von Zutaten,,0.47,Berechnung anhand von Zutaten,,0.14,Berechnung anhand von Zutaten,,0.49,Berechnung anhand von Zutaten,,0.87,Berechnung anhand von Zutaten,,6.12,Berechnung anhand von Zutaten,,7.3,Berechnung anhand von Zutaten,,0.7,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,0.36,Berechnung anhand von Zutaten,,330,Berechnung anhand von Zutaten,,48,Berechnung anhand von Zutaten,,61,Berechnung anhand von Zutaten,,4.2,Berechnung anhand von Zutaten,,20,Berechnung anhand von Zutaten,,190,Berechnung anhand von Zutaten,,1.1,Berechnung anhand von Zutaten,,1.5,Berechnung anhand von Zutaten,,2.6,Berechnung anhand von Zutaten,,k.A.,,,Nein
1152,4095,,"Gemüse (Durchschnitt), roh",,Gemüse/Gemüse frisch,,pro 100g essbarer Anteil,117,Automatisierte Berechnung,,28,Automatisierte Berechnung,,0.3,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,4,Berechnung anhand von Zutaten,,3.3,Berechnung anhand von Zutaten,,0.2,Berechnung anhand von Zutaten,,2,Berechnung anhand von Zutaten,,1.2,Berechnung anhand von Zutaten,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,92.4,Automatisierte Berechnung,,221,Automatisierte Berechnung,,110,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,1325,Automatisierte Berechnung,,1325,Berechnung anhand von Zutaten,,0.05,Berechnung anhand von Zutaten,,0.04,Berechnung anhand von Zutaten,,0.11,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.48,Berechnung anhand von Zutaten,,40.2,Berechnung anhand von Zutaten,,0.23,Berechnung anhand von Zutaten,,30.7,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.48,Berechnung anhand von Zutaten,,250,Berechnung anhand von Zutaten,,13,Berechnung anhand von Zutaten,,38,Berechnung anhand von Zutaten,,23,Berechnung anhand von Zutaten,,12,Berechnung anhand von Zutaten,,30,Berechnung anhand von Zutaten,,0.3,Berechnung anhand von Zutaten,,2.2,Berechnung anhand von Zutaten,,0.2,Berechnung anhand von Zutaten,,k.A.,,,Ja
