Obj;Field;POS;Context;Number;Phase;TypeNumber;Type;Colour;Form;Length;Dm;HoleSize;IronOxide;Broken
1052;66;4584;2894;201;Upper silt;7;multiple;yellow;triple bead, pressed spherical to spherical single beads ;9;4;;;n
1052;66;4584;2894;202;Upper silt;5;small spherical;yellow;spherical;3;4;;;n
1052;66;4584;2894;203;Upper silt;5;small spherical;yellow;spherical;3;4;;n;y
1052;95;3796;2896;208;Pink - R;7;multiple;yellow;missing piece, two small spherical beads fused together;5;4;;;n
1052;66;4374;2897;201;Pink - R;12;polychrome;white, fallen decor;cylindrical;8;7;4.5;n;y
1052;66;4374;2897;202;Pink - R;5;small spherical;yellow;spherical;5;5;2;;n
1052;66;4374;2897;203;Pink - R;5;small spherical;yellow;pressed spherical;3;;;;y
1052;66;4374;2897;208;Pink - R;6;small spherical;green;spherical;4;4;;;n
1052;66;4374;2897;211;Pink - R;6;small spherical;green;pressed spherical;;;;;y
1052;66;4374;2897;213;Pink - R;5;small spherical;yellow;spherical;3;3;;n;y
1052;66;4374;2897;220;Pink - R;3;barrel-shaped;orange;fragm;;;;;y
1052;66;4374;2897;224;Pink - R;3;barrel-shaped, big;orange;Barrel-shaped;;7;;;n
1052;67;4584;2898;201;Upper silt;15;misproduced;green;asymmetrically pressed spherical;5;8;;;y
1052;66;4584;2899;201;Upper silt;3;double-conical, small;orange;barrel-shaped;8;6;2;;n
1052;95;4566;2900;201;Possibly Pink - R;5;small spherical;yellow;spherical;3;3;;;n
1052;95;4566;2900;205;Possibly Pink - R;3;double-conical, small;orange;barrel-shaped;7;6;;n;y
1052;95;4566;2900;209;Possibly Pink - R;15;winding marks;red;asymmetrically pressed spherical;5;8;;;y
1052;95;3796;3159;201;Pink - R;3;double-conical, big;blue;double-conical;8;11;3;;n
1052;95;3796;3159;202;Pink - R;15;winding marks;red;asymmetrical round to rectangular, hole not centred;5;6;3;;n
1052;95;3796;3159;203;Pink - R;;bead?;black;;;;;;y
1052;95;3796;3159;204;Pink - R;15;winding marks;red;asymmetrical round to rectangular, hole not centred;5;8;;;n
1052;95;3796;3159;205;Pink - R;3;misproduced;white;asymmetrical, barrel-shaped;8;8;;;y
1052;95;3796;3159;206;Pink - R;;misproduced;green;asymmetrical;;;;;n
1052;95;3796;3159;207;Pink - R;3;double-conical, big;green;barrel-shaped;7;7;2.5;;n
1052;95;3796;3159;208;Pink - R;5;small spherical;yellow;spherical;3;4;;;n
1052;95;3796;3159;209;Pink - R;7;multiple;yellow;double bead, pressed spherical single beads;9;4;;;y
1052;95;3796;3159;210;Pink - R;3;double-conical, small;orange;barrel-shaped;7;6;;;y
1052;95;3796;3159;212;Pink - R;5;small spherical;yellow;spherical;3;4;;;y
1052;95;3796;3159;214;Pink - R;5;small spherical;yellow;ring-shaped;;;;;y
