Obj;Field;POS;Context;Number;Phase;HollowGlass;FlatGlass;Splitter;GlassChunk;Droplet;Slag;Tessera;Rod_yellow;Rod_orange;Rod_red;Rod_blue;Rod_white;Rod_greeen;Rod_Molten;Rod_Plychrome;Rod_Length;Rod_Dm;Pontil_yellow;Pontil_orange;Pontil_red;Pontil_bluee;Pontil_white;Pontil_green;OGW_yellow;OGW_orange;OGW_red;OGW_black;OGW_blue;OGW_green;OGW_white;Bead;RV;OvenPiece;Miscellaneous
1052;20;1072;1221;202;Pink - Schicht in situ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;18;1715;1224;201;Pink - Schicht in situ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;19;1714;1232;xx1;Pink - In situ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;36;2139;1319;201;Pink - Steinansammlung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;36;2139;1319;202;Pink - Steinansammlung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;16;1177;1328;xx1;Reduktionshorizont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;20;1071;1348;201;Pink - R;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;42;2620;1598;xx1;Nordfeld-zeitstellung unklar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;;1679;xx1;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;58;1581;1772;xx1;Reduktionshorizont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3609;1791;201;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;48;3609;1791;202;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;48;3609;1791;203;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;48;3609;1791;xx1;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3621;1816;201;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
1052;47;3608;1887;202;Phase Christan;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;48;3661;1888;201;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
1052;56;3099;1896;201;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;56;3099;1896;203;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;56;3099;1904;201;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;56;3099;1904;202;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;56;3099;1904;203;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;46;3603;1986;201;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3603;1986;203;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;46;3603;1986;204;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
1052;46;3603;1986;205;Umgelagert;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;46;3603;1986;206;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3603;1986;207;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3603;1986;208;Umgelagert;;;;;;;;;;1;;;;;;11;4;;;;;;;;;;;;;;;;;
1052;47;3655;2010;202;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3656;2012;201;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;56;3099;2013;201;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;46;3791;2045;xx1;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
