Datum;Uhrzeit;ST;Mannschaft 1;Mannschaft 2;Gastgeber;Austragungsort/Ergebnis;Austragungsort;Ergebnis;Saison;Spielrunde;Geschlecht;Satzpunkte;Ballpunkte;Spieldauer;Zuschauerzahl;Satzpunkte 1;:;Satzpunkte 2;Satz 1 - Ballpunkte 1;:;Satz 1 - Ballpunkte 2;Satz 1 - Satzdauer;Satz 2 - Ballpunkte 1;:;Satz 2 - Ballpunkte 2;Satz 2 - Satzdauer;Satz 3 - Ballpunkte 1;:;Satz 3 - Ballpunkte 2;Satz 3 - Satzdauer;Satz 4 - Ballpunkte 1;:;Satz 4 - Ballpunkte 2;Satz 4 - Satzdauer;Satz 5 - Ballpunkte 1;:;Satz 5 - Ballpunkte 2;Satz 5 - Satzdauer
04.02.2023;20:00:00;Spieltag 1;BERLIN RECYCLING Volleys;SWD powervolleys Düren;BERLIN RECYCLING Volleys;3:0 / 76:56;Max-Schmeling-Halle (10437 Berlin);3:0 / 76:56;2022/23;1. Bundesliga Männer Zwischenrunde 1-4;männlich;03:00;76:56:00;81;3941;3;:;0;25;:;16;25;26;:;24;31;25;:;16;25;;;;;;;;
05.02.2023;15:00:00;Spieltag 1;SVG Lüneburg;VfB Friedrichshafen;SVG Lüneburg;1:3 / 84:97;LKH Arena (21339 Lüneburg);1:3 / 84:97;2022/23;1. Bundesliga Männer Zwischenrunde 1-4;männlich;01:03;84:97;97;1830;1;:;3;17;:;25;21;22;:;25;25;25;:;22;27;20;:;25;24;;;;
11.02.2023;20:00:00;Spieltag 2;SVG Lüneburg;BERLIN RECYCLING Volleys;SVG Lüneburg;3:0 / 76:66;LKH Arena (21339 Lüneburg);3:0 / 76:66;2022/23;1. Bundesliga Männer Zwischenrunde 1-4;männlich;03:00;76:66;88;2400;3;:;0;25;:;21;29;26;:;24;31;25;:;21;28;;;;;;;;
12.02.2023;17:30:00;Spieltag 2;VfB Friedrichshafen;SWD powervolleys Düren;VfB Friedrichshafen;1:3 / 109:112;SPACETECH ARENA (88046 Friedrichshafen);1:3 / 109:112;2022/23;1. Bundesliga Männer Zwischenrunde 1-4;männlich;01:03;109:112;132;967;1;:;3;25;:;22;31;33;:;35;35;24;:;26;29;27;:;29;37;;;;
18.02.2023;15:00:00;Spieltag 3;SWD powervolleys Düren;SVG Lüneburg;SWD powervolleys Düren;3:1 / 104:92;Arena Kreis Düren (52349 Düren);3:1 / 104:92;2022/23;1. Bundesliga Männer Zwischenrunde 1-4;männlich;03:01;104:92;120;1000;3;:;1;23;:;25;31;25;:;18;27;31;:;29;35;25;:;20;27;;;;
19.02.2023;17:30:00;Spieltag 3;BERLIN RECYCLING Volleys;VfB Friedrichshafen;BERLIN RECYCLING Volleys;3:0 / 75:59;Max-Schmeling-Halle (10437 Berlin);3:0 / 75:59;2022/23;1. Bundesliga Männer Zwischenrunde 1-4;männlich;03:00;75:59:00;78;5284;3;:;0;25;:;19;24;25;:;20;26;25;:;20;28;;;;;;;;
03.03.2023;19:30:00;Spieltag 4;SWD powervolleys Düren;BERLIN RECYCLING Volleys;SWD powervolleys Düren;1:3 / 85:96;Arena Kreis Düren (52349 Düren);1:3 / 85:96;2022/23;1. Bundesliga Männer Zwischenrunde 1-4;männlich;01:03;85:96;111;1371;1;:;3;25;:;21;29;18;:;25;26;19;:;25;26;23;:;25;30;;;;
04.03.2023;20:00:00;Spieltag 4;VfB Friedrichshafen;SVG Lüneburg;VfB Friedrichshafen;1:3 / 87:97;SPACETECH ARENA (88046 Friedrichshafen);1:3 / 87:97;2022/23;1. Bundesliga Männer Zwischenrunde 1-4;männlich;01:03;87:97;110;923;1;:;3;23;:;25;31;25;:;22;26;21;:;25;28;18;:;25;25;;;;
12.03.2023;15:00:00;Spieltag 5;BERLIN RECYCLING Volleys;SVG Lüneburg;BERLIN RECYCLING Volleys;3:0 / 77:62;Max-Schmeling-Halle (10437 Berlin);3:0 / 77:62;2022/23;1. Bundesliga Männer Zwischenrunde 1-4;männlich;03:00;77:62;81;5254;3;:;0;27;:;25;31;25;:;18;25;25;:;19;25;;;;;;;;
12.03.2023;17:30:00;Spieltag 5;SWD powervolleys Düren;VfB Friedrichshafen;SWD powervolleys Düren;3:1 / 97:94;Arena Kreis Düren (52349 Düren);3:1 / 97:94;2022/23;1. Bundesliga Männer Zwischenrunde 1-4;männlich;03:01;97:94;109;1425;3;:;1;20;:;25;24;27;:;25;30;25;:;23;28;25;:;21;27;;;;
18.03.2023;20:00:00;Spieltag 6;SVG Lüneburg;SWD powervolleys Düren;SVG Lüneburg;3:1 / 98:78;LKH Arena (21339 Lüneburg);3:1 / 98:78;2022/23;1. Bundesliga Männer Zwischenrunde 1-4;männlich;03:01;98:78;104;3250;3;:;1;23;:;25;28;25;:;19;26;25;:;19;25;25;:;15;25;;;;
19.03.2023;17:30:00;Spieltag 6;VfB Friedrichshafen;BERLIN RECYCLING Volleys;VfB Friedrichshafen;3:1 / 109:99;SPACETECH ARENA (88046 Friedrichshafen);3:1 / 109:99;2022/23;1. Bundesliga Männer Zwischenrunde 1-4;männlich;03:01;109:99;119;1000;3;:;1;25;:;21;26;34;:;36;40;25;:;20;23;25;:;22;30;;;;
